3#app#app19#app1916/!  -0.200 1.428  -0.200 1.501  -0.200 1.573  -0.200 1.520  -0.200 1.448  -0.200 1.375  -0.200 1.302  -0.200 1.229  -0.200 1.157  -0.200 1.084  -0.200 1.011  -0.200 0.938  -0.200 0.866  -0.200 0.793  -0.200 0.720  -0.200 0.648  -0.200 0.575  -0.200 0.502  -0.170 0.436  -0.137 0.371  -0.105 0.306  -0.072 0.241  -0.044 0.175  -0.044 0.102  -0.044 0.030  -0.044 -0.043  -0.044 -0.116  -0.044 -0.188  -0.044 -0.261  -0.044 -0.334  -0.044 -0.407  -0.025 -0.475  0.008 -0.540  0.040 -0.605  0.073 -0.670  0.105 -0.735  0.138 -0.800  0.170 -0.865  0.203 -0.930  0.235 -0.995  0.268 -1.060  0.300 -1.125  0.333 -1.190  0.365 -1.255  0.398 -1.320  0.422 -1.388  0.422 -1.460  0.412 -1.523  0.339 -1.523  0.266 -1.523
3#app#app19#app1916/@  -0.083 -0.749  0.058 -0.602  0.058 -0.396  -0.075 -0.324  -0.139 -0.182  -0.344 -0.182  -0.367 -0.365  -0.472 -0.465  -0.490 -0.627  -0.367 -0.782  -0.271 -0.891  -0.112 -0.778  0.082 -0.749  0.200 -0.661  0.349 -0.600  0.484 -0.450  0.563 -0.324  0.626 -0.183  0.626 -0.389  0.755 -0.465  0.910 -0.414  0.991 -0.242  1.052 -0.061  1.134 0.125  1.193 0.317  1.193 0.523  1.052 0.670  1.052 0.876  0.923 0.953  0.774 1.089  0.576 1.120  0.392 1.212  0.192 1.237  -0.014 1.237  -0.219 1.237  -0.367 1.096  -0.514 0.953  -0.682 0.892  -0.774 0.708  -0.908 0.554  -1.054 0.409  -1.077 0.213  -1.077 0.007  -1.077 -0.199  -1.077 -0.405  -1.074 -0.610  -0.926 -0.749  -0.741 -0.801  -0.573 -0.891  -0.367 -0.891
3#app#app19#app1916/#  0.585 1.047  0.415 0.877  0.270 0.604  0.167 0.314  0.043 0.033  -0.081 -0.248  -0.316 -0.483  -0.445 -0.784  -0.447 -0.912  -0.237 -0.654  -0.027 -0.396  0.182 -0.138  0.392 0.120  0.602 0.378  0.811 0.636  1.021 0.895  1.231 1.153  1.441 1.411  1.345 1.493  1.110 1.257  0.899 1.012  0.805 0.702  0.607 0.440  0.392 0.190  0.270 -0.114  0.215 -0.423  -0.020 -0.659  -0.044 -0.981  -0.201 -1.249  -0.201 -1.581  -0.371 -1.392  -0.566 -1.123  -0.762 -0.854  -0.958 -0.585  -1.153 -0.316  -1.349 -0.047  -1.459 0.249  -1.295 0.418  -0.962 0.418  -0.642 0.388  -0.362 0.261  -0.030 0.261  0.303 0.261  0.258 0.140  -0.012 -0.053  -0.283 -0.247  -0.553 -0.440  -0.487 -0.525  -0.214 -0.381  0.113 -0.368
3#app#app19#app1916/$  0.565 0.243  0.565 0.496  0.464 0.707  0.220 0.728  -0.034 0.728  -0.251 0.641  -0.368 0.485  -0.285 0.391  -0.163 0.260  0.039 0.161  0.225 -0.000  0.433 -0.111  0.631 -0.243  0.741 -0.419  0.834 -0.633  0.845 -0.812  0.729 -0.971  0.597 -1.093  0.373 -1.163  0.262 -1.336  0.009 -1.336  -0.244 -1.336  -0.400 -1.245  -0.381 -0.992  -0.362 -0.740  -0.343 -0.487  -0.325 -0.234  -0.306 0.018  -0.287 0.271  -0.269 0.523  -0.250 0.776  -0.231 1.028  -0.212 1.281  -0.194 1.533  -0.175 1.786  -0.163 1.846  -0.163 1.592  -0.163 1.339  -0.163 1.086  -0.163 0.833  -0.163 0.579  -0.163 0.326  -0.163 0.073  -0.163 -0.180  -0.163 -0.434  -0.163 -0.687  -0.163 -0.940  -0.163 -1.193  -0.163 -1.446  -0.163 -1.700
3#app#app19#app1916/%  -0.962 0.271  -0.883 0.410  -0.970 0.587  -1.155 0.508  -1.266 0.362  -1.278 0.149  -1.278 -0.069  -1.199 -0.208  -1.056 -0.282  -0.930 -0.171  -0.815 0.011  -0.725 0.194  -0.662 0.397  -0.646 0.611  -0.587 0.804  -0.544 1.005  -0.383 1.141  -0.244 1.220  -0.026 1.220  0.192 1.220  0.399 1.172  0.566 1.035  0.619 0.840  0.619 0.622  0.540 0.422  0.475 0.220  0.377 0.025  0.280 -0.170  0.182 -0.365  0.056 -0.539  -0.042 -0.734  -0.166 -0.909  -0.172 -1.125  -0.020 -1.035  0.153 -0.902  0.326 -0.769  0.498 -0.636  0.671 -0.503  0.844 -0.370  0.686 -0.440  0.540 -0.558  0.461 -0.697  0.540 -0.835  0.725 -0.756  0.934 -0.717  1.105 -0.586  1.251 -0.429  1.201 -0.232  0.995 -0.203  0.777 -0.203
3#app#app19#app1916/^  -1.261 -0.894  -1.261 -1.012  -1.261 -1.002  -1.257 -0.885  -1.204 -0.780  -1.152 -0.675  -1.099 -0.570  -1.022 -0.484  -0.939 -0.401  -0.879 -0.301  -0.827 -0.196  -0.774 -0.091  -0.695 -0.012  -0.590 0.040  -0.485 0.093  -0.386 0.153  -0.303 0.236  -0.220 0.319  -0.137 0.402  -0.054 0.485  0.029 0.568  0.108 0.653  0.108 0.770  0.157 0.867  0.240 0.950  0.323 1.033  0.406 1.116  0.506 1.159  0.621 1.157  0.621 1.040  0.621 0.923  0.621 0.805  0.621 0.688  0.621 0.571  0.621 0.453  0.621 0.336  0.621 0.219  0.621 0.101  0.621 -0.016  0.621 -0.134  0.621 -0.251  0.621 -0.368  0.621 -0.486  0.621 -0.603  0.621 -0.720  0.621 -0.838  0.621 -0.955  0.626 -1.070  0.709 -1.153  0.792 -1.236
3#app#app19#app1916/&  0.481 -1.288  0.589 -1.223  0.481 -1.157  0.481 -0.984  0.372 -0.919  0.324 -0.757  0.264 -0.597  0.264 -0.424  0.188 -0.268  0.155 -0.102  0.047 0.026  0.012 0.192  -0.062 0.348  -0.062 0.521  -0.160 0.654  -0.170 0.824  -0.252 0.963  -0.278 1.126  -0.278 1.299  -0.278 1.473  -0.198 1.613  -0.036 1.641  0.138 1.641  0.264 1.530  0.264 1.356  0.264 1.183  0.264 1.009  0.155 0.880  0.126 0.714  0.048 0.559  -0.071 0.433  -0.167 0.289  -0.264 0.144  -0.382 0.018  -0.462 -0.136  -0.565 -0.272  -0.608 -0.429  -0.686 -0.584  -0.712 -0.751  -0.712 -0.925  -0.584 -0.982  -0.447 -1.071  -0.274 -1.071  -0.100 -1.071  0.065 -1.052  0.202 -0.962  0.374 -0.960  0.504 -0.854  0.678 -0.854  0.806 -0.745
3#app#app19#app1916/*  -0.960 0.849  -0.803 1.051  -0.679 0.771  -0.555 0.463  -0.353 0.188  -0.259 -0.149  -0.068 -0.448  0.186 -0.701  0.440 -0.955  0.694 -1.209  0.947 -1.463  0.880 -1.512  0.543 -1.389  0.206 -1.267  -0.132 -1.144  -0.469 -1.021  -0.806 -0.899  -1.143 -0.776  -1.025 -0.567  -0.752 -0.360  -0.499 -0.106  -0.200 0.040  0.068 0.258  0.350 0.444  0.635 0.623  0.822 0.845  0.465 0.813  0.107 0.780  -0.250 0.748  -0.607 0.715  -0.965 0.683  -1.322 0.650  -1.081 0.566  -0.773 0.444  -0.498 0.242  -0.201 0.091  0.136 0.040  0.484 0.012  0.770 -0.163  0.861 0.106  0.861 0.464  0.861 0.823  0.861 1.182  0.659 1.050  0.659 0.691  0.608 0.344  0.456 0.021  0.332 -0.286  0.254 -0.613  0.254 -0.972
3#app#app19#app1916/(  0.655 1.106  0.655 1.186  0.655 1.266  0.596 1.287  0.516 1.287  0.436 1.287  0.356 1.287  0.293 1.270  0.293 1.190  0.293 1.110  0.239 1.052  0.183 0.995  0.126 0.939  0.112 0.865  0.112 0.785  0.084 0.716  0.028 0.660  -0.029 0.603  -0.069 0.540  -0.069 0.460  -0.071 0.380  -0.127 0.324  -0.184 0.267  -0.240 0.210  -0.250 0.134  -0.250 0.054  -0.250 -0.026  -0.250 -0.106  -0.250 -0.186  -0.250 -0.266  -0.250 -0.346  -0.250 -0.426  -0.250 -0.506  -0.250 -0.586  -0.250 -0.666  -0.250 -0.746  -0.250 -0.826  -0.250 -0.906  -0.250 -0.986  -0.250 -1.066  -0.250 -1.146  -0.250 -1.226  -0.192 -1.248  -0.112 -1.248  -0.069 -1.285  -0.069 -1.365  -0.058 -1.440  -0.001 -1.497  0.055 -1.553  0.112 -1.610
3#app#app19#app1916/)  -0.519 1.230  -0.519 1.312  -0.519 1.394  -0.462 1.419  -0.381 1.419  -0.330 1.387  -0.330 1.306  -0.328 1.225  -0.291 1.152  -0.255 1.079  -0.218 1.006  -0.182 0.933  -0.145 0.860  -0.142 0.779  -0.142 0.698  -0.142 0.616  -0.142 0.535  -0.118 0.478  -0.036 0.478  0.045 0.478  0.046 0.397  0.046 0.315  0.046 0.234  0.046 0.152  0.046 0.071  0.046 -0.011  0.046 -0.092  0.046 -0.174  0.046 -0.256  0.108 -0.275  0.190 -0.275  0.234 -0.312  0.234 -0.394  0.234 -0.475  0.234 -0.557  0.234 -0.638  0.234 -0.720  0.234 -0.801  0.234 -0.883  0.234 -0.964  0.234 -1.046  0.234 -1.127  0.234 -1.209  0.234 -1.290  0.234 -1.372  0.234 -1.453  0.234 -1.535  0.234 -1.616  0.234 -1.698  0.234 -1.780
3#app#app19#app1916/`  -0.999 1.260  -0.999 1.181  -0.999 1.102  -0.999 1.024  -0.999 0.945  -0.941 0.924  -0.862 0.924  -0.784 0.924  -0.705 0.924  -0.637 0.898  -0.581 0.842  -0.525 0.787  -0.470 0.731  -0.414 0.675  -0.358 0.619  -0.326 0.554  -0.326 0.475  -0.326 0.396  -0.326 0.318  -0.314 0.251  -0.235 0.251  -0.156 0.251  -0.078 0.251  0.001 0.251  0.041 0.189  0.076 0.118  0.112 0.048  0.147 -0.023  0.182 -0.093  0.217 -0.164  0.253 -0.234  0.288 -0.305  0.323 -0.375  0.365 -0.440  0.421 -0.496  0.477 -0.552  0.532 -0.608  0.588 -0.663  0.644 -0.719  0.683 -0.782  0.683 -0.861  0.683 -0.939  0.683 -1.018  0.685 -1.096  0.740 -1.152  0.796 -1.207  0.852 -1.263  0.907 -1.319  0.963 -1.374  1.019 -1.430
