2#apa#apa02#app0218/w  -1.281 0.454  -1.429 0.454  -1.281 0.461  -1.281 0.595  -1.281 0.440  -1.269 0.291  -1.160 0.181  -1.130 0.039  -1.078 -0.104  -1.009 -0.243  -0.917 -0.365  -0.827 -0.482  -0.805 -0.628  -0.695 -0.737  -0.548 -0.756  -0.525 -0.888  -0.390 -0.908  -0.373 -0.769  -0.373 -0.614  -0.271 -0.502  -0.222 -0.367  -0.222 -0.212  -0.222 -0.058  -0.154 0.069  -0.071 0.189  -0.071 0.344  -0.026 0.454  0.081 0.406  0.117 0.266  0.227 0.157  0.232 0.004  0.383 0.000  0.492 -0.109  0.630 -0.151  0.686 -0.250  0.788 -0.302  0.837 -0.408  0.946 -0.454  0.989 -0.341  1.105 -0.302  1.140 -0.183  1.140 -0.028  1.140 0.127  1.140 0.282  1.140 0.437  1.140 0.592  1.140 0.747  1.140 0.901  1.140 1.056  1.140 1.211
2#apa#apa02#app0218/a  -0.379 -0.544  -0.379 -0.345  -0.199 -0.325  -0.160 -0.165  -0.160 0.035  -0.074 0.199  0.058 0.343  0.058 0.542  0.058 0.742  -0.114 0.769  -0.313 0.769  -0.513 0.769  -0.712 0.769  -0.884 0.702  -1.025 0.561  -1.036 0.366  -1.200 0.331  -1.254 0.186  -1.254 -0.014  -1.254 -0.213  -1.254 -0.412  -1.254 -0.612  -1.206 -0.763  -1.007 -0.763  -0.807 -0.763  -0.608 -0.763  -0.408 -0.763  -0.209 -0.763  -0.010 -0.763  0.151 -0.670  0.277 -0.522  0.279 -0.325  0.479 -0.325  0.496 -0.143  0.496 0.056  0.353 0.112  0.277 0.236  0.382 0.331  0.496 0.416  0.562 0.550  0.761 0.550  0.953 0.531  1.094 0.390  1.269 0.331  1.371 0.234  1.449 0.112  1.590 0.054  1.590 -0.145  1.590 -0.345  1.590 -0.544
2#apa#apa02#app0218/r  -0.728 0.528  -0.728 0.387  -0.728 0.246  -0.649 0.138  -0.549 0.038  -0.449 -0.062  -0.418 -0.190  -0.418 -0.331  -0.418 -0.472  -0.418 -0.613  -0.379 -0.715  -0.238 -0.715  -0.107 -0.725  -0.107 -0.867  -0.107 -1.008  -0.020 -1.113  0.080 -1.213  0.180 -1.312  0.311 -1.337  0.452 -1.337  0.515 -1.259  0.515 -1.118  0.515 -0.977  0.515 -0.836  0.495 -0.715  0.353 -0.715  0.212 -0.715  0.204 -0.582  0.204 -0.441  0.204 -0.300  0.204 -0.159  0.151 -0.040  0.051 0.060  -0.049 0.160  -0.107 0.277  -0.107 0.418  -0.107 0.559  -0.107 0.700  -0.107 0.841  -0.107 0.982  -0.107 1.124  -0.107 1.265  -0.107 1.406  -0.021 1.461  0.120 1.461  0.261 1.461  0.403 1.461  0.515 1.490  0.515 1.631  0.515 1.772
2#apa#apa02#app0218/t  -1.006 1.962  -0.899 1.855  -0.792 1.747  -0.685 1.640  -0.578 1.533  -0.471 1.426  -0.376 1.313  -0.376 1.162  -0.298 1.043  -0.190 0.936  -0.166 0.794  -0.125 0.660  -0.018 0.553  0.044 0.427  0.047 0.276  0.114 0.140  0.182 0.005  0.250 -0.131  0.254 -0.281  0.254 -0.433  0.272 -0.577  0.379 -0.684  0.464 -0.800  0.464 -0.952  0.464 -1.104  0.464 -1.255  0.472 -1.399  0.623 -1.399  0.608 -1.322  0.509 -1.207  0.411 -1.092  0.312 -0.977  0.214 -0.862  0.115 -0.746  0.016 -0.631  -0.082 -0.516  -0.181 -0.401  -0.280 -0.286  -0.378 -0.171  -0.477 -0.056  -0.575 0.059  -0.451 0.072  -0.300 0.072  -0.148 0.072  0.003 0.072  0.122 -0.007  0.229 -0.114  0.371 -0.138  0.522 -0.138  0.674 -0.138
2#apa#apa02#app0218/y  -1.034 1.061  -1.034 0.935  -0.984 0.821  -0.928 0.709  -0.844 0.642  -0.755 0.605  -0.732 0.502  -0.609 0.496  -0.520 0.407  -0.413 0.362  -0.302 0.329  -0.213 0.240  -0.094 0.223  0.031 0.223  0.157 0.223  0.223 0.282  0.223 0.408  0.223 0.533  0.223 0.659  0.223 0.784  0.223 0.910  0.223 1.036  0.223 1.161  0.223 1.114  0.223 0.988  0.223 0.863  0.223 0.737  0.223 0.612  0.223 0.486  0.223 0.360  0.223 0.235  0.223 0.109  0.223 -0.017  0.223 -0.142  0.223 -0.268  0.223 -0.393  0.223 -0.519  0.223 -0.645  0.223 -0.770  0.223 -0.896  0.223 -1.021  0.223 -1.147  0.223 -1.273  0.223 -1.398  0.223 -1.524  0.223 -1.649  0.265 -1.733  0.363 -1.761  0.363 -1.887  0.363 -2.012
2#apa#apa02#app0218/h  -0.913 1.835  -0.913 1.693  -0.877 1.587  -0.789 1.533  -0.789 1.391  -0.789 1.249  -0.712 1.139  -0.665 1.017  -0.665 0.875  -0.665 0.733  -0.607 0.605  -0.544 0.478  -0.541 0.336  -0.541 0.194  -0.507 0.066  -0.417 -0.038  -0.394 -0.171  -0.294 -0.271  -0.281 -0.408  -0.180 -0.508  -0.169 -0.645  -0.155 -0.781  -0.055 -0.882  -0.045 -1.009  -0.045 -0.867  -0.045 -0.725  -0.045 -0.583  -0.045 -0.442  -0.045 -0.300  -0.045 -0.158  0.048 -0.054  0.078 0.075  0.078 0.217  0.213 0.224  0.355 0.224  0.450 0.178  0.515 0.101  0.574 0.018  0.675 -0.023  0.698 -0.142  0.707 -0.280  0.807 -0.381  0.822 -0.517  0.822 -0.658  0.855 -0.767  0.946 -0.818  0.946 -0.960  0.946 -1.102  1.052 -1.138  1.193 -1.138
2#apa#apa02#app0218/u  -1.228 0.678  -1.330 0.577  -1.412 0.467  -1.412 0.322  -1.412 0.178  -1.321 0.126  -1.228 0.074  -1.228 -0.070  -1.228 -0.214  -1.147 -0.324  -1.045 -0.426  -0.943 -0.528  -0.834 -0.612  -0.690 -0.612  -0.546 -0.612  -0.402 -0.612  -0.272 -0.577  -0.170 -0.475  -0.046 -0.427  0.062 -0.390  0.062 -0.246  0.202 -0.243  0.246 -0.142  0.246 0.002  0.246 0.146  0.246 0.290  0.246 0.434  0.246 0.578  0.246 0.722  0.246 0.866  0.246 1.010  0.246 0.940  0.313 0.863  0.430 0.836  0.430 0.692  0.430 0.548  0.494 0.430  0.596 0.328  0.615 0.192  0.670 0.070  0.772 -0.031  0.799 -0.164  0.845 -0.289  0.947 -0.391  1.049 -0.493  1.151 -0.595  1.288 -0.612  1.352 -0.692  1.392 -0.796  1.536 -0.796
2#apa#apa02#app0218/m  -1.465 0.231  -1.437 0.093  -1.327 0.039  -1.269 -0.102  -1.189 -0.234  -1.189 -0.399  -1.083 -0.458  -1.051 -0.591  -1.051 -0.435  -1.051 -0.271  -1.051 -0.106  -1.051 0.059  -1.051 0.224  -0.939 0.343  -0.823 0.460  -0.677 0.507  -0.512 0.507  -0.485 0.369  -0.320 0.369  -0.224 0.300  -0.156 0.163  -0.086 0.027  -0.086 -0.138  0.034 -0.182  0.051 -0.330  0.051 -0.495  0.051 -0.531  0.051 -0.366  0.170 -0.320  0.189 -0.174  0.189 -0.009  0.189 0.156  0.279 0.231  0.327 0.348  0.465 0.375  0.498 0.507  0.663 0.507  0.828 0.507  0.993 0.507  1.020 0.369  1.185 0.369  1.292 0.311  1.292 0.146  1.292 -0.019  1.292 -0.184  1.321 -0.320  1.429 -0.376  1.429 -0.541  1.429 -0.706  1.567 -0.733
2#apa#apa02#app0218/a  0.436 0.400  0.258 0.400  0.202 0.523  0.135 0.633  -0.044 0.633  -0.222 0.633  -0.400 0.633  -0.578 0.633  -0.756 0.633  -0.934 0.633  -1.112 0.633  -1.197 0.540  -1.235 0.400  -1.413 0.400  -1.431 0.239  -1.431 0.061  -1.380 -0.067  -1.202 -0.067  -1.197 -0.241  -1.079 -0.300  -0.901 -0.300  -0.731 -0.308  -0.731 -0.487  -0.600 -0.534  -0.422 -0.534  -0.243 -0.534  -0.065 -0.534  0.113 -0.534  0.202 -0.445  0.236 -0.300  0.414 -0.300  0.592 -0.300  0.568 -0.300  0.436 -0.254  0.436 -0.076  0.436 0.102  0.436 0.280  0.494 0.400  0.672 0.400  0.851 0.400  0.992 0.310  1.118 0.184  1.136 0.013  1.136 -0.165  1.178 -0.300  1.356 -0.300  1.369 -0.466  1.369 -0.644  1.369 -0.822  1.369 -1.000
2#apa#apa02#app0218/n  -0.946 0.737  -0.946 0.591  -0.946 0.445  -0.946 0.298  -0.946 0.152  -0.946 0.006  -0.946 -0.141  -0.946 -0.287  -0.946 -0.433  -0.879 -0.513  -0.738 -0.517  -0.738 -0.664  -0.738 -0.810  -0.711 -0.929  -0.565 -0.929  -0.530 -0.818  -0.530 -0.671  -0.530 -0.525  -0.530 -0.379  -0.530 -0.233  -0.530 -0.086  -0.530 0.060  -0.530 0.206  -0.507 0.343  -0.404 0.447  -0.321 0.559  -0.321 0.705  -0.207 0.737  -0.061 0.737  0.085 0.737  0.232 0.737  0.378 0.737  0.524 0.737  0.670 0.737  0.720 0.640  0.755 0.529  0.901 0.529  0.928 0.410  0.985 0.321  1.132 0.321  1.136 0.179  1.136 0.033  1.136 -0.113  1.136 -0.260  1.136 -0.406  1.136 -0.552  1.136 -0.699  1.136 -0.845  1.198 -0.929  1.345 -0.929
2#apa#apa02#app0218/o  0.065 0.848  -0.072 0.848  -0.209 0.848  -0.346 0.848  -0.461 0.794  -0.557 0.697  -0.659 0.612  -0.796 0.612  -0.878 0.556  -0.878 0.419  -0.972 0.376  -1.109 0.376  -1.113 0.244  -1.113 0.107  -1.113 -0.030  -1.062 -0.146  -0.966 -0.243  -0.878 -0.343  -0.878 -0.480  -0.827 -0.566  -0.690 -0.566  -0.579 -0.629  -0.482 -0.726  -0.376 -0.802  -0.239 -0.802  -0.102 -0.802  0.035 -0.802  0.172 -0.802  0.309 -0.802  0.446 -0.802  0.583 -0.802  0.720 -0.802  0.857 -0.802  0.994 -0.802  1.007 -0.679  1.007 -0.542  1.007 -0.405  1.007 -0.268  1.007 -0.131  1.007 0.006  1.007 0.143  1.007 0.280  0.979 0.405  0.882 0.502  0.785 0.599  0.688 0.696  0.591 0.793  0.494 0.890  0.397 0.987  0.301 1.083
