3#apb#apb32#app3251/.  1.348 1.015  1.300 1.297  1.009 1.166  0.736 0.980  0.472 0.782  0.210 0.581  0.027 0.306  -0.212 0.094  -0.507 -0.054  -0.823 -0.116  -1.154 -0.116  -1.484 -0.116  -1.815 -0.116  -1.761 -0.015  -1.632 0.285  -1.484 0.581  -1.335 0.875  -1.037 1.015  -0.707 1.015  -0.490 0.902  -0.354 0.603  -0.172 0.327  -0.127 0.044  -0.255 -0.260  -0.374 -0.514  -0.323 -0.398  -0.066 -0.325  0.169 -0.140  0.413 -0.311  0.641 -0.532  0.586 -0.540  0.255 -0.540  -0.066 -0.530  -0.008 -0.257  0.320 -0.278  0.644 -0.343  0.956 -0.431  1.190 -0.415  1.182 -0.398  0.873 -0.449  0.782 -0.337  0.673 -0.398  0.343 -0.398  0.012 -0.398  -0.318 -0.398  -0.080 -0.533  0.249 -0.540  0.580 -0.540  0.831 -0.447  0.782 -0.681
3#apb#apb32#app3251/,  -0.881 1.253  -0.911 1.241  -0.856 1.253  -0.773 1.253  -0.695 1.237  -0.628 1.187  -0.561 1.137  -0.501 1.080  -0.442 1.021  -0.366 1.005  -0.282 1.005  -0.199 1.005  -0.162 0.945  -0.142 0.864  -0.122 0.783  -0.102 0.702  -0.054 0.638  0.009 0.584  0.073 0.530  0.136 0.476  0.197 0.420  0.223 0.341  0.250 0.262  0.276 0.183  0.308 0.106  0.341 0.030  0.374 -0.047  0.405 -0.124  0.428 -0.204  0.451 -0.284  0.474 -0.364  0.474 -0.444  0.451 -0.525  0.428 -0.605  0.405 -0.685  0.402 -0.768  0.402 -0.851  0.387 -0.931  0.350 -1.005  0.310 -1.078  0.260 -1.145  0.210 -1.212  0.154 -1.273  0.080 -1.310  0.003 -1.297  -0.066 -1.250  -0.072 -1.276  -0.093 -1.315  -0.177 -1.315  -0.177 -1.232
3#apb#apb32#app3251/;  0.097 1.022  -0.030 1.012  -0.141 0.985  -0.260 0.949  -0.355 0.882  -0.324 0.878  -0.246 0.774  -0.160 0.683  -0.175 0.663  -0.110 0.686  -0.024 0.719  -0.116 0.711  -0.158 0.766  -0.055 0.841  -0.044 0.834  -0.124 0.752  -0.230 0.683  -0.298 0.688  -0.276 0.683  -0.384 0.692  -0.479 0.683  -0.381 0.726  -0.272 0.794  -0.340 0.768  -0.250 0.712  -0.206 0.589  -0.161 0.467  -0.117 0.345  -0.073 0.223  -0.029 0.101  0.015 -0.021  0.059 -0.143  0.104 -0.266  0.148 -0.388  0.192 -0.510  0.231 -0.616  0.316 -0.678  0.352 -0.803  0.388 -0.928  0.424 -1.053  0.480 -1.169  0.521 -1.287  0.521 -1.417  0.521 -1.547  0.476 -1.632  0.434 -1.746  0.318 -1.803  0.193 -1.822  0.077 -1.764  -0.044 -1.717
3#apb#apb32#app3251/:  -0.232 1.736  -0.298 1.651  -0.410 1.470  -0.578 1.363  -0.676 1.292  -0.582 1.403  -0.387 1.442  -0.200 1.427  -0.046 1.292  0.144 1.377  0.138 1.277  -0.067 1.292  -0.175 1.292  -0.212 1.194  -0.169 0.977  -0.125 0.759  -0.082 0.542  -0.038 0.325  0.005 0.108  0.049 -0.110  0.092 -0.327  0.180 -0.473  0.107 -0.580  0.050 -0.780  -0.098 -0.765  -0.024 -0.618  0.189 -0.597  0.168 -0.717  0.064 -0.892  -0.077 -0.817  0.065 -0.713  0.269 -0.785  0.231 -0.954  0.018 -0.973  -0.183 -1.060  -0.103 -0.928  0.030 -0.755  0.123 -0.840  -0.068 -0.942  -0.117 -1.017  0.057 -0.888  0.253 -0.795  0.305 -0.673  0.306 -0.751  0.124 -0.769  0.180 -0.618  0.301 -0.606  0.390 -0.528  0.497 -0.466  0.612 -0.484
3#apb#apb32#app3251/$  0.696 0.465  0.361 0.568  -0.019 0.620  -0.414 0.620  -0.764 0.499  -0.775 0.222  -0.498 -0.037  -0.139 -0.195  0.225 -0.342  0.540 -0.545  0.507 -0.913  0.148 -1.056  -0.245 -1.062  -0.622 -0.951  -0.991 -0.814  -1.366 -0.693  -1.490 -0.514  -1.170 -0.283  -0.850 -0.051  -0.531 0.181  -0.211 0.412  0.108 0.644  0.428 0.875  0.747 1.107  0.761 1.324  0.657 0.950  0.570 0.565  0.507 0.175  0.445 -0.215  0.384 -0.604  0.317 -0.987  0.250 -1.361  0.427 -1.568  0.409 -1.173  0.391 -0.779  0.373 -0.385  0.355 0.009  0.337 0.404  0.319 0.798  0.301 1.192  0.283 1.586  0.137 1.689  0.004 1.324  -0.056 0.934  -0.115 0.544  -0.168 0.152  -0.154 -0.242  -0.149 -0.636  -0.130 -1.030  -0.127 -1.425
3#apb#apb32#app3251/#  -0.539 1.051  -0.659 1.035  -0.793 0.647  -0.861 0.242  -0.912 -0.164  -0.912 -0.575  -0.863 -0.964  -0.528 -0.797  -0.335 -0.434  -0.142 -0.070  0.051 0.293  0.244 0.656  0.437 1.019  0.630 1.382  0.554 1.275  0.468 0.873  0.468 0.462  0.464 0.051  0.400 -0.355  0.317 -0.758  0.175 -1.140  -0.009 -1.037  -0.307 -0.753  -0.604 -0.469  -0.902 -0.185  -1.199 0.099  -1.351 0.340  -0.944 0.379  -0.532 0.379  -0.122 0.371  0.288 0.330  0.699 0.323  1.107 0.289  1.517 0.267  1.844 0.259  1.440 0.179  1.037 0.099  0.634 0.019  0.231 -0.062  -0.173 -0.142  -0.576 -0.222  -0.979 -0.302  -1.263 -0.361  -0.872 -0.470  -0.464 -0.523  -0.054 -0.535  0.358 -0.535  0.768 -0.527  1.176 -0.478  1.587 -0.460
3#apb#apb32#app3251/&  0.830 -0.688  0.792 -0.612  0.656 -0.560  0.450 -0.540  0.253 -0.473  0.064 -0.388  -0.129 -0.321  -0.299 -0.218  -0.453 -0.100  -0.581 0.061  -0.658 0.238  -0.658 0.447  -0.634 0.648  -0.576 0.842  -0.508 1.034  -0.401 1.207  -0.282 1.359  -0.103 1.455  0.096 1.498  0.276 1.533  0.436 1.410  0.545 1.233  0.579 1.037  0.572 0.834  0.497 0.649  0.414 0.476  0.310 0.298  0.172 0.157  0.014 0.034  -0.187 -0.010  -0.394 -0.027  -0.602 -0.009  -0.786 -0.063  -0.908 -0.189  -0.933 -0.394  -0.954 -0.568  -0.933 -0.775  -0.838 -0.948  -0.685 -1.056  -0.476 -1.056  -0.287 -0.990  -0.086 -0.957  0.114 -0.896  0.317 -0.871  0.502 -0.775  0.689 -0.682  0.888 -0.622  1.092 -0.578  1.298 -0.560  1.492 -0.523
3#apb#apb32#app3251/!  -0.239 1.148  -0.309 1.186  -0.344 1.255  -0.381 1.316  -0.376 1.387  -0.331 1.435  -0.348 1.409  -0.292 1.356  -0.246 1.288  -0.222 1.210  -0.191 1.134  -0.156 1.060  -0.128 0.986  -0.128 0.903  -0.109 0.824  -0.100 0.742  -0.088 0.661  -0.055 0.587  -0.055 0.505  -0.048 0.423  -0.034 0.342  -0.023 0.260  -0.024 0.179  -0.036 0.097  -0.026 0.016  -0.018 -0.066  -0.018 -0.148  -0.032 -0.229  -0.018 -0.308  -0.033 -0.387  -0.004 -0.454  0.001 -0.527  0.001 -0.572  0.001 -0.654  -0.018 -0.734  0.037 -0.786  0.084 -0.854  0.131 -0.922  0.177 -0.989  0.224 -1.057  0.271 -1.124  0.318 -1.192  0.315 -1.176  0.364 -1.206  0.352 -1.284  0.405 -1.336  0.436 -1.402  0.441 -1.417  0.430 -1.449  0.443 -1.435
3#apb#apb32#app3251/?  -0.199 0.597  -0.312 0.575  -0.428 0.575  -0.523 0.631  -0.603 0.676  -0.566 0.786  -0.499 0.855  -0.418 0.918  -0.356 1.017  -0.250 1.056  -0.135 1.070  -0.019 1.070  0.098 1.070  0.214 1.070  0.324 1.050  0.424 0.994  0.535 0.961  0.607 0.870  0.682 0.780  0.741 0.682  0.770 0.571  0.770 0.454  0.736 0.343  0.664 0.254  0.604 0.155  0.524 0.071  0.430 0.016  0.314 0.014  0.205 -0.027  0.097 -0.070  -0.010 -0.114  -0.127 -0.114  -0.237 -0.146  -0.306 -0.218  -0.306 -0.335  -0.290 -0.447  -0.285 -0.562  -0.306 -0.674  -0.302 -0.775  -0.267 -0.886  -0.232 -0.998  -0.198 -1.109  -0.163 -1.220  -0.129 -1.331  -0.156 -1.419  -0.178 -1.529  -0.225 -1.633  -0.239 -1.749  -0.251 -1.863  -0.220 -1.965
3#apb#apb32#app3251/  0.843 1.198  0.850 1.260  0.793 1.282  0.780 1.343  0.741 1.285  0.689 1.233  0.637 1.181  0.592 1.123  0.554 1.061  0.515 0.999  0.477 0.936  0.440 0.872  0.403 0.809  0.366 0.746  0.327 0.684  0.287 0.622  0.248 0.560  0.208 0.499  0.169 0.437  0.133 0.373  0.097 0.309  0.061 0.245  0.025 0.181  -0.011 0.117  -0.047 0.053  -0.083 -0.011  -0.119 -0.075  -0.155 -0.139  -0.191 -0.203  -0.221 -0.269  -0.248 -0.338  -0.274 -0.406  -0.301 -0.475  -0.327 -0.543  -0.354 -0.611  -0.385 -0.678  -0.416 -0.744  -0.447 -0.811  -0.477 -0.878  -0.507 -0.945  -0.537 -1.012  -0.561 -1.080  -0.561 -1.153  -0.569 -1.224  -0.614 -1.283  -0.624 -1.353  -0.622 -1.378  -0.578 -1.319  -0.529 -1.265  -0.477 -1.213
3#apb#apb32#app3251/'  -0.032 0.856  0.042 0.894  0.116 0.931  0.190 0.968  0.264 1.005  0.292 1.082  0.310 1.155  0.266 1.195  0.266 1.278  0.266 1.348  0.266 1.265  0.266 1.182  0.227 1.115  0.168 1.057  0.167 0.974  0.167 0.891  0.152 0.811  0.125 0.732  0.099 0.653  0.073 0.575  0.067 0.493  0.067 0.410  0.067 0.327  0.067 0.244  0.067 0.161  0.031 0.086  -0.006 0.012  -0.044 -0.062  -0.081 -0.136  -0.082 -0.219  -0.082 -0.302  -0.082 -0.385  -0.082 -0.468  -0.096 -0.549  -0.114 -0.630  -0.132 -0.711  -0.150 -0.792  -0.168 -0.873  -0.190 -0.952  -0.227 -1.027  -0.264 -1.101  -0.281 -1.180  -0.281 -1.263  -0.281 -1.346  -0.281 -1.429  -0.281 -1.512  -0.281 -1.595  -0.249 -1.664  -0.190 -1.723  -0.132 -1.782
