3#app#app06#app0636/A  -0.222 1.634  -0.264 1.388  -0.290 1.136  -0.290 0.873  -0.290 0.611  -0.269 0.351  -0.222 0.096  -0.149 -0.155  -0.097 -0.413  -0.083 -0.673  -0.019 -0.909  0.049 -1.144  0.049 -1.406  0.049 -1.669  0.005 -1.617  -0.090 -1.408  -0.155 -1.160  -0.236 -0.912  -0.354 -0.677  -0.411 -0.427  -0.493 -0.179  -0.493 0.084  -0.493 0.346  -0.493 0.609  -0.493 0.872  -0.493 1.135  -0.425 1.381  -0.418 1.641  -0.328 1.672  -0.238 1.446  -0.115 1.215  0.003 0.980  0.116 0.744  0.213 0.521  0.303 0.296  0.467 0.092  0.590 -0.125  0.727 -0.332  0.861 -0.499  0.929 -0.734  0.997 -0.929  0.760 -0.857  0.512 -0.769  0.264 -0.682  0.017 -0.594  -0.145 -0.457  0.013 -0.299  0.170 -0.141  0.387 -0.036  0.590 0.076
3#app#app06#app0636/c  0.420 1.458  0.333 1.458  0.245 1.458  0.158 1.458  0.071 1.458  -0.004 1.445  -0.004 1.357  -0.004 1.270  -0.004 1.183  -0.004 1.095  -0.015 1.011  -0.055 0.933  -0.094 0.855  -0.133 0.776  -0.145 0.692  -0.149 0.606  -0.211 0.545  -0.273 0.483  -0.286 0.401  -0.286 0.314  -0.286 0.226  -0.320 0.153  -0.382 0.091  -0.427 0.023  -0.427 -0.065  -0.427 -0.152  -0.427 -0.239  -0.427 -0.327  -0.427 -0.414  -0.427 -0.501  -0.378 -0.568  -0.317 -0.630  -0.286 -0.705  -0.286 -0.792  -0.231 -0.857  -0.169 -0.919  -0.092 -0.943  -0.005 -0.943  0.082 -0.943  0.160 -0.966  0.222 -1.028  0.286 -1.084  0.373 -1.084  0.461 -1.084  0.548 -1.084  0.635 -1.084  0.723 -1.084  0.810 -1.084  0.898 -1.084  0.985 -1.084
3#app#app06#app0636/q  -0.219 1.201  -0.097 1.322  0.060 1.283  0.182 1.161  0.263 1.022  0.263 0.850  0.263 0.677  0.263 0.505  0.263 0.332  0.209 0.182  0.142 0.037  0.084 -0.122  0.022 -0.280  -0.063 -0.367  -0.115 -0.488  -0.288 -0.488  -0.460 -0.488  -0.497 -0.331  -0.581 -0.193  -0.628 -0.031  -0.702 0.124  -0.702 0.296  -0.781 0.436  -0.822 0.591  -0.790 0.751  -0.702 0.887  -0.632 1.030  -0.480 1.080  -0.428 0.960  -0.280 0.900  -0.158 0.778  -0.036 0.656  0.022 0.507  0.123 0.376  0.159 0.219  0.263 0.090  0.263 -0.083  0.355 -0.218  0.384 -0.378  0.384 -0.551  0.465 -0.690  0.504 -0.846  0.504 -1.018  0.504 -1.191  0.504 -1.363  0.504 -1.536  0.515 -1.704  0.625 -1.831  0.625 -2.004  0.745 -2.056
3#app#app06#app0636/u  -1.128 1.491  -1.128 1.326  -1.128 1.162  -1.068 1.023  -0.951 0.907  -0.925 0.754  -0.925 0.589  -0.925 0.425  -0.918 0.264  -0.802 0.147  -0.721 0.017  -0.714 -0.145  -0.598 -0.261  -0.518 -0.392  -0.518 -0.556  -0.518 -0.720  -0.421 -0.844  -0.305 -0.961  -0.189 -1.077  -0.072 -1.193  0.044 -1.309  0.160 -1.291  0.276 -1.175  0.296 -1.019  0.296 -0.854  0.296 -0.690  0.296 -0.526  0.296 -0.362  0.296 -0.197  0.296 -0.033  0.296 0.131  0.296 0.295  0.296 0.460  0.296 0.624  0.296 0.788  0.296 0.953  0.319 1.060  0.436 0.944  0.500 0.807  0.500 0.642  0.500 0.478  0.612 0.360  0.703 0.234  0.703 0.069  0.817 -0.048  0.907 -0.175  0.907 -0.339  1.022 -0.456  1.110 -0.583  1.110 -0.748
3#app#app06#app0636/i  -0.189 0.097  -0.189 -0.015  -0.189 -0.127  -0.145 -0.195  -0.043 -0.205  -0.043 -0.317  -0.043 -0.429  -0.005 -0.525  0.074 -0.604  0.103 -0.704  0.140 -0.779  0.249 -0.782  0.249 -0.894  0.249 -1.007  0.283 -1.105  0.362 -1.184  0.441 -1.263  0.520 -1.342  0.514 -1.285  0.477 -1.179  0.440 -1.073  0.403 -0.967  0.366 -0.861  0.330 -0.756  0.293 -0.650  0.256 -0.544  0.219 -0.438  0.182 -0.332  0.146 -0.226  0.109 -0.121  0.072 -0.015  0.035 0.091  -0.002 0.197  -0.039 0.303  -0.075 0.408  -0.112 0.514  -0.149 0.620  -0.186 0.726  -0.223 0.832  -0.259 0.938  -0.296 1.043  -0.333 1.149  -0.370 1.255  -0.407 1.361  -0.443 1.467  -0.480 1.572  -0.517 1.678  -0.554 1.784  -0.591 1.890  -0.627 1.996
3#app#app06#app0636/r  -0.407 0.657  -0.349 0.540  -0.291 0.424  -0.247 0.303  -0.244 0.174  -0.152 0.082  -0.088 -0.022  -0.080 -0.149  0.012 -0.241  0.092 -0.342  0.151 -0.459  0.209 -0.575  0.232 -0.701  0.232 -0.831  0.253 -0.940  0.383 -0.940  0.391 -1.063  0.391 -1.193  0.455 -1.260  0.551 -1.294  0.548 -1.416  0.455 -1.324  0.363 -1.231  0.271 -1.139  0.232 -1.025  0.232 -0.894  0.220 -0.769  0.128 -0.677  0.072 -0.569  0.062 -0.441  0.004 -0.325  -0.055 -0.208  -0.088 -0.085  -0.100 0.042  -0.158 0.159  -0.217 0.276  -0.247 0.399  -0.247 0.529  -0.247 0.660  -0.247 0.790  -0.247 0.921  -0.247 1.051  -0.247 1.182  -0.247 1.312  -0.247 1.442  -0.247 1.573  -0.247 1.703  -0.247 1.834  -0.247 1.964  -0.247 2.095
3#app#app06#app0636/e  -0.709 0.179  -0.569 0.179  -0.428 0.179  -0.384 0.276  -0.310 0.342  -0.185 0.379  -0.086 0.478  -0.060 0.608  -0.023 0.739  0.039 0.865  0.102 0.990  0.242 0.991  0.265 1.109  0.265 1.249  0.191 1.315  0.066 1.278  -0.034 1.179  -0.133 1.080  -0.228 0.978  -0.291 0.853  -0.354 0.727  -0.384 0.594  -0.420 0.468  -0.519 0.369  -0.618 0.270  -0.709 0.167  -0.709 0.027  -0.709 -0.113  -0.709 -0.254  -0.709 -0.394  -0.663 -0.515  -0.564 -0.615  -0.547 -0.748  -0.453 -0.794  -0.313 -0.794  -0.187 -0.830  -0.088 -0.929  0.041 -0.957  0.182 -0.957  0.322 -0.957  0.462 -0.957  0.602 -0.957  0.743 -0.957  0.883 -0.957  1.023 -0.957  1.164 -0.957  1.238 -0.891  1.282 -0.794  1.422 -0.794  1.563 -0.794
3#app#app06#app0636/2  -0.736 0.905  -0.710 0.990  -0.652 1.043  -0.596 1.130  -0.518 1.209  -0.482 1.305  -0.396 1.329  -0.285 1.329  -0.174 1.329  -0.063 1.329  -0.037 1.244  0.026 1.196  0.026 1.086  0.026 0.975  0.026 0.864  0.026 0.753  0.026 0.642  0.015 0.533  -0.020 0.428  -0.055 0.323  -0.059 0.212  -0.088 0.113  -0.143 0.025  -0.143 -0.085  -0.203 -0.171  -0.262 -0.264  -0.312 -0.363  -0.323 -0.471  -0.373 -0.571  -0.398 -0.676  -0.398 -0.787  -0.398 -0.897  -0.348 -0.959  -0.313 -1.035  -0.211 -1.044  -0.100 -1.044  0.011 -1.044  0.094 -0.976  0.197 -0.959  0.308 -0.959  0.419 -0.959  0.507 -0.902  0.606 -0.874  0.717 -0.874  0.789 -0.835  0.854 -0.789  0.958 -0.783  0.991 -0.705  1.043 -0.646  1.128 -0.620
3#app#app06#app0636/%  -1.105 0.470  -1.023 0.631  -0.865 0.715  -0.622 0.715  -0.535 0.560  -0.535 0.318  -0.641 0.119  -0.755 -0.076  -0.869 -0.271  -1.081 -0.344  -1.242 -0.263  -1.268 -0.046  -1.268 0.196  -1.209 0.425  -1.159 0.641  -0.925 0.702  -0.690 0.764  -0.456 0.826  -0.222 0.887  0.013 0.949  0.247 1.011  0.361 0.916  0.332 0.686  0.280 0.465  0.279 0.223  0.202 -0.007  0.198 -0.249  0.117 -0.472  0.061 -0.701  0.036 -0.937  -0.037 -1.150  -0.046 -1.388  0.103 -1.274  0.216 -1.060  0.329 -0.845  0.442 -0.631  0.555 -0.416  0.668 -0.202  0.781 0.013  0.916 0.211  1.118 0.307  1.331 0.234  1.339 -0.005  1.257 -0.213  1.179 -0.423  1.041 -0.561  0.844 -0.670  0.769 -0.503  0.769 -0.261  0.769 -0.018
3#app#app06#app0636/M  -0.713 1.170  -0.713 0.892  -0.617 0.654  -0.617 0.376  -0.568 0.110  -0.521 -0.157  -0.470 -0.426  -0.425 -0.697  -0.336 -0.938  -0.275 -1.191  -0.233 -1.451  -0.233 -1.700  -0.233 -1.422  -0.329 -1.184  -0.425 -0.929  -0.457 -0.656  -0.521 -0.389  -0.521 -0.111  -0.617 0.144  -0.713 0.400  -0.713 0.677  -0.713 0.955  -0.650 1.170  -0.521 0.965  -0.434 0.708  -0.310 0.459  -0.233 0.199  -0.098 -0.023  0.005 -0.266  0.104 -0.512  0.164 -0.765  0.311 -0.945  0.344 -0.893  0.344 -0.615  0.344 -0.337  0.344 -0.060  0.344 0.218  0.344 0.496  0.344 0.774  0.441 1.012  0.457 1.283  0.633 1.293  0.729 1.055  0.841 0.819  0.908 0.549  1.012 0.310  1.114 0.057  1.210 -0.181  1.370 -0.336  1.498 -0.561
3#app#app06#app0636/I  -0.498 1.554  -0.498 1.480  -0.495 1.409  -0.421 1.409  -0.353 1.402  -0.353 1.328  -0.353 1.254  -0.353 1.180  -0.353 1.106  -0.353 1.032  -0.341 0.963  -0.289 0.911  -0.237 0.858  -0.208 0.796  -0.208 0.722  -0.197 0.650  -0.173 0.580  -0.150 0.510  -0.126 0.439  -0.103 0.369  -0.080 0.299  -0.064 0.228  -0.064 0.154  -0.045 0.087  0.008 0.035  0.060 -0.017  0.081 -0.082  0.081 -0.156  0.081 -0.230  0.081 -0.304  0.081 -0.378  0.081 -0.452  0.081 -0.526  0.081 -0.600  0.121 -0.658  0.174 -0.710  0.226 -0.762  0.226 -0.836  0.228 -0.909  0.281 -0.962  0.333 -1.014  0.371 -1.072  0.371 -1.146  0.381 -1.218  0.414 -1.284  0.448 -1.350  0.481 -1.416  0.514 -1.483  0.515 -1.556  0.515 -1.630
