1c#tos#t2#t2004060/a  0.369 0.187  0.369 -0.032  0.369 -0.252  0.512 -0.298  0.649 -0.177  0.655 0.040  0.655 0.259  0.655 0.479  0.586 0.682  0.441 0.758  0.369 0.961  0.248 1.105  0.046 1.153  -0.159 1.187  -0.378 1.187  -0.567 1.112  -0.771 1.044  -0.957 0.933  -0.988 0.726  -1.014 0.518  -1.131 0.346  -1.189 0.141  -1.202 -0.076  -1.202 -0.295  -1.202 -0.514  -1.202 -0.734  -1.103 -0.912  -0.902 -0.956  -0.682 -0.956  -0.468 -0.925  -0.327 -0.813  -0.123 -0.791  -0.059 -0.582  0.078 -0.436  0.155 -0.258  0.299 -0.098  0.369 0.105  0.369 0.325  0.369 0.544  0.441 0.539  0.441 0.320  0.441 0.100  0.455 -0.113  0.584 -0.279  0.661 -0.468  0.727 -0.672  0.859 -0.813  1.017 -0.961  1.138 -1.099  1.298 -1.242
1c#tos#t2#t2004060/b  -0.183 2.125  -0.306 2.018  -0.306 1.823  -0.306 1.629  -0.306 1.435  -0.306 1.241  -0.306 1.047  -0.306 0.853  -0.306 0.659  -0.306 0.465  -0.306 0.271  -0.306 0.076  -0.306 -0.118  -0.306 -0.312  -0.306 -0.506  -0.306 -0.700  -0.306 -0.894  -0.306 -1.088  -0.306 -1.099  -0.306 -0.905  -0.306 -0.711  -0.306 -0.517  -0.306 -0.323  -0.306 -0.128  -0.457 -0.085  -0.551 0.014  -0.530 0.203  -0.403 0.341  -0.251 0.461  -0.074 0.528  0.120 0.528  0.314 0.528  0.508 0.528  0.691 0.507  0.799 0.345  0.944 0.278  0.984 0.090  0.984 -0.104  0.984 -0.298  0.877 -0.420  0.730 -0.541  0.677 -0.706  0.660 -0.884  0.469 -0.895  0.291 -0.971  0.185 -1.090  0.031 -1.129  -0.102 -1.191  -0.296 -1.191  -0.367 -1.191
1c#tos#t2#t2004060/c  0.435 0.722  0.315 0.662  0.292 0.534  0.259 0.404  0.289 0.384  0.371 0.447  0.417 0.553  0.499 0.636  0.499 0.771  0.460 0.889  0.341 0.945  0.243 1.009  0.142 1.042  0.007 1.042  -0.121 1.006  -0.251 0.978  -0.386 0.978  -0.463 0.883  -0.553 0.805  -0.591 0.694  -0.679 0.614  -0.759 0.514  -0.783 0.385  -0.844 0.276  -0.911 0.169  -0.911 0.035  -0.911 -0.100  -0.911 -0.234  -0.911 -0.369  -0.905 -0.499  -0.785 -0.559  -0.719 -0.628  -0.667 -0.741  -0.537 -0.753  -0.403 -0.753  -0.273 -0.777  -0.148 -0.827  -0.023 -0.877  0.110 -0.881  0.245 -0.881  0.379 -0.881  0.514 -0.881  0.648 -0.881  0.782 -0.881  0.917 -0.881  1.051 -0.881  1.186 -0.881  1.256 -0.817  1.332 -0.759  1.461 -0.753
1c#tos#t2#t2004060/h  -0.332 1.782  -0.378 1.885  -0.417 1.900  -0.383 1.759  -0.354 1.613  -0.332 1.467  -0.332 1.318  -0.332 1.168  -0.332 1.019  -0.332 0.870  -0.332 0.720  -0.332 0.571  -0.332 0.422  -0.332 0.273  -0.332 0.123  -0.332 -0.026  -0.332 -0.175  -0.345 -0.322  -0.383 -0.465  -0.383 -0.615  -0.383 -0.764  -0.374 -0.910  -0.332 -1.041  -0.383 -1.139  -0.383 -1.029  -0.383 -0.879  -0.383 -0.730  -0.333 -0.593  -0.332 -0.444  -0.231 -0.336  -0.125 -0.261  -0.078 -0.131  -0.022 -0.005  0.068 0.099  0.187 0.186  0.316 0.234  0.404 0.163  0.486 0.039  0.545 -0.056  0.545 -0.206  0.545 -0.355  0.562 -0.488  0.625 -0.595  0.648 -0.739  0.700 -0.837  0.786 -0.900  0.906 -0.929  1.033 -0.952  1.128 -0.893  1.216 -0.797
1c#tos#t2#t2004060/i  0.117 -0.024  0.005 -0.024  -0.022 -0.108  -0.022 -0.220  -0.022 -0.331  -0.022 -0.443  -0.022 -0.554  -0.022 -0.666  -0.022 -0.777  -0.022 -0.889  -0.022 -1.000  -0.022 -1.112  -0.022 -1.223  -0.022 -1.335  -0.022 -1.446  -0.021 -1.532  -0.019 -1.421  -0.016 -1.309  -0.013 -1.198  -0.011 -1.086  -0.008 -0.975  -0.006 -0.863  -0.003 -0.752  -0.000 -0.640  0.002 -0.529  0.005 -0.417  0.008 -0.306  0.010 -0.194  0.013 -0.083  0.016 0.029  0.018 0.140  0.021 0.252  0.024 0.363  0.026 0.474  0.029 0.586  0.032 0.697  0.034 0.809  0.037 0.920  0.040 1.032  0.042 1.143  0.045 1.255  0.047 1.366  0.047 1.478  0.025 1.567  -0.087 1.567  -0.091 1.674  -0.022 1.694  -0.022 1.582  -0.022 1.471  -0.022 1.359
1c#tos#t2#t2004060/k  -0.425 2.275  -0.425 2.064  -0.425 1.854  -0.425 1.643  -0.425 1.433  -0.425 1.222  -0.425 1.011  -0.425 0.801  -0.425 0.590  -0.425 0.379  -0.425 0.169  -0.483 -0.018  -0.483 -0.229  -0.483 -0.439  -0.483 -0.650  -0.483 -0.860  -0.483 -1.071  -0.483 -1.282  -0.426 -1.301  -0.309 -1.126  -0.192 -0.951  -0.075 -0.776  0.042 -0.600  0.159 -0.425  0.275 -0.250  0.392 -0.075  0.509 0.101  0.626 0.276  0.743 0.451  0.860 0.627  0.912 0.705  0.776 0.579  0.633 0.439  0.467 0.318  0.289 0.240  0.101 0.165  -0.057 0.027  -0.230 -0.048  -0.370 -0.197  -0.483 -0.315  -0.425 -0.352  -0.288 -0.441  -0.124 -0.516  0.073 -0.574  0.246 -0.664  0.422 -0.749  0.609 -0.807  0.806 -0.865  1.016 -0.865  1.086 -0.923
1c#tos#t2#t2004060/l  -0.029 1.701  -0.074 1.659  -0.159 1.657  -0.157 1.657  -0.164 1.577  -0.129 1.498  -0.119 1.413  -0.119 1.326  -0.100 1.241  -0.074 1.158  -0.074 1.071  -0.074 0.984  -0.074 0.897  -0.074 0.809  -0.074 0.722  -0.074 0.635  -0.074 0.548  -0.074 0.460  -0.074 0.373  -0.063 0.289  -0.029 0.209  -0.029 0.122  -0.029 0.035  -0.029 -0.052  -0.029 -0.140  -0.029 -0.227  -0.029 -0.314  -0.029 -0.401  -0.003 -0.478  0.015 -0.557  0.025 -0.641  0.060 -0.713  0.060 -0.800  0.060 -0.888  0.076 -0.901  -0.012 -0.901  -0.074 -0.925  -0.097 -0.945  -0.088 -1.004  -0.119 -1.078  -0.119 -1.166  -0.036 -1.170  0.051 -1.170  0.139 -1.170  0.226 -1.170  0.285 -1.141  0.337 -1.080  0.419 -1.075  0.422 -0.990  0.464 -0.945
1c#tos#t2#t2004060/m  -0.876 1.084  -1.054 1.138  -1.061 0.956  -1.061 0.755  -1.061 0.555  -1.061 0.355  -1.061 0.155  -1.052 -0.043  -0.999 -0.231  -0.999 -0.431  -0.999 -0.631  -0.938 -0.638  -0.876 -0.452  -0.818 -0.276  -0.764 -0.098  -0.630 0.010  -0.579 0.159  -0.521 0.329  -0.445 0.462  -0.321 0.539  -0.199 0.652  -0.136 0.515  -0.136 0.314  -0.075 0.140  -0.075 -0.060  -0.075 -0.261  -0.075 -0.461  -0.056 -0.642  -0.013 -0.732  0.049 -0.593  0.094 -0.412  0.172 -0.244  0.313 -0.149  0.357 0.008  0.357 0.208  0.475 0.333  0.636 0.448  0.727 0.572  0.850 0.533  0.902 0.354  0.973 0.184  0.973 -0.017  1.097 -0.093  1.097 -0.294  1.166 -0.465  1.282 -0.581  1.405 -0.658  1.498 -0.765  1.698 -0.765  1.898 -0.765
1c#tos#t2#t2004060/q  0.500 0.814  0.399 0.687  0.349 0.605  0.199 0.712  0.111 0.814  -0.070 0.847  -0.256 0.864  -0.383 0.965  -0.568 0.956  -0.713 0.838  -0.874 0.738  -1.012 0.611  -1.012 0.422  -1.012 0.232  -1.012 0.043  -1.011 -0.146  -0.865 -0.260  -0.732 -0.346  -0.593 -0.396  -0.404 -0.396  -0.215 -0.396  -0.037 -0.346  0.136 -0.307  0.280 -0.231  0.349 -0.066  0.372 0.121  0.409 0.306  0.446 0.492  0.483 0.677  0.520 0.863  0.517 1.016  0.328 1.016  0.298 0.956  0.298 0.767  0.298 0.578  0.298 0.388  0.298 0.199  0.298 0.010  0.298 -0.180  0.298 -0.369  0.298 -0.558  0.298 -0.747  0.298 -0.937  0.298 -1.126  0.298 -1.315  0.298 -1.505  0.298 -1.694  0.298 -1.883  0.298 -2.072  0.298 -2.262
1c#tos#t2#t2004060/r  -0.335 1.029  -0.484 1.029  -0.623 1.039  -0.607 1.172  -0.532 1.091  -0.407 1.019  -0.407 0.870  -0.407 0.722  -0.377 0.578  -0.330 0.437  -0.282 0.295  -0.264 0.150  -0.264 0.001  -0.264 -0.148  -0.264 -0.297  -0.264 -0.446  -0.264 -0.594  -0.264 -0.743  -0.264 -0.892  -0.264 -1.041  -0.264 -1.190  -0.264 -1.339  -0.339 -1.412  -0.479 -1.403  -0.551 -1.326  -0.551 -1.177  -0.551 -1.028  -0.551 -0.879  -0.503 -0.742  -0.456 -0.601  -0.420 -0.457  -0.353 -0.326  -0.271 -0.202  -0.168 -0.095  -0.084 0.025  0.022 0.096  0.129 0.163  0.231 0.239  0.356 0.317  0.485 0.383  0.628 0.417  0.741 0.484  0.776 0.598  0.925 0.598  1.074 0.598  1.223 0.598  1.371 0.598  1.520 0.598  1.669 0.598  1.818 0.598
1c#tos#t2#t2004060/s  1.034 1.115  1.034 0.958  0.930 0.865  0.902 0.976  0.884 1.115  0.739 1.145  0.597 1.181  0.440 1.181  0.283 1.181  0.126 1.181  0.042 1.107  -0.056 1.049  -0.213 1.049  -0.288 0.928  -0.288 0.771  -0.288 0.614  -0.288 0.457  -0.204 0.376  -0.073 0.289  0.074 0.256  0.165 0.190  0.307 0.124  0.332 -0.009  0.439 -0.058  0.505 -0.149  0.538 -0.273  0.612 -0.380  0.637 -0.527  0.556 -0.603  0.465 -0.670  0.308 -0.670  0.174 -0.693  0.060 -0.736  -0.097 -0.736  -0.254 -0.736  -0.354 -0.679  -0.420 -0.537  -0.486 -0.408  -0.486 -0.251  -0.600 -0.207  -0.680 -0.330  -0.751 -0.459  -0.817 -0.589  -0.817 -0.746  -0.817 -0.903  -0.817 -1.060  -0.817 -1.217  -0.817 -1.374  -0.768 -1.511  -0.685 -1.595
