3#apb#apb38#app3876/S  -1.338 -0.810  -1.250 -0.779  -1.064 -0.704  -0.896 -0.586  -0.733 -0.460  -0.574 -0.331  -0.415 -0.201  -0.256 -0.071  -0.100 0.063  0.056 0.196  0.212 0.330  0.353 0.479  0.492 0.631  0.630 0.783  0.749 0.950  0.866 1.118  0.948 1.305  0.993 1.502  0.940 1.694  0.830 1.568  0.762 1.374  0.697 1.179  0.632 0.985  0.568 0.790  0.505 0.594  0.448 0.397  0.391 0.199  0.340 0.000  0.293 -0.200  0.248 -0.400  0.210 -0.602  0.171 -0.804  0.092 -0.985  -0.088 -1.029  -0.273 -0.944  -0.440 -0.825  -0.605 -0.702  -0.768 -0.578  -0.922 -0.443  -1.057 -0.288  -1.003 -0.334  -0.856 -0.473  -0.675 -0.554  -0.470 -0.575  -0.268 -0.545  -0.066 -0.508  0.133 -0.455  0.331 -0.400  0.519 -0.318  0.706 -0.233
3#apb#apb38#app3876/a  0.505 0.641  0.422 0.787  0.286 0.889  0.121 0.916  -0.048 0.888  -0.200 0.814  -0.348 0.727  -0.491 0.634  -0.622 0.523  -0.753 0.412  -0.883 0.301  -0.986 0.164  -1.085 0.024  -1.184 -0.115  -1.276 -0.259  -1.325 -0.423  -1.374 -0.587  -1.363 -0.746  -1.282 -0.892  -1.111 -0.892  -0.941 -0.882  -0.787 -0.809  -0.632 -0.735  -0.481 -0.656  -0.347 -0.548  -0.214 -0.440  -0.081 -0.332  0.039 -0.210  0.154 -0.083  0.269 0.045  0.377 0.177  0.471 0.321  0.564 0.465  0.627 0.622  0.597 0.728  0.518 0.579  0.441 0.426  0.399 0.260  0.357 0.093  0.374 -0.076  0.421 -0.233  0.555 -0.341  0.709 -0.388  0.881 -0.388  1.049 -0.374  1.210 -0.314  1.371 -0.255  1.534 -0.202  1.698 -0.153  1.863 -0.104
3#apb#apb38#app3876/n  -1.860 -0.508  -1.832 -0.448  -1.688 -0.367  -1.549 -0.276  -1.412 -0.181  -1.276 -0.086  -1.139 0.007  -1.001 0.100  -0.864 0.193  -0.724 0.284  -0.580 0.366  -0.435 0.448  -0.291 0.529  -0.133 0.576  0.029 0.615  0.180 0.574  0.200 0.443  0.152 0.283  0.077 0.137  -0.017 0.001  -0.112 -0.135  -0.216 -0.265  -0.323 -0.392  -0.434 -0.515  -0.552 -0.632  -0.662 -0.693  -0.551 -0.570  -0.435 -0.450  -0.318 -0.333  -0.199 -0.217  -0.077 -0.105  0.046 0.007  0.172 0.116  0.312 0.205  0.451 0.295  0.593 0.382  0.738 0.462  0.884 0.542  1.044 0.586  1.156 0.544  1.171 0.384  1.132 0.222  1.087 0.063  1.022 -0.090  1.029 -0.250  1.123 -0.380  1.277 -0.409  1.441 -0.398  1.602 -0.354  1.762 -0.311
3#apb#apb38#app3876/d  -0.116 -0.290  -0.126 -0.130  -0.301 -0.097  -0.475 -0.116  -0.640 -0.176  -0.785 -0.281  -0.916 -0.400  -1.034 -0.533  -1.111 -0.691  -1.170 -0.859  -1.157 -1.036  -1.022 -1.128  -0.844 -1.118  -0.682 -1.050  -0.522 -0.970  -0.387 -0.856  -0.255 -0.736  -0.132 -0.608  -0.019 -0.470  0.094 -0.332  0.197 -0.187  0.292 -0.036  0.387 0.114  0.475 0.269  0.560 0.425  0.646 0.582  0.715 0.746  0.779 0.912  0.842 1.079  0.869 1.254  0.889 1.431  0.852 1.600  0.711 1.569  0.603 1.430  0.500 1.285  0.411 1.131  0.335 0.970  0.259 0.809  0.188 0.646  0.139 0.474  0.090 0.303  0.041 0.132  -0.002 -0.040  -0.002 -0.218  -0.002 -0.397  0.011 -0.573  0.068 -0.742  0.124 -0.911  0.241 -1.036  0.383 -1.145
3#apb#apb38#app3876/y  -0.383 0.724  -0.527 0.653  -0.499 0.645  -0.357 0.721  -0.221 0.806  -0.086 0.894  0.037 0.996  0.169 1.087  0.233 1.045  0.151 0.907  0.092 0.758  0.110 0.607  0.262 0.598  0.402 0.677  0.529 0.776  0.645 0.886  0.756 1.002  0.864 1.121  0.892 1.039  0.858 0.882  0.818 0.726  0.778 0.571  0.718 0.422  0.655 0.274  0.592 0.126  0.525 -0.020  0.455 -0.165  0.385 -0.310  0.311 -0.452  0.229 -0.590  0.147 -0.728  0.064 -0.866  -0.040 -0.987  -0.156 -1.099  -0.271 -1.211  -0.407 -1.294  -0.549 -1.370  -0.703 -1.408  -0.856 -1.415  -0.957 -1.290  -0.971 -1.134  -0.940 -0.981  -0.863 -0.840  -0.782 -0.702  -0.666 -0.590  -0.551 -0.478  -0.435 -0.368  -0.293 -0.291  -0.152 -0.214  -0.011 -0.137
3#apb#apb38#app3876/T  -0.322 0.308  -0.385 0.236  -0.494 0.092  -0.621 -0.035  -0.764 -0.146  -0.925 -0.216  -1.094 -0.183  -1.119 -0.017  -1.042 0.145  -0.928 0.284  -0.785 0.394  -0.630 0.487  -0.462 0.549  -0.285 0.579  -0.105 0.558  0.073 0.531  0.252 0.501  0.432 0.491  0.612 0.501  0.789 0.535  0.960 0.589  1.107 0.692  1.230 0.824  1.339 0.968  1.317 1.090  1.190 0.961  1.064 0.831  0.938 0.702  0.813 0.572  0.687 0.442  0.561 0.312  0.485 0.338  0.455 0.160  0.399 -0.012  0.357 -0.188  0.307 -0.361  0.252 -0.534  0.180 -0.699  0.094 -0.858  -0.015 -1.001  -0.136 -1.135  -0.286 -1.234  -0.451 -1.298  -0.631 -1.314  -0.799 -1.269  -0.874 -1.111  -0.861 -0.935  -0.784 -0.776  -0.637 -0.680  -0.459 -0.669
3#apb#apb38#app3876/i  -1.375 -0.897  -1.304 -0.970  -1.156 -0.949  -1.029 -0.872  -0.914 -0.773  -0.796 -0.676  -0.681 -0.578  -0.586 -0.459  -0.491 -0.340  -0.391 -0.226  -0.291 -0.111  -0.210 0.017  -0.150 0.155  -0.205 0.205  -0.310 0.095  -0.407 -0.022  -0.490 -0.147  -0.545 -0.289  -0.594 -0.432  -0.594 -0.584  -0.548 -0.719  -0.425 -0.798  -0.282 -0.811  -0.142 -0.750  -0.012 -0.673  0.116 -0.590  0.248 -0.515  0.372 -0.429  0.480 -0.322  0.602 -0.235  0.742 -0.225  0.794 -0.360  0.878 -0.295  0.979 -0.255  0.927 -0.112  0.874 0.030  0.822 0.173  0.769 0.316  0.717 0.459  0.664 0.601  0.612 0.744  0.559 0.887  0.507 1.030  0.454 1.172  0.402 1.315  0.350 1.458  0.297 1.601  0.245 1.743  0.208 1.763  0.309 1.649
3#apb#apb38#app3876/n  -1.818 -0.877  -1.818 -0.714  -1.729 -0.586  -1.601 -0.486  -1.461 -0.401  -1.322 -0.316  -1.186 -0.226  -1.050 -0.137  -0.913 -0.047  -0.776 0.042  -0.639 0.130  -0.502 0.219  -0.365 0.307  -0.222 0.385  -0.073 0.450  0.076 0.516  0.233 0.533  0.295 0.425  0.208 0.288  0.119 0.151  0.024 0.019  -0.078 -0.109  -0.179 -0.236  -0.288 -0.358  -0.399 -0.477  -0.505 -0.601  -0.494 -0.550  -0.395 -0.421  -0.296 -0.291  -0.181 -0.175  -0.066 -0.060  0.049 0.055  0.174 0.161  0.299 0.265  0.424 0.370  0.558 0.462  0.702 0.539  0.845 0.617  0.998 0.672  1.156 0.711  1.300 0.657  1.300 0.494  1.245 0.342  1.183 0.191  1.134 0.036  1.092 -0.121  1.092 -0.284  1.159 -0.428  1.271 -0.537  1.421 -0.600
3#apb#apb38#app3876/a  0.439 0.713  0.514 0.865  0.441 0.930  0.274 0.918  0.107 0.878  -0.057 0.829  -0.209 0.750  -0.362 0.670  -0.513 0.590  -0.655 0.493  -0.797 0.397  -0.939 0.300  -1.051 0.173  -1.150 0.033  -1.249 -0.108  -1.348 -0.248  -1.425 -0.402  -1.461 -0.555  -1.379 -0.706  -1.221 -0.720  -1.049 -0.711  -0.892 -0.652  -0.739 -0.572  -0.587 -0.493  -0.441 -0.404  -0.299 -0.307  -0.156 -0.211  -0.016 -0.112  0.117 -0.004  0.251 0.104  0.379 0.217  0.479 0.357  0.584 0.492  0.534 0.414  0.436 0.272  0.340 0.130  0.276 -0.029  0.213 -0.189  0.229 -0.348  0.331 -0.473  0.485 -0.549  0.647 -0.546  0.814 -0.505  0.980 -0.463  1.138 -0.394  1.294 -0.323  1.450 -0.251  1.600 -0.167  1.749 -0.083  1.899 0.002
3#apb#apb38#app3876/V  -0.602 0.642  -0.577 0.786  -0.459 0.875  -0.340 0.962  -0.225 1.054  -0.105 1.139  0.028 1.196  0.124 1.119  0.115 0.975  0.085 0.831  0.044 0.689  0.000 0.548  -0.050 0.410  -0.100 0.271  -0.161 0.137  -0.224 0.003  -0.285 -0.131  -0.340 -0.268  -0.396 -0.404  -0.451 -0.541  -0.507 -0.678  -0.562 -0.815  -0.622 -0.949  -0.683 -1.084  -0.726 -1.224  -0.753 -1.369  -0.704 -1.486  -0.570 -1.436  -0.470 -1.329  -0.375 -1.216  -0.287 -1.098  -0.199 -0.979  -0.117 -0.856  -0.035 -0.734  0.047 -0.611  0.129 -0.489  0.212 -0.366  0.294 -0.244  0.373 -0.120  0.453 0.005  0.532 0.129  0.610 0.254  0.688 0.380  0.766 0.505  0.844 0.630  0.931 0.749  1.018 0.868  1.109 0.984  1.203 1.097  1.321 1.186
3#apb#apb38#app3876/i  -1.484 -1.074  -1.356 -1.125  -1.209 -1.076  -1.084 -0.993  -0.978 -0.879  -0.873 -0.766  -0.763 -0.656  -0.654 -0.547  -0.544 -0.437  -0.438 -0.324  -0.334 -0.209  -0.230 -0.094  -0.126 0.021  -0.026 0.139  0.075 0.257  0.135 0.395  0.127 0.541  0.007 0.499  -0.102 0.389  -0.205 0.274  -0.281 0.139  -0.357 0.004  -0.418 -0.138  -0.475 -0.282  -0.461 -0.429  -0.396 -0.567  -0.293 -0.683  -0.155 -0.743  -0.005 -0.762  0.149 -0.741  0.303 -0.725  0.457 -0.714  0.585 -0.644  0.695 -0.534  0.698 -0.382  0.694 -0.227  0.691 -0.072  0.687 0.083  0.683 0.238  0.679 0.393  0.675 0.548  0.672 0.703  0.668 0.858  0.664 1.013  0.660 1.168  0.656 1.323  0.653 1.477  0.649 1.632  0.645 1.787  0.641 1.942
