1c#apa#apa00#app0091/b  -0.260 1.578  -0.260 1.729  -0.232 1.852  -0.168 1.939  -0.207 1.813  -0.260 1.684  -0.260 1.533  -0.260 1.382  -0.260 1.231  -0.260 1.080  -0.260 0.929  -0.260 0.778  -0.260 0.627  -0.260 0.476  -0.260 0.326  -0.260 0.175  -0.260 0.024  -0.223 -0.123  -0.186 -0.269  -0.168 -0.418  -0.168 -0.569  -0.168 -0.720  -0.168 -0.871  -0.168 -1.022  -0.168 -1.156  -0.168 -1.005  -0.168 -0.854  -0.168 -0.703  -0.168 -0.552  -0.168 -0.401  -0.104 -0.277  -0.026 -0.149  0.057 -0.025  0.163 0.082  0.300 0.116  0.451 0.116  0.563 0.023  0.631 -0.112  0.654 -0.257  0.654 -0.408  0.654 -0.559  0.654 -0.710  0.610 -0.843  0.503 -0.949  0.370 -0.991  0.289 -1.109  0.193 -1.164  0.042 -1.164  -0.077 -1.132  -0.077 -0.981
1c#apa#apa00#app0091/e  -0.688 -0.603  -0.534 -0.602  -0.533 -0.448  -0.424 -0.339  -0.287 -0.297  -0.160 -0.229  -0.041 -0.143  0.079 -0.109  0.111 0.026  0.249 0.095  0.387 0.164  0.496 0.274  0.633 0.317  0.692 0.412  0.692 0.566  0.789 0.624  0.846 0.722  0.776 0.847  0.692 0.967  0.666 1.110  0.556 1.220  0.409 1.237  0.254 1.237  0.100 1.237  -0.054 1.237  -0.209 1.237  -0.228 1.101  -0.325 0.987  -0.381 0.856  -0.435 0.723  -0.534 0.610  -0.534 0.456  -0.534 0.301  -0.534 0.147  -0.534 -0.008  -0.534 -0.162  -0.528 -0.316  -0.479 -0.462  -0.430 -0.609  -0.382 -0.755  -0.273 -0.865  -0.164 -0.974  -0.074 -1.092  -0.061 -1.243  0.008 -1.381  0.077 -1.519  0.229 -1.524  0.232 -1.675  0.385 -1.677  0.539 -1.677
1c#apa#apa00#app0091/w  -1.269 1.034  -1.145 0.983  -1.145 0.808  -1.145 0.632  -1.145 0.457  -1.141 0.284  -1.020 0.158  -1.020 -0.017  -0.945 -0.161  -0.896 -0.315  -0.873 -0.481  -0.772 -0.614  -0.713 -0.765  -0.648 -0.913  -0.639 -0.831  -0.523 -0.772  -0.523 -0.597  -0.409 -0.469  -0.399 -0.298  -0.399 -0.123  -0.302 0.012  -0.266 0.172  -0.150 0.300  -0.150 0.475  -0.070 0.617  0.087 0.661  0.098 0.497  0.098 0.322  0.110 0.151  0.223 0.023  0.223 -0.152  0.223 -0.327  0.267 -0.458  0.347 -0.553  0.450 -0.686  0.574 -0.810  0.720 -0.811  0.791 -0.707  0.844 -0.585  0.967 -0.460  1.002 -0.300  1.093 -0.162  1.093 0.013  1.104 0.185  1.182 0.342  1.217 0.509  1.217 0.684  1.217 0.859  1.218 1.034  1.342 1.158
1c#apa#apa00#app0091/i  -0.371 0.572  -0.371 0.440  -0.244 0.435  -0.234 0.313  -0.234 0.181  -0.234 0.050  -0.234 -0.082  -0.234 -0.214  -0.234 -0.346  -0.234 -0.478  -0.295 -0.584  -0.371 -0.684  -0.371 -0.816  -0.371 -0.948  -0.371 -1.080  -0.371 -1.212  -0.371 -1.344  -0.241 -1.345  -0.146 -1.257  -0.053 -1.164  0.041 -1.071  0.173 -1.071  0.177 -0.943  0.299 -0.934  0.314 -0.817  0.426 -0.798  0.451 -0.690  0.553 -0.661  0.558 -0.568  0.518 -0.442  0.479 -0.316  0.439 -0.191  0.399 -0.065  0.360 0.061  0.320 0.186  0.280 0.312  0.241 0.438  0.201 0.563  0.161 0.689  0.122 0.815  0.082 0.940  0.042 1.066  0.002 1.192  -0.037 1.318  -0.077 1.443  -0.117 1.569  -0.156 1.695  -0.196 1.820  -0.234 1.946  -0.234 2.078
1c#apa#apa00#app0091/l  -0.090 1.737  -0.090 1.656  -0.090 1.575  -0.090 1.495  -0.129 1.452  -0.186 1.428  -0.186 1.347  -0.186 1.266  -0.186 1.185  -0.186 1.105  -0.186 1.024  -0.162 0.953  -0.105 0.896  -0.090 0.821  -0.090 0.740  -0.090 0.659  -0.090 0.578  -0.090 0.497  -0.090 0.416  -0.090 0.335  -0.090 0.255  -0.090 0.174  -0.090 0.093  -0.090 0.012  -0.090 -0.069  -0.090 -0.150  -0.090 -0.231  -0.090 -0.311  -0.090 -0.392  -0.090 -0.473  -0.090 -0.554  -0.090 -0.635  -0.090 -0.716  -0.090 -0.797  -0.090 -0.877  -0.090 -0.958  -0.090 -1.039  -0.088 -1.119  -0.031 -1.176  0.036 -1.211  0.117 -1.211  0.197 -1.211  0.278 -1.211  0.339 -1.162  0.401 -1.116  0.480 -1.115  0.480 -1.034  0.548 -1.021  0.613 -0.983  0.670 -0.926
1c#apa#apa00#app0091/d  0.195 -0.108  0.300 0.006  0.213 0.189  0.046 0.312  -0.121 0.260  -0.287 0.207  -0.380 0.053  -0.535 -0.102  -0.615 -0.287  -0.696 -0.473  -0.776 -0.658  -0.856 -0.844  -0.856 -1.063  -0.769 -1.245  -0.558 -1.263  -0.436 -1.167  -0.256 -1.084  -0.121 -0.921  -0.021 -0.744  0.032 -0.538  0.090 -0.333  0.181 -0.136  0.195 0.080  0.195 0.298  0.226 0.512  0.295 0.719  0.300 0.938  0.351 1.150  0.404 1.362  0.405 1.581  0.405 1.800  0.300 1.863  0.201 1.685  0.195 1.469  0.090 1.294  0.090 1.075  0.004 0.877  -0.016 0.662  -0.016 0.444  -0.016 0.225  -0.016 0.006  -0.016 -0.213  -0.016 -0.431  -0.016 -0.650  0.077 -0.831  0.157 -1.016  0.312 -1.171  0.492 -1.263  0.711 -1.263  0.930 -1.263
1c#apa#apa00#app0091/e  -0.319 -0.298  -0.319 -0.158  -0.220 -0.117  -0.097 -0.076  0.002 0.023  0.125 0.064  0.224 0.105  0.224 0.245  0.364 0.245  0.476 0.315  0.575 0.414  0.674 0.513  0.768 0.615  0.768 0.755  0.768 0.895  0.768 1.035  0.744 1.151  0.604 1.151  0.464 1.151  0.323 1.151  0.183 1.151  0.043 1.151  0.043 1.011  -0.056 0.970  -0.179 0.929  -0.278 0.830  -0.319 0.707  -0.360 0.608  -0.501 0.608  -0.501 0.467  -0.501 0.327  -0.501 0.187  -0.501 0.047  -0.501 -0.093  -0.501 -0.233  -0.501 -0.373  -0.501 -0.514  -0.501 -0.654  -0.501 -0.794  -0.435 -0.907  -0.336 -1.006  -0.237 -1.105  -0.138 -1.204  -0.138 -1.345  -0.068 -1.456  0.031 -1.555  0.043 -1.690  0.125 -1.748  0.265 -1.748  0.405 -1.748
1c#apa#apa00#app0091/r  -0.414 1.233  -0.414 1.088  -0.414 0.943  -0.414 0.797  -0.414 0.652  -0.414 0.507  -0.414 0.362  -0.414 0.217  -0.414 0.071  -0.414 -0.074  -0.414 -0.219  -0.414 -0.364  -0.414 -0.510  -0.414 -0.655  -0.414 -0.800  -0.414 -0.945  -0.414 -1.090  -0.414 -1.236  -0.414 -1.381  -0.338 -1.495  -0.237 -1.594  -0.237 -1.449  -0.237 -1.304  -0.237 -1.158  -0.237 -1.013  -0.237 -0.868  -0.237 -0.723  -0.142 -0.617  -0.060 -0.506  -0.060 -0.360  -0.060 -0.215  -0.060 -0.070  -0.060 0.075  -0.060 0.221  -0.043 0.349  0.102 0.349  0.117 0.479  0.216 0.526  0.294 0.593  0.329 0.703  0.470 0.707  0.470 0.852  0.588 0.879  0.733 0.879  0.863 0.918  0.965 1.021  1.096 1.056  1.241 1.056  1.386 1.056  1.531 1.056
1c#apa#apa00#app0091/e  -0.672 -0.173  -0.526 -0.173  -0.379 -0.173  -0.249 -0.136  -0.145 -0.032  -0.020 0.020  0.118 0.038  0.222 0.142  0.338 0.213  0.485 0.213  0.631 0.213  0.679 0.311  0.716 0.442  0.819 0.546  0.872 0.670  0.872 0.817  0.872 0.963  0.872 1.109  0.795 1.178  0.648 1.178  0.502 1.178  0.356 1.178  0.293 1.094  0.256 0.985  0.110 0.985  0.003 0.888  -0.100 0.785  -0.203 0.682  -0.307 0.578  -0.410 0.475  -0.479 0.357  -0.481 0.211  -0.584 0.108  -0.672 -0.002  -0.672 -0.148  -0.672 -0.295  -0.672 -0.441  -0.672 -0.587  -0.672 -0.734  -0.582 -0.843  -0.478 -0.946  -0.375 -1.049  -0.286 -1.159  -0.286 -1.305  -0.166 -1.331  -0.093 -1.405  -0.074 -1.543  0.030 -1.647  0.147 -1.717  0.293 -1.717
1c#apa#apa00#app0091/d  0.082 -0.079  0.082 0.118  -0.111 0.121  -0.308 0.121  -0.480 0.060  -0.560 -0.079  -0.717 -0.177  -0.856 -0.316  -0.995 -0.455  -1.019 -0.643  -1.019 -0.839  -1.019 -1.036  -0.907 -1.180  -0.710 -1.180  -0.513 -1.180  -0.346 -1.108  -0.207 -0.969  -0.118 -0.809  -0.070 -0.632  -0.018 -0.456  0.011 -0.263  0.059 -0.072  0.082 0.122  0.082 0.319  0.144 0.506  0.183 0.696  0.214 0.886  0.283 1.067  0.382 1.222  0.383 1.419  0.383 1.616  0.472 1.723  0.383 1.637  0.383 1.440  0.326 1.267  0.283 1.088  0.269 0.894  0.183 0.718  0.183 0.521  0.183 0.324  0.183 0.127  0.183 -0.070  0.242 -0.257  0.283 -0.448  0.400 -0.596  0.483 -0.759  0.607 -0.904  0.746 -1.043  0.828 -1.180  0.983 -1.280
1c#apa#apa00#app0091/c  0.088 1.231  0.185 1.135  0.237 1.021  0.203 0.899  0.106 0.802  0.088 0.673  0.158 0.566  0.254 0.469  0.350 0.373  0.447 0.277  0.546 0.188  0.683 0.188  0.819 0.188  0.833 0.310  0.756 0.414  0.684 0.521  0.669 0.651  0.573 0.747  0.452 0.784  0.336 0.835  0.240 0.931  0.104 0.933  0.003 0.848  -0.106 0.784  -0.210 0.751  -0.230 0.635  -0.359 0.628  -0.359 0.492  -0.431 0.377  -0.507 0.264  -0.583 0.150  -0.657 0.037  -0.657 -0.100  -0.657 -0.236  -0.657 -0.372  -0.657 -0.509  -0.657 -0.645  -0.657 -0.781  -0.613 -0.899  -0.516 -0.996  -0.508 -1.128  -0.429 -1.232  -0.333 -1.328  -0.236 -1.425  -0.121 -1.495  0.001 -1.556  0.126 -1.600  0.263 -1.600  0.399 -1.600  0.535 -1.600
