1c#apb#apb14#app1431/u  -1.153 0.882  -1.091 0.799  -1.056 0.704  -1.031 0.604  -1.006 0.503  -0.981 0.403  -0.963 0.302  -0.950 0.200  -0.938 0.097  -0.925 -0.005  -0.894 -0.101  -0.843 -0.191  -0.792 -0.280  -0.740 -0.370  -0.686 -0.458  -0.627 -0.542  -0.568 -0.627  -0.500 -0.702  -0.412 -0.755  -0.323 -0.808  -0.232 -0.856  -0.136 -0.894  -0.041 -0.933  0.060 -0.947  0.163 -0.947  0.258 -0.917  0.348 -0.866  0.412 -0.792  0.455 -0.698  0.498 -0.605  0.542 -0.511  0.568 -0.411  0.593 -0.311  0.618 -0.211  0.643 -0.111  0.668 -0.011  0.693 0.089  0.718 0.189  0.743 0.289  0.768 0.389  0.786 0.491  0.797 0.593  0.807 0.696  0.818 0.798  0.829 0.901  0.832 1.004  0.832 1.107  0.832 1.210  0.826 1.312  0.780 1.300
1c#apb#apb14#app1431/s  0.367 1.303  0.247 1.318  0.129 1.314  0.018 1.263  -0.093 1.212  -0.200 1.156  -0.295 1.080  -0.390 1.004  -0.485 0.928  -0.580 0.851  -0.669 0.769  -0.759 0.686  -0.849 0.604  -0.928 0.512  -1.001 0.415  -1.081 0.323  -1.024 0.228  -0.918 0.168  -0.806 0.132  -0.684 0.132  -0.563 0.132  -0.441 0.132  -0.321 0.111  -0.201 0.090  -0.081 0.069  0.039 0.047  0.158 0.025  0.278 0.002  0.398 -0.020  0.511 -0.064  0.622 -0.113  0.734 -0.162  0.843 -0.215  0.921 -0.308  0.984 -0.410  1.026 -0.524  1.004 -0.631  0.936 -0.732  0.860 -0.826  0.764 -0.901  0.668 -0.976  0.561 -1.033  0.452 -1.088  0.343 -1.142  0.222 -1.143  0.100 -1.143  -0.022 -1.143  -0.144 -1.143  -0.265 -1.143  -0.387 -1.143
1c#apb#apb14#app1431/t  -0.538 0.853  -0.549 0.769  -0.516 0.605  -0.490 0.439  -0.474 0.273  -0.457 0.106  -0.431 -0.059  -0.405 -0.225  -0.372 -0.389  -0.337 -0.553  -0.309 -0.718  -0.286 -0.884  -0.277 -1.050  -0.237 -1.084  -0.110 -0.975  0.016 -0.866  0.143 -0.756  0.270 -0.647  0.397 -0.537  0.524 -0.428  0.650 -0.318  0.777 -0.209  0.904 -0.100  1.031 0.010  1.157 0.119  1.284 0.229  1.411 0.338  1.538 0.447  1.542 0.504  1.375 0.486  1.209 0.462  1.044 0.439  0.878 0.415  0.714 0.382  0.550 0.346  0.387 0.311  0.223 0.275  0.058 0.245  -0.108 0.226  -0.274 0.208  -0.441 0.189  -0.607 0.171  -0.774 0.153  -0.940 0.135  -1.107 0.117  -1.274 0.109  -1.441 0.109  -1.609 0.109  -1.776 0.109  -1.944 0.109
1c#apb#apb14#app1431/r  -0.734 0.621  -0.658 0.534  -0.619 0.416  -0.590 0.296  -0.579 0.172  -0.568 0.048  -0.557 -0.076  -0.545 -0.200  -0.520 -0.321  -0.479 -0.439  -0.437 -0.556  -0.397 -0.674  -0.377 -0.797  -0.357 -0.919  -0.332 -1.041  -0.302 -1.162  -0.277 -1.284  -0.276 -1.362  -0.348 -1.261  -0.387 -1.143  -0.426 -1.024  -0.440 -0.901  -0.452 -0.777  -0.450 -0.653  -0.442 -0.528  -0.434 -0.404  -0.424 -0.280  -0.396 -0.159  -0.368 -0.038  -0.334 0.081  -0.270 0.188  -0.206 0.295  -0.132 0.394  -0.048 0.486  0.035 0.579  0.133 0.653  0.242 0.712  0.352 0.771  0.463 0.826  0.580 0.869  0.697 0.911  0.818 0.915  0.941 0.896  1.064 0.877  1.187 0.855  1.309 0.830  1.425 0.790  1.533 0.729  1.639 0.662  1.742 0.593
1c#apb#apb14#app1431/a  -0.190 0.785  -0.304 0.785  -0.403 0.733  -0.501 0.676  -0.599 0.618  -0.693 0.555  -0.773 0.474  -0.853 0.394  -0.934 0.314  -1.000 0.222  -1.065 0.128  -1.129 0.035  -1.150 -0.076  -1.168 -0.188  -1.151 -0.298  -1.097 -0.392  -0.996 -0.429  -0.884 -0.420  -0.783 -0.369  -0.705 -0.286  -0.630 -0.202  -0.561 -0.112  -0.494 -0.020  -0.428 0.073  -0.365 0.167  -0.302 0.262  -0.237 0.355  -0.171 0.447  -0.073 0.397  0.014 0.325  0.088 0.239  0.156 0.148  0.225 0.057  0.313 -0.013  0.403 -0.083  0.495 -0.149  0.588 -0.214  0.685 -0.273  0.785 -0.327  0.888 -0.375  0.997 -0.404  1.108 -0.429  1.221 -0.429  1.335 -0.429  1.448 -0.429  1.562 -0.429  1.673 -0.411  1.783 -0.381  1.887 -0.339  1.986 -0.282
1c#apb#apb14#app1431/l  -0.491 1.326  -0.472 1.395  -0.452 1.463  -0.387 1.439  -0.320 1.414  -0.281 1.363  -0.258 1.296  -0.234 1.229  -0.211 1.162  -0.187 1.095  -0.164 1.028  -0.147 0.960  -0.131 0.890  -0.116 0.821  -0.101 0.752  -0.085 0.683  -0.070 0.614  -0.055 0.545  -0.040 0.475  -0.027 0.406  -0.015 0.336  -0.002 0.266  0.010 0.196  0.023 0.127  0.035 0.057  0.048 -0.013  0.060 -0.083  0.070 -0.153  0.081 -0.223  0.092 -0.293  0.103 -0.363  0.113 -0.433  0.124 -0.503  0.135 -0.573  0.145 -0.643  0.155 -0.713  0.165 -0.783  0.175 -0.853  0.185 -0.923  0.195 -0.994  0.205 -1.064  0.215 -1.134  0.225 -1.204  0.234 -1.274  0.241 -1.345  0.247 -1.415  0.252 -1.486  0.252 -1.557  0.246 -1.627  0.213 -1.687
1c#apb#apb14#app1431/i  -0.361 0.342  -0.372 0.328  -0.347 0.208  -0.323 0.088  -0.323 -0.035  -0.323 -0.157  -0.323 -0.280  -0.323 -0.403  -0.323 -0.526  -0.323 -0.648  -0.329 -0.771  -0.337 -0.893  -0.345 -1.016  -0.354 -1.138  -0.365 -1.260  -0.377 -1.382  -0.387 -1.504  -0.428 -1.462  -0.386 -1.346  -0.345 -1.231  -0.303 -1.116  -0.261 -1.000  -0.220 -0.885  -0.178 -0.769  -0.136 -0.654  -0.094 -0.539  -0.053 -0.423  -0.011 -0.308  0.031 -0.193  0.072 -0.077  0.114 0.038  0.156 0.154  0.198 0.269  0.239 0.384  0.281 0.500  0.323 0.615  0.364 0.730  0.406 0.846  0.448 0.961  0.489 1.077  0.531 1.192  0.573 1.307  0.615 1.423  0.656 1.538  0.644 1.573  0.553 1.491  0.470 1.401  0.402 1.299  0.360 1.185  0.328 1.067
1c#apb#apb14#app1431/a  -0.091 0.598  -0.051 0.719  -0.101 0.831  -0.211 0.902  -0.334 0.943  -0.467 0.943  -0.594 0.914  -0.718 0.866  -0.824 0.792  -0.909 0.691  -0.995 0.590  -1.054 0.471  -1.110 0.351  -1.149 0.224  -1.182 0.096  -1.157 -0.032  -1.110 -0.155  -1.029 -0.259  -0.931 -0.345  -0.815 -0.410  -0.684 -0.417  -0.551 -0.417  -0.418 -0.417  -0.324 -0.325  -0.233 -0.228  -0.150 -0.125  -0.073 -0.017  -0.010 0.100  0.053 0.217  0.118 0.333  0.186 0.446  0.242 0.345  0.291 0.222  0.333 0.096  0.366 -0.032  0.387 -0.163  0.427 -0.289  0.478 -0.412  0.551 -0.521  0.644 -0.614  0.759 -0.680  0.883 -0.730  1.009 -0.762  1.142 -0.762  1.272 -0.737  1.397 -0.696  1.514 -0.633  1.632 -0.574  1.754 -0.520  1.838 -0.417
1c#apb#apb14#app1431/a  0.264 1.194  0.138 1.156  0.012 1.116  -0.097 1.041  -0.205 0.966  -0.314 0.891  -0.418 0.810  -0.522 0.728  -0.626 0.647  -0.731 0.566  -0.813 0.464  -0.889 0.357  -0.965 0.249  -1.041 0.141  -1.088 0.018  -1.130 -0.107  -1.171 -0.233  -1.164 -0.363  -1.151 -0.495  -1.045 -0.574  -0.937 -0.649  -0.813 -0.695  -0.685 -0.718  -0.553 -0.718  -0.423 -0.713  -0.307 -0.650  -0.191 -0.587  -0.091 -0.502  0.002 -0.408  0.095 -0.314  0.168 -0.204  0.241 -0.094  0.314 0.016  0.385 0.127  0.454 0.240  0.523 0.352  0.620 0.441  0.705 0.408  0.774 0.296  0.828 0.176  0.883 0.056  0.938 -0.064  0.994 -0.184  1.048 -0.304  1.102 -0.425  1.170 -0.537  1.255 -0.637  1.366 -0.704  1.486 -0.758  1.605 -0.817
1c#apb#apb14#app1431/n  -1.118 0.279  -1.090 0.179  -1.063 0.078  -1.041 -0.023  -1.028 -0.127  -1.015 -0.230  -1.003 -0.333  -0.991 -0.437  -0.981 -0.541  -0.963 -0.643  -0.934 -0.743  -0.883 -0.833  -0.836 -0.750  -0.779 -0.663  -0.721 -0.576  -0.679 -0.482  -0.656 -0.381  -0.632 -0.279  -0.598 -0.182  -0.549 -0.090  -0.499 0.002  -0.450 0.093  -0.390 0.178  -0.329 0.263  -0.269 0.348  -0.209 0.433  -0.142 0.511  -0.056 0.571  0.029 0.631  0.123 0.669  0.226 0.688  0.328 0.706  0.427 0.676  0.526 0.643  0.623 0.607  0.696 0.533  0.770 0.459  0.844 0.386  0.913 0.308  0.979 0.228  1.045 0.147  1.111 0.066  1.176 -0.015  1.241 -0.097  1.307 -0.177  1.374 -0.258  1.441 -0.337  1.509 -0.416  1.579 -0.493  1.639 -0.576
1c#apb#apb14#app1431/a  0.545 1.167  0.410 1.194  0.275 1.221  0.153 1.164  0.033 1.096  -0.087 1.029  -0.204 0.958  -0.296 0.855  -0.387 0.751  -0.478 0.648  -0.569 0.545  -0.655 0.437  -0.733 0.324  -0.811 0.210  -0.889 0.097  -0.959 -0.021  -1.017 -0.146  -1.074 -0.271  -1.107 -0.401  -1.107 -0.539  -1.107 -0.677  -1.017 -0.758  -0.884 -0.746  -0.750 -0.716  -0.639 -0.637  -0.530 -0.552  -0.428 -0.460  -0.330 -0.363  -0.233 -0.266  -0.141 -0.164  -0.052 -0.058  0.037 0.047  0.128 0.150  0.231 0.241  0.335 0.332  0.448 0.386  0.563 0.310  0.646 0.204  0.713 0.084  0.777 -0.038  0.838 -0.161  0.900 -0.285  0.925 -0.418  0.939 -0.555  1.003 -0.671  1.092 -0.776  1.191 -0.872  1.299 -0.958  1.432 -0.969  1.570 -0.969
