1b#tos#t3#t3072063/C  1.011 0.466  0.957 0.561  0.957 0.677  0.957 0.794  0.910 0.892  0.848 0.983  0.756 1.008  0.686 1.054  0.577 1.062  0.460 1.062  0.344 1.062  0.227 1.062  0.110 1.062  0.037 1.019  -0.015 0.953  -0.109 0.899  -0.171 0.810  -0.234 0.749  -0.270 0.647  -0.352 0.565  -0.435 0.482  -0.451 0.372  -0.526 0.315  -0.559 0.206  -0.596 0.104  -0.640 0.006  -0.667 -0.100  -0.667 -0.216  -0.763 -0.237  -0.775 -0.342  -0.771 -0.454  -0.721 -0.521  -0.706 -0.631  -0.623 -0.714  -0.613 -0.826  -0.557 -0.887  -0.495 -0.945  -0.390 -0.995  -0.288 -1.010  -0.211 -1.049  -0.094 -1.049  0.023 -1.049  0.139 -1.049  0.256 -1.049  0.361 -1.037  0.436 -0.995  0.552 -0.995  0.615 -0.941  0.686 -0.895  0.794 -0.887
1b#tos#t3#t3072063/D  0.164 1.266  0.011 1.165  -0.040 0.991  -0.142 0.830  -0.211 0.619  -0.286 0.428  -0.396 0.272  -0.499 0.101  -0.507 -0.120  -0.601 -0.305  -0.644 -0.511  -0.703 -0.711  -0.805 -0.833  -0.805 -1.057  -0.760 -0.988  -0.694 -0.774  -0.627 -0.560  -0.561 -0.346  -0.494 -0.132  -0.427 0.082  -0.361 0.296  -0.294 0.510  -0.228 0.724  -0.161 0.938  -0.095 1.152  -0.253 1.113  -0.135 1.062  0.090 1.062  0.293 1.011  0.463 0.923  0.636 0.807  0.748 0.681  0.901 0.580  1.011 0.450  1.105 0.302  1.139 0.087  1.184 -0.119  1.156 -0.315  1.082 -0.465  0.980 -0.617  0.817 -0.710  0.646 -0.774  0.485 -0.876  0.312 -0.927  0.100 -0.978  -0.106 -1.008  -0.286 -1.080  -0.510 -1.080  -0.734 -1.080  -0.958 -1.080
1b#tos#t3#t3072063/F  -0.842 0.861  -0.890 0.755  -0.660 0.755  -0.430 0.755  -0.200 0.755  0.008 0.808  0.238 0.808  0.467 0.808  0.697 0.808  0.905 0.861  1.135 0.861  1.365 0.861  1.285 0.847  1.056 0.827  0.827 0.807  0.598 0.787  0.369 0.767  0.140 0.746  -0.089 0.726  -0.318 0.706  -0.470 0.584  -0.470 0.354  -0.470 0.125  -0.499 -0.098  -0.540 -0.306  -0.576 -0.499  -0.576 -0.729  -0.576 -0.959  -0.629 -1.167  -0.710 -1.368  -0.736 -1.592  -0.683 -1.601  -0.640 -1.376  -0.593 -1.151  -0.546 -0.926  -0.500 -0.701  -0.453 -0.476  -0.473 -0.306  -0.450 -0.412  -0.220 -0.412  0.010 -0.412  0.240 -0.412  0.470 -0.412  0.649 -0.356  0.672 -0.128  0.695 0.101  0.591 0.012  0.591 -0.218  0.591 -0.447  0.644 -0.624
1b#tos#t3#t3072063/G  0.642 1.088  0.642 1.126  0.545 1.298  0.366 1.380  0.135 1.380  -0.049 1.428  -0.184 1.331  -0.347 1.234  -0.476 1.104  -0.652 0.959  -0.731 0.797  -0.815 0.648  -0.925 0.475  -0.960 0.265  -1.009 0.081  -1.057 -0.130  -1.057 -0.362  -1.026 -0.563  -0.913 -0.755  -0.808 -0.916  -0.669 -1.041  -0.475 -1.119  -0.269 -1.145  -0.037 -1.145  0.180 -1.073  0.408 -1.048  0.545 -0.953  0.446 -0.744  0.345 -0.535  0.245 -0.326  0.145 -0.117  0.044 0.092  -0.080 0.263  -0.232 0.183  -0.169 0.103  0.049 0.069  0.281 0.069  0.508 0.108  0.739 0.117  0.959 0.166  1.017 0.131  0.791 0.181  0.563 0.214  0.496 0.049  0.500 -0.182  0.545 -0.404  0.459 -0.600  0.448 -0.827  0.448 -1.059  0.448 -1.291
1b#tos#t3#t3072063/H  -0.568 0.974  -0.661 0.883  -0.680 0.704  -0.708 0.527  -0.754 0.363  -0.782 0.188  -0.847 0.024  -0.852 -0.158  -0.894 -0.335  -0.987 -0.480  -0.987 -0.663  -1.080 -0.808  -1.080 -0.992  -1.101 -1.022  -1.019 -0.858  -0.937 -0.694  -0.855 -0.530  -0.773 -0.366  -0.691 -0.202  -0.609 -0.038  -0.527 0.126  -0.694 0.137  -0.585 0.090  -0.401 0.090  -0.218 0.090  -0.034 0.090  0.149 0.090  0.333 0.090  0.516 0.090  0.700 0.090  0.867 0.130  0.916 0.305  0.960 0.483  1.005 0.661  1.049 0.839  1.094 1.017  0.974 1.067  0.967 0.890  0.967 0.707  0.967 0.524  0.913 0.362  0.873 0.195  0.873 0.012  0.840 -0.164  0.827 -0.344  0.785 -0.510  0.734 -0.673  0.734 -0.856  0.641 -0.982  0.641 -1.166
1b#tos#t3#t3072063/I  0.519 1.215  0.465 1.035  0.448 0.806  0.318 0.649  0.198 0.486  0.198 0.253  0.145 0.042  0.038 -0.147  0.038 -0.380  -0.015 -0.591  -0.069 -0.770  -0.069 -1.003  -0.175 -1.130  -0.229 -1.309  -0.214 -1.155  -0.197 -0.922  -0.180 -0.690  -0.163 -0.457  -0.146 -0.225  -0.128 0.007  -0.111 0.240  -0.094 0.472  -0.077 0.705  -0.060 0.937  -0.042 1.169  -0.025 1.402  -0.115 1.535  -0.056 1.375  0.177 1.375  0.344 1.268  0.577 1.268  0.774 1.247  0.658 1.045  0.542 0.843  0.425 0.641  0.309 0.439  0.193 0.237  0.077 0.035  -0.039 -0.167  -0.155 -0.370  -0.271 -0.572  -0.387 -0.774  -0.503 -0.976  -0.619 -1.178  -0.810 -1.275  -0.753 -1.348  -0.519 -1.348  -0.299 -1.295  -0.066 -1.295  0.145 -1.348
1b#tos#t3#t3072063/K  -0.600 1.666  -0.600 1.508  -0.548 1.269  -0.548 1.007  -0.600 0.759  -0.600 0.497  -0.652 0.248  -0.652 -0.013  -0.652 -0.274  -0.652 -0.535  -0.704 -0.775  -0.704 -1.036  -0.704 -1.297  -0.623 -1.269  -0.489 -1.045  -0.355 -0.821  -0.220 -0.597  -0.086 -0.373  0.048 -0.149  0.183 0.075  0.317 0.299  0.452 0.523  0.586 0.747  0.700 0.977  0.660 0.990  0.478 0.871  0.336 0.730  0.108 0.605  -0.057 0.429  -0.219 0.294  -0.340 0.141  -0.502 -0.005  -0.665 -0.180  -0.795 -0.298  -0.611 -0.113  -0.426 0.071  -0.241 0.256  -0.057 0.441  -0.071 0.409  0.107 0.282  0.271 0.119  0.421 -0.064  0.584 -0.252  0.734 -0.449  0.908 -0.586  1.069 -0.726  1.255 -0.874  1.398 -1.038  1.612 -1.147  1.740 -1.298
1b#tos#t3#t3072063/L  -0.313 1.718  -0.313 1.627  -0.363 1.586  -0.363 1.495  -0.363 1.404  -0.363 1.312  -0.363 1.221  -0.363 1.130  -0.363 1.039  -0.363 0.948  -0.363 0.857  -0.363 0.766  -0.363 0.675  -0.363 0.584  -0.363 0.492  -0.363 0.401  -0.363 0.310  -0.382 0.224  -0.413 0.140  -0.413 0.049  -0.413 -0.042  -0.413 -0.133  -0.413 -0.225  -0.413 -0.316  -0.424 -0.402  -0.464 -0.477  -0.464 -0.568  -0.480 -0.643  -0.456 -0.643  -0.370 -0.664  -0.286 -0.693  -0.195 -0.693  -0.104 -0.693  -0.013 -0.693  0.078 -0.693  0.170 -0.693  0.261 -0.693  0.352 -0.693  0.443 -0.693  0.534 -0.693  0.625 -0.693  0.716 -0.693  0.807 -0.693  0.898 -0.693  0.990 -0.693  1.081 -0.693  1.172 -0.693  1.263 -0.693  1.354 -0.693  1.445 -0.693
1b#tos#t3#t3072063/N  -0.443 1.058  -0.571 0.974  -0.571 0.761  -0.571 0.548  -0.571 0.335  -0.571 0.122  -0.650 -0.013  -0.657 -0.219  -0.672 -0.428  -0.670 -0.628  -0.700 -0.795  -0.700 -1.008  -0.657 -1.178  -0.653 -1.032  -0.649 -0.819  -0.645 -0.606  -0.641 -0.393  -0.637 -0.180  -0.633 0.033  -0.629 0.245  -0.625 0.458  -0.621 0.671  -0.617 0.884  -0.696 1.015  -0.619 0.972  -0.485 0.842  -0.387 0.659  -0.322 0.478  -0.160 0.364  -0.052 0.191  0.100 0.068  0.234 -0.090  0.340 -0.227  0.445 -0.386  0.570 -0.555  0.713 -0.666  0.799 -0.843  0.901 -0.955  1.042 -1.069  1.099 -0.933  1.099 -0.720  1.099 -0.507  1.099 -0.294  1.099 -0.081  1.099 0.132  1.099 0.345  1.074 0.552  1.056 0.761  1.056 0.974  1.056 1.186
1b#tos#t3#t3072063/P  -0.287 1.050  -0.481 1.015  -0.432 0.836  -0.432 0.608  -0.432 0.381  -0.432 0.153  -0.432 -0.074  -0.432 -0.302  -0.432 -0.530  -0.432 -0.757  -0.432 -0.985  -0.432 -1.212  -0.432 -1.440  -0.432 -1.641  -0.428 -1.413  -0.424 -1.186  -0.420 -0.958  -0.416 -0.731  -0.412 -0.503  -0.408 -0.276  -0.404 -0.048  -0.400 0.179  -0.396 0.407  -0.392 0.635  -0.388 0.862  -0.384 1.090  -0.462 1.050  -0.250 1.087  -0.027 1.098  0.195 1.093  0.380 1.050  0.607 1.050  0.732 0.926  0.858 0.808  0.989 0.712  1.152 0.624  1.231 0.470  1.258 0.269  1.258 0.042  1.113 -0.078  1.005 -0.254  0.819 -0.355  0.678 -0.467  0.495 -0.534  0.271 -0.544  0.051 -0.551  -0.088 -0.640  -0.267 -0.689  -0.494 -0.689  -0.674 -0.640
1b#tos#t3#t3072063/Q  0.136 -0.715  -0.039 -0.853  -0.288 -0.853  -0.491 -0.807  -0.647 -0.711  -0.741 -0.532  -0.825 -0.367  -0.954 -0.183  -0.962 0.064  -0.962 0.313  -0.934 0.550  -0.871 0.773  -0.779 0.965  -0.727 1.162  -0.570 1.254  -0.366 1.299  -0.180 1.416  0.064 1.437  0.248 1.345  0.414 1.208  0.597 1.114  0.778 1.020  0.869 0.863  0.915 0.659  0.961 0.456  1.000 0.246  1.006 0.004  0.915 -0.180  0.834 -0.349  0.769 -0.532  0.587 -0.670  0.457 -0.824  0.241 -0.869  0.045 -0.944  -0.204 -0.944  -0.367 -0.858  -0.519 -0.761  -0.631 -0.624  -0.688 -0.397  -0.642 -0.193  -0.505 -0.055  -0.367 0.057  -0.129 0.053  0.053 -0.056  0.206 -0.166  0.376 -0.313  0.503 -0.456  0.640 -0.568  0.814 -0.670  0.961 -0.807
