1b#tos#t3#t3042061/A  -1.062 -1.095  -1.148 -1.161  -1.105 -0.952  -1.062 -0.750  -1.019 -0.538  -0.978 -0.325  -0.878 -0.130  -0.777 0.063  -0.667 0.251  -0.541 0.429  -0.462 0.627  -0.314 0.788  -0.201 0.974  -0.107 1.154  -0.034 1.349  0.047 1.494  0.165 1.346  0.201 1.149  0.281 0.975  0.407 0.846  0.492 0.679  0.583 0.497  0.664 0.312  0.794 0.146  0.913 -0.009  1.026 -0.195  1.119 -0.388  1.171 -0.597  1.269 -0.778  1.300 -0.966  1.234 -0.836  1.069 -0.733  0.864 -0.654  0.659 -0.576  0.454 -0.498  0.249 -0.419  0.044 -0.341  -0.161 -0.262  -0.366 -0.184  -0.570 -0.105  -0.775 -0.027  -0.982 -0.063  -0.975 -0.146  -0.766 -0.103  -0.546 -0.103  -0.332 -0.083  -0.123 -0.019  0.096 -0.016  0.316 -0.016  0.535 -0.016
1b#tos#t3#t3042061/B  -0.470 1.173  -0.516 1.274  -0.470 1.005  -0.453 0.719  -0.416 0.436  -0.416 0.149  -0.342 -0.128  -0.306 -0.407  -0.306 -0.694  -0.276 -0.975  -0.162 -1.190  -0.196 -0.936  -0.249 -0.658  -0.345 -0.387  -0.442 -0.116  -0.539 0.155  -0.636 0.426  -0.732 0.697  -0.855 0.872  -0.800 1.105  -0.548 1.173  -0.260 1.173  0.027 1.173  0.315 1.173  0.594 1.118  0.813 1.008  0.848 0.755  0.777 0.497  0.574 0.294  0.315 0.188  0.099 0.045  -0.121 -0.081  -0.395 -0.136  -0.448 -0.036  -0.228 0.074  0.059 0.074  0.347 0.074  0.626 0.020  0.868 -0.091  1.080 -0.234  1.230 -0.470  1.178 -0.702  1.039 -0.915  0.820 -1.025  0.548 -1.079  0.278 -1.135  0.041 -1.287  -0.235 -1.350  -0.513 -1.406  -0.800 -1.410
1b#tos#t3#t3042061/G  0.616 1.168  0.763 1.220  0.773 1.409  0.648 1.483  0.471 1.414  0.307 1.302  0.119 1.240  -0.072 1.183  -0.239 1.078  -0.407 0.972  -0.575 0.864  -0.722 0.731  -0.883 0.615  -1.001 0.457  -1.104 0.289  -1.118 0.095  -1.118 -0.104  -1.118 -0.304  -1.066 -0.451  -0.932 -0.595  -0.765 -0.671  -0.624 -0.766  -0.449 -0.829  -0.258 -0.881  -0.058 -0.881  0.141 -0.881  0.340 -0.881  0.527 -0.829  0.723 -0.823  0.744 -0.651  0.581 -0.537  0.418 -0.422  0.254 -0.308  0.091 -0.194  -0.073 -0.079  -0.236 0.035  -0.426 0.064  -0.402 0.012  -0.203 0.012  -0.004 0.012  0.196 0.012  0.395 0.012  0.594 0.012  0.721 -0.061  0.721 -0.261  0.721 -0.460  0.721 -0.660  0.721 -0.859  0.773 -1.050  0.773 -1.249
1b#tos#t3#t3042061/H  -1.097 0.987  -0.930 0.925  -0.840 0.808  -0.813 0.622  -0.758 0.441  -0.754 0.252  -0.754 0.063  -0.754 -0.126  -0.754 -0.316  -0.754 -0.505  -0.754 -0.694  -0.754 -0.883  -0.754 -1.073  -0.777 -1.153  -0.797 -0.984  -0.816 -0.796  -0.835 -0.607  -0.854 -0.419  -0.872 -0.231  -0.967 -0.126  -0.920 -0.037  -0.743 0.021  -0.558 0.045  -0.369 0.045  -0.179 0.045  0.010 0.045  0.199 0.045  0.389 0.045  0.573 0.067  0.747 0.131  0.936 0.131  1.030 0.151  0.988 0.335  0.946 0.520  0.904 0.704  0.862 0.889  0.785 1.030  0.658 1.053  0.715 0.888  0.751 0.711  0.820 0.536  0.830 0.349  0.830 0.159  0.830 -0.030  0.830 -0.219  0.867 -0.404  0.873 -0.593  0.915 -0.775  0.915 -0.964  0.958 -1.111
1b#tos#t3#t3042061/I  -0.470 1.232  -0.588 1.232  -0.604 1.129  -0.647 1.053  -0.538 1.090  -0.421 1.098  -0.302 1.098  -0.184 1.098  -0.065 1.098  0.054 1.098  0.172 1.098  0.291 1.098  0.349 1.098  0.286 1.009  0.167 1.009  0.054 0.996  -0.051 0.964  -0.068 0.862  -0.068 0.743  0.001 0.649  0.041 0.543  0.066 0.435  0.066 0.317  0.066 0.198  0.066 0.079  0.095 -0.032  0.111 -0.147  0.111 -0.266  0.148 -0.369  0.156 -0.484  0.156 -0.603  0.156 -0.722  0.156 -0.840  0.156 -0.959  0.092 -1.047  -0.007 -1.102  -0.120 -1.137  -0.228 -1.163  -0.338 -1.181  -0.394 -1.181  -0.320 -1.137  -0.201 -1.137  -0.083 -1.137  0.035 -1.130  0.144 -1.092  0.263 -1.092  0.381 -1.092  0.500 -1.092  0.618 -1.092  0.737 -1.092
1b#tos#t3#t3042061/J  -1.042 0.675  -1.167 0.630  -1.201 0.532  -1.052 0.532  -0.923 0.580  -0.775 0.580  -0.646 0.627  -0.498 0.627  -0.369 0.675  -0.220 0.675  -0.083 0.722  0.066 0.722  0.211 0.744  0.355 0.770  0.504 0.770  0.641 0.817  0.789 0.817  0.938 0.817  1.086 0.817  0.952 0.805  0.804 0.793  0.656 0.781  0.524 0.754  0.524 0.605  0.476 0.504  0.476 0.355  0.476 0.207  0.476 0.058  0.476 -0.090  0.476 -0.239  0.476 -0.387  0.476 -0.536  0.476 -0.684  0.460 -0.829  0.429 -0.970  0.352 -1.092  0.239 -1.178  0.184 -1.271  0.035 -1.271  -0.094 -1.223  -0.195 -1.176  -0.296 -1.128  -0.436 -1.112  -0.518 -0.989  -0.655 -0.942  -0.745 -0.850  -0.757 -0.709  -0.799 -0.570  -0.805 -0.423  -0.757 -0.322
1b#tos#t3#t3042061/K  -0.527 1.680  -0.634 1.529  -0.634 1.311  -0.634 1.093  -0.634 0.875  -0.634 0.657  -0.634 0.439  -0.634 0.221  -0.634 0.004  -0.634 -0.214  -0.667 -0.428  -0.688 -0.643  -0.696 -0.860  -0.741 -1.070  -0.795 -0.968  -0.670 -0.796  -0.527 -0.632  -0.385 -0.467  -0.242 -0.302  -0.100 -0.137  0.043 0.028  0.185 0.192  0.328 0.357  0.470 0.522  0.613 0.687  0.755 0.851  0.898 1.016  0.889 0.878  0.703 0.771  0.519 0.658  0.313 0.595  0.188 0.442  -0.021 0.382  -0.216 0.285  -0.411 0.187  -0.562 0.076  -0.581 -0.016  -0.432 -0.085  -0.236 -0.138  -0.084 -0.245  0.097 -0.334  0.284 -0.430  0.455 -0.553  0.624 -0.665  0.785 -0.809  0.927 -0.970  1.050 -1.101  1.248 -1.186  1.354 -1.315  1.559 -1.369
1b#tos#t3#t3042061/L  -0.380 1.516  -0.380 1.415  -0.380 1.314  -0.380 1.213  -0.409 1.116  -0.425 1.018  -0.452 0.923  -0.489 0.829  -0.521 0.733  -0.553 0.637  -0.561 0.537  -0.610 0.451  -0.651 0.362  -0.651 0.261  -0.651 0.160  -0.706 0.093  -0.741 0.014  -0.741 -0.088  -0.741 -0.189  -0.808 -0.262  -0.831 -0.354  -0.876 -0.436  -0.848 -0.509  -0.746 -0.509  -0.690 -0.464  -0.589 -0.464  -0.489 -0.458  -0.391 -0.433  -0.291 -0.419  -0.190 -0.419  -0.089 -0.419  0.012 -0.419  0.113 -0.419  0.214 -0.419  0.315 -0.419  0.415 -0.409  0.511 -0.377  0.612 -0.374  0.713 -0.374  0.814 -0.374  0.915 -0.374  1.016 -0.374  1.117 -0.374  1.218 -0.374  1.319 -0.374  1.421 -0.374  1.522 -0.374  1.600 -0.351  1.679 -0.329  1.735 -0.284
1b#tos#t3#t3042061/M  -0.681 -0.933  -0.818 -0.973  -0.843 -1.088  -0.843 -0.935  -0.883 -0.799  -0.923 -0.652  -0.924 -0.499  -0.924 -0.346  -0.924 -0.193  -0.924 -0.040  -0.924 0.113  -0.924 0.266  -0.924 0.420  -0.924 0.573  -0.924 0.726  -0.924 0.733  -0.812 0.644  -0.762 0.518  -0.722 0.374  -0.669 0.254  -0.560 0.168  -0.537 0.038  -0.447 -0.075  -0.298 -0.084  -0.145 -0.084  -0.038 -0.009  0.096 0.063  0.211 0.161  0.339 0.245  0.443 0.346  0.526 0.475  0.645 0.556  0.674 0.685  0.746 0.765  0.850 0.844  0.895 0.901  0.895 0.748  0.895 0.595  0.925 0.446  0.936 0.294  0.950 0.143  0.976 -0.007  0.976 -0.160  0.976 -0.313  1.017 -0.460  1.017 -0.613  1.017 -0.766  1.057 -0.909  1.057 -1.063  1.098 -1.094
1b#tos#t3#t3042061/O  0.115 0.799  -0.045 0.726  -0.159 0.577  -0.272 0.412  -0.405 0.259  -0.509 0.084  -0.636 -0.073  -0.715 -0.259  -0.727 -0.459  -0.727 -0.663  -0.727 -0.866  -0.687 -1.053  -0.581 -1.207  -0.461 -1.352  -0.314 -1.488  -0.127 -1.528  0.070 -1.489  0.217 -1.377  0.385 -1.287  0.555 -1.207  0.637 -1.031  0.689 -0.860  0.789 -0.694  0.844 -0.512  0.878 -0.316  0.907 -0.117  0.918 0.084  0.873 0.260  0.727 0.381  0.570 0.505  0.449 0.653  0.261 0.719  0.067 0.759  -0.136 0.759  -0.284 0.681  -0.484 0.709  -0.685 0.740  -0.887 0.759  -0.966 0.599  -0.927 0.599  -0.724 0.599  -0.522 0.602  -0.341 0.679  -0.138 0.679  0.066 0.679  0.229 0.719  0.433 0.719  0.636 0.719  0.837 0.699  1.038 0.679
1b#tos#t3#t3042061/R  -0.183 1.214  -0.310 1.182  -0.352 0.945  -0.352 0.702  -0.352 0.459  -0.358 0.217  -0.394 -0.022  -0.394 -0.265  -0.394 -0.508  -0.394 -0.750  -0.394 -0.993  -0.394 -1.236  -0.436 -1.193  -0.521 -1.034  -0.521 -0.791  -0.521 -0.549  -0.521 -0.306  -0.521 -0.063  -0.521 0.180  -0.521 0.422  -0.521 0.665  -0.650 0.835  -0.689 1.039  -0.523 1.171  -0.297 1.199  -0.089 1.256  0.153 1.256  0.392 1.233  0.624 1.165  0.790 1.002  0.947 0.857  1.065 0.656  1.081 0.417  0.988 0.211  0.864 0.031  0.674 -0.105  0.534 -0.302  0.311 -0.395  0.109 -0.514  -0.099 -0.598  -0.335 -0.640  -0.548 -0.640  -0.310 -0.661  -0.072 -0.682  0.155 -0.746  0.373 -0.817  0.576 -0.937  0.775 -1.062  0.950 -1.188  1.123 -1.315
