1d#tos#f3#f3026061/!  0.294 1.650  0.225 1.627  0.182 1.584  0.182 1.511  0.182 1.438  0.182 1.365  0.182 1.291  0.175 1.220  0.147 1.152  0.120 1.084  0.108 1.013  0.108 0.940  0.096 0.868  0.073 0.799  0.050 0.730  0.033 0.659  0.033 0.586  0.033 0.513  0.033 0.440  0.033 0.366  0.033 0.293  0.033 0.220  0.033 0.147  0.033 0.074  0.033 0.000  0.033 -0.073  0.004 -0.134  -0.042 -0.188  -0.042 -0.261  -0.042 -0.335  -0.042 -0.408  -0.042 -0.481  -0.079 -0.517  -0.079 -0.590  -0.087 -0.663  -0.096 -0.735  -0.105 -0.808  -0.113 -0.881  -0.122 -0.953  -0.130 -1.026  -0.139 -1.099  -0.147 -1.171  -0.154 -1.244  -0.166 -1.312  -0.218 -1.364  -0.266 -1.417  -0.224 -1.449  -0.188 -1.486  -0.115 -1.486  -0.042 -1.486
1d#tos#f3#f3026061/#  -0.808 0.455  -1.065 0.249  -0.711 0.351  -0.416 0.573  -0.081 0.766  0.243 0.975  0.566 1.131  0.685 1.166  0.415 0.888  0.146 0.610  -0.123 0.332  -0.393 0.054  -0.662 -0.225  -0.860 -0.532  -0.920 -0.749  -0.567 -0.594  -0.244 -0.383  0.086 -0.192  0.415 0.001  0.698 0.245  1.044 0.403  0.851 0.582  0.502 0.750  0.153 0.917  -0.193 1.070  -0.444 0.863  -0.444 0.475  -0.443 0.089  -0.392 -0.290  -0.392 -0.677  -0.392 -1.064  -0.392 -1.452  -0.289 -1.219  -0.164 -0.852  -0.040 -0.486  0.085 -0.119  0.210 0.247  0.335 0.613  0.440 0.983  0.284 1.214  0.336 1.025  0.336 0.638  0.336 0.250  0.336 -0.137  0.336 -0.524  0.336 -0.911  0.336 -1.298  0.336 -1.685  0.300 -2.070  0.284 -2.456
1d#tos#f3#f3026061/$  0.343 0.728  0.369 0.908  0.168 1.019  -0.097 1.009  -0.318 0.907  -0.421 0.718  -0.365 0.495  -0.152 0.350  0.101 0.291  0.350 0.218  0.532 0.070  0.642 -0.120  0.744 -0.331  0.672 -0.555  0.454 -0.656  0.207 -0.719  -0.041 -0.765  -0.278 -0.692  -0.433 -0.547  -0.567 -0.376  -0.749 -0.292  -0.809 -0.534  -0.895 -0.771  -0.797 -0.762  -0.669 -0.528  -0.542 -0.293  -0.414 -0.059  -0.286 0.175  -0.158 0.409  -0.031 0.643  0.097 0.877  0.225 1.111  0.352 1.346  0.431 1.565  0.356 1.651  0.270 1.410  0.261 1.146  0.198 0.894  0.198 0.627  0.147 0.368  0.114 0.105  0.088 -0.160  0.088 -0.427  0.088 -0.693  0.088 -0.960  0.088 -1.227  0.088 -1.494  0.088 -1.760  0.088 -2.027  0.088 -2.294
1d#tos#f3#f3026061/'  0.361 1.665  0.361 1.591  0.361 1.517  0.361 1.443  0.361 1.369  0.361 1.295  0.361 1.221  0.361 1.147  0.361 1.073  0.361 0.999  0.361 0.925  0.361 0.851  0.361 0.776  0.361 0.702  0.361 0.628  0.361 0.554  0.361 0.480  0.361 0.406  0.361 0.332  0.361 0.258  0.361 0.184  0.361 0.110  0.310 0.057  0.257 0.005  0.205 -0.048  0.152 -0.100  0.100 -0.153  0.048 -0.205  -0.005 -0.257  -0.057 -0.310  -0.109 -0.362  -0.162 -0.414  -0.214 -0.467  -0.262 -0.521  -0.262 -0.595  -0.262 -0.669  -0.262 -0.743  -0.262 -0.818  -0.308 -0.872  -0.361 -0.925  -0.413 -0.977  -0.466 -1.029  -0.518 -1.082  -0.570 -1.134  -0.623 -1.187  -0.675 -1.239  -0.727 -1.291  -0.780 -1.344  -0.832 -1.396  -0.885 -1.449
1d#tos#f3#f3026061/,  0.556 1.538  0.556 1.464  0.556 1.389  0.556 1.315  0.556 1.240  0.556 1.166  0.556 1.091  0.556 1.017  0.556 0.942  0.556 0.868  0.527 0.823  0.452 0.823  0.378 0.823  0.377 0.749  0.377 0.674  0.377 0.600  0.377 0.525  0.377 0.451  0.377 0.376  0.377 0.302  0.342 0.239  0.297 0.180  0.253 0.120  0.208 0.060  0.163 0.001  0.119 -0.059  0.074 -0.118  0.029 -0.178  -0.016 -0.237  -0.060 -0.297  -0.105 -0.357  -0.150 -0.416  -0.201 -0.470  -0.253 -0.523  -0.306 -0.576  -0.359 -0.628  -0.411 -0.681  -0.464 -0.734  -0.517 -0.786  -0.569 -0.839  -0.622 -0.892  -0.675 -0.944  -0.710 -1.008  -0.733 -1.078  -0.757 -1.149  -0.781 -1.220  -0.804 -1.290  -0.828 -1.361  -0.851 -1.432  -0.875 -1.502
1d#tos#f3#f3026061/  -0.875 0.227  -0.875 0.142  -0.900 0.081  -0.986 0.081  -1.072 0.081  -1.157 0.081  -1.167 0.005  -1.167 -0.081  -1.195 -0.138  -1.281 -0.138  -1.313 -0.192  -1.246 -0.211  -1.160 -0.211  -1.075 -0.211  -0.989 -0.211  -0.903 -0.211  -0.817 -0.211  -0.732 -0.211  -0.670 -0.152  -0.590 -0.138  -0.505 -0.138  -0.419 -0.138  -0.333 -0.138  -0.247 -0.138  -0.162 -0.138  -0.078 -0.121  0.005 -0.100  0.088 -0.079  0.172 -0.065  0.258 -0.065  0.329 -0.029  0.390 0.031  0.455 0.081  0.540 0.081  0.626 0.081  0.712 0.081  0.798 0.081  0.883 0.081  0.968 0.087  1.049 0.114  1.131 0.141  1.214 0.154  1.300 0.154  1.386 0.154  1.472 0.154  1.535 0.177  1.570 0.227  1.608 0.275  1.669 0.300  1.754 0.300
1d#tos#f3#f3026061/  0.649 1.469  0.576 1.469  0.598 1.464  0.557 1.408  0.549 1.336  0.534 1.265  0.520 1.193  0.493 1.129  0.441 1.077  0.390 1.026  0.357 0.963  0.334 0.893  0.311 0.824  0.288 0.755  0.259 0.689  0.226 0.624  0.193 0.558  0.157 0.495  0.119 0.433  0.082 0.371  0.050 0.307  0.050 0.234  0.050 0.161  0.050 0.088  0.022 0.021  -0.007 -0.046  -0.036 -0.113  -0.064 -0.180  -0.089 -0.248  -0.089 -0.321  -0.089 -0.393  -0.125 -0.448  -0.183 -0.492  -0.242 -0.535  -0.280 -0.592  -0.294 -0.663  -0.308 -0.735  -0.323 -0.806  -0.341 -0.877  -0.359 -0.947  -0.365 -1.019  -0.380 -1.088  -0.420 -1.149  -0.461 -1.209  -0.501 -1.270  -0.541 -1.330  -0.550 -1.401  -0.550 -1.474  -0.615 -1.481  -0.642 -1.435
1d#tos#f3#f3026061/;  -0.143 1.452  -0.164 1.397  -0.240 1.397  -0.316 1.397  -0.363 1.369  -0.363 1.293  -0.347 1.233  -0.271 1.233  -0.198 1.230  -0.183 1.156  -0.168 1.081  -0.153 1.007  -0.138 0.933  -0.123 0.858  -0.109 0.784  -0.094 0.709  -0.079 0.635  -0.064 0.561  -0.049 0.486  -0.034 0.412  -0.019 0.338  -0.004 0.263  0.010 0.189  0.025 0.115  0.040 0.040  0.055 -0.034  0.070 -0.109  0.085 -0.183  0.100 -0.257  0.115 -0.332  0.129 -0.406  0.094 -0.470  0.052 -0.534  0.042 -0.579  0.095 -0.617  0.129 -0.684  0.163 -0.752  0.186 -0.823  0.186 -0.898  0.186 -0.974  0.186 -1.050  0.186 -1.126  0.186 -1.202  0.186 -1.278  0.186 -1.353  0.186 -1.429  0.186 -1.505  0.186 -1.581  0.186 -1.657  0.186 -1.733
1d#tos#f3#f3026061/<  0.553 1.560  0.454 1.560  0.400 1.515  0.400 1.415  0.400 1.315  0.348 1.237  0.336 1.145  0.247 1.100  0.201 1.033  0.107 1.002  0.045 0.927  -0.010 0.844  -0.042 0.750  -0.087 0.664  -0.158 0.593  -0.228 0.523  -0.299 0.452  -0.350 0.368  -0.417 0.299  -0.500 0.243  -0.583 0.209  -0.625 0.120  -0.629 0.023  -0.728 0.023  -0.777 -0.028  -0.779 -0.125  -0.684 -0.130  -0.606 -0.182  -0.508 -0.198  -0.411 -0.222  -0.369 -0.289  -0.331 -0.373  -0.263 -0.445  -0.218 -0.534  -0.138 -0.592  -0.058 -0.650  -0.014 -0.739  0.076 -0.780  0.168 -0.817  0.246 -0.864  0.259 -0.953  0.355 -0.977  0.451 -1.002  0.483 -1.097  0.536 -1.172  0.621 -1.223  0.692 -1.293  0.764 -1.360  0.809 -1.414  0.861 -1.462
1d#tos#f3#f3026061/=  -1.014 0.876  -1.161 0.855  -1.161 0.688  -1.026 0.655  -0.859 0.655  -0.691 0.655  -0.524 0.655  -0.357 0.655  -0.189 0.655  -0.024 0.667  0.135 0.720  0.301 0.729  0.468 0.729  0.636 0.729  0.787 0.768  0.928 0.855  1.090 0.876  1.001 0.792  0.866 0.693  0.730 0.594  0.595 0.496  0.460 0.397  0.325 0.298  0.190 0.199  0.055 0.101  -0.081 0.002  -0.216 -0.097  -0.351 -0.196  -0.486 -0.295  -0.621 -0.393  -0.756 -0.492  -0.889 -0.562  -0.969 -0.708  -1.062 -0.848  -0.967 -0.887  -0.800 -0.887  -0.633 -0.887  -0.475 -0.862  -0.357 -0.744  -0.191 -0.740  -0.024 -0.740  0.144 -0.740  0.311 -0.740  0.478 -0.740  0.646 -0.740  0.813 -0.740  0.981 -0.740  1.148 -0.740  1.315 -0.740  1.483 -0.740
1d#tos#f3#f3026061/>  -0.861 1.413  -0.861 1.299  -0.861 1.186  -0.861 1.072  -0.806 0.992  -0.717 0.925  -0.629 0.855  -0.528 0.804  -0.426 0.753  -0.319 0.725  -0.208 0.707  -0.099 0.676  0.010 0.645  0.113 0.600  0.207 0.537  0.316 0.509  0.428 0.487  0.541 0.479  0.564 0.389  0.666 0.355  0.776 0.327  0.884 0.291  0.987 0.243  1.049 0.185  0.996 0.135  0.883 0.135  0.781 0.107  0.697 0.037  0.613 0.008  0.568 -0.061  0.514 -0.121  0.491 -0.220  0.389 -0.271  0.294 -0.331  0.215 -0.412  0.147 -0.502  0.078 -0.593  -0.026 -0.634  -0.112 -0.700  -0.180 -0.791  -0.261 -0.866  -0.335 -0.940  -0.374 -1.046  -0.473 -1.100  -0.536 -1.194  -0.615 -1.272  -0.709 -1.335  -0.763 -1.398  -0.781 -1.504  -0.861 -1.584
