2#apa#apa15#app1542/0  -0.112 0.018  -0.227 0.133  -0.311 0.260  -0.311 0.423  -0.311 0.585  -0.405 0.708  -0.514 0.799  -0.566 0.645  -0.617 0.491  -0.668 0.337  -0.720 0.183  -0.771 0.029  -0.822 -0.125  -0.874 -0.278  -0.925 -0.432  -0.976 -0.586  -1.028 -0.740  -1.079 -0.894  -1.037 -1.010  -0.892 -1.082  -0.747 -1.155  -0.589 -1.174  -0.439 -1.132  -0.299 -1.048  -0.160 -0.965  -0.021 -0.881  0.118 -0.798  0.257 -0.714  0.396 -0.631  0.522 -0.531  0.623 -0.404  0.724 -0.277  0.826 -0.151  0.927 -0.024  1.029 0.103  1.130 0.230  1.231 0.356  1.279 0.502  1.279 0.664  1.265 0.813  1.103 0.813  0.941 0.813  0.778 0.813  0.616 0.813  0.454 0.813  0.291 0.813  0.129 0.813  -0.021 0.759  -0.166 0.687  -0.311 0.614
2#apa#apa15#app1542/1  -0.114 1.470  -0.185 1.470  -0.257 1.470  -0.328 1.470  -0.339 1.409  -0.339 1.337  -0.339 1.266  -0.317 1.199  -0.285 1.135  -0.253 1.072  -0.221 1.008  -0.189 0.944  -0.157 0.880  -0.125 0.816  -0.114 0.747  -0.114 0.675  -0.114 0.604  -0.114 0.532  -0.114 0.461  -0.114 0.389  -0.114 0.318  -0.114 0.246  -0.114 0.175  -0.109 0.104  -0.086 0.036  -0.064 -0.032  -0.041 -0.100  -0.019 -0.167  0.004 -0.235  0.027 -0.303  0.049 -0.371  0.072 -0.439  0.094 -0.507  0.117 -0.574  0.140 -0.642  0.162 -0.710  0.185 -0.778  0.208 -0.846  0.230 -0.914  0.253 -0.981  0.275 -1.049  0.298 -1.117  0.321 -1.185  0.336 -1.254  0.336 -1.325  0.336 -1.397  0.336 -1.468  0.336 -1.540  0.336 -1.611  0.336 -1.683
2#apa#apa15#app1542/  0.686 1.309  0.686 1.379  0.682 1.432  0.651 1.369  0.619 1.306  0.588 1.243  0.556 1.180  0.530 1.115  0.504 1.049  0.478 0.984  0.451 0.918  0.425 0.853  0.399 0.787  0.373 0.722  0.347 0.657  0.321 0.591  0.294 0.526  0.256 0.467  0.217 0.408  0.178 0.349  0.139 0.291  0.100 0.232  0.061 0.174  0.023 0.114  -0.008 0.051  -0.040 -0.012  -0.071 -0.075  -0.103 -0.138  -0.134 -0.201  -0.166 -0.264  -0.197 -0.327  -0.229 -0.390  -0.260 -0.453  -0.292 -0.516  -0.323 -0.579  -0.355 -0.642  -0.386 -0.705  -0.418 -0.768  -0.449 -0.831  -0.481 -0.894  -0.503 -0.960  -0.517 -1.029  -0.531 -1.098  -0.545 -1.167  -0.558 -1.236  -0.572 -1.306  -0.586 -1.375  -0.600 -1.444  -0.614 -1.513  -0.628 -1.582
2#apa#apa15#app1542/2  -0.420 0.666  -0.468 0.763  -0.516 0.859  -0.565 0.956  -0.613 1.053  -0.530 1.106  -0.434 1.154  -0.337 1.202  -0.240 1.251  -0.134 1.260  -0.026 1.260  0.082 1.260  0.181 1.246  0.230 1.149  0.278 1.052  0.326 0.956  0.370 0.859  0.336 0.756  0.302 0.653  0.268 0.551  0.234 0.448  0.199 0.346  0.162 0.245  0.113 0.148  0.065 0.051  0.017 -0.045  -0.032 -0.142  -0.080 -0.239  -0.129 -0.335  -0.177 -0.432  -0.227 -0.527  -0.304 -0.604  -0.380 -0.680  -0.420 -0.772  -0.420 -0.880  -0.420 -0.988  -0.420 -1.096  -0.331 -1.116  -0.223 -1.116  -0.115 -1.116  -0.007 -1.116  0.101 -1.116  0.209 -1.116  0.317 -1.116  0.426 -1.116  0.534 -1.116  0.642 -1.116  0.750 -1.116  0.858 -1.116  0.966 -1.116
2#apa#apa15#app1542/3  -0.830 0.397  -0.830 0.541  -0.914 0.600  -1.033 0.625  -1.033 0.769  -1.033 0.913  -0.982 1.006  -0.838 1.006  -0.695 1.006  -0.551 1.006  -0.407 1.006  -0.263 1.006  -0.120 1.006  0.024 1.006  0.168 1.006  0.185 0.880  0.185 0.736  0.185 0.592  0.185 0.448  0.120 0.332  0.018 0.230  -0.083 0.128  -0.185 0.027  -0.304 -0.051  -0.433 -0.115  -0.561 -0.179  -0.556 -0.212  -0.412 -0.212  -0.269 -0.212  -0.135 -0.169  -0.006 -0.105  0.122 -0.041  0.258 -0.009  0.401 -0.015  0.529 -0.080  0.658 -0.144  0.786 -0.208  0.794 -0.347  0.794 -0.491  0.794 -0.635  0.794 -0.778  0.794 -0.922  0.794 -1.066  0.794 -1.210  0.794 -1.353  0.731 -1.451  0.595 -1.497  0.458 -1.542  0.322 -1.588  0.185 -1.633
2#apa#apa15#app1542/  0.785 1.506  0.754 1.444  0.723 1.382  0.692 1.320  0.661 1.258  0.629 1.196  0.594 1.136  0.560 1.076  0.526 1.015  0.491 0.955  0.457 0.895  0.422 0.835  0.388 0.774  0.353 0.714  0.319 0.654  0.284 0.593  0.250 0.533  0.216 0.473  0.181 0.413  0.147 0.352  0.112 0.292  0.078 0.232  0.045 0.171  0.014 0.109  -0.017 0.047  -0.049 -0.015  -0.080 -0.078  -0.111 -0.140  -0.142 -0.202  -0.173 -0.264  -0.204 -0.326  -0.235 -0.388  -0.266 -0.450  -0.297 -0.512  -0.328 -0.574  -0.359 -0.636  -0.387 -0.700  -0.409 -0.765  -0.431 -0.831  -0.453 -0.897  -0.475 -0.963  -0.497 -1.029  -0.519 -1.095  -0.541 -1.161  -0.563 -1.226  -0.585 -1.292  -0.607 -1.358  -0.629 -1.424  -0.651 -1.490  -0.673 -1.556
2#apa#apa15#app1542/4  -0.161 0.898  -0.242 1.059  -0.322 1.220  -0.476 1.262  -0.584 1.144  -0.664 0.983  -0.734 0.818  -0.791 0.647  -0.848 0.476  -0.911 0.308  -0.992 0.147  -1.071 -0.014  -1.071 -0.194  -1.071 -0.374  -1.197 -0.503  -1.254 -0.659  -1.156 -0.741  -0.975 -0.741  -0.795 -0.741  -0.615 -0.741  -0.435 -0.741  -0.255 -0.741  -0.075 -0.741  0.105 -0.741  0.285 -0.741  0.465 -0.741  0.645 -0.741  0.742 -0.666  0.724 -0.487  0.706 -0.307  0.688 -0.128  0.670 0.051  0.652 0.230  0.634 0.409  0.616 0.588  0.598 0.768  0.581 0.947  0.567 1.033  0.567 0.853  0.567 0.673  0.567 0.493  0.577 0.314  0.620 0.139  0.664 -0.036  0.708 -0.210  0.749 -0.385  0.749 -0.565  0.749 -0.745  0.749 -0.925  0.749 -1.105
2#apa#apa15#app1542/5  0.709 1.175  0.593 1.175  0.476 1.175  0.360 1.175  0.244 1.175  0.128 1.175  0.012 1.175  -0.105 1.175  -0.211 1.133  -0.315 1.081  -0.419 1.029  -0.530 1.008  -0.627 0.989  -0.627 0.872  -0.627 0.756  -0.627 0.640  -0.627 0.524  -0.627 0.407  -0.627 0.291  -0.627 0.175  -0.512 0.174  -0.414 0.128  -0.332 0.046  -0.232 0.007  -0.116 0.007  0.000 0.007  0.116 0.007  0.233 0.007  0.349 0.007  0.439 -0.057  0.521 -0.139  0.580 -0.237  0.632 -0.341  0.684 -0.445  0.665 -0.538  0.583 -0.620  0.542 -0.719  0.539 -0.835  0.487 -0.938  0.435 -1.042  0.383 -1.146  0.281 -1.193  0.171 -1.230  0.061 -1.267  -0.050 -1.303  -0.162 -1.329  -0.278 -1.329  -0.394 -1.329  -0.510 -1.329  -0.627 -1.329
2#apa#apa15#app1542/`  -0.983 0.656  -0.983 0.730  -0.983 0.804  -0.983 0.878  -0.983 0.952  -0.983 1.026  -0.957 1.038  -0.905 0.986  -0.852 0.934  -0.800 0.881  -0.748 0.829  -0.695 0.776  -0.643 0.724  -0.590 0.671  -0.538 0.619  -0.485 0.567  -0.433 0.514  -0.380 0.462  -0.328 0.409  -0.276 0.357  -0.223 0.304  -0.171 0.252  -0.118 0.200  -0.066 0.147  -0.013 0.095  0.039 0.042  0.091 -0.010  0.144 -0.063  0.196 -0.115  0.249 -0.167  0.301 -0.220  0.354 -0.272  0.406 -0.325  0.458 -0.377  0.511 -0.430  0.563 -0.482  0.616 -0.534  0.662 -0.591  0.695 -0.658  0.728 -0.724  0.761 -0.790  0.795 -0.857  0.828 -0.923  0.861 -0.989  0.894 -1.056  0.927 -1.122  0.960 -1.188  0.994 -1.254  1.027 -1.321  1.060 -1.387
2#apa#apa15#app1542/i  -0.009 0.463  -0.009 0.345  -0.009 0.227  -0.009 0.109  -0.009 -0.009  -0.009 -0.127  -0.009 -0.244  -0.009 -0.362  -0.009 -0.480  -0.009 -0.598  -0.009 -0.716  0.014 -0.830  0.051 -0.942  0.088 -1.053  0.125 -1.165  0.163 -1.277  0.166 -1.394  0.216 -1.462  0.334 -1.462  0.318 -1.354  0.294 -1.239  0.270 -1.124  0.246 -1.008  0.221 -0.893  0.197 -0.778  0.173 -0.662  0.149 -0.547  0.124 -0.432  0.100 -0.317  0.076 -0.201  0.051 -0.086  0.027 0.029  0.003 0.145  -0.021 0.260  -0.046 0.375  -0.070 0.491  -0.094 0.606  -0.118 0.721  -0.143 0.836  -0.167 0.952  -0.191 1.067  -0.216 1.182  -0.240 1.298  -0.264 1.413  -0.288 1.528  -0.313 1.644  -0.337 1.759  -0.350 1.854  -0.267 1.771  -0.184 1.688
2#apa#apa15#app1542/s  0.408 1.046  0.408 1.151  0.401 1.249  0.296 1.249  0.191 1.244  0.092 1.211  -0.008 1.178  -0.108 1.145  -0.207 1.112  -0.307 1.078  -0.405 1.044  -0.405 0.938  -0.411 0.836  -0.485 0.762  -0.560 0.688  -0.634 0.613  -0.708 0.539  -0.783 0.465  -0.811 0.371  -0.811 0.266  -0.760 0.182  -0.685 0.108  -0.611 0.034  -0.518 -0.015  -0.424 -0.062  -0.330 -0.109  -0.236 -0.155  -0.135 -0.173  -0.030 -0.173  0.075 -0.173  0.180 -0.173  0.277 -0.209  0.371 -0.256  0.465 -0.303  0.559 -0.350  0.611 -0.422  0.611 -0.528  0.611 -0.633  0.611 -0.738  0.611 -0.843  0.611 -0.948  0.581 -1.046  0.534 -1.140  0.487 -1.234  0.440 -1.328  0.377 -1.407  0.283 -1.454  0.189 -1.500  0.096 -1.547  0.002 -1.594
