3#apb#apb16#app1610/R  0.020 0.312  -0.157 0.416  -0.273 0.298  -0.310 0.089  -0.350 -0.120  -0.378 -0.330  -0.417 -0.538  -0.484 -0.739  -0.559 -0.938  -0.635 -1.136  -0.723 -1.329  -0.846 -1.278  -0.901 -1.074  -0.905 -0.862  -0.897 -0.650  -0.874 -0.439  -0.831 -0.232  -0.762 -0.032  -0.680 0.164  -0.585 0.354  -0.468 0.528  -0.321 0.681  -0.176 0.836  -0.037 0.996  0.105 1.153  0.289 1.260  0.474 1.363  0.677 1.427  0.868 1.374  1.021 1.232  1.099 1.043  1.112 0.834  1.052 0.634  0.921 0.467  0.765 0.322  0.591 0.203  0.405 0.101  0.218 0.002  0.015 -0.049  -0.196 -0.050  -0.376 0.013  -0.224 -0.123  -0.058 -0.255  0.106 -0.391  0.263 -0.533  0.416 -0.680  0.566 -0.831  0.691 -1.001  0.787 -1.190  0.960 -1.299
3#apb#apb16#app1610/i  -0.064 0.055  -0.124 0.011  -0.151 -0.090  -0.177 -0.192  -0.216 -0.290  -0.249 -0.389  -0.271 -0.492  -0.293 -0.595  -0.310 -0.699  -0.328 -0.803  -0.339 -0.907  -0.349 -1.012  -0.361 -1.117  -0.392 -1.217  -0.402 -1.314  -0.343 -1.389  -0.253 -1.369  -0.228 -1.267  -0.203 -1.165  -0.178 -1.063  -0.152 -0.961  -0.127 -0.859  -0.102 -0.756  -0.077 -0.654  -0.051 -0.552  -0.026 -0.450  -0.001 -0.348  0.024 -0.246  0.049 -0.143  0.075 -0.041  0.100 0.061  0.125 0.163  0.150 0.265  0.176 0.367  0.201 0.470  0.226 0.572  0.251 0.674  0.276 0.776  0.302 0.878  0.327 0.980  0.352 1.083  0.377 1.185  0.403 1.287  0.428 1.389  0.432 1.488  0.379 1.579  0.326 1.670  0.296 1.771  0.241 1.857  0.253 1.798
3#apb#apb16#app1610/c  0.749 0.070  0.800 0.132  0.884 0.147  0.949 0.175  0.933 0.272  0.954 0.363  0.928 0.455  0.934 0.553  0.943 0.644  0.913 0.735  0.903 0.832  0.874 0.918  0.788 0.961  0.699 1.003  0.610 0.990  0.520 0.951  0.434 0.904  0.350 0.854  0.265 0.803  0.185 0.746  0.108 0.687  0.030 0.627  -0.048 0.567  -0.120 0.501  -0.184 0.426  -0.247 0.351  -0.310 0.276  -0.374 0.201  -0.427 0.119  -0.480 0.036  -0.533 -0.046  -0.587 -0.129  -0.632 -0.215  -0.674 -0.304  -0.715 -0.393  -0.757 -0.482  -0.795 -0.572  -0.826 -0.665  -0.857 -0.759  -0.855 -0.856  -0.846 -0.953  -0.837 -1.051  -0.770 -1.122  -0.691 -1.177  -0.601 -1.217  -0.512 -1.257  -0.414 -1.266  -0.317 -1.272  -0.219 -1.279  -0.121 -1.285
3#apb#apb16#app1610/c  1.235 0.738  1.235 0.827  1.211 0.905  1.142 0.961  1.066 1.008  0.984 1.034  0.895 1.034  0.806 1.024  0.718 1.010  0.631 0.995  0.549 0.968  0.481 0.910  0.413 0.853  0.345 0.795  0.277 0.737  0.208 0.681  0.138 0.625  0.069 0.570  -0.001 0.514  -0.071 0.458  -0.135 0.398  -0.184 0.324  -0.233 0.249  -0.283 0.175  -0.332 0.101  -0.382 0.027  -0.432 -0.046  -0.486 -0.118  -0.539 -0.189  -0.593 -0.260  -0.644 -0.333  -0.681 -0.414  -0.719 -0.494  -0.756 -0.575  -0.787 -0.658  -0.787 -0.747  -0.781 -0.835  -0.757 -0.921  -0.719 -0.992  -0.632 -1.011  -0.545 -1.030  -0.456 -1.041  -0.368 -1.047  -0.279 -1.053  -0.190 -1.059  -0.102 -1.053  -0.014 -1.037  0.074 -1.020  0.161 -1.004  0.249 -0.988
3#apb#apb16#app1610/i  0.157 0.196  0.068 0.139  -0.008 0.051  -0.087 -0.034  -0.165 -0.119  -0.244 -0.204  -0.311 -0.298  -0.374 -0.395  -0.436 -0.493  -0.496 -0.592  -0.554 -0.692  -0.605 -0.795  -0.624 -0.910  -0.643 -1.024  -0.671 -1.136  -0.661 -1.245  -0.609 -1.348  -0.558 -1.358  -0.508 -1.254  -0.458 -1.149  -0.408 -1.045  -0.358 -0.940  -0.308 -0.836  -0.258 -0.731  -0.208 -0.626  -0.158 -0.522  -0.108 -0.417  -0.058 -0.313  -0.008 -0.208  0.042 -0.104  0.092 0.001  0.142 0.106  0.192 0.210  0.242 0.315  0.292 0.419  0.342 0.524  0.392 0.628  0.442 0.733  0.492 0.837  0.542 0.942  0.592 1.047  0.642 1.151  0.692 1.256  0.742 1.360  0.792 1.465  0.757 1.555  0.655 1.587  0.563 1.529  0.519 1.426  0.494 1.313
3#apb#apb16#app1610/o  0.774 0.011  0.741 0.159  0.712 0.307  0.689 0.457  0.660 0.603  0.546 0.703  0.428 0.795  0.289 0.855  0.139 0.864  -0.007 0.834  -0.151 0.787  -0.260 0.683  -0.367 0.576  -0.449 0.450  -0.520 0.316  -0.590 0.183  -0.660 0.048  -0.728 -0.087  -0.796 -0.222  -0.860 -0.359  -0.905 -0.504  -0.950 -0.648  -0.990 -0.794  -1.013 -0.943  -1.036 -1.093  -0.960 -1.219  -0.849 -1.302  -0.698 -1.321  -0.570 -1.244  -0.442 -1.163  -0.328 -1.064  -0.221 -0.957  -0.114 -0.850  -0.012 -0.739  0.085 -0.622  0.181 -0.505  0.277 -0.389  0.364 -0.265  0.443 -0.136  0.522 -0.007  0.601 0.122  0.648 0.265  0.688 0.411  0.729 0.557  0.766 0.704  0.801 0.851  0.835 0.998  0.854 1.147  0.854 1.299  0.854 1.450
3#apb#apb16#app1610/n  -0.221 1.322  -0.256 1.148  -0.300 0.975  -0.346 0.802  -0.392 0.630  -0.446 0.460  -0.511 0.294  -0.576 0.127  -0.640 -0.039  -0.690 -0.211  -0.738 -0.383  -0.786 -0.555  -0.837 -0.725  -0.894 -0.895  -0.946 -1.065  -0.972 -1.242  -0.928 -1.192  -0.812 -1.057  -0.704 -0.916  -0.595 -0.774  -0.498 -0.624  -0.411 -0.469  -0.323 -0.313  -0.233 -0.159  -0.132 -0.012  -0.032 0.136  0.069 0.283  0.169 0.431  0.273 0.576  0.383 0.717  0.493 0.857  0.604 0.997  0.713 1.138  0.823 1.279  0.952 1.182  0.964 1.023  0.913 0.852  0.865 0.679  0.819 0.507  0.773 0.334  0.712 0.167  0.648 0.000  0.594 -0.169  0.569 -0.346  0.544 -0.523  0.506 -0.697  0.469 -0.871  0.469 -1.049  0.459 -1.227  0.436 -1.404
3#apb#apb16#app1610/e  -0.582 0.828  -0.653 0.676  -0.723 0.520  -0.772 0.356  -0.807 0.189  -0.824 0.020  -0.822 -0.151  -0.772 -0.313  -0.619 -0.388  -0.484 -0.493  -0.326 -0.530  -0.155 -0.530  0.014 -0.505  0.177 -0.461  0.322 -0.369  0.459 -0.269  0.586 -0.154  0.716 -0.043  0.856 0.055  0.954 0.186  1.016 0.346  1.064 0.510  1.103 0.676  1.097 0.844  1.069 1.013  0.988 1.164  0.862 1.240  0.694 1.221  0.532 1.167  0.385 1.085  0.249 0.981  0.120 0.870  0.012 0.737  -0.096 0.604  -0.192 0.464  -0.262 0.308  -0.332 0.152  -0.402 -0.004  -0.471 -0.161  -0.539 -0.318  -0.573 -0.484  -0.594 -0.654  -0.590 -0.823  -0.554 -0.990  -0.492 -1.146  -0.392 -1.285  -0.293 -1.424  -0.139 -1.499  0.015 -1.572  0.170 -1.645
3#apb#apb16#app1610/H  -0.373 0.835  -0.272 0.991  -0.339 0.766  -0.421 0.545  -0.512 0.328  -0.604 0.111  -0.693 -0.107  -0.781 -0.326  -0.887 -0.536  -0.994 -0.746  -1.074 -0.967  -1.114 -1.158  -0.967 -0.974  -0.818 -0.791  -0.670 -0.608  -0.522 -0.425  -0.374 -0.242  -0.225 -0.059  -0.077 0.124  0.071 0.307  0.219 0.490  0.368 0.674  0.516 0.857  0.664 1.040  0.812 1.223  0.961 1.406  1.109 1.589  1.101 1.427  1.044 1.198  0.969 0.975  0.891 0.753  0.803 0.534  0.713 0.316  0.616 0.102  0.520 -0.113  0.424 -0.329  0.328 -0.544  0.230 -0.758  0.128 -0.970  0.015 -1.177  -0.094 -1.381  -0.148 -1.151  -0.201 -0.922  -0.254 -0.692  -0.307 -0.462  -0.360 -0.233  -0.197 -0.155  0.036 -0.184  0.265 -0.238  0.475 -0.342
3#apb#apb16#app1610/o  1.711 0.684  1.602 0.733  1.492 0.782  1.375 0.796  1.255 0.789  1.135 0.782  1.015 0.774  0.898 0.752  0.784 0.716  0.669 0.680  0.554 0.643  0.440 0.607  0.325 0.570  0.210 0.535  0.095 0.501  -0.020 0.466  -0.135 0.432  -0.251 0.397  -0.355 0.338  -0.458 0.277  -0.561 0.215  -0.664 0.153  -0.763 0.085  -0.861 0.014  -0.958 -0.056  -1.044 -0.138  -1.110 -0.238  -1.177 -0.338  -1.192 -0.454  -1.177 -0.571  -1.128 -0.681  -1.079 -0.791  -0.966 -0.822  -0.848 -0.848  -0.730 -0.842  -0.611 -0.824  -0.492 -0.805  -0.376 -0.775  -0.263 -0.735  -0.150 -0.694  -0.037 -0.654  0.055 -0.577  0.146 -0.498  0.237 -0.420  0.328 -0.341  0.420 -0.263  0.518 -0.194  0.616 -0.124  0.713 -0.054  0.811 0.016
3#apb#apb16#app1610/n  -0.767 1.232  -0.696 1.074  -0.627 0.915  -0.627 0.742  -0.627 0.568  -0.627 0.395  -0.627 0.221  -0.627 0.047  -0.627 -0.126  -0.627 -0.300  -0.664 -0.468  -0.711 -0.635  -0.772 -0.797  -0.849 -0.953  -0.921 -1.110  -0.896 -1.038  -0.802 -0.892  -0.716 -0.741  -0.630 -0.591  -0.537 -0.444  -0.441 -0.299  -0.345 -0.155  -0.248 -0.010  -0.137 0.122  -0.015 0.245  0.108 0.367  0.231 0.490  0.352 0.615  0.471 0.741  0.590 0.867  0.709 0.994  0.824 1.124  0.948 1.232  1.056 1.112  1.022 0.942  0.973 0.776  0.904 0.617  0.834 0.458  0.776 0.295  0.726 0.128  0.676 -0.038  0.622 -0.203  0.553 -0.362  0.483 -0.521  0.425 -0.684  0.386 -0.853  0.352 -1.023  0.334 -1.196  0.369 -1.360  0.440 -1.519
