2#apb#apb10#app1038/P  -0.491 0.525  -0.308 0.450  -0.101 0.518  0.093 0.615  0.270 0.743  0.434 0.885  0.497 1.014  0.362 0.844  0.254 0.654  0.152 0.461  0.048 0.269  -0.061 0.079  -0.169 -0.110  -0.271 -0.303  -0.372 -0.497  -0.474 -0.690  -0.581 -0.880  -0.687 -1.071  -0.794 -1.262  -0.900 -1.452  -1.011 -1.641  -1.031 -1.699  -0.928 -1.506  -0.826 -1.313  -0.724 -1.120  -0.622 -0.927  -0.520 -0.734  -0.418 -0.541  -0.316 -0.348  -0.213 -0.155  -0.111 0.038  -0.009 0.231  0.093 0.424  0.195 0.617  0.297 0.810  0.274 0.990  0.464 1.010  0.679 1.048  0.897 1.066  1.112 1.037  1.226 0.869  1.166 0.665  1.043 0.487  0.890 0.332  0.722 0.192  0.542 0.070  0.355 -0.043  0.158 -0.137  -0.038 -0.234  -0.247 -0.283
2#apb#apb10#app1038/l  -0.305 0.467  -0.207 0.467  -0.108 0.467  -0.017 0.503  0.074 0.541  0.165 0.577  0.255 0.618  0.344 0.660  0.428 0.710  0.512 0.763  0.591 0.821  0.669 0.881  0.735 0.954  0.793 1.032  0.836 1.120  0.792 1.089  0.732 1.011  0.674 0.931  0.617 0.851  0.562 0.770  0.508 0.687  0.454 0.605  0.401 0.522  0.347 0.440  0.292 0.358  0.237 0.277  0.182 0.195  0.126 0.114  0.071 0.032  0.016 -0.049  -0.039 -0.131  -0.093 -0.213  -0.148 -0.295  -0.203 -0.377  -0.257 -0.459  -0.312 -0.540  -0.366 -0.622  -0.421 -0.704  -0.472 -0.788  -0.523 -0.873  -0.574 -0.957  -0.624 -1.042  -0.675 -1.126  -0.726 -1.210  -0.775 -1.296  -0.821 -1.383  -0.867 -1.469  -0.914 -1.556  -0.960 -1.643  -1.006 -1.730
2#apb#apb10#app1038/e  -0.751 -0.598  -0.853 -0.657  -0.790 -0.638  -0.651 -0.608  -0.515 -0.570  -0.380 -0.525  -0.247 -0.475  -0.127 -0.399  -0.007 -0.323  0.112 -0.246  0.234 -0.173  0.357 -0.102  0.480 -0.030  0.602 0.043  0.703 0.143  0.803 0.244  0.883 0.360  0.959 0.481  1.015 0.608  1.031 0.749  1.047 0.890  1.012 1.028  0.973 1.164  0.859 1.249  0.726 1.264  0.585 1.246  0.467 1.182  0.366 1.082  0.266 0.981  0.165 0.881  0.082 0.766  0.001 0.649  -0.079 0.532  -0.159 0.414  -0.239 0.297  -0.320 0.180  -0.387 0.055  -0.451 -0.072  -0.514 -0.199  -0.578 -0.327  -0.642 -0.454  -0.691 -0.586  -0.723 -0.725  -0.755 -0.863  -0.787 -1.002  -0.747 -1.137  -0.702 -1.272  -0.637 -1.395  -0.544 -1.503  -0.452 -1.611
2#apb#apb10#app1038/a  0.213 -0.036  0.349 0.032  0.485 0.100  0.612 0.183  0.744 0.244  0.853 0.287  0.777 0.364  0.773 0.512  0.710 0.650  0.638 0.784  0.547 0.906  0.422 0.991  0.285 1.044  0.132 1.044  -0.020 1.044  -0.172 1.026  -0.323 1.007  -0.457 0.939  -0.587 0.860  -0.718 0.782  -0.827 0.677  -0.929 0.563  -1.031 0.450  -1.119 0.329  -1.162 0.183  -1.206 0.037  -1.216 -0.111  -1.191 -0.261  -1.108 -0.388  -1.020 -0.512  -0.897 -0.591  -0.754 -0.645  -0.609 -0.665  -0.459 -0.635  -0.310 -0.605  -0.159 -0.586  -0.007 -0.571  0.144 -0.553  0.289 -0.505  0.433 -0.457  0.575 -0.401  0.715 -0.341  0.823 -0.391  0.853 -0.534  0.828 -0.683  0.787 -0.830  0.773 -0.980  0.773 -1.132  0.811 -1.266  0.933 -1.357
2#apb#apb10#app1038/s  0.872 1.260  0.797 1.326  0.683 1.307  0.573 1.270  0.465 1.226  0.359 1.178  0.252 1.131  0.142 1.093  0.031 1.057  -0.076 1.013  -0.173 0.948  -0.260 0.875  -0.312 0.771  -0.348 0.663  -0.348 0.547  -0.270 0.466  -0.181 0.391  -0.089 0.319  0.010 0.259  0.110 0.199  0.210 0.139  0.318 0.096  0.426 0.052  0.535 0.009  0.619 -0.070  0.701 -0.153  0.777 -0.241  0.834 -0.336  0.789 -0.443  0.743 -0.550  0.639 -0.599  0.531 -0.645  0.427 -0.695  0.322 -0.747  0.218 -0.800  0.114 -0.852  -0.002 -0.860  -0.118 -0.868  -0.235 -0.877  -0.351 -0.885  -0.467 -0.885  -0.584 -0.885  -0.700 -0.885  -0.815 -0.871  -0.924 -0.832  -1.034 -0.792  -1.143 -0.753  -1.259 -0.736  -1.373 -0.718  -1.437 -0.621
2#apb#apb10#app1038/e  -0.945 -0.694  -0.798 -0.673  -0.652 -0.652  -0.520 -0.589  -0.393 -0.513  -0.266 -0.437  -0.140 -0.360  -0.019 -0.276  0.103 -0.191  0.224 -0.106  0.344 -0.020  0.461 0.071  0.578 0.162  0.695 0.253  0.794 0.361  0.880 0.481  0.966 0.602  0.999 0.744  1.024 0.890  0.964 1.023  0.898 1.156  0.779 1.235  0.647 1.302  0.512 1.283  0.377 1.223  0.242 1.163  0.123 1.078  0.019 0.973  -0.086 0.868  -0.191 0.764  -0.281 0.648  -0.359 0.522  -0.437 0.396  -0.514 0.270  -0.592 0.144  -0.631 0.004  -0.652 -0.143  -0.673 -0.289  -0.694 -0.436  -0.700 -0.581  -0.645 -0.718  -0.590 -0.855  -0.535 -0.993  -0.430 -1.092  -0.312 -1.181  -0.193 -1.270  -0.060 -1.328  0.083 -1.367  0.226 -1.406  0.369 -1.445
2#apb#apb10#app1038/p  -0.442 0.388  -0.289 0.376  -0.111 0.431  0.064 0.531  0.231 0.645  0.381 0.780  0.383 0.847  0.267 0.681  0.150 0.516  0.041 0.346  -0.067 0.175  -0.177 0.005  -0.288 -0.164  -0.399 -0.333  -0.505 -0.505  -0.611 -0.677  -0.719 -0.849  -0.829 -1.018  -0.941 -1.186  -1.060 -1.350  -1.146 -1.532  -1.105 -1.521  -1.004 -1.346  -0.903 -1.171  -0.802 -0.996  -0.700 -0.821  -0.599 -0.646  -0.498 -0.471  -0.397 -0.296  -0.296 -0.121  -0.194 0.054  -0.093 0.230  0.008 0.405  0.109 0.580  0.210 0.755  0.351 0.887  0.549 0.917  0.751 0.913  0.952 0.898  1.145 0.837  1.329 0.756  1.443 0.604  1.366 0.427  1.217 0.293  1.032 0.212  0.839 0.151  0.638 0.130  0.436 0.116  0.236 0.089  0.045 0.026
2#apb#apb10#app1038/i  0.005 0.135  -0.064 0.053  -0.132 -0.029  -0.189 -0.119  -0.244 -0.211  -0.299 -0.302  -0.368 -0.383  -0.443 -0.459  -0.519 -0.534  -0.572 -0.624  -0.609 -0.725  -0.636 -0.826  -0.636 -0.933  -0.631 -1.039  -0.571 -1.127  -0.507 -1.213  -0.420 -1.270  -0.324 -1.318  -0.285 -1.229  -0.252 -1.128  -0.219 -1.026  -0.186 -0.925  -0.153 -0.823  -0.119 -0.722  -0.086 -0.620  -0.053 -0.518  -0.020 -0.417  0.014 -0.315  0.047 -0.214  0.080 -0.112  0.113 -0.011  0.146 0.091  0.180 0.193  0.213 0.294  0.246 0.396  0.279 0.497  0.313 0.599  0.346 0.700  0.379 0.802  0.412 0.904  0.445 1.005  0.479 1.107  0.512 1.208  0.545 1.310  0.578 1.411  0.612 1.513  0.645 1.614  0.678 1.716  0.683 1.797  0.588 1.826
2#apb#apb10#app1038/c  1.411 0.741  1.411 0.839  1.326 0.854  1.229 0.868  1.132 0.881  1.034 0.885  0.937 0.878  0.839 0.870  0.741 0.863  0.643 0.855  0.550 0.829  0.461 0.788  0.372 0.747  0.283 0.706  0.194 0.665  0.106 0.623  0.019 0.576  -0.067 0.530  -0.153 0.483  -0.240 0.437  -0.326 0.390  -0.406 0.334  -0.482 0.272  -0.558 0.210  -0.633 0.148  -0.709 0.086  -0.780 0.019  -0.837 -0.061  -0.894 -0.141  -0.949 -0.221  -0.949 -0.319  -0.949 -0.417  -0.928 -0.510  -0.878 -0.594  -0.819 -0.669  -0.730 -0.709  -0.640 -0.750  -0.551 -0.790  -0.462 -0.831  -0.368 -0.859  -0.273 -0.881  -0.177 -0.903  -0.082 -0.925  0.014 -0.947  0.111 -0.959  0.209 -0.966  0.307 -0.972  0.404 -0.979  0.502 -0.985  0.600 -0.992
2#apb#apb10#app1038/k  0.163 1.578  0.272 1.432  0.155 1.171  0.021 0.917  -0.117 0.665  -0.280 0.429  -0.452 0.199  -0.618 -0.035  -0.782 -0.270  -0.950 -0.503  -1.122 -0.733  -1.287 -0.968  -1.443 -1.209  -1.279 -1.093  -1.057 -0.911  -0.835 -0.730  -0.613 -0.548  -0.390 -0.366  -0.168 -0.185  0.054 -0.003  0.277 0.179  0.499 0.361  0.721 0.542  0.943 0.724  1.166 0.906  1.388 1.087  1.254 1.014  1.016 0.854  0.793 0.673  0.563 0.502  0.326 0.340  0.092 0.174  -0.141 0.006  -0.380 -0.154  -0.621 -0.309  -0.859 -0.469  -0.826 -0.492  -0.567 -0.367  -0.309 -0.242  -0.039 -0.154  0.227 -0.052  0.505 0.017  0.776 0.110  1.013 0.082  0.840 -0.134  0.623 -0.322  0.439 -0.537  0.311 -0.793  0.282 -1.067  0.416 -1.315
2#apb#apb10#app1038/u  -0.646 0.878  -0.646 0.887  -0.697 0.763  -0.764 0.642  -0.836 0.524  -0.908 0.407  -0.984 0.292  -1.071 0.185  -1.158 0.079  -1.219 -0.044  -1.268 -0.172  -1.315 -0.302  -1.353 -0.435  -1.314 -0.565  -1.194 -0.604  -1.056 -0.613  -0.918 -0.613  -0.781 -0.607  -0.643 -0.597  -0.506 -0.586  -0.370 -0.565  -0.233 -0.544  -0.096 -0.540  0.041 -0.537  0.132 -0.433  0.222 -0.329  0.313 -0.225  0.404 -0.121  0.494 -0.017  0.585 0.086  0.675 0.190  0.766 0.294  0.857 0.398  0.947 0.502  1.038 0.606  1.129 0.710  1.201 0.805  1.071 0.777  0.965 0.695  0.938 0.559  0.910 0.424  0.879 0.290  0.848 0.156  0.826 0.020  0.805 -0.117  0.780 -0.252  0.753 -0.388  0.761 -0.524  0.791 -0.657  0.845 -0.784
