2#apa#apa13#app1334/!  0.044 1.736  0.044 1.662  0.044 1.588  0.044 1.514  0.044 1.441  0.044 1.367  0.044 1.293  0.044 1.219  0.044 1.145  0.044 1.071  0.044 0.997  0.044 0.923  0.044 0.849  0.044 0.775  0.044 0.701  0.044 0.628  0.044 0.554  0.044 0.480  0.044 0.406  0.044 0.332  0.024 0.266  -0.028 0.214  -0.067 0.156  -0.067 0.083  -0.067 0.009  -0.067 -0.065  -0.067 -0.139  -0.067 -0.213  -0.053 -0.272  0.021 -0.272  0.039 -0.323  0.033 -0.397  0.026 -0.470  0.019 -0.544  0.013 -0.617  0.006 -0.691  -0.001 -0.765  -0.007 -0.838  -0.014 -0.912  -0.021 -0.985  -0.027 -1.059  -0.034 -1.133  -0.041 -1.206  -0.048 -1.280  -0.054 -1.354  -0.061 -1.427  -0.067 -1.501  -0.067 -1.575  -0.067 -1.649  -0.067 -1.722
2#apa#apa13#app1334/@  0.437 0.485  0.196 0.605  -0.095 0.605  -0.336 0.485  -0.476 0.289  -0.597 0.048  -0.638 -0.225  -0.401 -0.348  -0.126 -0.316  0.130 -0.231  0.356 -0.074  0.557 0.063  0.557 0.354  0.278 0.366  -0.013 0.366  -0.177 0.229  -0.383 0.024  -0.518 -0.211  -0.518 -0.502  -0.518 -0.793  -0.422 -1.044  -0.168 -1.182  0.121 -1.187  0.412 -1.187  0.625 -0.999  0.831 -0.793  1.036 -0.588  1.193 -0.352  1.273 -0.074  1.273 0.216  1.273 0.507  1.137 0.741  0.931 0.947  0.725 1.152  0.479 1.301  0.193 1.321  -0.098 1.321  -0.365 1.219  -0.593 1.045  -0.805 0.867  -0.969 0.631  -0.996 0.352  -0.996 0.061  -0.996 -0.230  -0.996 -0.521  -0.904 -0.755  -0.644 -0.885  -0.373 -0.984  -0.091 -1.055  0.198 -1.067
2#apa#apa13#app1334/#  0.710 0.882  0.562 0.629  0.266 0.525  0.044 0.216  -0.205 -0.088  -0.339 -0.463  -0.622 -0.746  -0.622 -1.147  -0.377 -0.929  -0.103 -0.637  0.171 -0.345  0.444 -0.053  0.718 0.240  0.992 0.532  1.266 0.824  1.540 1.116  1.375 0.955  1.153 0.733  0.870 0.450  0.586 0.166  0.398 -0.185  0.266 -0.554  0.113 -0.604  -0.182 -0.332  -0.476 -0.061  -0.770 0.211  -1.064 0.482  -1.358 0.754  -1.653 1.025  -1.472 0.734  -1.113 0.634  -0.733 0.586  -0.363 0.457  0.033 0.438  0.372 0.290  0.711 0.142  1.037 -0.037  0.918 -0.154  0.518 -0.154  0.118 -0.154  -0.283 -0.154  -0.683 -0.154  -1.078 -0.167  -1.213 -0.511  -0.948 -0.715  -0.622 -0.807  -0.308 -0.894  0.092 -0.894  0.458 -1.042  0.858 -1.042
2#apa#apa13#app1334/$  1.390 0.909  1.052 1.036  0.660 1.036  0.337 0.872  0.035 0.655  -0.254 0.408  -0.515 0.198  -0.174 0.147  0.218 0.147  0.584 0.042  0.628 -0.322  0.501 -0.661  0.244 -0.871  -0.086 -1.075  -0.457 -1.123  -0.849 -1.123  -1.241 -1.123  -1.308 -0.848  -1.094 -0.520  -0.881 -0.192  -0.668 0.137  -0.454 0.465  -0.241 0.793  -0.027 1.122  0.186 1.450  0.374 1.318  0.325 0.938  0.183 0.591  0.042 0.245  -0.134 -0.083  -0.320 -0.412  -0.514 -0.741  -0.611 -1.092  -0.642 -1.471  -0.534 -1.425  -0.353 -1.078  -0.172 -0.731  0.009 -0.384  0.190 -0.037  0.371 0.311  0.552 0.658  0.733 1.005  0.882 1.221  0.802 0.909  0.611 0.621  0.398 0.298  0.225 -0.025  0.008 -0.346  -0.007 -0.731  -0.007 -1.123
2#apa#apa13#app1334/%  1.176 0.942  1.038 0.758  0.932 0.561  0.721 0.488  0.551 0.318  0.420 0.119  0.290 -0.081  0.120 -0.251  -0.050 -0.421  -0.221 -0.592  -0.391 -0.762  -0.561 -0.932  -0.634 -1.143  -0.827 -1.259  -0.878 -1.356  -0.816 -1.123  -0.755 -0.890  -0.694 -0.657  -0.632 -0.424  -0.571 -0.191  -0.510 0.042  -0.449 0.275  -0.387 0.508  -0.326 0.741  -0.265 0.974  -0.203 1.207  -0.338 1.125  -0.338 0.884  -0.314 0.667  -0.074 0.667  0.075 0.760  0.075 1.001  -0.040 1.194  -0.271 1.217  -0.461 1.184  -0.363 0.964  -0.265 0.744  -0.167 0.524  -0.070 0.304  0.028 0.084  0.126 -0.136  0.224 -0.357  0.322 -0.577  0.420 -0.797  0.517 -1.017  0.615 -1.237  0.842 -1.259  1.029 -1.130  1.176 -0.950  1.176 -0.709
2#apa#apa13#app1334/^  0.210 0.841  0.364 0.995  0.210 1.000  0.152 0.841  0.036 0.739  0.036 0.521  -0.138 0.478  -0.156 0.263  -0.225 0.057  -0.294 -0.150  -0.426 -0.317  -0.486 -0.510  -0.610 -0.676  -0.660 -0.873  -0.795 -1.035  -0.949 -1.189  -1.008 -1.382  -1.006 -1.246  -0.852 -1.092  -0.698 -0.938  -0.660 -0.736  -0.637 -0.528  -0.483 -0.374  -0.329 -0.220  -0.225 -0.030  -0.138 0.167  -0.108 0.377  -0.011 0.572  0.036 0.779  0.106 0.980  0.203 1.174  0.353 1.331  0.385 1.536  0.343 1.363  0.210 1.278  0.210 1.060  0.210 0.843  0.210 0.625  0.210 0.407  0.210 0.190  0.210 -0.028  0.363 -0.182  0.394 -0.387  0.548 -0.541  0.579 -0.746  0.733 -0.900  0.907 -0.943  0.994 -1.074  1.212 -1.074  1.255 -1.248
2#apa#apa13#app1334/&  0.603 2.007  0.603 1.800  0.603 1.593  0.603 1.387  0.603 1.180  0.587 0.979  0.459 0.826  0.459 0.619  0.459 0.412  0.428 0.212  0.336 0.027  0.314 -0.175  0.314 -0.382  0.314 -0.589  0.314 -0.795  0.314 -1.002  0.351 -1.172  0.459 -1.073  0.459 -0.866  0.459 -0.660  0.459 -0.453  0.276 -0.359  0.170 -0.218  0.170 -0.011  0.121 0.176  0.025 0.343  -0.069 0.511  -0.255 0.562  -0.462 0.562  -0.669 0.562  -0.824 0.436  -0.970 0.290  -1.158 0.246  -1.276 0.087  -1.349 -0.089  -1.420 -0.267  -1.404 -0.467  -1.250 -0.594  -1.043 -0.594  -0.836 -0.594  -0.629 -0.594  -0.422 -0.594  -0.220 -0.572  -0.035 -0.480  0.165 -0.450  0.370 -0.436  0.570 -0.386  0.771 -0.336  0.974 -0.305  1.181 -0.305
2#apa#apa13#app1334/*  -0.532 1.051  -0.471 0.856  -0.397 0.665  -0.397 0.445  -0.384 0.229  -0.263 0.059  -0.263 -0.162  -0.263 -0.383  -0.141 -0.553  -0.128 -0.768  -0.019 -0.944  -0.038 -1.082  -0.235 -0.984  -0.433 -0.885  -0.630 -0.786  -0.828 -0.687  -1.025 -0.589  -1.223 -0.490  -1.420 -0.391  -1.602 -0.296  -1.381 -0.296  -1.213 -0.169  -0.995 -0.161  -0.822 -0.047  -0.609 -0.027  -0.389 -0.027  -0.168 -0.027  0.053 -0.027  0.274 -0.027  0.495 -0.027  0.715 -0.027  0.936 -0.027  1.157 -0.027  1.282 0.119  1.369 0.322  1.456 0.525  1.543 0.728  1.608 0.916  1.387 0.916  1.186 0.833  1.085 0.675  0.891 0.647  0.713 0.545  0.557 0.389  0.361 0.328  0.205 0.172  0.025 0.050  -0.164 -0.062  -0.335 -0.197  -0.532 -0.296
2#apa#apa13#app1334/(  0.654 1.541  0.654 1.459  0.640 1.382  0.582 1.324  0.524 1.266  0.448 1.249  0.366 1.249  0.362 1.171  0.352 1.093  0.293 1.035  0.235 0.977  0.177 0.919  0.119 0.861  0.070 0.799  0.070 0.716  0.038 0.666  -0.044 0.666  -0.076 0.615  -0.076 0.533  -0.076 0.451  -0.078 0.369  -0.104 0.291  -0.130 0.213  -0.156 0.134  -0.182 0.056  -0.208 -0.022  -0.249 -0.090  -0.307 -0.149  -0.365 -0.207  -0.367 -0.288  -0.367 -0.370  -0.367 -0.453  -0.367 -0.535  -0.367 -0.617  -0.367 -0.700  -0.367 -0.782  -0.367 -0.864  -0.361 -0.944  -0.303 -1.002  -0.245 -1.060  -0.222 -1.133  -0.222 -1.215  -0.154 -1.230  -0.073 -1.233  -0.015 -1.291  0.044 -1.349  0.115 -1.376  0.197 -1.376  0.280 -1.376  0.362 -1.376
2#apa#apa13#app1334/)  -0.332 1.517  -0.256 1.517  -0.180 1.517  -0.166 1.455  -0.166 1.379  -0.166 1.303  -0.166 1.227  -0.166 1.151  -0.166 1.075  -0.145 1.021  -0.069 1.021  -0.001 1.013  -0.001 0.937  -0.001 0.861  -0.001 0.785  -0.001 0.709  0.025 0.639  0.059 0.571  0.093 0.503  0.127 0.435  0.161 0.367  0.165 0.292  0.165 0.216  0.165 0.141  0.165 0.065  0.165 -0.011  0.165 -0.087  0.165 -0.163  0.165 -0.239  0.165 -0.315  0.165 -0.391  0.165 -0.467  0.165 -0.543  0.165 -0.619  0.165 -0.695  0.165 -0.771  0.132 -0.834  0.079 -0.887  0.025 -0.941  -0.001 -1.006  -0.001 -1.082  -0.001 -1.158  -0.001 -1.234  -0.009 -1.307  -0.063 -1.360  -0.117 -1.414  -0.171 -1.468  -0.224 -1.521  -0.278 -1.575  -0.332 -1.629
2#apa#apa13#app1334/`  -0.787 1.503  -0.787 1.425  -0.787 1.348  -0.787 1.270  -0.787 1.192  -0.787 1.114  -0.787 1.037  -0.764 0.969  -0.709 0.914  -0.654 0.859  -0.599 0.804  -0.544 0.749  -0.531 0.676  -0.531 0.598  -0.531 0.521  -0.505 0.454  -0.450 0.399  -0.395 0.344  -0.340 0.289  -0.285 0.234  -0.275 0.160  -0.275 0.082  -0.275 0.005  -0.246 -0.061  -0.191 -0.116  -0.136 -0.171  -0.081 -0.226  -0.026 -0.281  0.042 -0.318  0.112 -0.353  0.181 -0.388  0.251 -0.422  0.320 -0.457  0.390 -0.492  0.459 -0.527  0.492 -0.584  0.492 -0.662  0.492 -0.739  0.511 -0.799  0.588 -0.799  0.666 -0.799  0.744 -0.799  0.800 -0.851  0.855 -0.906  0.910 -0.961  0.965 -1.016  1.027 -1.055  1.104 -1.055  1.182 -1.055  1.260 -1.055
