2#apa#apa13#app1371/P  0.133 0.455  0.029 0.517  -0.033 0.347  -0.033 0.150  -0.033 -0.046  -0.033 -0.242  -0.005 -0.432  0.050 -0.615  0.050 -0.812  0.050 -1.008  0.050 -1.204  0.050 -1.401  0.050 -1.597  0.112 -1.656  0.035 -1.476  -0.043 -1.295  -0.120 -1.115  -0.197 -0.934  -0.275 -0.754  -0.352 -0.573  -0.429 -0.393  -0.507 -0.212  -0.584 -0.032  -0.661 0.148  -0.739 0.329  -0.816 0.509  -0.864 0.696  -0.947 0.809  -0.864 0.971  -0.772 1.129  -0.607 1.203  -0.445 1.286  -0.248 1.286  -0.052 1.286  0.134 1.244  0.316 1.170  0.493 1.093  0.646 0.972  0.808 0.861  0.946 0.723  0.964 0.534  0.964 0.337  0.964 0.141  0.854 -0.015  0.748 -0.177  0.590 -0.293  0.424 -0.397  0.242 -0.459  0.071 -0.521  -0.116 -0.542
2#apa#apa13#app1371/e  -0.840 -0.716  -0.672 -0.716  -0.505 -0.716  -0.354 -0.675  -0.232 -0.567  -0.074 -0.543  0.044 -0.425  0.163 -0.307  0.281 -0.188  0.399 -0.070  0.496 0.058  0.531 0.210  0.644 0.331  0.644 0.498  0.644 0.666  0.599 0.814  0.480 0.933  0.362 1.051  0.201 1.065  0.082 1.183  -0.073 1.214  -0.240 1.214  -0.406 1.208  -0.556 1.133  -0.691 1.049  -0.716 0.892  -0.835 0.774  -0.848 0.612  -0.966 0.494  -0.988 0.335  -0.988 0.168  -0.988 0.001  -0.956 -0.154  -0.838 -0.271  -0.688 -0.346  -0.539 -0.423  -0.421 -0.541  -0.302 -0.659  -0.158 -0.716  0.009 -0.716  0.176 -0.716  0.344 -0.716  0.511 -0.716  0.679 -0.716  0.846 -0.716  1.014 -0.716  1.181 -0.716  1.348 -0.716  1.516 -0.716  1.683 -0.716
2#apa#apa13#app1371/r  -0.745 0.032  -0.646 -0.068  -0.547 -0.167  -0.447 -0.266  -0.429 -0.399  -0.429 -0.539  -0.429 -0.679  -0.368 -0.759  -0.271 -0.802  -0.253 -0.935  -0.154 -1.034  -0.054 -1.133  0.045 -1.232  0.185 -1.233  0.203 -1.111  0.099 -1.075  0.045 -0.989  -0.003 -0.868  -0.102 -0.769  -0.113 -0.633  -0.189 -0.524  -0.288 -0.425  -0.387 -0.326  -0.511 -0.284  -0.587 -0.221  -0.608 -0.085  -0.670 0.040  -0.733 0.166  -0.745 0.303  -0.745 0.444  -0.745 0.584  -0.685 0.664  -0.544 0.664  -0.404 0.664  -0.264 0.664  -0.124 0.664  0.017 0.664  0.154 0.691  0.290 0.725  0.426 0.759  0.562 0.793  0.699 0.822  0.839 0.822  0.980 0.822  1.120 0.822  1.249 0.871  1.374 0.933  1.504 0.980  1.644 0.980  1.784 0.980
2#apa#apa13#app1371/h  -0.776 1.829  -0.760 1.726  -0.689 1.645  -0.689 1.535  -0.689 1.425  -0.689 1.315  -0.689 1.205  -0.672 1.100  -0.623 1.001  -0.574 0.903  -0.525 0.805  -0.516 0.697  -0.516 0.587  -0.494 0.482  -0.444 0.384  -0.429 0.278  -0.429 0.168  -0.413 0.061  -0.364 -0.037  -0.328 -0.140  -0.301 -0.246  -0.274 -0.353  -0.233 -0.451  -0.169 -0.535  -0.138 -0.632  -0.082 -0.718  -0.044 -0.813  0.005 -0.902  0.068 -0.949  0.092 -0.863  0.108 -0.760  0.179 -0.679  0.211 -0.602  0.266 -0.546  0.266 -0.436  0.338 -0.356  0.354 -0.253  0.432 -0.175  0.538 -0.168  0.648 -0.168  0.741 -0.209  0.786 -0.301  0.786 -0.410  0.790 -0.519  0.868 -0.597  0.884 -0.700  0.962 -0.777  1.040 -0.855  1.056 -0.958  1.134 -1.036
2#apa#apa13#app1371/a  -0.244 0.676  -0.398 0.676  -0.546 0.691  -0.655 0.799  -0.800 0.820  -0.954 0.820  -1.108 0.820  -1.251 0.809  -1.251 0.655  -1.251 0.501  -1.251 0.348  -1.228 0.199  -1.159 0.061  -1.081 -0.069  -0.972 -0.178  -0.822 -0.187  -0.712 -0.294  -0.573 -0.331  -0.452 -0.410  -0.325 -0.475  -0.171 -0.475  -0.017 -0.475  0.110 -0.409  0.219 -0.300  0.327 -0.191  0.332 -0.039  0.332 0.115  0.308 0.245  0.188 0.279  0.157 0.420  0.048 0.529  -0.095 0.532  0.054 0.522  0.163 0.413  0.188 0.269  0.279 0.153  0.332 0.021  0.395 -0.107  0.476 -0.227  0.521 -0.353  0.658 -0.422  0.796 -0.491  0.934 -0.560  1.073 -0.626  1.219 -0.674  1.365 -0.723  1.512 -0.762  1.655 -0.790  1.763 -0.899  1.914 -0.906
2#apa#apa13#app1371/p  -0.370 0.955  -0.370 0.777  -0.305 0.626  -0.281 0.457  -0.281 0.279  -0.281 0.101  -0.193 -0.040  -0.193 -0.218  -0.193 -0.396  -0.193 -0.574  -0.193 -0.753  -0.193 -0.931  -0.193 -1.109  -0.193 -1.287  -0.193 -1.465  -0.193 -1.643  -0.199 -1.748  -0.229 -1.573  -0.260 -1.397  -0.290 -1.222  -0.320 -1.046  -0.350 -0.871  -0.381 -0.695  -0.411 -0.520  -0.441 -0.344  -0.471 -0.169  -0.502 0.007  -0.532 0.182  -0.562 0.358  -0.592 0.533  -0.623 0.709  -0.527 0.778  -0.381 0.855  -0.208 0.867  -0.066 0.955  0.112 0.955  0.276 1.013  0.447 1.044  0.625 1.044  0.801 1.033  0.960 0.953  1.119 0.874  1.206 0.721  1.221 0.547  1.093 0.473  0.967 0.347  0.810 0.264  0.675 0.152  0.515 0.072  0.337 0.071
2#apa#apa13#app1371/s  0.378 1.016  0.228 1.016  0.078 1.016  -0.072 1.016  -0.199 0.962  -0.317 0.885  -0.467 0.885  -0.617 0.885  -0.757 0.841  -0.891 0.774  -1.036 0.754  -1.186 0.754  -1.182 0.623  -1.041 0.601  -0.935 0.495  -0.791 0.482  -0.685 0.376  -0.545 0.330  -0.400 0.293  -0.254 0.257  -0.108 0.230  0.042 0.230  0.170 0.176  0.288 0.099  0.438 0.099  0.588 0.099  0.709 0.030  0.815 -0.076  0.921 -0.182  1.027 -0.288  1.164 -0.305  1.194 -0.425  1.295 -0.474  1.248 -0.604  1.132 -0.687  0.997 -0.723  0.887 -0.818  0.737 -0.818  0.587 -0.818  0.437 -0.818  0.287 -0.818  0.137 -0.818  -0.013 -0.818  -0.163 -0.818  -0.313 -0.818  -0.463 -0.818  -0.613 -0.818  -0.763 -0.818  -0.913 -0.818  -1.063 -0.818
2#apa#apa13#app1371/t  0.086 1.538  0.086 1.526  0.086 1.343  0.086 1.159  0.086 0.976  0.086 0.792  0.086 0.608  0.086 0.425  0.086 0.241  0.086 0.058  0.086 -0.126  0.086 -0.310  0.086 -0.493  0.086 -0.677  0.162 -0.842  0.225 -1.002  0.258 -1.172  0.343 -1.320  0.254 -1.289  0.125 -1.159  -0.005 -1.029  -0.135 -0.899  -0.265 -0.770  -0.395 -0.640  -0.524 -0.510  -0.654 -0.380  -0.784 -0.250  -0.914 -0.120  -1.044 0.009  -1.174 0.139  -1.303 0.269  -1.371 0.252  -1.217 0.182  -1.040 0.166  -0.856 0.166  -0.673 0.166  -0.489 0.166  -0.305 0.166  -0.122 0.166  0.062 0.166  0.245 0.166  0.429 0.166  0.607 0.211  0.786 0.252  0.969 0.252  1.153 0.252  1.336 0.252  1.520 0.252  1.704 0.252  1.887 0.252
2#apa#apa13#app1371/h  -0.554 1.974  -0.554 1.825  -0.554 1.675  -0.554 1.526  -0.554 1.376  -0.554 1.227  -0.554 1.077  -0.554 0.928  -0.554 0.778  -0.554 0.629  -0.554 0.480  -0.518 0.339  -0.451 0.205  -0.450 0.056  -0.450 -0.094  -0.450 -0.243  -0.450 -0.392  -0.450 -0.542  -0.450 -0.691  -0.450 -0.841  -0.450 -0.990  -0.450 -1.140  -0.426 -1.021  -0.320 -0.916  -0.242 -0.799  -0.182 -0.674  -0.138 -0.543  -0.079 -0.407  -0.012 -0.274  0.055 -0.140  0.070 0.006  0.095 0.149  0.162 0.283  0.261 0.394  0.366 0.500  0.509 0.516  0.591 0.449  0.671 0.332  0.695 0.193  0.695 0.044  0.695 -0.106  0.695 -0.255  0.695 -0.405  0.695 -0.554  0.728 -0.696  0.795 -0.829  0.898 -0.937  0.967 -1.069  1.066 -1.150  1.112 -1.254
2#apa#apa13#app1371/e  -0.781 -0.585  -0.741 -0.711  -0.576 -0.711  -0.445 -0.627  -0.329 -0.510  -0.184 -0.459  -0.058 -0.365  0.059 -0.248  0.176 -0.131  0.225 0.014  0.285 0.165  0.365 0.309  0.476 0.428  0.476 0.594  0.476 0.759  0.476 0.924  0.476 1.089  0.404 1.210  0.256 1.284  0.095 1.300  -0.071 1.300  -0.212 1.241  -0.328 1.124  -0.445 1.007  -0.562 0.890  -0.679 0.773  -0.791 0.652  -0.864 0.505  -0.907 0.349  -0.907 0.184  -0.907 0.019  -0.907 -0.147  -0.907 -0.312  -0.805 -0.435  -0.688 -0.552  -0.549 -0.638  -0.401 -0.711  -0.236 -0.711  -0.070 -0.711  0.095 -0.711  0.260 -0.711  0.426 -0.711  0.591 -0.711  0.756 -0.711  0.922 -0.711  1.087 -0.711  1.252 -0.705  1.412 -0.665  1.572 -0.625  1.733 -0.585
2#apa#apa13#app1371/g  0.629 0.873  0.629 1.025  0.596 1.163  0.465 1.215  0.313 1.215  0.160 1.215  0.008 1.215  -0.135 1.175  -0.262 1.094  -0.369 0.987  -0.498 0.908  -0.634 0.840  -0.740 0.753  -0.811 0.631  -0.826 0.484  -0.826 0.332  -0.760 0.207  -0.651 0.102  -0.499 0.102  -0.347 0.102  -0.194 0.102  -0.042 0.102  0.110 0.102  0.244 0.145  0.378 0.191  0.515 0.259  0.578 0.359  0.614 0.445  0.544 0.363  0.414 0.315  0.372 0.179  0.372 0.027  0.372 -0.125  0.372 -0.277  0.385 -0.424  0.458 -0.546  0.458 -0.699  0.458 -0.851  0.458 -1.003  0.458 -1.155  0.369 -1.271  0.251 -1.353  0.099 -1.353  -0.054 -1.353  -0.206 -1.353  -0.358 -1.353  -0.510 -1.353  -0.653 -1.311  -0.795 -1.267  -0.911 -1.182
