1c#apa#apa00#app0049/r  -0.415 -0.647  -0.415 -0.736  -0.415 -0.826  -0.415 -0.915  -0.354 -0.979  -0.291 -1.043  -0.280 -1.127  -0.260 -1.209  -0.197 -1.272  -0.144 -1.310  -0.144 -1.221  -0.144 -1.131  -0.156 -1.054  -0.246 -1.054  -0.280 -0.998  -0.280 -0.909  -0.280 -0.820  -0.280 -0.730  -0.280 -0.641  -0.280 -0.551  -0.280 -0.462  -0.280 -0.372  -0.280 -0.283  -0.280 -0.194  -0.280 -0.104  -0.280 -0.015  -0.260 0.070  -0.220 0.150  -0.180 0.230  -0.144 0.311  -0.144 0.400  -0.107 0.474  -0.044 0.538  0.019 0.601  0.083 0.664  0.146 0.727  0.209 0.791  0.262 0.858  0.262 0.947  0.303 1.020  0.366 1.083  0.435 1.140  0.509 1.189  0.584 1.239  0.658 1.288  0.733 1.338  0.807 1.386  0.897 1.386  0.986 1.386  1.076 1.386
1c#apa#apa00#app0049/e  -0.184 -0.208  -0.049 -0.208  0.086 -0.208  0.176 -0.135  0.237 -0.014  0.297 0.107  0.426 0.117  0.533 0.185  0.628 0.281  0.724 0.376  0.819 0.472  0.915 0.567  0.950 0.688  0.950 0.823  0.950 0.958  0.946 1.089  0.811 1.089  0.676 1.089  0.541 1.089  0.406 1.089  0.280 1.067  0.184 0.971  0.089 0.876  -0.007 0.780  -0.136 0.765  -0.245 0.704  -0.341 0.608  -0.437 0.512  -0.523 0.411  -0.584 0.290  -0.644 0.169  -0.725 0.062  -0.820 -0.033  -0.832 -0.163  -0.832 -0.298  -0.832 -0.433  -0.832 -0.568  -0.832 -0.703  -0.832 -0.839  -0.749 -0.939  -0.654 -1.035  -0.558 -1.130  -0.443 -1.180  -0.312 -1.197  -0.192 -1.257  -0.071 -1.318  0.059 -1.342  0.194 -1.342  0.329 -1.342  0.464 -1.342
1c#apa#apa00#app0049/p  -0.112 1.138  -0.005 0.985  -0.025 0.797  -0.112 0.635  -0.112 0.438  -0.112 0.241  -0.112 0.043  -0.112 -0.154  -0.112 -0.351  -0.112 -0.549  -0.112 -0.746  -0.091 -0.939  -0.005 -1.116  -0.005 -1.313  0.103 -1.466  0.103 -1.663  0.103 -1.860  0.050 -1.675  -0.003 -1.484  -0.056 -1.294  -0.110 -1.104  -0.163 -0.914  -0.216 -0.724  -0.269 -0.534  -0.322 -0.344  -0.376 -0.154  -0.429 0.036  -0.482 0.226  -0.535 0.416  -0.589 0.606  -0.642 0.796  -0.648 0.992  -0.611 1.175  -0.443 1.246  -0.246 1.246  -0.049 1.246  0.149 1.246  0.346 1.246  0.531 1.192  0.693 1.084  0.746 0.909  0.746 0.711  0.746 0.514  0.746 0.317  0.721 0.125  0.626 -0.041  0.459 -0.113  0.319 -0.252  0.144 -0.342  -0.005 -0.469
1c#apa#apa00#app0049/l  -0.109 1.775  -0.109 1.694  -0.147 1.628  -0.204 1.571  -0.219 1.496  -0.219 1.414  -0.219 1.333  -0.219 1.252  -0.219 1.170  -0.219 1.089  -0.219 1.008  -0.219 0.926  -0.219 0.845  -0.219 0.764  -0.219 0.682  -0.219 0.601  -0.219 0.520  -0.219 0.438  -0.219 0.357  -0.219 0.275  -0.200 0.199  -0.163 0.126  -0.127 0.053  -0.090 -0.019  -0.054 -0.092  -0.018 -0.165  0.000 -0.242  0.000 -0.323  0.000 -0.405  0.000 -0.486  0.000 -0.567  0.000 -0.649  0.000 -0.730  0.000 -0.811  -0.023 -0.883  -0.081 -0.941  -0.109 -1.010  -0.097 -1.079  -0.016 -1.079  0.065 -1.079  0.147 -1.079  0.228 -1.079  0.309 -1.079  0.391 -1.079  0.472 -1.079  0.553 -1.079  0.635 -1.079  0.716 -1.079  0.769 -1.051  0.769 -0.969
1c#apa#apa00#app0049/i  -0.359 0.598  -0.271 0.510  -0.224 0.405  -0.224 0.281  -0.224 0.157  -0.224 0.032  -0.224 -0.092  -0.224 -0.216  -0.224 -0.341  -0.224 -0.465  -0.224 -0.589  -0.181 -0.703  -0.125 -0.814  -0.089 -0.930  -0.089 -1.054  -0.068 -1.158  0.046 -1.168  0.046 -1.292  0.134 -1.380  0.181 -1.371  0.227 -1.293  0.341 -1.268  0.429 -1.180  0.451 -1.065  0.431 -0.943  0.401 -0.822  0.371 -0.702  0.341 -0.581  0.311 -0.461  0.281 -0.340  0.251 -0.220  0.220 -0.099  0.190 0.021  0.160 0.142  0.130 0.263  0.100 0.383  0.070 0.504  0.040 0.624  0.009 0.745  -0.021 0.865  -0.051 0.986  -0.081 1.106  -0.111 1.227  -0.141 1.347  -0.171 1.468  -0.202 1.589  -0.224 1.710  -0.245 1.813  -0.359 1.824  -0.359 1.948
1c#apa#apa00#app0049/e  0.036 0.210  0.161 0.210  0.166 0.328  0.279 0.340  0.297 0.446  0.397 0.470  0.521 0.470  0.620 0.533  0.713 0.613  0.824 0.669  0.935 0.724  0.947 0.841  0.947 0.965  0.848 0.990  0.724 0.990  0.600 0.990  0.476 0.990  0.373 0.937  0.281 0.860  0.157 0.860  0.034 0.858  -0.054 0.770  -0.142 0.682  -0.232 0.600  -0.356 0.598  -0.444 0.510  -0.484 0.403  -0.527 0.297  -0.615 0.209  -0.703 0.121  -0.744 0.014  -0.744 -0.110  -0.744 -0.234  -0.744 -0.359  -0.744 -0.483  -0.744 -0.607  -0.744 -0.731  -0.727 -0.848  -0.639 -0.936  -0.552 -1.024  -0.464 -1.112  -0.376 -1.200  -0.261 -1.222  -0.141 -1.249  -0.023 -1.289  0.095 -1.328  0.210 -1.373  0.321 -1.429  0.433 -1.482  0.557 -1.482
1c#apa#apa00#app0049/d  -0.314 -0.041  -0.197 0.042  -0.247 0.192  -0.329 0.076  -0.430 -0.023  -0.547 -0.105  -0.651 -0.261  -0.779 -0.407  -0.779 -0.606  -0.779 -0.806  -0.779 -1.005  -0.663 -1.088  -0.464 -1.088  -0.282 -1.014  -0.197 -0.867  -0.031 -0.805  0.035 -0.633  0.067 -0.442  0.152 -0.263  0.152 -0.063  0.268 0.087  0.268 0.287  0.268 0.486  0.268 0.685  0.268 0.884  0.268 1.083  0.298 1.270  0.384 1.433  0.384 1.632  0.374 1.821  0.268 1.728  0.152 1.577  0.152 1.378  0.035 1.227  0.035 1.027  0.035 0.828  0.035 0.629  0.035 0.430  0.035 0.231  0.035 0.032  0.035 -0.167  0.035 -0.366  0.035 -0.566  0.099 -0.750  0.209 -0.913  0.332 -1.068  0.443 -1.233  0.501 -1.415  0.659 -1.516  0.850 -1.553
1c#apa#apa00#app0049/o  0.312 1.245  0.312 1.100  0.210 1.057  0.065 1.057  -0.075 1.046  -0.177 0.944  -0.279 0.841  -0.381 0.739  -0.484 0.637  -0.586 0.535  -0.626 0.407  -0.658 0.275  -0.760 0.173  -0.813 0.051  -0.813 -0.094  -0.813 -0.239  -0.813 -0.383  -0.813 -0.528  -0.795 -0.668  -0.730 -0.797  -0.665 -0.927  -0.570 -1.006  -0.429 -1.015  -0.327 -1.117  -0.213 -1.193  -0.069 -1.193  0.076 -1.193  0.220 -1.193  0.365 -1.193  0.507 -1.186  0.609 -1.083  0.687 -0.971  0.687 -0.826  0.687 -0.682  0.687 -0.537  0.687 -0.393  0.687 -0.248  0.687 -0.103  0.609 0.009  0.507 0.111  0.499 0.253  0.499 0.397  0.478 0.537  0.413 0.666  0.349 0.796  0.312 0.931  0.298 1.070  0.196 1.173  0.124 1.288  0.124 1.432
1c#apa#apa00#app0049/b  -0.128 2.117  -0.128 1.984  -0.128 1.851  -0.128 1.719  -0.128 1.586  -0.156 1.460  -0.215 1.341  -0.248 1.216  -0.248 1.084  -0.248 0.951  -0.248 0.818  -0.248 0.686  -0.248 0.553  -0.248 0.420  -0.248 0.287  -0.248 0.155  -0.248 0.022  -0.248 -0.111  -0.248 -0.243  -0.248 -0.376  -0.248 -0.509  -0.248 -0.641  -0.248 -0.518  -0.233 -0.391  -0.139 -0.297  -0.128 -0.170  -0.037 -0.075  -0.008 0.046  0.097 0.075  0.229 0.075  0.362 0.075  0.495 0.075  0.593 0.040  0.593 -0.092  0.593 -0.225  0.593 -0.358  0.593 -0.490  0.593 -0.623  0.593 -0.756  0.538 -0.876  0.479 -0.994  0.389 -1.091  0.271 -1.127  0.166 -1.193  0.055 -1.247  -0.077 -1.247  -0.210 -1.247  -0.343 -1.247  -0.475 -1.247  -0.608 -1.247
1c#apa#apa00#app0049/b  -0.246 2.223  -0.246 2.074  -0.246 1.926  -0.246 1.777  -0.246 1.628  -0.246 1.479  -0.246 1.330  -0.246 1.181  -0.246 1.032  -0.246 0.883  -0.246 0.734  -0.246 0.585  -0.246 0.436  -0.246 0.287  -0.246 0.138  -0.246 -0.011  -0.246 -0.160  -0.246 -0.309  -0.246 -0.458  -0.246 -0.606  -0.246 -0.755  -0.246 -0.904  -0.246 -1.053  -0.246 -1.143  -0.246 -0.995  -0.246 -0.846  -0.246 -0.697  -0.246 -0.548  -0.203 -0.409  -0.137 -0.276  -0.110 -0.133  -0.038 -0.014  0.068 0.091  0.173 0.197  0.278 0.302  0.419 0.322  0.529 0.226  0.570 0.094  0.570 -0.055  0.570 -0.204  0.570 -0.352  0.570 -0.501  0.570 -0.650  0.570 -0.799  0.536 -0.934  0.434 -1.041  0.422 -1.185  0.316 -1.290  0.175 -1.309  0.026 -1.309
1c#apa#apa00#app0049/e  -0.965 -0.074  -0.810 -0.078  -0.804 -0.229  -0.647 -0.224  -0.505 -0.153  -0.364 -0.083  -0.208 -0.074  -0.050 -0.074  0.065 0.029  0.201 0.080  0.334 0.143  0.453 0.235  0.602 0.257  0.714 0.369  0.825 0.480  0.937 0.592  1.043 0.706  1.043 0.864  1.029 1.007  0.876 1.020  0.764 1.132  0.619 1.162  0.461 1.162  0.303 1.162  0.271 1.036  0.155 0.949  0.014 0.879  -0.108 0.782  -0.220 0.671  -0.332 0.559  -0.483 0.544  -0.501 0.404  -0.603 0.288  -0.656 0.152  -0.656 -0.006  -0.656 -0.164  -0.656 -0.322  -0.613 -0.470  -0.542 -0.611  -0.501 -0.759  -0.452 -0.896  -0.340 -1.008  -0.228 -1.120  -0.193 -1.263  -0.082 -1.310  0.043 -1.391  0.154 -1.502  0.266 -1.614  0.422 -1.619  0.580 -1.619
