1b#tos#t1#t1007061/B  -0.507 1.142  -0.407 0.964  -0.407 0.685  -0.407 0.407  -0.407 0.129  -0.407 -0.150  -0.407 -0.428  -0.407 -0.707  -0.417 -0.981  -0.558 -1.201  -0.627 -1.141  -0.584 -0.872  -0.558 -0.595  -0.531 -0.318  -0.505 -0.041  -0.479 0.236  -0.452 0.514  -0.426 0.791  -0.484 0.991  -0.654 1.091  -0.457 1.211  -0.256 1.288  -0.003 1.343  0.269 1.302  0.518 1.202  0.697 1.017  0.750 0.771  0.682 0.521  0.494 0.378  0.323 0.236  0.101 0.137  -0.156 0.085  -0.435 0.085  -0.254 0.153  0.019 0.186  0.297 0.186  0.576 0.186  0.780 0.035  0.951 -0.072  1.102 -0.242  1.203 -0.488  1.159 -0.756  1.032 -0.971  0.818 -1.083  0.548 -1.139  0.284 -1.222  0.005 -1.222  -0.253 -1.270  -0.507 -1.249  -0.658 -1.122
1b#tos#t1#t1007061/C  0.800 1.150  0.665 1.150  0.612 1.069  0.659 0.982  0.659 0.847  0.615 0.731  0.612 0.598  0.612 0.464  0.659 0.426  0.659 0.560  0.659 0.695  0.570 0.774  0.472 0.812  0.348 0.823  0.222 0.854  0.091 0.869  -0.043 0.869  -0.166 0.841  -0.273 0.776  -0.324 0.692  -0.448 0.682  -0.548 0.599  -0.558 0.469  -0.652 0.428  -0.695 0.312  -0.746 0.198  -0.746 0.064  -0.793 -0.051  -0.793 -0.185  -0.886 -0.262  -0.871 -0.394  -0.815 -0.513  -0.793 -0.638  -0.758 -0.758  -0.683 -0.848  -0.568 -0.901  -0.503 -1.004  -0.383 -1.038  -0.304 -1.120  -0.174 -1.144  -0.040 -1.144  0.095 -1.144  0.218 -1.117  0.344 -1.097  0.431 -1.048  0.555 -1.004  0.647 -0.935  0.706 -0.851  0.759 -0.770  0.893 -0.770
1b#tos#t1#t1007061/D  -0.327 0.592  -0.420 0.489  -0.420 0.291  -0.420 0.094  -0.420 -0.103  -0.420 -0.300  -0.420 -0.497  -0.420 -0.694  -0.420 -0.891  -0.468 -1.040  -0.519 -0.888  -0.529 -0.691  -0.539 -0.494  -0.550 -0.297  -0.560 -0.100  -0.570 0.097  -0.581 0.293  -0.591 0.490  -0.602 0.687  -0.711 0.779  -0.793 0.895  -0.733 1.059  -0.539 1.081  -0.365 1.152  -0.215 1.199  -0.037 1.152  0.160 1.152  0.338 1.105  0.394 0.958  0.559 0.894  0.703 0.775  0.834 0.672  0.979 0.592  1.072 0.453  1.072 0.256  1.081 0.061  1.119 -0.127  1.061 -0.294  0.979 -0.409  0.979 -0.606  0.886 -0.710  0.704 -0.760  0.582 -0.877  0.402 -0.917  0.236 -0.993  0.069 -1.064  -0.112 -1.119  -0.305 -1.133  -0.503 -1.133  -0.700 -1.133
1b#tos#t1#t1007061/E  -0.734 1.391  -0.820 1.246  -0.658 1.177  -0.427 1.177  -0.197 1.177  0.034 1.177  0.265 1.177  0.495 1.177  0.726 1.177  0.657 1.140  0.434 1.084  0.210 1.028  -0.014 0.972  -0.237 0.916  -0.463 0.878  -0.561 0.749  -0.465 0.594  -0.435 0.382  -0.435 0.151  -0.435 -0.079  -0.435 -0.310  -0.432 -0.540  -0.392 -0.764  -0.392 -0.995  -0.430 -1.140  -0.396 -0.912  -0.362 -0.684  -0.329 -0.456  -0.295 -0.228  -0.284 -0.020  -0.184 -0.020  0.046 -0.020  0.234 0.023  0.465 0.023  0.695 0.023  0.792 -0.033  0.629 -0.196  0.466 -0.359  0.303 -0.522  0.140 -0.685  -0.023 -0.848  -0.186 -1.011  -0.349 -1.099  -0.151 -1.131  0.079 -1.131  0.310 -1.131  0.540 -1.131  0.771 -1.131  1.001 -1.131  1.232 -1.131
1b#tos#t1#t1007061/J  -0.260 1.219  -0.336 1.184  -0.369 1.105  -0.336 1.098  -0.231 1.105  -0.119 1.105  -0.007 1.105  0.090 1.143  0.202 1.143  0.314 1.143  0.426 1.143  0.538 1.143  0.437 1.117  0.333 1.075  0.258 1.018  0.198 0.948  0.198 0.836  0.215 0.728  0.236 0.621  0.274 0.525  0.274 0.413  0.274 0.301  0.274 0.189  0.274 0.076  0.312 0.003  0.312 -0.109  0.312 -0.221  0.312 -0.333  0.312 -0.445  0.312 -0.557  0.312 -0.669  0.293 -0.762  0.262 -0.850  0.198 -0.936  0.141 -0.991  0.105 -1.067  0.069 -1.143  -0.004 -1.182  -0.107 -1.191  -0.190 -1.220  -0.302 -1.220  -0.412 -1.207  -0.511 -1.159  -0.526 -1.053  -0.614 -1.029  -0.679 -0.982  -0.679 -0.870  -0.760 -0.839  -0.793 -0.760  -0.831 -0.686
1b#tos#t1#t1007061/K  -0.627 1.452  -0.778 1.361  -0.728 1.200  -0.677 0.988  -0.677 0.726  -0.677 0.464  -0.677 0.201  -0.677 -0.061  -0.677 -0.323  -0.677 -0.586  -0.677 -0.848  -0.677 -1.110  -0.677 -1.372  -0.637 -1.291  -0.490 -1.074  -0.343 -0.857  -0.195 -0.640  -0.048 -0.423  0.100 -0.206  0.247 0.011  0.394 0.228  0.542 0.445  0.689 0.662  0.836 0.879  0.984 1.096  1.063 1.199  0.865 1.088  0.734 0.897  0.574 0.791  0.348 0.661  0.130 0.578  0.005 0.431  -0.184 0.286  -0.335 0.140  -0.475 0.018  -0.649 -0.084  -0.690 -0.115  -0.458 0.008  -0.227 0.131  -0.031 0.213  0.010 0.039  0.143 -0.139  0.297 -0.314  0.387 -0.516  0.584 -0.640  0.707 -0.818  0.868 -0.919  0.929 -1.121  1.038 -1.313  1.189 -1.424
1b#tos#t1#t1007061/L  -0.519 1.575  -0.560 1.529  -0.560 1.442  -0.560 1.355  -0.537 1.291  -0.519 1.222  -0.519 1.135  -0.519 1.048  -0.519 0.961  -0.519 0.874  -0.519 0.788  -0.519 0.701  -0.519 0.614  -0.519 0.527  -0.519 0.440  -0.498 0.356  -0.478 0.271  -0.478 0.184  -0.478 0.097  -0.478 0.010  -0.478 -0.077  -0.478 -0.163  -0.478 -0.250  -0.478 -0.337  -0.478 -0.424  -0.469 -0.507  -0.435 -0.579  -0.348 -0.579  -0.261 -0.579  -0.175 -0.579  -0.088 -0.579  -0.001 -0.579  0.086 -0.579  0.173 -0.579  0.260 -0.579  0.347 -0.579  0.428 -0.605  0.511 -0.619  0.598 -0.619  0.685 -0.619  0.772 -0.619  0.859 -0.619  0.946 -0.619  1.033 -0.619  1.107 -0.632  1.166 -0.660  1.253 -0.660  1.340 -0.660  1.427 -0.660  1.513 -0.660
1b#tos#t1#t1007061/N  -0.942 1.001  -0.980 0.789  -0.979 0.540  -0.904 0.336  -0.904 0.086  -0.865 -0.148  -0.865 -0.398  -0.827 -0.633  -0.827 -0.883  -0.827 -1.083  -0.820 -0.833  -0.810 -0.583  -0.800 -0.333  -0.790 -0.083  -0.780 0.167  -0.770 0.417  -0.760 0.667  -0.750 0.917  -0.904 0.777  -0.740 0.684  -0.597 0.560  -0.477 0.382  -0.281 0.247  -0.175 0.079  -0.026 -0.102  0.128 -0.277  0.281 -0.456  0.400 -0.609  0.497 -0.763  0.659 -0.868  0.790 -0.993  0.822 -0.776  0.822 -0.525  0.822 -0.275  0.822 -0.025  0.822 0.225  0.822 0.475  0.822 0.726  0.707 0.861  0.707 1.111  0.746 1.063  0.746 0.813  0.784 0.572  0.784 0.321  0.805 0.076  0.861 -0.161  0.937 -0.396  0.937 -0.646  0.937 -0.896  0.937 -1.147
1b#tos#t1#t1007061/O  0.026 0.591  -0.084 0.511  -0.219 0.423  -0.276 0.250  -0.337 0.109  -0.417 -0.035  -0.417 -0.225  -0.417 -0.415  -0.417 -0.605  -0.457 -0.786  -0.444 -0.974  -0.417 -1.159  -0.336 -1.269  -0.260 -1.410  -0.156 -1.500  0.014 -1.526  0.188 -1.460  0.307 -1.388  0.403 -1.267  0.505 -1.144  0.629 -1.045  0.709 -0.888  0.709 -0.698  0.709 -0.508  0.750 -0.335  0.719 -0.152  0.702 0.028  0.528 0.069  0.388 0.149  0.278 0.230  0.187 0.359  0.028 0.390  -0.135 0.417  -0.276 0.536  -0.428 0.650  -0.580 0.764  -0.732 0.879  -0.884 0.993  -0.980 0.953  -0.869 0.953  -0.679 0.953  -0.489 0.953  -0.299 0.953  -0.109 0.953  0.081 0.953  0.271 0.953  0.461 0.953  0.651 0.953  0.841 0.953  1.031 0.953
1b#tos#t1#t1007061/P  -0.445 1.119  -0.536 0.938  -0.445 0.784  -0.400 0.585  -0.354 0.412  -0.354 0.194  -0.354 -0.024  -0.327 -0.238  -0.309 -0.453  -0.309 -0.672  -0.309 -0.890  -0.270 -1.099  -0.263 -1.316  -0.263 -1.534  -0.263 -1.752  -0.267 -1.711  -0.285 -1.494  -0.303 -1.276  -0.322 -1.059  -0.340 -0.841  -0.359 -0.624  -0.377 -0.407  -0.396 -0.189  -0.414 0.028  -0.432 0.246  -0.451 0.463  -0.469 0.681  -0.488 0.898  -0.584 0.936  -0.412 0.982  -0.212 1.028  0.006 1.028  0.224 1.028  0.423 1.073  0.642 1.073  0.824 0.987  0.920 0.862  1.086 0.787  1.188 0.628  1.194 0.411  1.180 0.201  1.057 0.050  0.953 -0.065  0.754 -0.111  0.627 -0.202  0.454 -0.247  0.236 -0.248  0.037 -0.293  -0.136 -0.338  -0.354 -0.338
1b#tos#t1#t1007061/Q  -0.459 -0.904  -0.581 -0.951  -0.772 -0.904  -0.847 -0.741  -0.905 -0.539  -0.948 -0.319  -0.989 -0.098  -0.960 0.133  -0.899 0.319  -0.867 0.525  -0.750 0.721  -0.647 0.897  -0.503 1.030  -0.356 1.178  -0.215 1.289  -0.025 1.337  0.213 1.337  0.362 1.215  0.582 1.167  0.728 1.029  0.845 0.871  0.845 0.633  0.926 0.453  0.911 0.222  0.846 0.033  0.772 -0.130  0.641 -0.261  0.533 -0.415  0.388 -0.514  0.247 -0.659  0.101 -0.785  -0.127 -0.839  -0.359 -0.863  -0.515 -0.863  -0.696 -0.757  -0.785 -0.571  -0.785 -0.333  -0.704 -0.146  -0.604 -0.007  -0.422 0.070  -0.186 0.074  0.052 0.074  0.249 0.033  0.419 -0.089  0.634 -0.165  0.793 -0.322  1.012 -0.381  1.113 -0.578  1.281 -0.688  1.415 -0.822
1b#tos#t1#t1007061/R  -0.478 1.092  -0.592 0.966  -0.480 0.844  -0.430 0.627  -0.353 0.387  -0.353 0.126  -0.353 -0.136  -0.353 -0.397  -0.353 -0.658  -0.353 -0.920  -0.394 -1.171  -0.394 -1.433  -0.436 -1.254  -0.461 -0.994  -0.487 -0.734  -0.513 -0.473  -0.539 -0.213  -0.565 0.047  -0.591 0.307  -0.617 0.567  -0.643 0.827  -0.892 0.841  -0.776 1.002  -0.552 1.092  -0.291 1.092  -0.047 1.133  0.215 1.133  0.398 1.055  0.652 1.046  0.815 0.925  0.892 0.716  0.941 0.503  0.857 0.325  0.705 0.215  0.527 0.132  0.315 0.034  0.123 -0.035  -0.139 -0.035  -0.359 -0.077  -0.252 -0.077  -0.061 -0.171  0.127 -0.306  0.286 -0.452  0.433 -0.636  0.562 -0.819  0.749 -0.953  0.899 -1.064  1.022 -1.203  1.231 -1.328  1.358 -1.495
1b#tos#t1#t1007061/S  0.740 0.736  0.697 0.856  0.670 0.992  0.525 1.036  0.464 1.164  0.344 1.206  0.181 1.206  0.027 1.249  -0.136 1.249  -0.299 1.249  -0.415 1.202  -0.497 1.121  -0.558 1.007  -0.629 0.893  -0.629 0.730  -0.629 0.567  -0.544 0.489  -0.408 0.436  -0.287 0.393  -0.177 0.308  -0.073 0.249  0.055 0.214  0.184 0.179  0.295 0.094  0.416 0.051  0.526 -0.052  0.578 -0.163  0.697 -0.207  0.768 -0.327  0.826 -0.438  0.826 -0.602  0.780 -0.719  0.740 -0.843  0.627 -0.904  0.526 -1.013  0.386 -1.061  0.233 -1.104  0.069 -1.104  -0.076 -1.147  -0.240 -1.147  -0.351 -1.082  -0.492 -1.027  -0.566 -0.933  -0.672 -0.843  -0.715 -0.723  -0.715 -0.559  -0.758 -0.486  -0.758 -0.649  -0.758 -0.812  -0.800 -0.933
