2#app#app14#app1481/p  -0.142 0.873  -0.142 0.688  -0.142 0.503  -0.256 0.365  -0.273 0.187  -0.273 0.002  -0.273 -0.183  -0.314 -0.350  -0.405 -0.498  -0.405 -0.683  -0.405 -0.868  -0.405 -1.053  -0.411 -1.235  -0.536 -1.368  -0.536 -1.553  -0.536 -1.738  -0.498 -1.623  -0.405 -1.531  -0.405 -1.346  -0.405 -1.161  -0.405 -0.976  -0.326 -0.809  -0.273 -0.637  -0.273 -0.452  -0.196 -0.286  -0.142 -0.113  -0.089 0.059  -0.011 0.226  -0.011 0.411  0.026 0.590  0.085 0.765  0.121 0.944  0.121 1.129  0.247 1.262  0.252 1.445  0.352 1.529  0.525 1.509  0.607 1.344  0.716 1.197  0.777 1.037  0.777 0.852  0.777 0.668  0.777 0.483  0.777 0.298  0.704 0.143  0.573 0.012  0.413 -0.047  0.228 -0.047  0.043 -0.047  -0.011 0.085
2#app#app14#app1481/r  -0.772 -0.877  -0.772 -0.970  -0.772 -1.064  -0.772 -1.157  -0.772 -1.250  -0.772 -1.279  -0.772 -1.185  -0.771 -1.093  -0.705 -1.027  -0.639 -0.961  -0.573 -0.895  -0.556 -0.809  -0.556 -0.716  -0.556 -0.623  -0.556 -0.529  -0.548 -0.444  -0.455 -0.444  -0.362 -0.444  -0.339 -0.373  -0.339 -0.280  -0.339 -0.187  -0.339 -0.094  -0.332 -0.003  -0.266 0.063  -0.200 0.129  -0.134 0.194  -0.122 0.282  -0.122 0.376  -0.077 0.424  0.016 0.424  0.095 0.439  0.095 0.532  0.095 0.625  0.164 0.675  0.248 0.717  0.331 0.759  0.414 0.800  0.498 0.842  0.587 0.857  0.681 0.857  0.774 0.857  0.867 0.857  0.960 0.857  1.053 0.857  1.147 0.857  1.179 0.797  1.179 0.703  1.209 0.641  1.303 0.641  1.396 0.641
2#app#app14#app1481/e  -0.061 0.331  0.060 0.331  0.181 0.331  0.301 0.331  0.422 0.331  0.543 0.331  0.638 0.394  0.724 0.479  0.809 0.565  0.895 0.650  0.980 0.736  1.001 0.848  1.000 0.968  0.879 0.968  0.758 0.968  0.637 0.968  0.516 0.968  0.395 0.968  0.274 0.968  0.153 0.968  0.067 0.884  -0.018 0.799  -0.104 0.713  -0.189 0.628  -0.275 0.542  -0.360 0.457  -0.446 0.371  -0.532 0.286  -0.617 0.200  -0.699 0.113  -0.699 -0.008  -0.699 -0.129  -0.699 -0.250  -0.699 -0.371  -0.699 -0.491  -0.699 -0.612  -0.699 -0.733  -0.699 -0.854  -0.676 -0.966  -0.590 -1.051  -0.505 -1.137  -0.392 -1.155  -0.274 -1.159  -0.274 -1.279  -0.241 -1.368  -0.120 -1.368  0.001 -1.368  0.122 -1.368  0.242 -1.368  0.363 -1.368
2#app#app14#app1481/s  0.790 1.114  0.675 1.114  0.559 1.114  0.444 1.114  0.329 1.114  0.214 1.114  0.098 1.114  -0.017 1.114  -0.132 1.114  -0.248 1.114  -0.336 1.087  -0.336 0.972  -0.336 0.857  -0.427 0.833  -0.543 0.833  -0.589 0.804  -0.507 0.723  -0.426 0.641  -0.344 0.560  -0.263 0.478  -0.181 0.397  -0.099 0.315  -0.018 0.234  0.064 0.152  0.145 0.070  0.227 -0.011  0.342 -0.012  0.457 -0.012  0.509 -0.075  0.509 -0.191  0.509 -0.306  0.509 -0.421  0.509 -0.536  0.509 -0.652  0.509 -0.767  0.482 -0.856  0.367 -0.856  0.252 -0.856  0.163 -0.920  0.081 -1.002  -0.000 -1.083  -0.093 -1.137  -0.208 -1.137  -0.324 -1.137  -0.409 -1.210  -0.490 -1.292  -0.572 -1.373  -0.668 -1.419  -0.784 -1.419  -0.899 -1.419
2#app#app14#app1481/s  0.401 1.706  0.401 1.598  0.401 1.490  0.334 1.410  0.258 1.334  0.182 1.258  0.106 1.181  0.029 1.105  -0.047 1.029  -0.057 0.925  -0.057 0.818  -0.137 0.790  -0.245 0.790  -0.286 0.723  -0.286 0.615  -0.339 0.561  -0.447 0.561  -0.515 0.521  -0.515 0.413  -0.488 0.332  -0.380 0.332  -0.286 0.319  -0.286 0.211  -0.286 0.103  -0.178 0.103  -0.070 0.103  0.010 0.036  0.086 -0.040  0.163 -0.116  0.172 -0.220  0.172 -0.328  0.253 -0.355  0.361 -0.355  0.401 -0.422  0.401 -0.530  0.401 -0.638  0.401 -0.746  0.372 -0.841  0.296 -0.918  0.220 -0.994  0.172 -1.082  0.172 -1.190  0.153 -1.290  0.077 -1.366  0.001 -1.442  -0.083 -1.499  -0.191 -1.499  -0.299 -1.499  -0.407 -1.499  -0.515 -1.499
2#app#app14#app1481/e  -0.806 -0.417  -0.636 -0.417  -0.467 -0.417  -0.334 -0.328  -0.215 -0.209  -0.095 -0.089  0.025 0.031  0.145 0.150  0.264 0.270  0.384 0.390  0.504 0.510  0.623 0.629  0.750 0.732  0.919 0.732  1.089 0.732  1.110 0.881  1.110 1.050  1.006 1.115  0.837 1.115  0.727 1.056  0.727 0.887  0.712 0.732  0.542 0.732  0.373 0.732  0.204 0.732  0.035 0.732  -0.039 0.637  -0.039 0.468  -0.090 0.349  -0.260 0.349  -0.429 0.349  -0.598 0.349  -0.768 0.349  -0.806 0.218  -0.806 0.049  -0.806 -0.120  -0.806 -0.290  -0.806 -0.459  -0.806 -0.628  -0.806 -0.798  -0.687 -0.918  -0.568 -1.038  -0.448 -1.157  -0.289 -1.183  -0.120 -1.183  -0.039 -1.272  -0.039 -1.441  0.005 -1.566  0.174 -1.566  0.344 -1.566
2#app#app14#app1481/d  0.080 -0.428  -0.087 -0.428  -0.255 -0.428  -0.423 -0.428  -0.545 -0.538  -0.607 -0.680  -0.607 -0.848  -0.607 -1.016  -0.607 -1.183  -0.543 -1.287  -0.435 -1.347  -0.379 -1.459  -0.211 -1.459  -0.058 -1.425  0.061 -1.306  0.080 -1.146  0.177 -1.019  0.252 -0.882  0.252 -0.714  0.252 -0.547  0.252 -0.379  0.252 -0.211  0.252 -0.043  0.252 0.124  0.252 0.292  0.245 0.459  0.204 0.622  0.164 0.785  0.123 0.947  0.082 1.110  0.080 1.277  -0.029 1.400  -0.091 1.542  -0.091 1.710  -0.091 1.734  -0.091 1.566  -0.091 1.398  -0.049 1.248  0.069 1.129  0.080 0.966  0.080 0.798  0.080 0.631  0.143 0.478  0.218 0.328  0.252 0.168  0.252 0.000  0.252 -0.168  0.308 -0.312  0.424 -0.432  0.424 -0.600
2#app#app14#app1481/t  1.224 0.435  1.224 0.246  1.224 0.056  1.105 -0.014  0.925 -0.051  0.755 -0.136  0.586 -0.221  0.401 -0.239  0.212 -0.239  0.101 -0.317  0.058 -0.464  -0.131 -0.464  -0.321 -0.464  -0.510 -0.464  -0.699 -0.464  -0.889 -0.464  -0.992 -0.418  -0.887 -0.260  -0.782 -0.103  -0.677 0.055  -0.572 0.212  -0.467 0.370  -0.362 0.527  -0.257 0.685  -0.152 0.842  -0.047 1.000  0.058 1.157  0.163 1.315  0.268 1.473  0.239 1.558  0.101 1.508  0.101 1.318  0.101 1.129  0.101 0.940  0.101 0.750  0.101 0.561  0.072 0.378  -0.012 0.209  -0.097 0.040  -0.124 -0.143  -0.124 -0.332  -0.124 -0.522  -0.124 -0.711  -0.124 -0.900  -0.124 -1.090  -0.124 -1.279  -0.124 -1.468  -0.124 -1.658  -0.124 -1.847  -0.124 -2.036
2#app#app14#app1481/h  -0.075 1.811  -0.075 1.681  -0.075 1.551  -0.132 1.445  -0.224 1.353  -0.316 1.261  -0.384 1.159  -0.388 1.030  -0.446 0.914  -0.505 0.798  -0.539 0.676  -0.539 0.546  -0.539 0.416  -0.539 0.286  -0.588 0.167  -0.646 0.051  -0.694 -0.068  -0.694 -0.198  -0.694 -0.328  -0.694 -0.458  -0.694 -0.588  -0.694 -0.718  -0.694 -0.848  -0.688 -0.972  -0.558 -0.972  -0.539 -0.861  -0.452 -0.817  -0.340 -0.773  -0.248 -0.682  -0.157 -0.590  -0.065 -0.498  0.027 -0.406  0.119 -0.314  0.211 -0.222  0.303 -0.130  0.395 -0.038  0.487 0.054  0.594 0.110  0.724 0.110  0.853 0.109  0.853 -0.021  0.853 -0.151  0.910 -0.257  1.002 -0.349  1.007 -0.477  1.007 -0.607  1.081 -0.663  1.162 -0.712  1.162 -0.842  1.162 -0.972
2#app#app14#app1481/e  -0.609 0.137  -0.470 0.137  -0.332 0.137  -0.193 0.137  -0.054 0.137  0.084 0.137  0.223 0.137  0.338 0.194  0.436 0.292  0.534 0.390  0.654 0.433  0.793 0.433  0.915 0.474  1.013 0.572  1.111 0.670  1.171 0.784  1.171 0.923  1.136 1.027  0.998 1.027  0.864 1.016  0.766 0.918  0.667 0.820  0.566 0.730  0.428 0.730  0.289 0.730  0.189 0.638  0.091 0.540  -0.007 0.442  -0.105 0.344  -0.203 0.246  -0.302 0.148  -0.400 0.050  -0.498 -0.049  -0.596 -0.147  -0.609 -0.280  -0.609 -0.418  -0.709 -0.456  -0.848 -0.456  -0.905 -0.537  -0.905 -0.676  -0.905 -0.815  -0.905 -0.953  -0.875 -1.080  -0.777 -1.178  -0.679 -1.276  -0.570 -1.346  -0.431 -1.346  -0.312 -1.366  -0.312 -1.504  -0.312 -1.643
2#app#app14#app1481/e  -0.909 0.038  -0.726 0.038  -0.543 0.038  -0.516 -0.118  -0.516 -0.301  -0.516 -0.225  -0.516 -0.042  -0.413 0.038  -0.230 0.038  -0.047 0.038  0.137 0.038  0.271 0.087  0.271 0.271  0.293 0.432  0.476 0.432  0.660 0.432  0.790 0.558  0.920 0.688  1.050 0.817  1.058 0.997  1.058 1.181  0.912 1.219  0.729 1.219  0.546 1.219  0.362 1.219  0.206 1.154  0.076 1.024  -0.053 0.895  -0.123 0.740  -0.123 0.557  -0.181 0.432  -0.364 0.432  -0.516 0.400  -0.516 0.217  -0.516 0.034  -0.516 -0.150  -0.516 -0.333  -0.516 -0.516  -0.516 -0.699  -0.516 -0.883  -0.516 -1.066  -0.409 -1.142  -0.225 -1.142  -0.123 -1.222  -0.123 -1.406  -0.069 -1.535  0.114 -1.535  0.298 -1.535  0.481 -1.535  0.664 -1.535
