3#apb#apb21#app2179/A  0.190 0.055  0.321 0.103  0.451 0.230  0.548 0.383  0.644 0.538  0.721 0.701  0.764 0.877  0.788 1.058  0.810 1.238  0.753 1.405  0.598 1.482  0.420 1.456  0.258 1.374  0.115 1.261  -0.018 1.137  -0.135 0.997  -0.250 0.856  -0.365 0.714  -0.466 0.563  -0.562 0.408  -0.657 0.252  -0.750 0.095  -0.843 -0.062  -0.918 -0.228  -0.993 -0.394  -1.042 -0.570  -1.083 -0.746  -1.021 -0.917  -0.942 -1.073  -0.771 -1.133  -0.591 -1.106  -0.418 -1.048  -0.264 -0.957  -0.132 -0.831  -0.013 -0.694  0.063 -0.528  0.140 -0.363  0.218 -0.198  0.300 -0.035  0.398 0.118  0.434 0.137  0.398 -0.042  0.364 -0.221  0.330 -0.400  0.301 -0.580  0.274 -0.760  0.270 -0.940  0.297 -1.120  0.446 -1.218  0.621 -1.272
3#apb#apb21#app2179/t  -0.935 -0.951  -0.885 -0.860  -0.712 -0.688  -0.564 -0.494  -0.417 -0.299  -0.265 -0.109  -0.118 0.086  0.027 0.282  0.148 0.493  0.261 0.710  0.369 0.929  0.473 1.149  0.551 1.381  0.673 1.588  0.702 1.585  0.584 1.374  0.476 1.156  0.364 0.939  0.250 0.723  0.150 0.501  0.053 0.277  -0.026 0.046  -0.097 -0.187  -0.133 -0.428  -0.155 -0.671  -0.101 -0.906  0.045 -1.088  0.242 -1.230  0.468 -1.320  0.708 -1.318  0.944 -1.270  1.165 -1.167  1.011 -1.032  0.811 -0.893  0.610 -0.754  0.410 -0.615  0.209 -0.475  0.009 -0.336  -0.191 -0.197  -0.392 -0.058  -0.592 0.081  -0.793 0.220  -0.993 0.359  -1.213 0.458  -1.131 0.537  -0.887 0.527  -0.643 0.515  -0.400 0.496  -0.157 0.477  0.087 0.458
3#apb#apb21#app2179/l  -0.869 -0.964  -0.928 -1.040  -0.820 -0.942  -0.705 -0.851  -0.597 -0.752  -0.490 -0.652  -0.381 -0.554  -0.268 -0.461  -0.155 -0.368  -0.052 -0.266  0.046 -0.157  0.143 -0.048  0.234 0.067  0.317 0.187  0.399 0.308  0.470 0.437  0.540 0.565  0.606 0.696  0.654 0.834  0.702 0.972  0.752 1.109  0.804 1.246  0.828 1.388  0.771 1.493  0.637 1.442  0.521 1.354  0.413 1.256  0.323 1.141  0.238 1.022  0.153 0.903  0.082 0.775  0.010 0.647  -0.061 0.519  -0.125 0.388  -0.182 0.253  -0.240 0.119  -0.298 -0.016  -0.355 -0.150  -0.388 -0.292  -0.415 -0.436  -0.443 -0.580  -0.471 -0.723  -0.476 -0.866  -0.435 -1.006  -0.384 -1.140  -0.273 -1.236  -0.162 -1.332  -0.031 -1.389  0.110 -1.429  0.251 -1.470
3#apb#apb21#app2179/a  0.106 -0.193  0.060 -0.090  0.186 0.047  0.304 0.194  0.413 0.347  0.508 0.507  0.539 0.692  0.506 0.875  0.396 1.024  0.246 1.137  0.094 1.237  -0.078 1.160  -0.250 1.084  -0.428 1.024  -0.582 0.924  -0.724 0.800  -0.848 0.662  -0.945 0.500  -1.041 0.339  -1.111 0.165  -1.179 -0.010  -1.246 -0.186  -1.393 -0.301  -1.308 -0.447  -1.155 -0.551  -0.967 -0.551  -0.779 -0.551  -0.602 -0.490  -0.425 -0.426  -0.257 -0.345  -0.098 -0.245  0.056 -0.137  0.199 -0.016  0.317 0.131  0.380 0.304  0.357 0.301  0.283 0.128  0.252 -0.055  0.235 -0.242  0.234 -0.429  0.255 -0.616  0.343 -0.762  0.499 -0.866  0.684 -0.894  0.871 -0.919  1.057 -0.944  1.239 -0.909  1.419 -0.856  1.599 -0.803  1.780 -0.750
3#apb#apb21#app2179/n  -1.150 -0.282  -1.247 -0.352  -1.340 -0.418  -1.450 -0.441  -1.436 -0.322  -1.398 -0.207  -1.307 -0.130  -1.217 -0.049  -1.131 0.036  -1.046 0.122  -0.960 0.207  -0.870 0.286  -0.769 0.353  -0.658 0.399  -0.549 0.448  -0.451 0.498  -0.343 0.444  -0.258 0.361  -0.225 0.252  -0.225 0.131  -0.237 0.013  -0.284 -0.098  -0.357 -0.195  -0.388 -0.287  -0.344 -0.221  -0.270 -0.126  -0.191 -0.035  -0.101 0.044  -0.005 0.118  0.090 0.192  0.187 0.265  0.284 0.337  0.395 0.382  0.508 0.425  0.627 0.420  0.724 0.347  0.747 0.231  0.771 0.112  0.797 -0.006  0.846 -0.113  0.919 -0.210  1.003 -0.288  1.121 -0.312  1.240 -0.335  1.360 -0.345  1.480 -0.353  1.601 -0.362  1.719 -0.341  1.836 -0.311  1.953 -0.282
3#apb#apb21#app2179/t  -0.898 -1.054  -0.976 -0.882  -0.842 -0.652  -0.690 -0.435  -0.526 -0.226  -0.344 -0.033  -0.178 0.174  -0.035 0.397  0.113 0.618  0.290 0.815  0.466 1.014  0.607 1.239  0.756 1.459  0.696 1.332  0.566 1.102  0.405 0.892  0.291 0.652  0.177 0.411  0.066 0.170  -0.014 -0.083  -0.055 -0.342  -0.052 -0.608  0.053 -0.852  0.214 -1.061  0.424 -1.212  0.675 -1.274  0.938 -1.244  1.190 -1.160  1.368 -1.003  1.139 -0.868  0.911 -0.733  0.682 -0.598  0.453 -0.463  0.224 -0.328  -0.005 -0.193  -0.234 -0.058  -0.462 0.077  -0.691 0.212  -0.920 0.347  -1.169 0.422  -1.433 0.448  -1.415 0.448  -1.149 0.439  -0.884 0.430  -0.618 0.418  -0.353 0.405  -0.087 0.392  0.177 0.373  0.442 0.349  0.707 0.325
3#apb#apb21#app2179/a  -0.023 -0.157  0.096 -0.082  0.209 0.025  0.295 0.149  0.359 0.292  0.388 0.442  0.371 0.597  0.328 0.748  0.259 0.889  0.164 1.013  0.023 1.070  -0.126 1.020  -0.272 0.963  -0.418 0.905  -0.540 0.811  -0.651 0.700  -0.761 0.589  -0.866 0.472  -0.971 0.356  -1.078 0.241  -1.189 0.130  -1.284 0.007  -1.350 -0.134  -1.323 -0.279  -1.197 -0.366  -1.048 -0.416  -0.895 -0.434  -0.739 -0.420  -0.588 -0.390  -0.451 -0.314  -0.317 -0.233  -0.196 -0.133  -0.092 -0.017  -0.032 0.125  -0.005 0.104  0.078 -0.028  0.159 -0.162  0.235 -0.299  0.342 -0.409  0.466 -0.506  0.595 -0.595  0.732 -0.671  0.874 -0.730  1.031 -0.744  1.187 -0.756  1.343 -0.744  1.500 -0.732  1.650 -0.697  1.793 -0.633  1.936 -0.568
3#apb#apb21#app2179/B  0.056 0.633  0.055 0.733  -0.066 0.513  -0.161 0.280  -0.247 0.044  -0.321 -0.196  -0.399 -0.435  -0.476 -0.674  -0.522 -0.920  -0.580 -0.905  -0.596 -0.654  -0.611 -0.403  -0.627 -0.152  -0.643 0.099  -0.658 0.349  -0.674 0.600  -0.701 0.843  -0.815 1.030  -0.587 1.135  -0.343 1.173  -0.091 1.173  0.160 1.173  0.410 1.156  0.660 1.130  0.902 1.063  1.056 0.901  0.920 0.711  0.697 0.600  0.461 0.514  0.227 0.421  -0.009 0.336  -0.245 0.251  -0.470 0.141  -0.318 0.107  -0.068 0.077  0.177 0.024  0.417 -0.049  0.652 -0.139  0.870 -0.259  1.038 -0.436  1.065 -0.672  0.942 -0.883  0.761 -1.052  0.534 -1.162  0.304 -1.261  0.065 -1.339  -0.175 -1.413  -0.426 -1.421  -0.676 -1.418  -0.923 -1.369
3#apb#apb21#app2179/o  0.015 0.202  0.066 0.385  0.041 0.546  -0.138 0.572  -0.299 0.486  -0.434 0.351  -0.553 0.204  -0.660 0.047  -0.745 -0.123  -0.808 -0.301  -0.854 -0.486  -0.881 -0.674  -0.891 -0.863  -0.872 -1.052  -0.782 -1.212  -0.663 -1.361  -0.495 -1.439  -0.314 -1.499  -0.126 -1.487  0.050 -1.431  0.206 -1.322  0.310 -1.173  0.379 -0.996  0.430 -0.813  0.465 -0.626  0.496 -0.440  0.458 -0.253  0.421 -0.067  0.383 0.120  0.327 0.301  0.270 0.483  0.194 0.656  0.100 0.821  0.000 0.982  -0.146 1.104  -0.333 1.113  -0.505 1.037  -0.579 0.868  -0.466 0.727  -0.296 0.642  -0.122 0.569  0.067 0.549  0.256 0.529  0.446 0.521  0.635 0.539  0.824 0.557  1.012 0.583  1.191 0.646  1.371 0.708  1.550 0.771
3#apb#apb21#app2179/i  -1.081 -0.854  -1.094 -0.799  -0.992 -0.692  -0.900 -0.575  -0.801 -0.465  -0.702 -0.354  -0.610 -0.238  -0.505 -0.133  -0.405 -0.023  -0.312 0.092  -0.229 0.215  -0.166 0.349  -0.234 0.339  -0.346 0.241  -0.448 0.133  -0.536 0.015  -0.598 -0.119  -0.639 -0.261  -0.660 -0.408  -0.617 -0.546  -0.558 -0.683  -0.434 -0.763  -0.307 -0.839  -0.166 -0.881  -0.021 -0.916  0.124 -0.943  0.272 -0.936  0.421 -0.929  0.561 -0.889  0.697 -0.829  0.800 -0.752  0.775 -0.605  0.750 -0.459  0.725 -0.312  0.700 -0.166  0.674 -0.020  0.649 0.127  0.624 0.273  0.599 0.419  0.574 0.566  0.548 0.712  0.523 0.859  0.498 1.005  0.473 1.151  0.448 1.298  0.422 1.444  0.397 1.590  0.372 1.737  0.347 1.883  0.388 1.940
3#apb#apb21#app2179/s  -1.302 -0.833  -1.291 -0.839  -1.174 -0.683  -1.073 -0.511  -0.949 -0.356  -0.815 -0.209  -0.699 -0.048  -0.597 0.123  -0.496 0.294  -0.417 0.477  -0.339 0.660  -0.247 0.836  -0.152 1.012  -0.073 1.194  0.018 1.365  0.157 1.426  0.250 1.251  0.285 1.058  0.300 0.860  0.320 0.662  0.347 0.465  0.344 0.267  0.315 0.071  0.252 -0.118  0.199 -0.310  0.160 -0.505  0.092 -0.692  -0.016 -0.857  -0.199 -0.887  -0.390 -0.831  -0.553 -0.717  -0.696 -0.585  -0.785 -0.407  -0.852 -0.220  -0.812 -0.061  -0.614 -0.080  -0.424 -0.132  -0.239 -0.206  -0.051 -0.269  0.146 -0.300  0.343 -0.331  0.539 -0.328  0.734 -0.289  0.929 -0.250  1.121 -0.199  1.311 -0.139  1.501 -0.079  1.684 -0.002  1.864 0.083  2.045 0.168
