2#tos#f2#f2032060/!  0.638 1.540  0.638 1.465  0.590 1.438  0.590 1.362  0.530 1.346  0.493 1.308  0.493 1.233  0.479 1.160  0.455 1.089  0.432 1.017  0.408 0.946  0.384 0.874  0.360 0.803  0.328 0.735  0.286 0.673  0.243 0.610  0.198 0.550  0.153 0.490  0.108 0.430  0.066 0.367  0.024 0.304  0.009 0.234  0.009 0.158  0.009 0.083  0.009 0.008  0.003 -0.066  -0.039 -0.129  -0.081 -0.191  -0.088 -0.264  -0.088 -0.340  -0.088 -0.415  -0.132 -0.459  -0.203 -0.483  -0.233 -0.537  -0.249 -0.605  -0.281 -0.667  -0.296 -0.740  -0.316 -0.813  -0.336 -0.886  -0.356 -0.959  -0.375 -1.031  -0.395 -1.104  -0.415 -1.177  -0.427 -1.250  -0.437 -1.315  -0.512 -1.315  -0.588 -1.315  -0.663 -1.315  -0.669 -1.385  -0.669 -1.460
2#tos#f2#f2032060/\"  -0.503 1.420  -0.360 1.406  -0.484 1.283  -0.503 1.115  -0.503 0.940  -0.503 0.765  -0.503 0.590  -0.503 0.414  -0.503 0.239  -0.503 0.064  -0.503 -0.111  -0.503 -0.286  -0.503 -0.461  -0.503 -0.637  -0.503 -0.812  -0.503 -0.987  -0.503 -1.162  -0.503 -1.337  -0.503 -1.513  -0.503 -1.688  -0.439 -1.549  -0.371 -1.388  -0.303 -1.226  -0.235 -1.065  -0.167 -0.903  -0.099 -0.742  -0.031 -0.580  0.037 -0.419  0.105 -0.258  0.173 -0.096  0.240 0.065  0.308 0.227  0.376 0.388  0.444 0.550  0.512 0.711  0.580 0.873  0.648 1.034  0.716 1.196  0.745 1.163  0.745 0.988  0.606 0.952  0.589 0.794  0.589 0.619  0.589 0.443  0.589 0.268  0.589 0.093  0.589 -0.082  0.589 -0.257  0.589 -0.433  0.589 -0.608
2#tos#f2#f2032060/#  -0.628 0.623  -0.952 0.530  -0.604 0.460  -0.186 0.460  0.218 0.493  0.615 0.541  0.871 0.704  1.206 0.670  0.852 0.470  0.454 0.343  0.056 0.216  -0.342 0.090  -0.709 -0.060  -0.709 -0.478  -0.328 -0.514  0.090 -0.514  0.459 -0.352  0.833 -0.230  0.968 -0.068  0.688 0.242  0.407 0.551  0.127 0.861  -0.153 1.171  -0.433 1.481  -0.546 1.227  -0.546 0.809  -0.546 0.391  -0.546 -0.027  -0.450 -0.415  -0.384 -0.813  -0.384 -1.231  -0.384 -1.648  -0.294 -1.905  -0.245 -1.490  -0.196 -1.076  -0.146 -0.661  -0.097 -0.246  -0.047 0.169  0.002 0.584  0.051 0.998  0.101 1.413  -0.022 1.159  0.055 0.769  0.184 0.431  0.192 0.014  0.266 -0.396  0.266 -0.814  0.266 -1.232  0.305 -1.644  0.347 -2.057
2#tos#f2#f2032060/(  0.479 1.451  0.404 1.451  0.329 1.451  0.299 1.406  0.299 1.330  0.283 1.271  0.239 1.239  0.197 1.190  0.130 1.156  0.119 1.088  0.106 1.018  0.053 0.964  -0.001 0.911  -0.002 0.836  -0.022 0.769  -0.076 0.716  -0.122 0.660  -0.122 0.584  -0.122 0.509  -0.122 0.433  -0.172 0.379  -0.182 0.308  -0.182 0.232  -0.182 0.157  -0.182 0.081  -0.182 0.006  -0.182 -0.069  -0.182 -0.145  -0.182 -0.220  -0.182 -0.296  -0.174 -0.369  -0.140 -0.436  -0.106 -0.504  -0.073 -0.571  -0.062 -0.644  -0.062 -0.720  -0.062 -0.795  -0.062 -0.870  -0.062 -0.946  -0.062 -1.021  -0.046 -1.090  -0.002 -1.147  -0.002 -1.222  -0.002 -1.298  0.024 -1.367  0.058 -1.434  0.059 -1.510  0.059 -1.585  0.059 -1.660  0.119 -1.676
2#tos#f2#f2032060/*  0.389 1.545  0.090 1.545  -0.021 1.356  -0.021 1.057  0.010 0.765  0.081 0.482  0.081 0.183  0.081 -0.116  0.081 -0.415  0.081 -0.715  0.081 -1.014  0.081 -1.313  0.081 -1.612  0.024 -1.567  -0.074 -1.284  -0.172 -1.002  -0.270 -0.719  -0.368 -0.436  -0.466 -0.153  -0.564 0.130  -0.662 0.412  -0.760 0.695  -0.841 0.879  -0.841 0.580  -0.636 0.485  -0.717 0.201  -0.822 -0.080  -0.927 -0.360  -1.197 -0.402  -1.210 -0.607  -0.911 -0.607  -0.641 -0.526  -0.412 -0.333  -0.184 -0.140  0.045 0.053  0.274 0.245  0.503 0.438  0.732 0.631  0.961 0.824  1.190 1.017  1.004 0.963  1.004 0.663  0.773 0.507  0.539 0.335  0.389 0.081  0.444 -0.205  0.658 -0.364  0.824 -0.569  1.004 -0.718  1.209 -0.812
2#tos#f2#f2032060/,  0.495 1.649  0.458 1.575  0.421 1.500  0.384 1.426  0.347 1.352  0.280 1.327  0.198 1.327  0.174 1.268  0.174 1.185  0.174 1.102  0.174 1.020  0.174 0.937  0.174 0.854  0.174 0.771  0.174 0.688  0.174 0.606  0.174 0.523  0.174 0.440  0.174 0.357  0.174 0.275  0.174 0.192  0.174 0.109  0.174 0.026  0.174 -0.057  0.174 -0.139  0.174 -0.222  0.149 -0.280  0.066 -0.280  -0.016 -0.280  -0.099 -0.280  -0.182 -0.280  -0.265 -0.280  -0.308 -0.319  -0.308 -0.402  -0.308 -0.485  -0.308 -0.568  -0.308 -0.650  -0.308 -0.733  -0.308 -0.816  -0.308 -0.899  -0.308 -0.981  -0.308 -1.064  -0.308 -1.147  -0.308 -1.230  -0.308 -1.313  -0.308 -1.395  -0.308 -1.478  -0.308 -1.561  -0.308 -1.644  -0.308 -1.726
2#tos#f2#f2032060/  -0.900 0.184  -0.978 0.184  -1.057 0.184  -1.135 0.184  -1.213 0.184  -1.279 0.155  -1.334 0.099  -1.367 0.035  -1.367 -0.043  -1.295 -0.050  -1.217 -0.050  -1.139 -0.050  -1.061 -0.050  -0.982 -0.050  -0.904 -0.050  -0.826 -0.050  -0.748 -0.050  -0.670 -0.050  -0.592 -0.050  -0.513 -0.050  -0.435 -0.050  -0.357 -0.050  -0.279 -0.050  -0.201 -0.050  -0.123 -0.050  -0.044 -0.050  0.034 -0.050  0.112 -0.050  0.190 -0.050  0.268 -0.050  0.346 -0.050  0.424 -0.050  0.503 -0.050  0.581 -0.050  0.659 -0.050  0.737 -0.050  0.815 -0.050  0.893 -0.050  0.972 -0.050  1.050 -0.050  1.128 -0.050  1.204 -0.045  1.260 0.010  1.315 0.065  1.392 0.067  1.470 0.067  1.549 0.067  1.627 0.067  1.705 0.067  1.783 0.067
2#tos#f2#f2032060/.  -1.333 1.042  -1.284 0.993  -1.234 0.943  -1.185 0.894  -1.135 0.844  -1.086 0.795  -1.036 0.745  -0.987 0.696  -0.938 0.646  -0.888 0.597  -0.839 0.548  -0.789 0.498  -0.740 0.449  -0.690 0.399  -0.641 0.350  -0.592 0.300  -0.542 0.251  -0.493 0.202  -0.443 0.152  -0.394 0.103  -0.331 0.072  -0.269 0.040  -0.206 0.009  -0.143 -0.022  -0.081 -0.053  -0.018 -0.085  0.044 -0.116  0.107 -0.147  0.169 -0.178  0.232 -0.210  0.294 -0.241  0.357 -0.272  0.419 -0.303  0.482 -0.335  0.544 -0.366  0.607 -0.397  0.669 -0.428  0.732 -0.460  0.794 -0.491  0.857 -0.522  0.919 -0.554  0.982 -0.585  1.045 -0.616  1.107 -0.647  1.170 -0.679  1.232 -0.710  1.295 -0.741  1.357 -0.772  1.420 -0.804  1.482 -0.835
2#tos#f2#f2032060/>  -0.284 1.419  -0.325 1.348  -0.420 1.299  -0.509 1.232  -0.599 1.165  -0.701 1.138  -0.635 1.100  -0.579 1.012  -0.488 0.977  -0.452 0.872  -0.404 0.777  -0.304 0.727  -0.200 0.689  -0.094 0.654  0.013 0.636  0.106 0.574  0.199 0.512  0.279 0.435  0.362 0.366  0.443 0.316  0.499 0.226  0.610 0.226  0.712 0.184  0.817 0.155  0.919 0.116  0.979 0.042  0.896 0.008  0.796 -0.041  0.712 -0.112  0.657 -0.209  0.583 -0.281  0.477 -0.316  0.402 -0.383  0.367 -0.488  0.297 -0.546  0.196 -0.564  0.134 -0.657  0.072 -0.750  -0.036 -0.757  -0.126 -0.810  -0.205 -0.888  -0.284 -0.967  -0.383 -1.017  -0.454 -1.097  -0.509 -1.193  -0.588 -1.271  -0.667 -1.350  -0.705 -1.446  -0.734 -1.529  -0.845 -1.529
2#tos#f2#f2032060/@  0.549 0.540  0.369 0.478  0.163 0.478  0.019 0.540  -0.122 0.436  -0.194 0.294  -0.194 0.088  -0.194 -0.118  -0.194 -0.323  -0.132 -0.467  -0.070 -0.611  0.111 -0.636  0.255 -0.698  0.388 -0.611  0.452 -0.437  0.549 -0.292  0.611 -0.148  0.611 0.058  0.735 0.140  0.735 0.346  0.735 0.552  0.735 0.758  0.673 0.938  0.549 1.020  0.483 1.160  0.401 1.283  0.221 1.345  0.015 1.345  -0.191 1.345  -0.327 1.248  -0.440 1.099  -0.503 0.956  -0.565 0.812  -0.627 0.668  -0.627 0.463  -0.627 0.257  -0.627 0.051  -0.627 -0.155  -0.627 -0.361  -0.627 -0.567  -0.627 -0.773  -0.627 -0.979  -0.627 -1.184  -0.471 -1.259  -0.378 -1.441  -0.198 -1.503  -0.006 -1.565  0.199 -1.565  0.405 -1.565  0.487 -1.441
2#tos#f2#f2032060/]  -0.429 1.276  -0.478 1.201  -0.572 1.154  -0.629 1.084  -0.582 1.026  -0.477 1.026  -0.371 1.026  -0.266 1.026  -0.161 1.026  -0.056 1.026  0.050 1.026  0.155 1.026  0.260 1.026  0.366 1.026  0.422 1.048  0.422 0.943  0.422 0.838  0.422 0.732  0.422 0.627  0.422 0.522  0.408 0.418  0.382 0.316  0.372 0.212  0.372 0.107  0.372 0.002  0.372 -0.104  0.372 -0.209  0.372 -0.314  0.372 -0.419  0.416 -0.514  0.422 -0.618  0.422 -0.723  0.422 -0.829  0.422 -0.934  0.460 -0.982  0.365 -1.026  0.260 -1.026  0.155 -1.026  0.050 -1.026  -0.035 -0.976  -0.140 -0.976  -0.245 -0.976  -0.351 -0.976  -0.456 -0.976  -0.560 -0.986  -0.659 -1.019  -0.764 -1.026  -0.869 -1.026  -0.974 -1.026  -1.079 -1.026
