1b#apb#apb32#app3252/A  -0.161 1.665  -0.169 1.542  -0.239 1.317  -0.272 1.084  -0.303 0.850  -0.332 0.616  -0.365 0.383  -0.409 0.151  -0.466 -0.077  -0.520 -0.307  -0.569 -0.537  -0.604 -0.770  -0.689 -0.987  -0.725 -1.220  -0.709 -1.342  -0.587 -1.146  -0.519 -0.920  -0.450 -0.695  -0.408 -0.464  -0.376 -0.230  -0.347 0.004  -0.315 0.237  -0.277 0.469  -0.186 0.687  -0.137 0.916  -0.094 1.147  0.022 1.348  0.146 1.499  0.295 1.319  0.383 1.101  0.462 0.879  0.539 0.656  0.612 0.432  0.653 0.200  0.700 -0.031  0.764 -0.258  0.810 -0.488  0.852 -0.720  0.882 -0.953  0.959 -1.168  0.973 -1.209  0.778 -1.078  0.582 -0.946  0.387 -0.814  0.191 -0.683  -0.004 -0.551  -0.200 -0.420  -0.347 -0.241  -0.223 -0.122  0.013 -0.122
1b#apb#apb32#app3252/B  -0.479 1.173  -0.583 1.121  -0.592 0.919  -0.592 0.715  -0.654 0.523  -0.662 0.325  -0.640 0.123  -0.658 -0.080  -0.603 -0.276  -0.592 -0.478  -0.586 -0.680  -0.524 -0.858  -0.524 -0.975  -0.477 -0.777  -0.434 -0.578  -0.435 -0.374  -0.475 -0.173  -0.505 0.029  -0.515 0.231  -0.490 0.433  -0.479 0.637  -0.448 0.837  -0.411 1.036  -0.360 1.170  -0.168 1.200  0.029 1.229  0.222 1.165  0.421 1.128  0.586 1.024  0.741 0.904  0.777 0.706  0.710 0.514  0.636 0.323  0.524 0.160  0.505 0.039  0.646 -0.104  0.788 -0.251  0.955 -0.352  0.985 -0.532  1.069 -0.706  1.052 -0.901  0.958 -1.077  0.779 -1.174  0.616 -1.278  0.415 -1.248  0.219 -1.194  0.035 -1.106  -0.132 -0.989  -0.260 -0.832  -0.389 -0.674
1b#apb#apb32#app3252/C  0.498 0.713  0.549 0.759  0.561 0.861  0.513 0.952  0.445 1.023  0.386 1.096  0.282 1.083  0.186 1.118  0.082 1.093  -0.020 1.060  -0.118 1.018  -0.205 0.957  -0.290 0.892  -0.376 0.828  -0.464 0.769  -0.552 0.708  -0.608 0.617  -0.664 0.526  -0.720 0.435  -0.766 0.339  -0.811 0.242  -0.849 0.143  -0.865 0.037  -0.881 -0.068  -0.885 -0.174  -0.874 -0.281  -0.838 -0.378  -0.776 -0.465  -0.715 -0.553  -0.623 -0.605  -0.527 -0.653  -0.424 -0.679  -0.320 -0.705  -0.215 -0.722  -0.109 -0.722  -0.002 -0.722  0.105 -0.722  0.212 -0.722  0.317 -0.737  0.422 -0.760  0.527 -0.775  0.634 -0.785  0.740 -0.798  0.846 -0.813  0.952 -0.813  1.049 -0.779  1.139 -0.721  1.244 -0.703  1.350 -0.699  1.455 -0.722
1b#apb#apb32#app3252/D  -0.291 1.041  -0.406 0.976  -0.437 0.805  -0.465 0.635  -0.491 0.464  -0.521 0.293  -0.551 0.123  -0.557 -0.050  -0.557 -0.223  -0.572 -0.395  -0.572 -0.567  -0.561 -0.740  -0.580 -0.911  -0.596 -0.969  -0.580 -0.797  -0.622 -0.633  -0.624 -0.467  -0.590 -0.297  -0.557 -0.128  -0.557 0.045  -0.557 0.218  -0.553 0.391  -0.503 0.557  -0.469 0.726  -0.379 0.873  -0.273 1.010  -0.132 1.107  0.028 1.170  0.200 1.174  0.373 1.174  0.510 1.077  0.636 0.957  0.756 0.834  0.852 0.690  0.907 0.529  0.941 0.359  0.951 0.187  0.951 0.014  0.933 -0.158  0.910 -0.329  0.880 -0.500  0.848 -0.670  0.788 -0.831  0.718 -0.990  0.606 -1.109  0.454 -1.192  0.310 -1.287  0.158 -1.370  0.001 -1.441  -0.158 -1.377
1b#apb#apb32#app3252/E  -0.712 0.824  -0.743 0.784  -0.821 0.608  -0.867 0.423  -0.907 0.235  -0.945 0.047  -0.996 -0.138  -1.018 -0.325  -1.002 -0.516  -1.014 -0.707  -0.975 -0.867  -0.784 -0.851  -0.594 -0.863  -0.415 -0.928  -0.230 -0.955  -0.039 -0.940  0.153 -0.940  0.345 -0.940  0.536 -0.960  0.719 -1.014  0.906 -1.016  0.802 -0.904  0.654 -0.781  0.507 -0.658  0.360 -0.535  0.213 -0.412  0.066 -0.289  -0.081 -0.165  -0.145 -0.143  0.004 -0.253  0.187 -0.312  0.379 -0.312  0.386 -0.204  0.290 -0.038  0.195 0.129  0.100 0.295  0.005 0.462  -0.090 0.629  -0.186 0.795  -0.281 0.962  -0.251 1.084  -0.065 1.130  0.126 1.128  0.317 1.118  0.509 1.103  0.700 1.086  0.891 1.069  1.081 1.044  1.271 1.018  1.461 0.993
1b#apb#apb32#app3252/F  -0.875 0.675  -0.735 0.769  -0.658 0.689  -0.619 0.499  -0.619 0.305  -0.619 0.110  -0.610 -0.084  -0.583 -0.277  -0.573 -0.471  -0.573 -0.666  -0.573 -0.861  -0.619 -1.049  -0.619 -1.244  -0.689 -1.410  -0.599 -1.578  -0.497 -1.577  -0.482 -1.383  -0.467 -1.189  -0.451 -0.995  -0.436 -0.800  -0.421 -0.606  -0.406 -0.412  -0.390 -0.218  -0.375 -0.023  -0.360 0.171  -0.345 0.365  -0.329 0.559  -0.294 0.744  -0.108 0.798  0.086 0.815  0.281 0.815  0.476 0.815  0.670 0.815  0.865 0.815  1.060 0.815  1.251 0.787  1.436 0.727  1.527 0.637  1.345 0.567  1.163 0.498  0.981 0.429  0.799 0.360  0.617 0.291  0.435 0.221  0.248 0.165  0.102 0.047  0.109 -0.061  0.299 -0.103  0.491 -0.130  0.683 -0.162
1b#apb#apb32#app3252/G  0.797 0.891  0.714 0.999  0.566 1.009  0.421 1.044  0.272 1.030  0.123 1.015  -0.026 1.002  -0.168 0.957  -0.313 0.919  -0.459 0.888  -0.592 0.821  -0.718 0.742  -0.831 0.644  -0.945 0.547  -1.014 0.419  -1.065 0.278  -1.092 0.131  -1.109 -0.017  -1.109 -0.167  -1.068 -0.307  -1.002 -0.440  -0.926 -0.569  -0.846 -0.696  -0.730 -0.786  -0.602 -0.862  -0.461 -0.913  -0.318 -0.944  -0.170 -0.927  -0.028 -0.880  0.093 -0.799  0.228 -0.742  0.300 -0.630  0.304 -0.484  0.240 -0.351  0.116 -0.268  -0.004 -0.178  -0.140 -0.138  -0.001 -0.132  0.147 -0.105  0.295 -0.104  0.443 -0.121  0.592 -0.137  0.740 -0.156  0.889 -0.174  1.037 -0.193  1.186 -0.211  1.334 -0.226  1.484 -0.226  1.633 -0.226  1.783 -0.226
1b#apb#apb32#app3252/H  -0.534 1.145  -0.600 1.287  -0.581 1.034  -0.600 0.754  -0.600 0.473  -0.600 0.192  -0.600 -0.089  -0.606 -0.369  -0.641 -0.648  -0.686 -0.926  -0.759 -1.197  -0.754 -1.452  -0.620 -1.261  -0.487 -1.013  -0.354 -0.765  -0.221 -0.518  -0.088 -0.270  0.044 -0.022  0.177 0.225  0.310 0.473  0.443 0.720  0.576 0.968  0.708 1.216  0.841 1.463  0.919 1.678  0.774 1.456  0.693 1.190  0.653 0.912  0.616 0.634  0.580 0.355  0.578 0.074  0.578 -0.207  0.578 -0.488  0.604 -0.767  0.577 -1.039  0.556 -1.317  0.481 -1.208  0.279 -1.013  0.077 -0.817  -0.125 -0.621  -0.326 -0.426  -0.528 -0.230  -0.730 -0.035  -0.927 0.076  -0.648 0.055  -0.367 0.055  -0.086 0.067  0.195 0.076  0.475 0.065  0.756 0.055
1b#apb#apb32#app3252/I  0.216 1.383  0.052 1.299  -0.080 1.089  -0.110 0.839  -0.133 0.589  -0.149 0.339  -0.191 0.091  -0.234 -0.156  -0.267 -0.405  -0.292 -0.655  -0.314 -0.905  -0.431 -1.094  -0.305 -1.264  -0.195 -1.194  -0.239 -0.947  -0.282 -0.699  -0.326 -0.452  -0.370 -0.205  -0.413 0.042  -0.457 0.290  -0.501 0.537  -0.544 0.784  -0.588 1.031  -0.522 1.187  -0.271 1.187  -0.020 1.183  0.230 1.168  0.480 1.142  0.729 1.110  0.977 1.068  1.090 0.981  0.919 0.797  0.748 0.613  0.577 0.430  0.406 0.246  0.235 0.062  0.064 -0.122  -0.106 -0.306  -0.277 -0.490  -0.448 -0.674  -0.619 -0.858  -0.781 -1.039  -0.533 -1.062  -0.282 -1.050  -0.032 -1.027  0.217 -1.000  0.468 -0.989  0.719 -0.989  0.969 -0.968  1.218 -0.940
1b#apb#apb32#app3252/J  0.526 0.736  0.400 0.736  0.334 0.603  0.334 0.453  0.328 0.303  0.315 0.154  0.312 0.004  0.312 -0.146  0.317 -0.296  0.328 -0.446  0.328 -0.596  0.317 -0.745  0.312 -0.895  0.312 -1.046  0.312 -1.196  0.191 -1.275  0.047 -1.311  -0.103 -1.313  -0.253 -1.298  -0.390 -1.244  -0.527 -1.188  -0.632 -1.115  -0.649 -0.966  -0.667 -0.817  -0.684 -0.668  -0.701 -0.519  -0.719 -0.370  -0.736 -0.221  -0.753 -0.072  -0.771 0.077  -0.788 0.227  -0.805 0.376  -0.823 0.525  -0.840 0.674  -0.775 0.773  -0.629 0.810  -0.480 0.821  -0.330 0.821  -0.180 0.821  -0.030 0.821  0.120 0.821  0.270 0.821  0.420 0.821  0.570 0.821  0.721 0.821  0.871 0.821  1.020 0.807  1.168 0.783  1.316 0.759  1.464 0.736
1b#apb#apb32#app3252/K  -0.688 1.075  -0.763 0.979  -0.774 0.811  -0.774 0.640  -0.774 0.470  -0.774 0.300  -0.790 0.131  -0.805 -0.039  -0.809 -0.208  -0.772 -0.374  -0.735 -0.540  -0.731 -0.710  -0.731 -0.880  -0.731 -1.050  -0.731 -1.220  -0.731 -1.228  -0.731 -1.058  -0.686 -0.894  -0.636 -0.731  -0.564 -0.577  -0.491 -0.423  -0.408 -0.275  -0.322 -0.128  -0.235 0.018  -0.153 0.167  -0.074 0.318  0.005 0.468  0.112 0.598  0.241 0.708  0.373 0.816  0.514 0.910  0.664 0.986  0.828 1.032  0.998 1.032  1.012 0.957  0.905 0.825  0.798 0.693  0.691 0.561  0.583 0.428  0.476 0.296  0.428 0.143  0.455 -0.019  0.547 -0.163  0.640 -0.305  0.737 -0.445  0.838 -0.581  0.959 -0.701  1.079 -0.822  1.204 -0.937  1.330 -1.052
