3#apa#apa15#app1520/!  0.155 1.573  0.083 1.573  0.010 1.573  -0.009 1.520  -0.009 1.447  -0.009 1.375  -0.009 1.303  -0.009 1.230  -0.009 1.158  -0.009 1.085  -0.009 1.013  -0.009 0.941  -0.009 0.868  -0.009 0.796  -0.009 0.723  -0.009 0.651  -0.009 0.579  -0.009 0.506  -0.009 0.434  -0.009 0.362  -0.009 0.289  -0.009 0.217  -0.009 0.144  0.008 0.079  0.059 0.028  0.110 -0.024  0.153 -0.077  0.139 -0.148  0.125 -0.219  0.111 -0.290  0.096 -0.361  0.082 -0.432  0.068 -0.503  0.054 -0.574  0.040 -0.645  0.025 -0.716  0.011 -0.787  -0.003 -0.858  -0.017 -0.929  -0.031 -1.000  -0.046 -1.071  -0.060 -1.142  -0.074 -1.213  -0.088 -1.284  -0.102 -1.355  -0.117 -1.426  -0.131 -1.497  -0.145 -1.568  -0.159 -1.639  -0.173 -1.710
3#apa#apa15#app1520/@  0.682 -0.552  0.682 -0.298  0.682 -0.044  0.663 0.202  0.484 0.382  0.249 0.429  -0.005 0.429  -0.146 0.246  -0.259 0.018  -0.416 -0.178  -0.494 -0.358  -0.314 -0.537  -0.066 -0.552  0.162 -0.444  0.390 -0.330  0.437 -0.105  0.437 0.149  0.217 0.184  -0.037 0.184  -0.054 -0.053  0.192 -0.061  0.439 -0.053  0.520 0.188  0.600 0.429  0.680 0.670  0.682 0.924  0.670 1.171  0.443 1.285  0.216 1.398  -0.036 1.410  -0.290 1.410  -0.518 1.301  -0.745 1.187  -0.854 0.971  -0.935 0.730  -1.015 0.489  -1.035 0.238  -1.035 -0.016  -1.035 -0.270  -1.035 -0.524  -0.876 -0.712  -0.696 -0.891  -0.516 -1.071  -0.337 -1.251  -0.098 -1.288  0.156 -1.288  0.410 -1.288  0.664 -1.288  0.918 -1.288  1.172 -1.288
3#apa#apa15#app1520/#  -0.702 1.011  -0.955 0.758  -0.972 0.406  -0.972 0.048  -0.972 -0.310  -0.866 -0.651  -0.753 -0.990  -0.563 -1.283  -0.433 -1.239  -0.433 -0.881  -0.348 -0.533  -0.261 -0.186  -0.174 0.162  -0.087 0.509  -0.000 0.856  0.087 1.204  0.106 1.001  0.137 0.648  0.250 0.309  0.363 -0.031  0.477 -0.371  0.590 -0.711  0.644 -1.060  0.916 -1.139  1.101 -0.832  1.285 -0.525  1.469 -0.218  1.653 0.089  1.563 0.044  1.250 -0.066  0.907 -0.158  0.567 -0.272  0.220 -0.336  -0.139 -0.336  -0.497 -0.336  -0.855 -0.336  -1.213 -0.336  -0.946 -0.188  -0.625 -0.028  -0.305 0.132  0.015 0.292  0.335 0.453  0.656 0.613  0.844 0.742  0.486 0.742  0.128 0.742  -0.230 0.742  -0.588 0.742  -0.921 0.633  -1.241 0.472
3#apa#apa15#app1520/$  0.477 0.341  0.477 0.609  0.362 0.762  0.094 0.762  -0.149 0.659  -0.392 0.551  -0.635 0.492  -0.747 0.303  -0.551 0.131  -0.283 0.131  -0.015 0.131  0.249 0.092  0.511 0.039  0.774 -0.013  1.037 -0.066  1.303 -0.080  1.289 -0.320  1.099 -0.509  0.910 -0.699  0.721 -0.888  0.531 -1.077  0.296 -1.192  0.042 -1.277  -0.215 -1.343  -0.483 -1.343  -0.564 -1.167  -0.546 -0.900  -0.528 -0.633  -0.510 -0.366  -0.493 -0.098  -0.475 0.169  -0.457 0.436  -0.439 0.703  -0.421 0.971  -0.403 1.238  -0.386 1.505  -0.368 1.772  -0.365 1.588  -0.365 1.320  -0.333 1.057  -0.268 0.797  -0.204 0.537  -0.142 0.276  -0.089 0.014  -0.037 -0.249  0.016 -0.512  0.071 -0.773  0.136 -1.033  0.201 -1.293  0.266 -1.553
3#apa#apa15#app1520/%  -0.542 0.436  -0.542 0.695  -0.596 0.900  -0.808 0.788  -0.940 0.568  -1.041 0.330  -1.122 0.085  -1.160 -0.168  -0.924 -0.140  -0.693 -0.024  -0.510 0.159  -0.328 0.342  -0.145 0.525  -0.079 0.757  -0.194 0.900  -0.430 0.801  -0.418 0.795  -0.178 0.891  0.062 0.987  0.302 1.083  0.542 1.179  0.782 1.275  0.992 1.343  0.876 1.112  0.761 0.880  0.633 0.656  0.490 0.441  0.347 0.225  0.203 0.010  0.063 -0.207  -0.053 -0.438  -0.169 -0.670  -0.284 -0.901  -0.407 -1.127  -0.481 -1.231  -0.250 -1.116  -0.018 -1.000  0.213 -0.884  0.384 -0.732  0.505 -0.523  0.539 -0.393  0.449 -0.624  0.306 -0.839  0.230 -1.075  0.230 -1.334  0.387 -1.338  0.588 -1.187  0.732 -0.972  0.848 -0.749  0.848 -0.490
3#apa#apa15#app1520/^  -1.176 -1.010  -1.283 -1.010  -1.372 -1.003  -1.297 -0.927  -1.221 -0.852  -1.157 -0.768  -1.109 -0.673  -1.061 -0.577  -1.014 -0.482  -0.962 -0.389  -0.887 -0.314  -0.811 -0.238  -0.736 -0.163  -0.660 -0.087  -0.585 -0.012  -0.509 0.064  -0.434 0.139  -0.358 0.215  -0.283 0.291  -0.207 0.366  -0.131 0.442  -0.056 0.517  0.020 0.593  0.095 0.668  0.171 0.744  0.246 0.819  0.322 0.895  0.397 0.970  0.481 1.025  0.588 1.025  0.656 0.986  0.656 0.879  0.656 0.772  0.656 0.666  0.656 0.559  0.656 0.452  0.656 0.345  0.656 0.238  0.681 0.136  0.714 0.034  0.748 -0.067  0.782 -0.168  0.816 -0.270  0.850 -0.371  0.859 -0.476  0.859 -0.583  0.859 -0.690  0.859 -0.796  0.859 -0.903  0.859 -1.010
3#apa#apa15#app1520/&  0.386 0.778  0.255 0.909  0.128 1.035  0.211 0.868  0.294 0.702  0.377 0.535  0.503 0.400  0.635 0.269  0.646 0.087  0.646 -0.099  0.646 -0.285  0.646 -0.471  0.646 -0.657  0.673 -0.837  0.756 -1.003  0.839 -1.169  0.907 -1.339  0.907 -1.525  0.841 -1.435  0.758 -1.268  0.675 -1.102  0.646 -0.923  0.625 -0.742  0.542 -0.575  0.459 -0.409  0.376 -0.243  0.292 -0.076  0.209 0.090  0.126 0.257  -0.050 0.316  -0.227 0.374  -0.403 0.433  -0.580 0.492  -0.762 0.517  -0.948 0.517  -1.134 0.517  -1.320 0.517  -1.436 0.448  -1.436 0.262  -1.436 0.076  -1.341 0.044  -1.174 0.128  -1.008 0.211  -0.833 0.257  -0.648 0.262  -0.493 0.365  -0.338 0.468  -0.184 0.571  -0.029 0.674  0.126 0.778
3#apa#apa15#app1520/*  -1.042 0.932  -0.839 0.729  -0.552 0.727  -0.355 0.581  -0.227 0.324  -0.068 0.084  0.091 -0.155  0.269 -0.379  0.441 -0.604  0.570 -0.861  0.793 -0.877  0.749 -0.594  0.706 -0.310  0.662 -0.026  0.618 0.258  0.575 0.542  0.531 0.826  0.487 1.110  0.444 1.394  0.400 1.678  0.184 1.738  0.184 1.451  0.105 1.182  -0.022 0.925  -0.091 0.646  -0.161 0.368  -0.239 0.092  -0.398 -0.147  -0.557 -0.386  -0.670 -0.645  -0.739 -0.924  -0.809 -1.203  -0.837 -1.487  -0.803 -1.691  -0.600 -1.488  -0.397 -1.285  -0.194 -1.081  0.010 -0.878  0.213 -0.675  0.416 -0.472  0.619 -0.269  0.822 -0.066  0.969 0.114  0.682 0.114  0.395 0.114  0.107 0.114  -0.180 0.114  -0.467 0.114  -0.754 0.114  -1.042 0.114
3#apa#apa15#app1520/(  0.437 1.627  0.385 1.574  0.333 1.522  0.280 1.470  0.228 1.418  0.192 1.354  0.159 1.288  0.126 1.221  0.093 1.155  0.060 1.089  0.027 1.023  0.002 0.955  0.002 0.881  0.002 0.807  0.002 0.733  0.002 0.659  0.002 0.585  -0.007 0.513  -0.030 0.443  -0.053 0.372  -0.077 0.302  -0.100 0.232  -0.123 0.162  -0.147 0.092  -0.170 0.022  -0.194 -0.048  -0.216 -0.119  -0.216 -0.193  -0.216 -0.267  -0.216 -0.341  -0.216 -0.414  -0.216 -0.488  -0.216 -0.562  -0.216 -0.636  -0.216 -0.710  -0.216 -0.784  -0.216 -0.858  -0.216 -0.932  -0.202 -1.000  -0.149 -1.052  -0.097 -1.105  -0.045 -1.157  0.008 -1.209  0.060 -1.261  0.112 -1.314  0.164 -1.366  0.217 -1.418  0.289 -1.421  0.363 -1.421  0.437 -1.421
3#apa#apa15#app1520/)  -0.534 1.426  -0.455 1.426  -0.376 1.426  -0.322 1.402  -0.322 1.323  -0.322 1.244  -0.273 1.214  -0.194 1.214  -0.116 1.214  -0.110 1.141  -0.110 1.062  -0.110 0.983  -0.110 0.904  -0.110 0.826  -0.110 0.747  -0.110 0.668  -0.110 0.589  -0.062 0.531  -0.006 0.475  0.049 0.419  0.104 0.362  0.139 0.292  0.174 0.222  0.209 0.151  0.245 0.081  0.280 0.010  0.313 -0.061  0.313 -0.139  0.313 -0.218  0.313 -0.297  0.313 -0.376  0.313 -0.455  0.313 -0.533  0.313 -0.612  0.313 -0.691  0.258 -0.747  0.202 -0.802  0.146 -0.858  0.097 -0.917  0.072 -0.992  0.047 -1.067  0.022 -1.142  -0.003 -1.216  -0.028 -1.291  -0.053 -1.366  -0.078 -1.441  -0.103 -1.515  -0.165 -1.539  -0.243 -1.539  -0.322 -1.539
3#apa#apa15#app1520/`  -0.513 1.589  -0.513 1.520  -0.513 1.450  -0.513 1.380  -0.513 1.310  -0.513 1.240  -0.513 1.170  -0.513 1.101  -0.513 1.031  -0.512 0.961  -0.481 0.899  -0.449 0.836  -0.418 0.774  -0.387 0.712  -0.356 0.649  -0.324 0.587  -0.293 0.524  -0.262 0.462  -0.231 0.399  -0.200 0.337  -0.168 0.274  -0.137 0.212  -0.106 0.150  -0.075 0.087  -0.043 0.025  -0.012 -0.038  0.019 -0.100  0.050 -0.163  0.081 -0.225  0.113 -0.288  0.144 -0.350  0.175 -0.412  0.206 -0.475  0.238 -0.537  0.269 -0.600  0.300 -0.662  0.331 -0.725  0.362 -0.787  0.394 -0.850  0.425 -0.912  0.456 -0.974  0.487 -1.037  0.519 -1.099  0.550 -1.162  0.581 -1.224  0.612 -1.287  0.643 -1.349  0.675 -1.412  0.706 -1.474  0.737 -1.536
