1c#tos#f2#f2068065/a  0.097 0.911  -0.002 1.064  -0.101 1.147  -0.172 1.258  -0.354 1.258  -0.472 1.146  -0.616 1.039  -0.734 0.901  -0.817 0.741  -0.914 0.592  -0.987 0.429  -1.006 0.254  -1.090 0.106  -1.111 -0.071  -1.139 -0.246  -1.139 -0.428  -1.028 -0.535  -0.937 -0.681  -0.810 -0.770  -0.628 -0.770  -0.447 -0.769  -0.323 -0.696  -0.175 -0.609  -0.069 -0.478  0.059 -0.401  0.166 -0.256  0.237 -0.127  0.288 0.041  0.319 0.217  0.400 0.380  0.443 0.551  0.493 0.713  0.433 0.781  0.389 0.607  0.289 0.454  0.246 0.283  0.246 0.101  0.246 -0.082  0.246 -0.264  0.302 -0.431  0.399 -0.583  0.504 -0.703  0.602 -0.820  0.735 -0.869  0.917 -0.869  1.087 -0.820  1.250 -0.789  1.387 -0.695  1.560 -0.640  1.729 -0.572
1c#tos#f2#f2068065/b  -0.164 1.515  -0.164 1.696  -0.181 1.861  -0.164 1.779  -0.164 1.598  -0.164 1.416  -0.180 1.237  -0.237 1.065  -0.280 0.890  -0.293 0.711  -0.337 0.534  -0.394 0.362  -0.395 0.181  -0.395 -0.001  -0.395 -0.182  -0.395 -0.363  -0.395 -0.545  -0.428 -0.721  -0.453 -0.899  -0.552 -1.019  -0.569 -1.190  -0.569 -1.146  -0.569 -0.964  -0.563 -0.784  -0.481 -0.622  -0.400 -0.459  -0.341 -0.288  -0.219 -0.156  -0.138 0.007  -0.028 0.148  0.067 0.290  0.188 0.421  0.339 0.522  0.518 0.532  0.699 0.532  0.857 0.475  0.927 0.321  0.934 0.140  0.934 -0.041  0.934 -0.223  0.884 -0.384  0.790 -0.533  0.712 -0.695  0.585 -0.796  0.441 -0.857  0.306 -0.966  0.241 -1.085  0.059 -1.085  -0.122 -1.085  -0.280 -1.143
1c#tos#f2#f2068065/c  0.275 0.634  0.366 0.653  0.366 0.762  0.366 0.871  0.366 0.980  0.366 1.089  0.335 1.191  0.244 1.220  0.140 1.197  0.042 1.148  -0.060 1.113  -0.166 1.087  -0.231 1.001  -0.291 0.911  -0.352 0.820  -0.428 0.742  -0.492 0.654  -0.553 0.563  -0.613 0.473  -0.665 0.377  -0.713 0.279  -0.749 0.176  -0.783 0.072  -0.807 -0.033  -0.807 -0.142  -0.807 -0.251  -0.806 -0.360  -0.771 -0.464  -0.712 -0.552  -0.677 -0.655  -0.581 -0.674  -0.480 -0.714  -0.379 -0.755  -0.274 -0.784  -0.168 -0.809  -0.059 -0.809  0.050 -0.809  0.159 -0.809  0.269 -0.809  0.378 -0.809  0.487 -0.809  0.596 -0.809  0.705 -0.809  0.814 -0.809  0.923 -0.809  1.032 -0.809  1.131 -0.764  1.229 -0.719  1.338 -0.719  1.448 -0.719
1c#tos#f2#f2068065/e  -0.688 -0.006  -0.855 -0.006  -0.921 -0.106  -0.829 -0.181  -0.662 -0.181  -0.495 -0.181  -0.328 -0.181  -0.161 -0.181  0.006 -0.181  0.102 -0.049  0.246 -0.006  0.354 0.090  0.494 0.169  0.595 0.278  0.684 0.403  0.716 0.538  0.716 0.706  0.716 0.873  0.716 1.040  0.716 1.207  0.650 1.347  0.504 1.397  0.340 1.385  0.202 1.293  0.060 1.209  -0.062 1.096  -0.175 0.992  -0.215 0.830  -0.349 0.783  -0.411 0.628  -0.454 0.469  -0.470 0.305  -0.532 0.150  -0.571 -0.010  -0.571 -0.177  -0.571 -0.344  -0.544 -0.500  -0.512 -0.654  -0.466 -0.797  -0.337 -0.894  -0.299 -1.055  -0.195 -1.153  -0.103 -1.292  0.064 -1.292  0.231 -1.292  0.398 -1.292  0.565 -1.292  0.733 -1.292  0.900 -1.292  1.067 -1.292
1c#tos#f2#f2068065/f  0.750 1.551  0.623 1.595  0.453 1.595  0.310 1.534  0.279 1.372  0.222 1.219  0.222 1.049  0.222 0.878  0.222 0.708  0.222 0.537  0.181 0.373  0.178 0.203  0.178 0.033  0.178 -0.138  0.178 -0.308  0.178 -0.479  0.178 -0.649  0.178 -0.819  0.090 -0.954  0.090 -1.124  0.090 -1.295  0.038 -1.420  -0.056 -1.526  -0.227 -1.526  -0.395 -1.522  -0.505 -1.404  -0.529 -1.246  -0.533 -1.075  -0.537 -0.905  -0.542 -0.734  -0.546 -0.564  -0.550 -0.393  -0.554 -0.223  -0.559 -0.053  -0.563 0.118  -0.567 0.288  -0.664 0.364  -0.825 0.324  -0.671 0.320  -0.501 0.320  -0.330 0.320  -0.160 0.320  0.009 0.339  0.177 0.364  0.347 0.364  0.463 0.452  0.634 0.452  0.804 0.452  0.975 0.452  1.145 0.452
1c#tos#f2#f2068065/j  0.443 0.380  0.356 0.456  0.313 0.384  0.313 0.247  0.313 0.110  0.356 -0.009  0.356 -0.146  0.356 -0.283  0.356 -0.420  0.356 -0.557  0.356 -0.695  0.280 -0.784  0.269 -0.915  0.269 -1.052  0.269 -1.189  0.166 -1.223  0.072 -1.266  -0.065 -1.266  -0.202 -1.266  -0.326 -1.234  -0.458 -1.223  -0.554 -1.131  -0.641 -1.080  -0.654 -0.949  -0.708 -0.871  -0.658 -0.744  -0.607 -0.616  -0.557 -0.489  -0.506 -0.362  -0.455 -0.234  -0.405 -0.107  -0.354 0.021  -0.304 0.148  -0.253 0.276  -0.203 0.403  -0.152 0.530  -0.102 0.658  -0.051 0.785  -0.001 0.913  0.050 1.040  0.100 1.168  0.151 1.295  0.201 1.422  0.252 1.550  0.183 1.590  0.236 1.507  0.340 1.453  0.427 1.349  0.506 1.270  0.573 1.160
1c#tos#f2#f2068065/l  0.105 1.611  0.077 1.660  0.008 1.653  0.008 1.577  0.008 1.500  0.008 1.424  0.008 1.347  0.008 1.271  0.008 1.195  0.008 1.118  0.008 1.042  0.008 0.966  0.008 0.889  0.008 0.813  0.008 0.737  0.008 0.660  0.008 0.584  0.008 0.508  0.008 0.431  0.008 0.355  0.008 0.278  0.008 0.202  0.008 0.126  0.008 0.049  0.008 -0.027  0.008 -0.103  0.008 -0.180  0.022 -0.255  0.037 -0.329  0.052 -0.404  0.057 -0.480  0.057 -0.557  0.057 -0.633  0.057 -0.709  0.057 -0.786  0.057 -0.862  0.057 -0.938  0.057 -1.015  0.057 -1.091  0.057 -1.167  0.057 -1.244  0.057 -1.320  0.009 -1.349  -0.040 -1.322  -0.047 -1.252  -0.123 -1.252  -0.200 -1.252  -0.235 -1.210  -0.255 -1.155  -0.283 -1.106
1c#tos#f2#f2068065/o  -0.017 1.029  -0.165 1.029  -0.312 1.033  -0.432 1.102  -0.527 1.048  -0.527 0.900  -0.626 0.830  -0.672 0.693  -0.672 0.544  -0.728 0.409  -0.745 0.264  -0.745 0.116  -0.745 -0.033  -0.745 -0.181  -0.745 -0.330  -0.745 -0.478  -0.707 -0.611  -0.672 -0.745  -0.627 -0.883  -0.538 -0.999  -0.467 -1.083  -0.353 -1.139  -0.260 -1.229  -0.111 -1.229  0.037 -1.229  0.169 -1.188  0.274 -1.083  0.392 -1.010  0.541 -1.010  0.566 -0.887  0.639 -0.768  0.657 -0.627  0.783 -0.573  0.831 -0.433  0.857 -0.289  0.857 -0.141  0.857 0.008  0.857 0.156  0.857 0.305  0.857 0.453  0.799 0.578  0.727 0.707  0.598 0.738  0.462 0.769  0.404 0.884  0.256 0.884  0.107 0.884  -0.034 0.901  -0.160 0.957  -0.308 0.957
1c#tos#f2#f2068065/p  0.575 0.513  0.511 0.337  0.439 0.163  0.266 0.105  0.068 0.105  -0.129 0.105  -0.241 0.190  -0.377 0.331  -0.447 0.516  -0.455 0.597  -0.364 0.449  -0.332 0.255  -0.332 0.058  -0.332 -0.140  -0.328 -0.337  -0.303 -0.533  -0.286 -0.729  -0.286 -0.927  -0.286 -1.124  -0.286 -1.321  -0.246 -1.512  -0.241 -1.709  -0.196 -1.861  -0.138 -1.733  -0.069 -1.547  -0.001 -1.362  0.067 -1.177  0.135 -0.992  0.204 -0.806  0.272 -0.621  0.340 -0.436  0.408 -0.251  0.477 -0.065  0.545 0.120  0.613 0.305  0.681 0.490  0.750 0.676  0.685 0.760  0.579 0.927  0.473 1.094  0.348 1.217  0.218 1.284  0.076 1.374  -0.121 1.374  -0.296 1.320  -0.468 1.238  -0.479 1.046  -0.526 0.876  -0.604 0.756  -0.559 0.603
1c#tos#f2#f2068065/q  0.491 1.131  0.364 1.097  0.234 1.071  0.088 1.131  -0.073 1.131  -0.206 1.066  -0.329 0.993  -0.438 0.942  -0.526 0.864  -0.618 0.753  -0.778 0.753  -0.834 0.648  -0.897 0.514  -0.897 0.354  -0.897 0.194  -0.857 0.043  -0.834 -0.112  -0.708 -0.146  -0.657 -0.256  -0.497 -0.256  -0.337 -0.256  -0.177 -0.256  -0.029 -0.201  0.118 -0.177  0.168 -0.025  0.175 0.134  0.208 0.281  0.238 0.429  0.301 0.574  0.364 0.671  0.380 0.816  0.427 0.703  0.427 0.543  0.427 0.382  0.427 0.222  0.427 0.062  0.427 -0.098  0.396 -0.255  0.364 -0.411  0.364 -0.572  0.364 -0.732  0.364 -0.892  0.364 -1.052  0.364 -1.213  0.364 -1.373  0.364 -1.533  0.364 -1.694  0.364 -1.854  0.427 -1.988  0.427 -2.148
1c#tos#f2#f2068065/r  -0.445 1.232  -0.585 1.232  -0.725 1.232  -0.865 1.232  -0.957 1.184  -0.854 1.129  -0.735 1.081  -0.672 0.955  -0.609 0.830  -0.502 0.749  -0.411 0.653  -0.372 0.522  -0.339 0.395  -0.292 0.275  -0.225 0.162  -0.225 0.022  -0.225 -0.118  -0.225 -0.258  -0.225 -0.398  -0.225 -0.539  -0.225 -0.679  -0.225 -0.819  -0.225 -0.959  -0.225 -1.099  -0.225 -1.239  -0.225 -1.379  -0.299 -1.354  -0.299 -1.214  -0.299 -1.073  -0.253 -0.944  -0.225 -0.811  -0.225 -0.670  -0.149 -0.554  -0.079 -0.435  -0.002 -0.350  0.131 -0.306  0.199 -0.186  0.247 -0.055  0.301 0.070  0.426 0.132  0.552 0.195  0.688 0.209  0.829 0.209  0.969 0.209  1.103 0.221  1.219 0.282  1.359 0.282  1.499 0.282  1.628 0.256  1.749 0.209
