1b#apa#apa15#app1510/Q  0.044 0.456  0.044 0.692  0.044 0.927  -0.181 0.938  -0.355 0.821  -0.485 0.625  -0.608 0.426  -0.683 0.202  -0.757 -0.021  -0.832 -0.245  -0.906 -0.468  -0.981 -0.692  -1.055 -0.915  -1.080 -1.147  -1.009 -1.296  -0.778 -1.249  -0.547 -1.203  -0.316 -1.157  -0.109 -1.048  0.093 -0.927  0.295 -0.806  0.497 -0.685  0.638 -0.499  0.769 -0.303  0.889 -0.101  0.995 0.110  1.100 0.320  1.130 0.531  1.025 0.742  0.869 0.916  0.642 0.938  0.406 0.938  0.171 0.938  -0.065 0.938  -0.287 0.869  -0.506 0.782  -0.725 0.694  -0.894 0.609  -0.668 0.545  -0.441 0.480  -0.215 0.415  0.012 0.351  0.205 0.260  0.254 0.036  0.359 -0.174  0.488 -0.371  0.619 -0.567  0.767 -0.749  0.957 -0.883  1.168 -0.989
1b#apa#apa15#app1510/U  -0.590 0.200  -0.590 0.322  -0.590 0.444  -0.613 0.543  -0.735 0.543  -0.762 0.448  -0.762 0.326  -0.762 0.204  -0.762 0.082  -0.762 -0.039  -0.762 -0.161  -0.762 -0.283  -0.762 -0.405  -0.762 -0.527  -0.762 -0.648  -0.762 -0.770  -0.733 -0.885  -0.679 -0.994  -0.624 -1.103  -0.544 -1.170  -0.422 -1.170  -0.324 -1.099  -0.227 -1.026  -0.130 -0.953  -0.032 -0.880  0.065 -0.807  0.163 -0.734  0.260 -0.661  0.335 -0.565  0.408 -0.468  0.481 -0.370  0.554 -0.273  0.627 -0.175  0.700 -0.078  0.773 0.019  0.780 0.139  0.780 0.261  0.783 0.382  0.812 0.500  0.842 0.618  0.871 0.737  0.901 0.855  0.930 0.973  0.920 1.072  0.811 1.127  0.702 1.181  0.593 1.236  0.484 1.290  0.375 1.345  0.266 1.399
1b#apa#apa15#app1510/I  0.037 1.451  -0.035 1.451  -0.108 1.451  -0.180 1.451  -0.209 1.408  -0.209 1.336  -0.209 1.263  -0.198 1.196  -0.147 1.145  -0.096 1.094  -0.045 1.043  0.006 0.992  0.037 0.932  0.037 0.860  0.037 0.788  0.037 0.716  0.037 0.644  0.037 0.572  0.037 0.499  0.037 0.427  0.037 0.355  0.037 0.283  0.037 0.211  0.037 0.139  0.037 0.067  0.037 -0.005  0.037 -0.077  0.037 -0.150  0.037 -0.222  0.037 -0.294  0.037 -0.366  0.037 -0.438  0.037 -0.510  0.037 -0.582  0.037 -0.654  0.037 -0.727  0.037 -0.799  0.037 -0.871  0.037 -0.943  0.037 -1.015  0.037 -1.087  0.037 -1.159  0.037 -1.231  0.037 -1.304  0.037 -1.376  0.037 -1.448  0.037 -1.520  0.037 -1.592  0.037 -1.664  0.037 -1.736
1b#apa#apa15#app1510/C  0.755 1.056  0.664 1.056  0.573 1.056  0.488 1.079  0.407 1.119  0.326 1.160  0.244 1.200  0.163 1.241  0.086 1.271  0.045 1.190  0.004 1.109  -0.036 1.028  -0.077 0.947  -0.117 0.866  -0.172 0.795  -0.236 0.731  -0.301 0.667  -0.365 0.602  -0.429 0.538  -0.493 0.474  -0.557 0.410  -0.577 0.327  -0.577 0.237  -0.571 0.147  -0.549 0.059  -0.527 -0.029  -0.505 -0.117  -0.483 -0.205  -0.461 -0.293  -0.439 -0.381  -0.417 -0.469  -0.395 -0.557  -0.373 -0.645  -0.343 -0.727  -0.267 -0.778  -0.192 -0.828  -0.116 -0.878  -0.041 -0.929  0.035 -0.979  0.110 -1.029  0.186 -1.080  0.261 -1.130  0.342 -1.163  0.432 -1.163  0.523 -1.163  0.614 -1.163  0.705 -1.163  0.795 -1.163  0.886 -1.163  0.977 -1.163
1b#apa#apa15#app1510/K  -1.195 0.703  -1.299 0.703  -1.159 0.595  -1.090 0.388  -1.015 0.183  -0.917 -0.013  -0.820 -0.209  -0.722 -0.404  -0.710 -0.620  -0.671 -0.829  -0.573 -1.025  -0.433 -1.190  -0.325 -1.094  -0.238 -0.894  -0.150 -0.694  -0.062 -0.493  0.025 -0.293  0.113 -0.093  0.200 0.108  0.288 0.308  0.376 0.508  0.463 0.708  0.551 0.909  0.639 1.109  0.726 1.309  0.905 1.337  0.905 1.118  0.816 0.937  0.643 0.805  0.456 0.692  0.268 0.580  0.081 0.467  -0.111 0.365  -0.318 0.295  -0.526 0.226  -0.686 0.081  -0.849 0.057  -0.630 0.057  -0.426 -0.004  -0.230 -0.102  -0.027 -0.141  0.139 -0.266  0.329 -0.336  0.500 -0.467  0.696 -0.565  0.861 -0.706  1.035 -0.837  1.216 -0.958  1.397 -1.081  1.552 -1.235
1b#apa#apa15#app1510/L  -0.309 1.720  -0.309 1.632  -0.309 1.545  -0.309 1.457  -0.309 1.369  -0.318 1.282  -0.332 1.196  -0.347 1.109  -0.361 1.023  -0.376 0.936  -0.390 0.850  -0.404 0.763  -0.419 0.677  -0.433 0.590  -0.448 0.504  -0.462 0.417  -0.477 0.331  -0.491 0.244  -0.501 0.157  -0.501 0.069  -0.501 -0.018  -0.501 -0.106  -0.501 -0.194  -0.474 -0.277  -0.447 -0.360  -0.419 -0.443  -0.391 -0.527  -0.363 -0.610  -0.336 -0.693  -0.306 -0.773  -0.218 -0.773  -0.130 -0.773  -0.043 -0.773  0.045 -0.773  0.133 -0.773  0.220 -0.773  0.308 -0.773  0.396 -0.773  0.482 -0.765  0.565 -0.738  0.649 -0.710  0.732 -0.682  0.815 -0.654  0.898 -0.627  0.981 -0.599  1.066 -0.581  1.154 -0.581  1.242 -0.581  1.329 -0.581  1.417 -0.581
1b#apa#apa15#app1510/Y  -1.524 0.914  -1.524 0.769  -1.461 0.639  -1.396 0.510  -1.306 0.398  -1.204 0.296  -1.102 0.194  -0.979 0.120  -0.849 0.055  -0.720 -0.009  -0.590 -0.074  -0.465 -0.145  -0.363 -0.247  -0.231 -0.277  -0.086 -0.277  0.059 -0.277  0.203 -0.277  0.304 -0.203  0.374 -0.076  0.445 0.050  0.515 0.177  0.585 0.303  0.656 0.430  0.726 0.556  0.796 0.683  0.866 0.809  0.937 0.936  1.007 1.062  0.862 1.062  0.814 0.929  0.768 0.792  0.722 0.655  0.652 0.530  0.571 0.409  0.491 0.289  0.411 0.168  0.354 0.035  0.297 -0.098  0.240 -0.231  0.183 -0.364  0.126 -0.497  0.069 -0.630  0.012 -0.763  -0.035 -0.898  -0.035 -1.043  -0.035 -1.187  -0.035 -1.332  -0.035 -1.477  -0.035 -1.621  -0.035 -1.766
1b#apa#apa15#app1510/F  -1.112 0.316  -1.066 0.068  -0.956 -0.165  -0.933 -0.423  -0.882 -0.677  -0.831 -0.931  -0.776 -1.185  -0.713 -1.436  -0.650 -1.688  -0.449 -1.653  -0.317 -1.429  -0.186 -1.205  -0.054 -0.982  0.077 -0.758  0.209 -0.535  0.340 -0.311  0.472 -0.087  0.603 0.136  0.735 0.360  0.866 0.583  0.998 0.807  1.180 0.942  1.028 0.942  0.770 0.917  0.514 0.874  0.258 0.831  0.003 0.789  -0.231 0.679  -0.475 0.593  -0.726 0.530  -0.979 0.473  -0.986 0.473  -0.728 0.443  -0.471 0.408  -0.214 0.374  0.043 0.340  0.300 0.305  0.557 0.271  0.815 0.237  1.072 0.203  1.329 0.168  1.192 0.160  0.933 0.160  0.676 0.138  0.424 0.075  0.173 0.012  -0.086 0.004  -0.345 0.004  -0.605 0.004  -0.799 -0.153
1b#apa#apa15#app1510/O  0.324 1.111  0.324 0.982  0.332 0.855  0.389 0.740  0.447 0.624  0.505 0.509  0.562 0.394  0.652 0.302  0.743 0.211  0.816 0.109  0.847 -0.016  0.878 -0.141  0.909 -0.266  0.941 -0.391  0.972 -0.516  1.003 -0.641  1.034 -0.766  0.979 -0.851  0.864 -0.909  0.749 -0.966  0.634 -1.024  0.518 -1.035  0.403 -0.977  0.288 -0.919  0.173 -0.862  0.057 -0.804  -0.058 -0.747  -0.173 -0.689  -0.288 -0.631  -0.402 -0.572  -0.494 -0.481  -0.585 -0.390  -0.676 -0.299  -0.767 -0.208  -0.858 -0.117  -0.949 -0.026  -1.040 0.065  -1.122 0.161  -1.122 0.289  -1.122 0.418  -1.122 0.547  -1.080 0.650  -0.964 0.708  -0.849 0.765  -0.734 0.823  -0.619 0.880  -0.503 0.938  -0.388 0.996  -0.273 1.053  -0.158 1.111
1b#apa#apa15#app1510/R  -0.603 0.461  -0.603 0.267  -0.603 0.074  -0.554 -0.112  -0.493 -0.295  -0.431 -0.479  -0.390 -0.665  -0.390 -0.859  -0.390 -1.052  -0.390 -1.246  -0.390 -1.439  -0.390 -1.269  -0.390 -1.076  -0.390 -0.882  -0.390 -0.689  -0.390 -0.496  -0.418 -0.307  -0.479 -0.123  -0.540 0.060  -0.601 0.244  -0.603 0.437  -0.603 0.631  -0.603 0.824  -0.603 1.017  -0.502 1.148  -0.329 1.235  -0.153 1.310  0.040 1.310  0.234 1.310  0.427 1.310  0.573 1.196  0.726 1.098  0.884 1.063  0.884 0.869  0.884 0.676  0.749 0.538  0.612 0.401  0.476 0.265  0.339 0.128  0.202 -0.009  0.065 -0.146  0.034 -0.326  0.127 -0.481  0.264 -0.618  0.400 -0.755  0.570 -0.814  0.758 -0.843  0.942 -0.904  1.125 -0.965  1.309 -1.026
1b#apa#apa15#app1510/G  0.219 0.407  0.219 0.561  0.219 0.714  0.219 0.867  0.219 1.021  0.102 1.102  -0.035 1.170  -0.181 1.203  -0.312 1.149  -0.420 1.041  -0.529 0.932  -0.615 0.808  -0.683 0.670  -0.752 0.533  -0.821 0.396  -0.889 0.259  -0.958 0.122  -1.026 -0.016  -1.054 -0.162  -1.054 -0.316  -1.054 -0.469  -1.054 -0.623  -1.004 -0.756  -0.896 -0.864  -0.751 -0.913  -0.606 -0.962  -0.460 -1.010  -0.320 -0.976  -0.183 -0.908  -0.046 -0.839  0.091 -0.770  0.229 -0.706  0.383 -0.706  0.536 -0.706  0.690 -0.706  0.818 -0.625  0.946 -0.540  1.073 -0.455  1.188 -0.359  1.257 -0.222  1.326 -0.084  1.235 0.027  1.111 0.110  0.966 0.158  0.820 0.207  0.673 0.248  0.520 0.248  0.367 0.248  0.213 0.248  0.060 0.248
