3#apb#apb02#app0254/S  0.511 1.217  0.511 1.267  0.401 1.322  0.270 1.315  0.140 1.296  0.012 1.267  -0.113 1.230  -0.235 1.182  -0.350 1.119  -0.455 1.040  -0.555 0.955  -0.640 0.856  -0.689 0.736  -0.717 0.625  -0.653 0.511  -0.552 0.428  -0.438 0.365  -0.317 0.315  -0.188 0.290  -0.058 0.272  0.071 0.247  0.199 0.221  0.326 0.186  0.452 0.150  0.565 0.084  0.668 0.004  0.755 -0.094  0.825 -0.204  0.873 -0.326  0.865 -0.455  0.832 -0.582  0.779 -0.701  0.704 -0.808  0.630 -0.917  0.543 -1.010  0.427 -1.071  0.322 -1.150  0.196 -1.166  0.065 -1.166  -0.064 -1.159  -0.182 -1.100  -0.299 -1.042  -0.417 -0.983  -0.524 -0.908  -0.627 -0.827  -0.743 -0.767  -0.810 -0.657  -0.864 -0.538  -0.788 -0.454  -0.663 -0.413
3#apb#apb02#app0254/w  -1.300 0.161  -1.348 0.305  -1.379 0.453  -1.415 0.598  -1.388 0.452  -1.363 0.303  -1.320 0.158  -1.267 0.017  -1.203 -0.120  -1.096 -0.228  -0.983 -0.327  -0.852 -0.400  -0.704 -0.432  -0.553 -0.438  -0.427 -0.358  -0.314 -0.258  -0.207 -0.151  -0.143 -0.015  -0.084 0.125  -0.079 0.275  -0.079 0.426  -0.079 0.578  -0.122 0.625  -0.171 0.483  -0.171 0.332  -0.160 0.181  -0.143 0.030  -0.095 -0.113  -0.027 -0.248  0.051 -0.378  0.155 -0.487  0.267 -0.588  0.388 -0.679  0.531 -0.726  0.678 -0.761  0.829 -0.761  0.963 -0.692  1.078 -0.595  1.174 -0.480  1.254 -0.351  1.284 -0.203  1.304 -0.054  1.304 0.098  1.258 0.239  1.195 0.377  1.128 0.513  1.060 0.648  0.978 0.760  0.839 0.810  0.751 0.898
3#apb#apb02#app0254/a  0.026 0.489  -0.089 0.611  -0.223 0.737  -0.360 0.859  -0.527 0.928  -0.704 0.899  -0.868 0.817  -1.011 0.708  -1.110 0.554  -1.192 0.390  -1.244 0.214  -1.262 0.033  -1.240 -0.148  -1.151 -0.309  -1.014 -0.426  -0.857 -0.521  -0.685 -0.584  -0.503 -0.599  -0.319 -0.599  -0.139 -0.581  0.015 -0.484  0.107 -0.332  0.161 -0.157  0.209 0.021  0.184 0.202  0.157 0.384  0.134 0.567  0.113 0.749  0.093 0.932  -0.012 0.968  -0.079 0.799  -0.112 0.618  -0.096 0.435  -0.072 0.253  -0.043 0.071  0.004 -0.107  0.054 -0.283  0.153 -0.438  0.267 -0.580  0.404 -0.703  0.565 -0.787  0.741 -0.830  0.925 -0.830  1.108 -0.821  1.290 -0.799  1.451 -0.711  1.601 -0.606  1.727 -0.476  1.779 -0.300  1.645 -0.228
3#apb#apb02#app0254/r  -0.763 0.083  -0.794 0.224  -0.826 0.366  -0.888 0.496  -0.953 0.626  -1.034 0.744  -1.119 0.859  -1.121 0.855  -1.028 0.759  -0.943 0.641  -0.861 0.522  -0.780 0.402  -0.700 0.281  -0.639 0.150  -0.578 0.018  -0.517 -0.114  -0.450 -0.242  -0.381 -0.370  -0.313 -0.498  -0.226 -0.611  -0.117 -0.707  -0.011 -0.804  0.048 -0.937  0.107 -1.069  0.212 -1.166  0.293 -1.277  0.344 -1.387  0.344 -1.299  0.344 -1.154  0.344 -1.009  0.340 -0.864  0.319 -0.720  0.321 -0.576  0.335 -0.432  0.349 -0.288  0.361 -0.143  0.373 0.001  0.396 0.144  0.424 0.286  0.450 0.429  0.470 0.573  0.525 0.705  0.610 0.822  0.717 0.912  0.859 0.929  1.004 0.929  1.096 0.830  1.221 0.755  1.349 0.688  1.484 0.636
3#apb#apb02#app0254/z  -0.870 0.454  -0.871 0.463  -0.797 0.641  -0.717 0.817  -0.627 0.989  -0.510 1.143  -0.367 1.273  -0.199 1.368  -0.011 1.404  0.057 1.230  0.046 1.039  -0.010 0.855  -0.089 0.678  -0.181 0.507  -0.281 0.343  -0.342 0.252  -0.228 0.388  -0.050 0.454  0.140 0.429  0.317 0.354  0.451 0.222  0.548 0.055  0.616 -0.122  0.627 -0.316  0.627 -0.509  0.617 -0.703  0.575 -0.890  0.507 -1.071  0.429 -1.249  0.343 -1.422  0.257 -1.595  0.095 -1.699  -0.087 -1.692  -0.222 -1.557  -0.328 -1.397  -0.407 -1.220  -0.464 -1.036  -0.488 -0.845  -0.480 -0.653  -0.423 -0.468  -0.330 -0.300  -0.214 -0.146  -0.064 -0.023  0.081 0.105  0.222 0.238  0.366 0.367  0.510 0.496  0.645 0.635  0.768 0.784  0.814 0.929
3#apb#apb02#app0254/e  -0.411 -0.128  -0.418 0.019  -0.512 0.117  -0.438 0.172  -0.285 0.188  -0.131 0.194  0.022 0.209  0.174 0.223  0.320 0.272  0.465 0.299  0.588 0.391  0.677 0.512  0.719 0.660  0.723 0.805  0.654 0.943  0.544 1.049  0.404 1.110  0.254 1.142  0.102 1.140  -0.048 1.105  -0.197 1.064  -0.340 1.009  -0.465 0.925  -0.557 0.801  -0.665 0.691  -0.736 0.554  -0.818 0.423  -0.869 0.278  -0.901 0.128  -0.914 -0.026  -0.917 -0.180  -0.909 -0.334  -0.875 -0.484  -0.786 -0.610  -0.676 -0.718  -0.561 -0.821  -0.421 -0.886  -0.281 -0.950  -0.128 -0.969  0.026 -0.988  0.180 -0.998  0.334 -1.006  0.488 -1.011  0.641 -0.993  0.795 -0.975  0.947 -0.947  1.098 -0.917  1.246 -0.874  1.394 -0.830  1.463 -0.781
3#apb#apb02#app0254/T  -1.184 0.373  -1.311 0.430  -1.453 0.481  -1.302 0.504  -1.148 0.520  -0.995 0.531  -0.841 0.541  -0.687 0.549  -0.533 0.549  -0.379 0.549  -0.225 0.547  -0.071 0.543  0.083 0.538  0.237 0.529  0.390 0.512  0.543 0.495  0.696 0.480  0.850 0.465  1.003 0.449  1.156 0.451  1.308 0.468  1.461 0.481  1.361 0.466  1.215 0.418  1.068 0.370  0.922 0.322  0.776 0.274  0.629 0.226  0.483 0.178  0.337 0.130  0.190 0.082  0.044 0.034  -0.103 -0.014  -0.249 -0.062  -0.321 -0.007  -0.363 0.097  -0.388 -0.054  -0.388 -0.208  -0.378 -0.362  -0.364 -0.515  -0.357 -0.669  -0.351 -0.823  -0.331 -0.975  -0.292 -1.124  -0.248 -1.271  -0.197 -1.417  -0.132 -1.556  -0.049 -1.659  -0.049 -1.507  -0.064 -1.354
3#apb#apb02#app0254/h  -0.742 1.308  -0.790 1.447  -0.843 1.454  -0.855 1.307  -0.848 1.160  -0.822 1.014  -0.786 0.871  -0.741 0.729  -0.697 0.588  -0.650 0.447  -0.603 0.306  -0.567 0.163  -0.538 0.018  -0.512 -0.128  -0.495 -0.275  -0.478 -0.423  -0.448 -0.567  -0.412 -0.711  -0.388 -0.857  -0.329 -0.938  -0.293 -0.796  -0.292 -0.647  -0.280 -0.500  -0.266 -0.352  -0.245 -0.205  -0.224 -0.059  -0.200 0.087  -0.170 0.232  -0.115 0.370  -0.044 0.499  0.035 0.624  0.147 0.710  0.288 0.692  0.400 0.604  0.492 0.488  0.571 0.363  0.620 0.224  0.664 0.082  0.704 -0.061  0.742 -0.204  0.774 -0.348  0.796 -0.495  0.832 -0.638  0.887 -0.775  0.940 -0.914  0.999 -1.049  1.065 -1.182  1.149 -1.300  1.244 -1.244  1.327 -1.121
3#apb#apb02#app0254/o  -0.110 0.036  -0.004 0.151  0.041 0.308  0.077 0.467  0.036 0.614  -0.077 0.723  -0.239 0.737  -0.402 0.721  -0.550 0.660  -0.691 0.576  -0.813 0.468  -0.933 0.356  -1.042 0.234  -1.129 0.100  -1.168 -0.059  -1.168 -0.218  -1.131 -0.377  -1.058 -0.524  -0.985 -0.670  -0.861 -0.775  -0.730 -0.873  -0.585 -0.947  -0.435 -1.013  -0.282 -1.063  -0.118 -1.063  0.045 -1.063  0.206 -1.037  0.365 -0.997  0.516 -0.941  0.651 -0.847  0.785 -0.754  0.911 -0.650  1.036 -0.545  1.088 -0.390  1.140 -0.234  1.161 -0.073  1.174 0.090  1.134 0.248  1.089 0.406  0.986 0.529  0.870 0.644  0.734 0.735  0.598 0.826  0.441 0.871  0.281 0.895  0.118 0.879  -0.038 0.831  -0.191 0.773  -0.326 0.685  -0.414 0.550
3#apb#apb02#app0254/r  -0.588 0.119  -0.645 0.251  -0.675 0.388  -0.684 0.531  -0.737 0.662  -0.820 0.659  -0.820 0.515  -0.796 0.374  -0.768 0.233  -0.732 0.094  -0.694 -0.044  -0.637 -0.175  -0.561 -0.296  -0.492 -0.422  -0.428 -0.550  -0.360 -0.677  -0.286 -0.800  -0.212 -0.923  -0.141 -1.048  -0.066 -1.170  0.018 -1.287  0.105 -1.401  0.183 -1.506  0.178 -1.376  0.153 -1.235  0.124 -1.094  0.098 -0.953  0.075 -0.811  0.051 -0.670  0.050 -0.526  0.050 -0.382  0.050 -0.239  0.050 -0.095  0.050 0.048  0.070 0.189  0.109 0.327  0.137 0.468  0.166 0.609  0.236 0.734  0.307 0.859  0.376 0.984  0.457 1.100  0.569 1.190  0.702 1.244  0.840 1.216  0.967 1.155  1.078 1.064  1.180 0.963  1.296 0.888  1.414 0.815
3#apb#apb02#app0254/t  -1.552 0.120  -1.552 0.206  -1.512 0.014  -1.445 -0.170  -1.397 -0.361  -1.341 -0.515  -1.335 -0.321  -1.315 -0.125  -1.289 0.069  -1.227 0.254  -1.093 0.396  -0.920 0.336  -0.796 0.184  -0.709 0.008  -0.636 -0.174  -0.554 -0.353  -0.499 -0.540  -0.501 -0.642  -0.529 -0.465  -0.390 -0.326  -0.251 -0.187  -0.112 -0.048  0.027 0.091  0.166 0.230  0.305 0.369  0.444 0.508  0.583 0.647  0.651 0.822  0.703 0.817  0.747 0.625  0.786 0.433  0.825 0.240  0.860 0.046  0.916 -0.142  0.972 -0.331  1.019 -0.521  1.055 -0.659  0.954 -0.494  0.822 -0.353  0.666 -0.234  0.509 -0.115  0.350 0.000  0.290 0.043  0.486 0.043  0.681 0.071  0.876 0.093  1.072 0.111  1.268 0.120  1.465 0.126  1.458 0.055
