3#apb#apb16#app1606/a  0.447 0.280  0.447 0.477  0.475 0.669  0.508 0.860  0.466 1.044  0.316 1.165  0.120 1.165  -0.077 1.165  -0.255 1.104  -0.419 0.995  -0.553 0.852  -0.684 0.705  -0.799 0.546  -0.915 0.387  -0.994 0.208  -1.070 0.026  -1.143 -0.156  -1.195 -0.341  -1.171 -0.536  -1.110 -0.723  -1.017 -0.892  -0.878 -1.028  -0.707 -1.123  -0.513 -1.106  -0.329 -1.037  -0.218 -0.878  -0.113 -0.712  0.004 -0.554  0.122 -0.397  0.225 -0.230  0.317 -0.056  0.409 0.117  0.491 0.296  0.567 0.477  0.627 0.664  0.651 0.855  0.594 0.944  0.569 0.749  0.569 0.553  0.546 0.358  0.514 0.164  0.497 -0.031  0.483 -0.227  0.467 -0.423  0.451 -0.619  0.480 -0.812  0.537 -0.999  0.628 -1.173  0.729 -1.340  0.905 -1.428
3#apb#apb16#app1606/b  0.023 1.689  -0.072 1.800  -0.134 1.900  -0.164 1.752  -0.187 1.601  -0.205 1.451  -0.225 1.301  -0.278 1.158  -0.330 1.015  -0.379 0.872  -0.401 0.722  -0.423 0.571  -0.446 0.421  -0.467 0.271  -0.482 0.120  -0.497 -0.031  -0.517 -0.182  -0.554 -0.329  -0.575 -0.478  -0.575 -0.630  -0.570 -0.777  -0.494 -0.697  -0.426 -0.561  -0.359 -0.425  -0.295 -0.288  -0.231 -0.150  -0.144 -0.026  -0.053 0.096  0.043 0.213  0.158 0.293  0.310 0.303  0.445 0.284  0.536 0.163  0.601 0.026  0.660 -0.114  0.730 -0.248  0.802 -0.382  0.821 -0.529  0.821 -0.681  0.812 -0.833  0.799 -0.984  0.722 -1.114  0.608 -1.204  0.463 -1.236  0.311 -1.236  0.172 -1.174  0.040 -1.100  -0.086 -1.016  -0.132 -0.871  -0.177 -0.726
3#apb#apb16#app1606/c  0.890 0.801  0.872 0.885  0.845 0.967  0.820 1.051  0.799 1.135  0.721 1.164  0.637 1.188  0.557 1.189  0.485 1.141  0.405 1.107  0.325 1.073  0.250 1.032  0.185 0.974  0.120 0.916  0.055 0.859  -0.009 0.801  -0.055 0.727  -0.101 0.653  -0.146 0.579  -0.192 0.505  -0.237 0.431  -0.280 0.356  -0.321 0.279  -0.363 0.203  -0.404 0.126  -0.445 0.050  -0.478 -0.029  -0.492 -0.115  -0.505 -0.201  -0.518 -0.287  -0.531 -0.372  -0.533 -0.459  -0.526 -0.545  -0.520 -0.632  -0.513 -0.718  -0.506 -0.805  -0.467 -0.882  -0.425 -0.958  -0.382 -1.034  -0.330 -1.098  -0.248 -1.125  -0.166 -1.153  -0.083 -1.180  -0.001 -1.207  0.085 -1.219  0.171 -1.224  0.258 -1.230  0.345 -1.235  0.431 -1.241  0.518 -1.246
3#apb#apb16#app1606/d  0.131 -0.502  0.052 -0.335  -0.010 -0.159  -0.131 -0.025  -0.300 0.058  -0.469 0.051  -0.645 -0.016  -0.777 -0.132  -0.870 -0.295  -0.932 -0.473  -0.982 -0.654  -1.025 -0.838  -1.025 -1.026  -0.957 -1.192  -0.818 -1.314  -0.643 -1.359  -0.475 -1.295  -0.330 -1.176  -0.209 -1.032  -0.098 -0.880  0.003 -0.721  0.102 -0.561  0.190 -0.395  0.275 -0.227  0.322 -0.044  0.370 0.138  0.418 0.320  0.467 0.502  0.516 0.684  0.541 0.870  0.557 1.058  0.570 1.245  0.570 1.434  0.570 1.622  0.521 1.784  0.480 1.619  0.424 1.439  0.377 1.257  0.345 1.071  0.313 0.886  0.282 0.700  0.254 0.514  0.225 0.327  0.211 0.140  0.211 -0.048  0.211 -0.237  0.230 -0.424  0.250 -0.611  0.319 -0.786  0.390 -0.960
3#apb#apb16#app1606/e  0.299 0.132  0.228 0.093  0.155 0.018  0.176 -0.116  0.251 -0.222  0.344 -0.320  0.429 -0.425  0.554 -0.425  0.684 -0.391  0.791 -0.311  0.882 -0.216  0.919 -0.086  0.932 0.047  0.932 0.182  0.932 0.318  0.922 0.451  0.879 0.579  0.798 0.686  0.713 0.791  0.627 0.895  0.527 0.985  0.424 1.073  0.305 1.136  0.184 1.197  0.056 1.154  -0.072 1.111  -0.168 1.017  -0.264 0.921  -0.351 0.818  -0.436 0.713  -0.522 0.609  -0.571 0.484  -0.614 0.356  -0.657 0.228  -0.697 0.099  -0.734 -0.031  -0.771 -0.161  -0.801 -0.292  -0.819 -0.426  -0.836 -0.560  -0.846 -0.693  -0.809 -0.823  -0.772 -0.953  -0.732 -1.082  -0.647 -1.187  -0.563 -1.292  -0.472 -1.392  -0.369 -1.478  -0.265 -1.565  -0.161 -1.651
3#apb#apb16#app1606/f  0.579 -0.202  0.627 -0.044  0.688 0.111  0.754 0.264  0.797 0.423  0.822 0.588  0.890 0.740  0.906 0.897  0.869 1.059  0.805 1.212  0.712 1.348  0.585 1.454  0.441 1.528  0.298 1.464  0.180 1.346  0.068 1.223  0.008 1.070  -0.042 0.912  -0.084 0.751  -0.112 0.587  -0.141 0.423  -0.158 0.257  -0.165 0.091  -0.172 -0.075  -0.183 -0.242  -0.196 -0.408  -0.208 -0.574  -0.204 -0.739  -0.178 -0.903  -0.153 -1.068  -0.143 -1.234  -0.134 -1.401  -0.101 -1.564  -0.154 -1.499  -0.236 -1.354  -0.319 -1.209  -0.401 -1.064  -0.484 -0.920  -0.566 -0.775  -0.648 -0.630  -0.731 -0.486  -0.813 -0.341  -0.896 -0.196  -0.832 -0.103  -0.674 -0.065  -0.509 -0.085  -0.345 -0.114  -0.181 -0.141  -0.015 -0.151  0.151 -0.161
3#apb#apb16#app1606/g  0.309 0.444  0.329 0.590  0.327 0.736  0.235 0.849  0.162 0.973  0.045 1.062  -0.085 1.115  -0.229 1.083  -0.328 0.975  -0.426 0.864  -0.519 0.750  -0.606 0.632  -0.682 0.506  -0.696 0.363  -0.659 0.225  -0.556 0.134  -0.414 0.098  -0.271 0.090  -0.132 0.138  -0.028 0.242  0.082 0.338  0.195 0.431  0.238 0.572  0.232 0.715  0.232 0.862  0.163 0.980  0.116 1.003  0.087 0.859  0.078 0.712  0.078 0.565  0.078 0.418  0.078 0.271  0.089 0.124  0.104 -0.022  0.119 -0.168  0.131 -0.315  0.143 -0.462  0.157 -0.608  0.195 -0.750  0.232 -0.893  0.251 -1.037  0.251 -1.184  0.251 -1.332  0.244 -1.479  0.235 -1.625  0.203 -1.768  0.157 -1.907  0.054 -2.011  -0.058 -2.107  -0.193 -2.049
3#apb#apb16#app1606/h  -0.440 1.729  -0.520 1.838  -0.533 1.717  -0.533 1.576  -0.517 1.436  -0.492 1.298  -0.475 1.158  -0.460 1.018  -0.446 0.878  -0.440 0.737  -0.440 0.596  -0.440 0.455  -0.440 0.314  -0.440 0.173  -0.440 0.032  -0.440 -0.109  -0.450 -0.249  -0.465 -0.389  -0.481 -0.529  -0.495 -0.670  -0.507 -0.810  -0.497 -0.950  -0.468 -1.087  -0.407 -1.102  -0.362 -0.968  -0.298 -0.844  -0.224 -0.724  -0.153 -0.602  -0.100 -0.471  -0.046 -0.341  0.008 -0.211  0.065 -0.082  0.121 0.047  0.185 0.172  0.267 0.287  0.365 0.388  0.489 0.430  0.581 0.324  0.652 0.203  0.692 0.068  0.733 -0.067  0.774 -0.202  0.806 -0.339  0.837 -0.476  0.869 -0.614  0.901 -0.751  0.940 -0.886  0.979 -1.022  1.034 -1.151  1.152 -1.226
3#apb#apb16#app1606/i  0.105 0.343  0.072 0.397  0.060 0.350  0.105 0.240  0.087 0.122  0.068 0.004  0.054 -0.114  0.047 -0.233  0.041 -0.352  0.035 -0.471  0.025 -0.590  0.008 -0.708  -0.009 -0.826  -0.019 -0.945  -0.019 -1.064  -0.019 -1.184  -0.019 -1.303  -0.031 -1.419  -0.069 -1.530  -0.066 -1.489  -0.063 -1.370  -0.059 -1.250  -0.056 -1.131  -0.052 -1.012  -0.049 -0.893  -0.046 -0.773  -0.042 -0.654  -0.039 -0.535  -0.035 -0.416  -0.032 -0.296  -0.028 -0.177  -0.025 -0.058  -0.021 0.061  -0.018 0.181  -0.014 0.300  -0.011 0.419  -0.008 0.538  -0.004 0.658  -0.001 0.777  0.003 0.896  0.006 1.015  0.010 1.134  0.013 1.254  0.017 1.373  0.020 1.492  0.024 1.611  0.027 1.731  0.031 1.850  0.015 1.968  -0.019 2.081
3#apb#apb16#app1606/j  0.144 0.444  0.130 0.578  0.106 0.710  0.101 0.714  0.195 0.622  0.262 0.507  0.316 0.383  0.362 0.257  0.388 0.125  0.414 -0.008  0.430 -0.141  0.445 -0.275  0.445 -0.410  0.437 -0.544  0.423 -0.678  0.400 -0.811  0.376 -0.943  0.306 -1.057  0.233 -1.171  0.164 -1.286  0.076 -1.387  -0.040 -1.434  -0.174 -1.434  -0.309 -1.434  -0.347 -1.344  -0.337 -1.209  -0.328 -1.075  -0.318 -0.940  -0.308 -0.806  -0.298 -0.672  -0.289 -0.537  -0.279 -0.403  -0.269 -0.268  -0.260 -0.134  -0.250 0.000  -0.240 0.135  -0.230 0.269  -0.221 0.404  -0.211 0.538  -0.201 0.672  -0.191 0.807  -0.182 0.941  -0.172 1.076  -0.162 1.210  -0.153 1.344  -0.143 1.479  -0.116 1.611  -0.088 1.743  -0.066 1.875  0.029 1.957
3#apb#apb16#app1606/k  -0.383 1.453  -0.366 1.647  -0.407 1.830  -0.404 1.775  -0.407 1.581  -0.407 1.386  -0.407 1.192  -0.407 0.997  -0.402 0.802  -0.393 0.608  -0.385 0.413  -0.389 0.219  -0.397 0.024  -0.404 -0.170  -0.418 -0.364  -0.437 -0.558  -0.457 -0.752  -0.476 -0.945  -0.496 -1.139  -0.500 -1.333  -0.489 -1.450  -0.428 -1.266  -0.351 -1.087  -0.282 -0.905  -0.221 -0.720  -0.152 -0.539  -0.078 -0.359  0.002 -0.181  0.089 -0.007  0.209 0.145  0.347 0.281  0.478 0.423  0.614 0.558  0.777 0.664  0.866 0.716  0.700 0.618  0.551 0.494  0.420 0.349  0.303 0.195  0.195 0.033  0.098 -0.136  -0.005 -0.301  0.018 -0.478  0.129 -0.624  0.299 -0.720  0.481 -0.788  0.676 -0.788  0.859 -0.842  1.033 -0.928  1.204 -1.021
