3#apb#apb31#app3179/O  -0.009 0.552  -0.143 0.535  -0.258 0.454  -0.352 0.350  -0.421 0.227  -0.479 0.098  -0.525 -0.035  -0.567 -0.170  -0.599 -0.308  -0.630 -0.446  -0.660 -0.584  -0.688 -0.722  -0.701 -0.863  -0.713 -1.004  -0.700 -1.144  -0.680 -1.284  -0.596 -1.392  -0.473 -1.416  -0.335 -1.389  -0.235 -1.289  -0.135 -1.189  -0.040 -1.084  0.048 -0.973  0.136 -0.863  0.224 -0.752  0.295 -0.630  0.366 -0.508  0.436 -0.385  0.506 -0.262  0.562 -0.133  0.618 -0.003  0.674 0.127  0.724 0.259  0.751 0.398  0.778 0.536  0.805 0.675  0.794 0.815  0.778 0.956  0.735 1.086  0.651 1.199  0.546 1.278  0.406 1.301  0.271 1.279  0.136 1.235  0.010 1.178  -0.090 1.078  -0.190 0.978  -0.273 0.865  -0.345 0.743  -0.417 0.622
3#apb#apb31#app3179/'  -0.671 1.525  -0.613 1.487  -0.555 1.448  -0.503 1.404  -0.472 1.342  -0.441 1.280  -0.410 1.217  -0.378 1.155  -0.347 1.093  -0.316 1.030  -0.285 0.968  -0.254 0.906  -0.223 0.843  -0.191 0.781  -0.169 0.715  -0.148 0.649  -0.127 0.582  -0.105 0.516  -0.084 0.450  -0.063 0.383  -0.042 0.317  -0.021 0.250  0.000 0.184  0.021 0.117  0.043 0.051  0.064 -0.015  0.085 -0.082  0.106 -0.148  0.127 -0.215  0.148 -0.281  0.169 -0.347  0.190 -0.414  0.202 -0.483  0.214 -0.551  0.226 -0.620  0.238 -0.689  0.250 -0.757  0.262 -0.826  0.274 -0.895  0.286 -0.963  0.298 -1.032  0.310 -1.101  0.322 -1.169  0.333 -1.238  0.345 -1.306  0.357 -1.375  0.369 -1.444  0.381 -1.512  0.393 -1.581  0.405 -1.650
3#apb#apb31#app3179/B  0.063 0.547  -0.057 0.361  -0.138 0.150  -0.243 -0.048  -0.351 -0.246  -0.443 -0.452  -0.548 -0.650  -0.678 -0.834  -0.851 -0.972  -1.052 -1.072  -1.135 -0.920  -1.052 -0.715  -0.950 -0.514  -0.852 -0.312  -0.753 -0.109  -0.652 0.092  -0.551 0.294  -0.445 0.492  -0.336 0.689  -0.220 0.882  -0.086 1.063  0.055 1.237  0.229 1.380  0.422 1.492  0.637 1.521  0.811 1.401  0.831 1.194  0.773 0.977  0.679 0.777  0.524 0.613  0.356 0.463  0.181 0.321  0.005 0.181  -0.032 0.086  0.192 0.102  0.417 0.102  0.626 0.026  0.825 -0.079  1.015 -0.200  1.130 -0.372  1.051 -0.572  0.891 -0.730  0.709 -0.859  0.510 -0.963  0.290 -1.012  0.067 -1.035  -0.157 -1.022  -0.374 -0.966  -0.594 -0.916  -0.740 -0.874
3#apb#apb31#app3179/r  -0.242 0.660  -0.225 0.538  -0.241 0.399  -0.283 0.266  -0.327 0.134  -0.372 0.001  -0.420 -0.130  -0.471 -0.260  -0.522 -0.390  -0.573 -0.520  -0.619 -0.652  -0.666 -0.783  -0.713 -0.915  -0.765 -1.044  -0.817 -1.174  -0.870 -1.303  -0.914 -1.402  -0.856 -1.275  -0.796 -1.150  -0.735 -1.024  -0.674 -0.898  -0.613 -0.773  -0.532 -0.659  -0.450 -0.546  -0.367 -0.433  -0.285 -0.320  -0.212 -0.201  -0.139 -0.082  -0.067 0.037  0.006 0.156  0.083 0.273  0.160 0.389  0.238 0.505  0.315 0.621  0.407 0.726  0.506 0.825  0.605 0.923  0.707 1.017  0.825 1.093  0.942 1.169  1.079 1.176  1.154 1.070  1.160 0.940  1.120 0.807  1.075 0.675  1.015 0.549  0.955 0.423  0.884 0.303  0.808 0.185  0.721 0.076
3#apb#apb31#app3179/i  0.139 0.360  0.147 0.256  0.107 0.150  0.068 0.043  0.029 -0.063  -0.010 -0.170  -0.048 -0.277  -0.087 -0.384  -0.125 -0.491  -0.164 -0.598  -0.202 -0.705  -0.232 -0.814  -0.262 -0.924  -0.289 -1.034  -0.306 -1.146  -0.323 -1.259  -0.322 -1.372  -0.314 -1.485  -0.294 -1.410  -0.270 -1.299  -0.247 -1.188  -0.223 -1.077  -0.200 -0.966  -0.176 -0.855  -0.153 -0.743  -0.129 -0.632  -0.106 -0.521  -0.082 -0.410  -0.059 -0.299  -0.035 -0.188  -0.012 -0.077  0.011 0.035  0.035 0.146  0.058 0.257  0.082 0.368  0.105 0.479  0.129 0.590  0.152 0.701  0.176 0.813  0.199 0.924  0.223 1.035  0.246 1.146  0.270 1.257  0.293 1.368  0.317 1.479  0.340 1.591  0.364 1.702  0.387 1.813  0.410 1.924  0.385 1.949
3#apb#apb31#app3179/e  -0.770 -0.697  -0.765 -0.799  -0.600 -0.740  -0.463 -0.632  -0.327 -0.522  -0.203 -0.399  -0.087 -0.269  0.030 -0.139  0.145 -0.007  0.260 0.125  0.374 0.257  0.486 0.391  0.587 0.533  0.689 0.676  0.785 0.821  0.871 0.974  0.949 1.129  0.980 1.293  0.847 1.352  0.675 1.325  0.519 1.247  0.362 1.169  0.206 1.090  0.049 1.012  -0.101 0.926  -0.229 0.806  -0.356 0.686  -0.474 0.558  -0.584 0.422  -0.689 0.282  -0.773 0.129  -0.857 -0.024  -0.912 -0.188  -0.948 -0.359  -0.953 -0.530  -0.915 -0.701  -0.845 -0.852  -0.710 -0.963  -0.554 -1.038  -0.391 -1.100  -0.223 -1.078  -0.054 -1.032  0.111 -0.978  0.261 -0.889  0.412 -0.800  0.559 -0.706  0.698 -0.600  0.837 -0.494  0.976 -0.387  1.114 -0.280
3#apb#apb31#app3179/n  -0.162 1.348  -0.162 1.199  -0.207 1.057  -0.254 0.916  -0.317 0.781  -0.384 0.648  -0.450 0.515  -0.523 0.385  -0.597 0.256  -0.670 0.126  -0.750 0.000  -0.830 -0.125  -0.909 -0.251  -0.969 -0.388  -1.027 -0.524  -1.087 -0.661  -1.150 -0.796  -1.167 -0.941  -1.086 -0.924  -0.973 -0.827  -0.868 -0.722  -0.762 -0.616  -0.650 -0.519  -0.536 -0.423  -0.423 -0.327  -0.321 -0.218  -0.220 -0.109  -0.119 0.001  -0.018 0.110  0.095 0.207  0.209 0.302  0.324 0.398  0.443 0.487  0.570 0.563  0.698 0.640  0.835 0.695  0.977 0.728  1.087 0.649  1.108 0.502  1.100 0.355  1.072 0.209  1.042 0.063  1.012 -0.083  0.985 -0.229  0.963 -0.377  0.963 -0.526  0.985 -0.671  1.018 -0.817  1.056 -0.960  1.048 -1.106
3#apb#apb31#app3179/Q  -0.130 1.009  -0.288 0.923  -0.403 0.764  -0.515 0.603  -0.622 0.438  -0.719 0.267  -0.804 0.090  -0.884 -0.089  -0.944 -0.276  -0.990 -0.466  -0.983 -0.662  -0.944 -0.852  -0.868 -1.031  -0.697 -1.128  -0.506 -1.091  -0.337 -1.001  -0.181 -0.881  -0.044 -0.742  0.085 -0.593  0.208 -0.440  0.319 -0.278  0.430 -0.116  0.517 0.059  0.597 0.239  0.673 0.420  0.732 0.607  0.789 0.795  0.782 0.991  0.737 1.177  0.606 1.308  0.421 1.345  0.230 1.303  0.065 1.196  -0.090 1.076  -0.237 0.947  -0.371 0.803  -0.297 0.637  -0.198 0.467  -0.098 0.298  0.001 0.129  0.101 -0.041  0.199 -0.211  0.260 -0.397  0.358 -0.567  0.448 -0.742  0.536 -0.917  0.630 -1.090  0.712 -1.268  0.786 -1.449  0.929 -1.563
3#apb#apb31#app3179/u  -0.703 1.256  -0.818 1.144  -0.884 0.998  -0.884 0.835  -0.884 0.672  -0.917 0.513  -0.943 0.356  -1.006 0.206  -1.065 0.054  -1.077 -0.109  -1.075 -0.272  -1.062 -0.434  -1.013 -0.589  -0.944 -0.734  -0.839 -0.858  -0.718 -0.967  -0.575 -0.998  -0.424 -0.943  -0.296 -0.843  -0.178 -0.731  -0.074 -0.606  0.030 -0.480  0.123 -0.346  0.216 -0.212  0.304 -0.076  0.377 0.070  0.450 0.216  0.523 0.362  0.591 0.510  0.658 0.658  0.730 0.805  0.807 0.948  0.828 1.109  0.824 1.102  0.749 0.960  0.683 0.810  0.615 0.662  0.560 0.509  0.512 0.353  0.471 0.195  0.447 0.035  0.438 -0.128  0.442 -0.290  0.456 -0.453  0.485 -0.611  0.554 -0.759  0.657 -0.880  0.793 -0.967  0.948 -1.018  1.110 -1.034
3#apb#apb31#app3179/i  0.230 0.606  0.274 0.513  0.258 0.390  0.230 0.268  0.197 0.147  0.162 0.027  0.117 -0.089  0.071 -0.206  0.025 -0.322  -0.023 -0.437  -0.071 -0.553  -0.119 -0.668  -0.174 -0.780  -0.233 -0.891  -0.290 -1.002  -0.320 -1.123  -0.351 -1.245  -0.384 -1.365  -0.421 -1.485  -0.391 -1.529  -0.363 -1.408  -0.334 -1.286  -0.306 -1.164  -0.277 -1.042  -0.249 -0.921  -0.220 -0.799  -0.192 -0.677  -0.163 -0.555  -0.135 -0.433  -0.106 -0.312  -0.078 -0.190  -0.050 -0.068  -0.021 0.054  0.007 0.175  0.036 0.297  0.064 0.419  0.093 0.541  0.121 0.663  0.150 0.784  0.178 0.906  0.207 1.028  0.235 1.150  0.263 1.271  0.292 1.393  0.320 1.515  0.349 1.637  0.377 1.759  0.309 1.774  0.318 1.669  0.387 1.565
3#apb#apb31#app3179/n  -0.473 0.882  -0.488 0.731  -0.498 0.579  -0.508 0.427  -0.521 0.275  -0.534 0.124  -0.554 -0.027  -0.578 -0.178  -0.602 -0.328  -0.639 -0.476  -0.679 -0.623  -0.718 -0.770  -0.766 -0.914  -0.814 -1.059  -0.866 -1.202  -0.906 -1.259  -0.897 -1.109  -0.846 -0.965  -0.794 -0.822  -0.739 -0.680  -0.683 -0.539  -0.620 -0.400  -0.551 -0.265  -0.481 -0.130  -0.411 0.006  -0.319 0.127  -0.225 0.247  -0.132 0.367  -0.036 0.486  0.069 0.596  0.174 0.706  0.279 0.816  0.404 0.902  0.533 0.984  0.661 1.065  0.813 1.066  0.948 1.026  1.050 0.913  1.093 0.769  1.127 0.620  1.121 0.468  1.114 0.316  1.085 0.167  1.049 0.019  1.013 -0.129  0.964 -0.273  0.914 -0.416  0.866 -0.561  0.822 -0.707  0.778 -0.853
