2#tos#t2#t2051065/!  -0.001 1.694  -0.001 1.619  -0.044 1.588  -0.044 1.513  -0.044 1.439  -0.044 1.364  -0.030 1.304  -0.001 1.258  -0.001 1.183  -0.001 1.109  -0.001 1.034  -0.001 0.959  -0.001 0.885  -0.001 0.810  -0.001 0.735  -0.001 0.661  -0.001 0.586  -0.001 0.511  -0.001 0.436  -0.001 0.362  -0.001 0.287  -0.001 0.212  -0.001 0.138  -0.001 0.063  -0.001 -0.012  -0.001 -0.086  -0.001 -0.161  -0.001 -0.236  0.042 -0.267  0.042 -0.342  0.042 -0.416  0.042 -0.491  0.086 -0.522  0.080 -0.597  0.067 -0.670  0.055 -0.744  0.043 -0.818  0.031 -0.891  0.018 -0.965  0.006 -1.039  -0.029 -1.095  -0.088 -1.134  -0.088 -1.208  -0.088 -1.283  -0.028 -1.298  -0.001 -1.346  -0.001 -1.421  -0.001 -1.495  -0.001 -1.570  -0.001 -1.645
2#tos#t2#t2051065/\"  -0.841 0.923  -0.841 0.780  -0.841 0.638  -0.862 0.498  -0.896 0.359  -0.931 0.221  -0.954 0.081  -0.954 -0.061  -0.954 -0.204  -0.954 -0.346  -0.954 -0.489  -0.954 -0.631  -0.954 -0.774  -0.954 -0.916  -0.954 -1.059  -0.902 -1.058  -0.810 -0.949  -0.718 -0.840  -0.626 -0.731  -0.535 -0.622  -0.443 -0.513  -0.351 -0.404  -0.259 -0.295  -0.167 -0.186  -0.076 -0.077  0.016 0.032  0.108 0.141  0.200 0.250  0.292 0.359  0.384 0.468  0.475 0.577  0.567 0.686  0.659 0.795  0.751 0.904  0.843 1.013  0.862 0.923  0.762 0.822  0.787 0.692  0.833 0.556  0.862 0.419  0.941 0.355  0.975 0.247  0.975 0.105  0.975 -0.038  0.975 -0.181  0.975 -0.323  1.089 -0.352  1.089 -0.495  1.089 -0.637  1.202 -0.666
2#tos#t2#t2051065/#  -1.112 0.751  -1.211 0.493  -0.866 0.394  -0.444 0.394  -0.022 0.394  0.399 0.394  0.762 0.453  0.608 0.408  0.220 0.244  -0.168 0.079  -0.556 -0.086  -0.945 -0.251  -1.220 -0.495  -1.074 -0.560  -0.652 -0.560  -0.231 -0.560  0.186 -0.537  0.594 -0.482  0.947 -0.381  1.247 -0.296  0.974 -0.022  0.675 0.276  0.377 0.574  0.079 0.872  -0.219 1.170  -0.516 1.211  -0.554 0.871  -0.456 0.512  -0.456 0.090  -0.456 -0.331  -0.456 -0.753  -0.456 -1.175  -0.456 -1.596  -0.311 -1.318  -0.200 -0.912  -0.089 -0.505  0.022 -0.098  0.133 0.309  0.244 0.716  0.355 1.123  0.466 1.529  0.438 1.358  0.498 0.961  0.557 0.599  0.557 0.178  0.557 -0.244  0.557 -0.666  0.557 -1.087  0.557 -1.509  0.557 -1.931
2#tos#t2#t2051065/)  -0.050 1.416  -0.139 1.416  -0.228 1.416  -0.255 1.353  -0.255 1.264  -0.204 1.226  -0.130 1.210  -0.092 1.159  -0.050 1.112  -0.050 1.023  0.021 1.005  0.104 0.998  0.104 0.909  0.178 0.865  0.212 0.799  0.302 0.799  0.361 0.739  0.361 0.650  0.361 0.561  0.361 0.471  0.361 0.382  0.361 0.293  0.361 0.203  0.361 0.114  0.361 0.025  0.361 -0.065  0.336 -0.150  0.310 -0.235  0.310 -0.324  0.288 -0.404  0.225 -0.468  0.207 -0.550  0.161 -0.611  0.104 -0.665  0.094 -0.748  0.014 -0.787  -0.074 -0.793  -0.136 -0.845  -0.185 -0.920  -0.229 -0.998  -0.286 -1.050  -0.307 -1.119  -0.307 -1.208  -0.348 -1.256  -0.422 -1.281  -0.463 -1.359  -0.553 -1.359  -0.590 -1.410  -0.615 -1.448  -0.615 -1.359
2#tos#t2#t2051065/+  -0.863 0.412  -0.997 0.371  -1.054 0.220  -1.197 0.143  -1.292 0.143  -1.142 0.061  -0.983 0.009  -0.808 0.009  -0.634 0.009  -0.459 0.009  -0.284 0.009  -0.109 0.009  0.065 0.009  0.240 0.009  0.415 0.009  0.557 0.087  0.709 0.143  0.884 0.143  1.059 0.143  1.217 0.160  1.106 0.247  0.973 0.360  0.839 0.472  0.705 0.585  0.571 0.697  0.438 0.810  0.304 0.923  0.170 1.035  0.037 1.148  -0.097 1.260  -0.121 1.146  -0.058 0.998  -0.058 0.823  -0.058 0.648  -0.058 0.473  -0.058 0.299  -0.058 0.124  -0.017 -0.044  0.010 -0.215  0.010 -0.390  0.010 -0.564  0.010 -0.739  0.010 -0.914  0.010 -1.089  0.010 -1.264  0.010 -1.438  0.010 -1.613  0.010 -1.788  0.010 -1.963  0.010 -2.138
2#tos#t2#t2051065/  -1.214 0.113  -1.293 0.113  -1.372 0.113  -1.447 0.109  -1.447 0.030  -1.440 -0.043  -1.361 -0.043  -1.282 -0.043  -1.214 -0.053  -1.202 -0.120  -1.123 -0.120  -1.044 -0.120  -0.965 -0.120  -0.886 -0.120  -0.806 -0.120  -0.727 -0.120  -0.648 -0.120  -0.569 -0.120  -0.490 -0.120  -0.411 -0.120  -0.332 -0.120  -0.253 -0.120  -0.174 -0.120  -0.095 -0.120  -0.016 -0.120  0.063 -0.120  0.142 -0.120  0.186 -0.085  0.223 -0.043  0.302 -0.043  0.381 -0.043  0.460 -0.043  0.539 -0.043  0.618 -0.043  0.697 -0.043  0.776 -0.043  0.841 -0.009  0.897 0.047  0.953 0.103  1.028 0.113  1.107 0.113  1.186 0.113  1.265 0.113  1.274 0.183  1.345 0.190  1.352 0.263  1.426 0.268  1.505 0.268  1.584 0.268  1.663 0.268
2#tos#t2#t2051065/.  0.170 1.529  0.071 1.529  -0.027 1.529  -0.125 1.529  -0.164 1.470  -0.164 1.372  -0.164 1.274  -0.164 1.176  -0.164 1.078  -0.164 0.980  -0.164 0.882  -0.164 0.784  -0.164 0.686  -0.164 0.588  -0.203 0.530  -0.301 0.530  -0.399 0.530  -0.497 0.529  -0.497 0.431  -0.497 0.333  -0.497 0.235  -0.497 0.137  -0.497 0.039  -0.497 -0.059  -0.477 -0.137  -0.379 -0.137  -0.281 -0.137  -0.183 -0.137  -0.164 -0.216  -0.164 -0.314  -0.164 -0.412  -0.124 -0.470  -0.026 -0.470  0.072 -0.470  0.170 -0.471  0.239 -0.540  0.309 -0.609  0.378 -0.679  0.447 -0.748  0.503 -0.823  0.503 -0.921  0.503 -1.019  0.503 -1.117  0.503 -1.215  0.503 -1.313  0.503 -1.411  0.542 -1.470  0.640 -1.470  0.738 -1.470  0.836 -1.470
2#tos#t2#t2051065/:  0.012 1.418  -0.017 1.321  -0.075 1.233  -0.097 1.160  -0.086 1.255  0.012 1.247  0.012 1.141  -0.045 1.092  -0.097 1.038  -0.203 1.038  -0.309 1.038  -0.368 1.085  -0.412 1.147  -0.326 1.147  -0.314 1.053  -0.282 0.953  -0.244 0.854  -0.207 0.755  -0.169 0.656  -0.132 0.557  -0.094 0.457  -0.057 0.358  -0.019 0.259  0.018 0.160  0.056 0.061  0.093 -0.038  0.131 -0.137  0.168 -0.236  0.206 -0.336  0.243 -0.435  0.281 -0.534  0.318 -0.633  0.356 -0.732  0.393 -0.831  0.431 -0.930  0.389 -0.978  0.341 -1.073  0.294 -1.168  0.200 -1.188  0.094 -1.188  -0.012 -1.188  -0.118 -1.188  -0.205 -1.170  -0.135 -1.134  -0.029 -1.134  0.066 -1.145  0.066 -1.251  0.007 -1.297  -0.097 -1.294  -0.042 -1.243
2#tos#t2#t2051065/;  -0.023 1.612  -0.101 1.612  -0.179 1.612  -0.193 1.548  -0.173 1.479  -0.132 1.416  -0.118 1.340  -0.105 1.263  -0.091 1.186  -0.078 1.109  -0.064 1.033  -0.051 0.956  -0.037 0.879  -0.024 0.802  -0.010 0.726  0.003 0.649  0.017 0.572  0.030 0.495  0.044 0.419  0.058 0.342  0.071 0.265  0.085 0.189  0.098 0.112  0.112 0.035  0.125 -0.042  0.139 -0.118  0.152 -0.195  0.166 -0.272  0.179 -0.349  0.193 -0.425  0.186 -0.485  0.108 -0.485  0.090 -0.545  0.115 -0.598  0.147 -0.644  0.147 -0.722  0.147 -0.800  0.147 -0.878  0.132 -0.948  0.067 -0.991  0.003 -1.034  -0.023 -1.098  -0.023 -1.176  -0.023 -1.254  -0.066 -1.311  -0.129 -1.357  -0.191 -1.404  -0.253 -1.451  -0.308 -1.506  -0.363 -1.562
2#tos#t2#t2051065/=  -0.787 1.074  -0.947 1.072  -0.944 0.914  -0.867 0.829  -0.781 0.754  -0.619 0.754  -0.458 0.754  -0.297 0.754  -0.135 0.754  0.026 0.754  0.187 0.754  0.349 0.754  0.510 0.754  0.671 0.754  0.833 0.754  0.994 0.754  0.957 0.701  0.818 0.620  0.679 0.538  0.539 0.457  0.400 0.376  0.261 0.294  0.121 0.213  -0.018 0.132  -0.157 0.050  -0.297 -0.031  -0.436 -0.112  -0.576 -0.193  -0.715 -0.275  -0.854 -0.356  -0.867 -0.510  -0.977 -0.584  -1.078 -0.683  -0.974 -0.683  -0.829 -0.721  -0.690 -0.795  -0.536 -0.843  -0.375 -0.843  -0.213 -0.843  -0.052 -0.843  0.109 -0.843  0.271 -0.843  0.432 -0.843  0.593 -0.843  0.755 -0.843  0.908 -0.824  1.044 -0.763  1.206 -0.763  1.367 -0.763  1.448 -0.683
2#tos#t2#t2051065/>  -0.009 1.249  -0.062 1.188  -0.176 1.188  -0.291 1.188  -0.377 1.122  -0.469 1.067  -0.552 1.037  -0.492 0.983  -0.476 0.879  -0.374 0.828  -0.275 0.791  -0.195 0.710  -0.107 0.645  -0.009 0.629  0.060 0.584  0.174 0.584  0.288 0.584  0.342 0.487  0.442 0.464  0.556 0.464  0.662 0.430  0.770 0.403  0.884 0.403  0.957 0.327  0.908 0.233  0.810 0.195  0.729 0.115  0.673 0.016  0.596 -0.064  0.505 -0.132  0.414 -0.201  0.376 -0.299  0.295 -0.380  0.214 -0.460  0.134 -0.541  0.053 -0.622  -0.028 -0.702  -0.122 -0.761  -0.230 -0.797  -0.250 -0.897  -0.311 -0.986  -0.392 -1.066  -0.489 -1.106  -0.552 -1.157  -0.552 -1.271  -0.623 -1.355  -0.718 -1.418  -0.816 -1.476  -0.924 -1.512  -0.975 -1.589
