1d#tos#f2#f2061066/\"  -0.380 1.040  -0.488 0.993  -0.582 0.932  -0.737 0.932  -0.812 0.852  -0.812 0.696  -0.812 0.541  -0.812 0.386  -0.812 0.231  -0.812 0.076  -0.812 -0.079  -0.812 -0.234  -0.812 -0.390  -0.812 -0.545  -0.812 -0.700  -0.812 -0.855  -0.812 -1.010  -0.812 -1.165  -0.758 -1.153  -0.668 -1.027  -0.578 -0.900  -0.488 -0.774  -0.398 -0.648  -0.308 -0.522  -0.217 -0.395  -0.127 -0.269  -0.037 -0.143  0.053 -0.017  0.143 0.110  0.234 0.236  0.324 0.362  0.414 0.488  0.504 0.615  0.594 0.741  0.684 0.867  0.775 0.993  0.808 0.943  0.808 0.787  0.867 0.657  0.916 0.522  0.916 0.367  0.939 0.215  0.988 0.068  1.024 -0.081  1.024 -0.236  1.024 -0.391  1.024 -0.547  1.024 -0.702  1.024 -0.857  1.024 -1.012
1d#tos#f2#f2061066/#  -1.310 0.448  -1.414 0.278  -0.993 0.278  -0.573 0.278  -0.156 0.258  0.260 0.221  0.680 0.221  1.100 0.221  0.747 0.119  0.346 -0.008  -0.054 -0.135  -0.455 -0.262  -0.855 -0.389  -1.256 -0.516  -1.348 -0.628  -0.928 -0.628  -0.508 -0.628  -0.088 -0.628  0.332 -0.628  0.752 -0.628  1.173 -0.628  0.999 -0.261  0.811 0.115  0.623 0.490  0.435 0.866  0.247 1.242  0.059 1.618  -0.275 1.720  -0.404 1.405  -0.404 0.985  -0.404 0.565  -0.404 0.145  -0.404 -0.276  -0.365 -0.689  -0.339 -1.105  -0.291 -1.517  -0.217 -1.484  -0.084 -1.085  0.049 -0.687  0.182 -0.288  0.315 0.111  0.447 0.509  0.580 0.908  0.544 1.184  0.446 0.862  0.446 0.442  0.446 0.022  0.446 -0.398  0.446 -0.818  0.616 -1.195
1d#tos#f2#f2061066/$  0.098 1.633  -0.003 1.521  -0.003 1.309  -0.003 1.096  0.040 0.916  0.244 0.856  0.448 0.796  0.652 0.736  0.853 0.680  0.738 0.778  0.576 0.828  0.451 0.915  0.350 1.027  0.157 1.071  -0.052 1.080  -0.254 1.046  -0.437 0.938  -0.607 0.850  -0.707 0.738  -0.707 0.525  -0.607 0.413  -0.494 0.274  -0.395 0.153  -0.232 0.073  -0.082 -0.028  0.080 -0.078  0.251 -0.179  0.456 -0.229  0.634 -0.312  0.717 -0.481  0.753 -0.658  0.736 -0.867  0.565 -0.934  0.352 -0.934  0.139 -0.934  -0.073 -0.934  -0.286 -0.934  -0.498 -0.934  -0.657 -0.880  -0.793 -0.831  -0.584 -0.794  -0.375 -0.757  -0.165 -0.720  0.044 -0.683  -0.084 -0.820  -0.221 -0.934  -0.305 -1.063  -0.305 -1.276  -0.204 -1.426  -0.204 -1.638
1d#tos#f2#f2061066/%  -0.590 0.626  -0.783 0.475  -0.986 0.458  -1.051 0.662  -0.930 0.835  -0.695 0.877  -0.460 0.919  -0.381 0.729  -0.428 0.510  -0.640 0.434  -0.795 0.290  -1.005 0.206  -0.916 0.243  -0.704 0.365  -0.492 0.488  -0.280 0.610  -0.067 0.733  0.145 0.855  0.357 0.978  0.569 1.101  0.781 1.223  0.806 1.080  0.710 0.862  0.542 0.736  0.447 0.530  0.306 0.342  0.157 0.148  0.013 -0.047  -0.118 -0.254  -0.265 -0.450  -0.368 -0.667  -0.441 -0.893  -0.628 -1.048  -0.694 -1.261  -0.499 -1.210  -0.261 -1.153  -0.022 -1.097  0.216 -1.041  0.454 -0.984  0.693 -0.928  0.831 -0.915  0.602 -0.968  0.584 -0.741  0.607 -0.502  0.752 -0.355  0.897 -0.255  1.045 -0.351  1.087 -0.554  0.979 -0.716  0.919 -0.926
1d#tos#f2#f2061066/  -0.951 0.505  -0.951 0.425  -0.951 0.346  -0.993 0.292  -1.064 0.257  -1.136 0.221  -1.207 0.185  -1.278 0.150  -1.317 0.122  -1.238 0.121  -1.203 0.050  -1.167 -0.021  -1.118 -0.070  -1.038 -0.070  -0.958 -0.070  -0.879 -0.070  -0.799 -0.070  -0.720 -0.070  -0.640 -0.070  -0.561 -0.070  -0.481 -0.070  -0.402 -0.070  -0.322 -0.070  -0.243 -0.070  -0.163 -0.070  -0.083 -0.070  -0.004 -0.070  0.076 -0.070  0.155 -0.070  0.235 -0.070  0.314 -0.070  0.394 -0.070  0.473 -0.070  0.553 -0.070  0.633 -0.070  0.712 -0.070  0.792 -0.070  0.871 -0.070  0.951 -0.070  1.030 -0.070  1.110 -0.070  1.189 -0.070  1.269 -0.070  1.348 -0.070  1.428 -0.070  1.508 -0.070  1.587 -0.070  1.667 -0.070  1.746 -0.070  1.826 -0.070
1d#tos#f2#f2061066/.  0.654 1.868  0.654 1.585  0.585 1.371  0.405 1.267  0.405 0.983  0.405 0.700  0.405 0.416  0.163 0.375  0.156 0.652  0.219 0.873  0.405 0.775  0.405 0.756  0.287 0.991  0.156 1.024  0.156 0.740  0.156 0.457  0.156 0.173  0.156 -0.111  0.156 -0.394  0.156 -0.678  0.156 -0.961  0.156 -1.245  0.156 -1.528  0.156 -1.812  0.156 -2.095  0.113 -1.853  0.066 -1.573  0.019 -1.294  -0.027 -1.014  -0.074 -0.734  -0.120 -0.455  -0.167 -0.175  -0.214 0.105  -0.260 0.384  -0.307 0.664  -0.342 0.801  -0.342 0.517  -0.483 0.375  -0.415 0.375  -0.131 0.375  0.152 0.375  0.142 0.099  0.016 -0.155  -0.134 -0.372  -0.342 -0.448  -0.452 -0.621  -0.736 -0.621  -0.840 -0.441  -1.054 -0.372  -1.089 -0.123
1d#tos#f2#f2061066/:  0.115 1.184  0.003 1.147  -0.052 1.069  0.015 1.018  0.059 0.944  0.059 0.877  -0.029 0.907  -0.052 1.002  -0.005 1.073  0.004 0.964  -0.107 0.957  -0.120 0.852  -0.238 0.852  -0.356 0.852  -0.352 0.907  -0.289 0.963  -0.197 1.005  -0.122 1.073  -0.107 0.970  -0.162 0.907  -0.215 0.802  -0.191 0.688  -0.163 0.574  -0.134 0.459  -0.106 0.345  -0.077 0.230  -0.048 0.116  -0.020 0.001  0.009 -0.113  0.037 -0.228  0.066 -0.342  0.095 -0.456  0.123 -0.571  0.152 -0.685  0.181 -0.800  0.209 -0.914  0.226 -1.030  0.175 -1.136  0.170 -1.253  0.168 -1.369  0.062 -1.422  0.062 -1.421  0.115 -1.325  0.205 -1.277  0.270 -1.202  0.226 -1.275  0.208 -1.386  0.124 -1.469  0.059 -1.528  -0.052 -1.535
1d#tos#f2#f2061066/;  0.146 1.245  0.054 1.245  -0.021 1.227  -0.021 1.135  -0.077 1.098  -0.077 1.005  -0.077 0.913  -0.117 0.830  -0.135 0.742  -0.227 0.742  -0.300 0.762  -0.300 0.854  -0.300 0.947  -0.282 1.022  -0.190 1.022  -0.097 1.022  -0.021 1.005  -0.021 0.912  -0.077 0.843  -0.070 0.751  -0.055 0.659  -0.041 0.568  -0.027 0.476  -0.012 0.385  0.002 0.294  0.016 0.202  0.030 0.111  0.045 0.019  0.059 -0.072  0.073 -0.164  0.088 -0.255  0.102 -0.347  0.116 -0.438  0.130 -0.530  0.145 -0.621  0.159 -0.712  0.173 -0.804  0.188 -0.895  0.202 -0.987  0.202 -1.079  0.137 -1.132  0.090 -1.195  0.090 -1.288  0.090 -1.381  0.090 -1.473  0.090 -1.566  0.073 -1.655  0.043 -1.743  -0.012 -1.815  -0.077 -1.881
1d#tos#f2#f2061066/<  0.872 1.510  0.872 1.398  0.872 1.286  0.872 1.174  0.768 1.167  0.713 1.110  0.644 1.067  0.608 0.978  0.512 0.922  0.433 0.843  0.354 0.764  0.275 0.684  0.176 0.654  0.067 0.647  -0.012 0.568  -0.108 0.517  -0.213 0.480  -0.263 0.380  -0.338 0.299  -0.417 0.220  -0.506 0.153  -0.599 0.091  -0.704 0.053  -0.808 0.013  -0.910 -0.031  -1.010 -0.042  -1.067 -0.097  -1.003 -0.145  -0.893 -0.148  -0.814 -0.227  -0.718 -0.266  -0.631 -0.334  -0.536 -0.390  -0.441 -0.430  -0.335 -0.454  -0.252 -0.521  -0.189 -0.601  -0.086 -0.617  -0.024 -0.710  0.054 -0.772  0.156 -0.797  0.235 -0.876  0.332 -0.930  0.379 -1.022  0.406 -1.131  0.486 -1.171  0.591 -1.202  0.681 -1.265  0.758 -1.345  0.758 -1.457
1d#tos#f2#f2061066/[  -0.175 1.104  -0.294 1.104  -0.414 1.104  -0.422 0.993  -0.341 0.955  -0.271 0.906  -0.151 0.906  -0.075 0.862  0.038 0.856  0.155 0.836  0.271 0.807  0.391 0.807  0.510 0.807  0.607 0.809  0.490 0.834  0.374 0.859  0.257 0.884  0.140 0.909  0.023 0.934  -0.086 0.940  -0.152 0.840  -0.175 0.728  -0.224 0.658  -0.224 0.538  -0.224 0.419  -0.224 0.299  -0.224 0.180  -0.224 0.060  -0.224 -0.059  -0.224 -0.179  -0.224 -0.298  -0.224 -0.418  -0.224 -0.538  -0.224 -0.657  -0.163 -0.726  -0.134 -0.842  -0.125 -0.960  -0.128 -1.076  -0.175 -1.149  -0.175 -1.269  -0.175 -1.388  -0.125 -1.388  -0.020 -1.374  0.100 -1.374  0.219 -1.374  0.339 -1.374  0.458 -1.374  0.578 -1.374  0.697 -1.374  0.817 -1.374
1d#tos#f2#f2061066/]  -0.573 1.148  -0.664 1.148  -0.756 1.148  -0.799 1.071  -0.760 1.028  -0.690 1.008  -0.598 1.008  -0.507 1.008  -0.416 1.008  -0.324 1.008  -0.233 1.008  -0.141 1.008  -0.050 1.008  0.040 1.004  0.113 0.961  0.158 0.914  0.235 0.891  0.270 0.808  0.270 0.717  0.270 0.625  0.270 0.534  0.270 0.443  0.270 0.351  0.270 0.260  0.270 0.169  0.270 0.077  0.270 -0.014  0.270 -0.105  0.270 -0.197  0.270 -0.288  0.270 -0.379  0.270 -0.471  0.270 -0.562  0.270 -0.653  0.270 -0.745  0.270 -0.836  0.270 -0.927  0.270 -1.019  0.270 -1.110  0.270 -1.202  0.270 -1.293  0.267 -1.381  0.176 -1.381  0.098 -1.350  0.033 -1.285  -0.040 -1.241  -0.131 -1.241  -0.222 -1.241  -0.314 -1.241  -0.386 -1.194
1d#tos#f2#f2061066/^  -0.990 -0.637  -1.104 -0.637  -1.218 -0.637  -1.220 -0.750  -1.220 -0.864  -1.185 -0.762  -1.149 -0.654  -1.057 -0.594  -0.990 -0.521  -0.990 -0.407  -0.952 -0.330  -0.837 -0.330  -0.723 -0.330  -0.683 -0.256  -0.648 -0.177  -0.555 -0.126  -0.510 -0.024  -0.483 0.087  -0.455 0.197  -0.406 0.300  -0.334 0.381  -0.231 0.432  -0.176 0.530  -0.112 0.624  -0.069 0.720  -0.057 0.827  0.045 0.878  0.084 0.968  0.193 0.974  0.238 0.905  0.286 0.802  0.349 0.709  0.416 0.618  0.467 0.516  0.547 0.434  0.630 0.356  0.732 0.305  0.822 0.237  0.875 0.138  0.911 0.030  0.928 -0.082  1.024 -0.100  1.100 -0.154  1.136 -0.262  1.201 -0.330  1.235 -0.410  1.235 -0.525  1.235 -0.639  1.275 -0.714  1.389 -0.714
1d#tos#f2#f2061066/|  0.056 1.607  -0.018 1.607  -0.092 1.607  -0.092 1.534  -0.092 1.460  -0.092 1.386  -0.092 1.312  -0.092 1.238  -0.092 1.164  -0.092 1.091  -0.092 1.017  -0.092 0.943  -0.092 0.869  -0.092 0.795  -0.092 0.721  -0.092 0.647  -0.092 0.574  -0.092 0.500  -0.092 0.426  -0.092 0.352  -0.092 0.278  -0.086 0.206  -0.058 0.137  -0.031 0.069  -0.004 -0.000  0.024 -0.069  0.051 -0.137  0.079 -0.206  0.105 -0.274  0.081 -0.344  0.058 -0.414  0.007 -0.439  0.007 -0.512  0.007 -0.586  0.007 -0.660  0.007 -0.734  0.043 -0.785  0.105 -0.821  0.105 -0.894  0.105 -0.968  0.105 -1.042  0.105 -1.116  0.105 -1.190  0.105 -1.264  0.105 -1.337  0.105 -1.411  0.105 -1.485  0.105 -1.559  0.105 -1.633  0.155 -1.657
1d#tos#f2#f2061066/}  -0.454 1.386  -0.498 1.298  -0.592 1.292  -0.537 1.248  -0.439 1.248  -0.341 1.248  -0.242 1.248  -0.144 1.248  -0.093 1.171  -0.004 1.156  0.049 1.110  0.052 1.016  0.052 0.917  0.068 0.834  0.098 0.766  0.098 0.668  0.063 0.604  0.052 0.517  0.010 0.429  0.006 0.331  0.006 0.233  0.006 0.134  0.069 0.098  0.144 0.075  0.220 0.052  0.318 0.052  0.240 0.052  0.142 0.052  0.052 0.043  0.052 -0.055  0.052 -0.154  0.052 -0.252  0.052 -0.350  0.052 -0.449  0.052 -0.547  0.090 -0.630  0.144 -0.679  0.144 -0.777  0.144 -0.876  0.144 -0.974  0.144 -1.073  0.144 -1.171  0.144 -1.270  0.126 -1.364  0.098 -1.456  0.098 -1.554  0.056 -1.642  -0.028 -1.690  -0.040 -1.782  -0.132 -1.788
1d#tos#f2#f2061066/~  -1.170 -0.281  -1.287 -0.281  -1.365 -0.320  -1.365 -0.385  -1.365 -0.268  -1.365 -0.151  -1.283 -0.101  -1.246 0.011  -1.235 0.126  -1.166 0.175  -1.105 0.231  -0.997 0.240  -0.879 0.240  -0.798 0.308  -0.733 0.406  -0.640 0.472  -0.530 0.501  -0.439 0.436  -0.323 0.435  -0.323 0.318  -0.287 0.222  -0.181 0.175  -0.127 0.111  -0.091 -0.000  -0.035 -0.086  0.018 -0.151  0.133 -0.152  0.133 -0.270  0.199 -0.322  0.227 -0.411  0.264 -0.492  0.331 -0.542  0.448 -0.542  0.566 -0.542  0.675 -0.521  0.758 -0.438  0.864 -0.411  0.981 -0.410  1.018 -0.299  1.046 -0.186  1.061 -0.078  1.166 -0.026  1.176 0.085  1.217 0.193  1.306 0.240  1.306 0.357  1.306 0.474  1.332 0.566  1.371 0.644  1.436 0.696
