2#app#app37#app3795/s  0.148 1.544  0.041 1.508  -0.066 1.472  -0.172 1.437  -0.282 1.420  -0.381 1.387  -0.460 1.307  -0.471 1.200  -0.471 1.087  -0.420 0.996  -0.348 0.914  -0.348 0.801  -0.236 0.801  -0.153 0.730  -0.100 0.639  -0.074 0.553  0.034 0.543  0.114 0.463  0.212 0.429  0.309 0.392  0.388 0.312  0.395 0.203  0.460 0.117  0.519 0.029  0.531 -0.078  0.611 -0.158  0.643 -0.257  0.643 -0.369  0.643 -0.482  0.643 -0.594  0.622 -0.685  0.519 -0.695  0.519 -0.807  0.409 -0.809  0.395 -0.908  0.333 -0.995  0.247 -1.057  0.134 -1.057  0.022 -1.057  -0.090 -1.057  -0.203 -1.057  -0.315 -1.057  -0.428 -1.057  -0.540 -1.057  -0.595 -1.000  -0.641 -0.933  -0.719 -0.899  -0.719 -0.786  -0.708 -0.685  -0.595 -0.685
2#app#app37#app3795/c  0.434 1.112  0.358 1.188  0.309 1.274  0.290 1.363  0.183 1.363  0.076 1.363  -0.031 1.363  -0.138 1.363  -0.230 1.327  -0.306 1.251  -0.319 1.150  -0.319 1.043  -0.342 0.941  -0.390 0.845  -0.438 0.750  -0.445 0.644  -0.445 0.537  -0.445 0.430  -0.445 0.323  -0.445 0.216  -0.445 0.109  -0.445 0.002  -0.445 -0.105  -0.445 -0.212  -0.445 -0.319  -0.445 -0.427  -0.445 -0.534  -0.445 -0.641  -0.373 -0.718  -0.319 -0.803  -0.310 -0.906  -0.234 -0.982  -0.194 -1.072  -0.162 -1.148  -0.055 -1.148  0.052 -1.148  0.159 -1.148  0.266 -1.148  0.354 -1.102  0.430 -1.027  0.505 -0.951  0.560 -0.866  0.565 -0.761  0.613 -0.665  0.661 -0.569  0.722 -0.483  0.798 -0.407  0.811 -0.306  0.861 -0.219  0.936 -0.143
2#app#app37#app3795/r  -0.265 1.258  -0.265 1.112  -0.265 0.966  -0.201 0.835  -0.136 0.704  -0.165 0.573  -0.231 0.442  -0.265 0.304  -0.265 0.158  -0.265 0.012  -0.265 -0.134  -0.265 -0.280  -0.246 -0.423  -0.200 -0.562  -0.154 -0.701  -0.118 -0.841  -0.118 -0.987  -0.118 -1.133  -0.118 -1.280  -0.118 -1.426  -0.118 -1.572  -0.118 -1.669  -0.118 -1.523  -0.118 -1.377  -0.132 -1.236  -0.236 -1.133  -0.192 -1.030  -0.118 -0.914  -0.118 -0.768  -0.118 -0.622  -0.118 -0.476  -0.118 -0.330  -0.118 -0.183  -0.118 -0.037  -0.118 0.109  -0.118 0.255  -0.098 0.393  0.006 0.496  0.030 0.632  0.030 0.779  0.107 0.893  0.224 0.963  0.357 0.995  0.460 1.098  0.564 1.202  0.687 1.258  0.833 1.258  0.915 1.322  0.959 1.361  1.063 1.258
2#app#app37#app3795/e  -0.833 -0.418  -0.677 -0.394  -0.556 -0.286  -0.390 -0.286  -0.248 -0.229  -0.174 -0.093  -0.107 0.045  -0.042 0.184  0.007 0.338  0.081 0.487  0.103 0.638  0.222 0.684  0.279 0.827  0.354 0.962  0.354 1.128  0.354 1.293  0.354 1.459  0.290 1.561  0.124 1.561  0.090 1.429  -0.027 1.312  -0.145 1.195  -0.174 1.041  -0.193 0.883  -0.310 0.765  -0.427 0.648  -0.438 0.486  -0.438 0.320  -0.438 0.154  -0.438 -0.012  -0.438 -0.178  -0.438 -0.343  -0.438 -0.509  -0.438 -0.675  -0.438 -0.841  -0.394 -0.989  -0.306 -1.118  -0.231 -1.210  -0.097 -1.287  0.046 -1.342  0.212 -1.342  0.378 -1.342  0.527 -1.301  0.618 -1.172  0.668 -1.027  0.750 -0.895  0.810 -0.754  0.882 -0.618  0.882 -0.452  0.882 -0.286
2#app#app37#app3795/a  0.271 1.456  0.060 1.456  -0.150 1.456  -0.257 1.352  -0.308 1.192  -0.480 1.101  -0.536 0.913  -0.653 0.751  -0.653 0.541  -0.743 0.351  -0.785 0.151  -0.785 -0.060  -0.785 -0.270  -0.785 -0.481  -0.785 -0.692  -0.785 -0.902  -0.741 -1.094  -0.566 -1.182  -0.356 -1.182  -0.145 -1.182  0.007 -1.047  0.007 -0.836  0.007 -0.626  0.083 -0.447  0.139 -0.259  0.139 -0.049  0.139 0.162  0.212 0.342  0.271 0.528  0.271 0.739  0.271 0.949  0.171 1.060  0.139 1.146  0.139 0.935  0.139 0.725  0.139 0.514  0.070 0.332  0.007 0.148  0.007 -0.063  0.007 -0.273  0.073 -0.457  0.139 -0.640  0.277 -0.793  0.436 -0.918  0.646 -0.918  0.857 -0.918  1.067 -0.918  1.253 -0.859  1.402 -0.710  1.458 -0.523
2#app#app37#app3795/m  -0.816 1.146  -0.816 0.882  -0.816 0.618  -0.816 0.354  -0.837 0.095  -0.943 -0.144  -0.915 -0.397  -0.816 -0.620  -0.816 -0.884  -0.816 -1.148  -0.816 -1.095  -0.816 -0.831  -0.735 -0.586  -0.690 -0.333  -0.690 -0.069  -0.607 0.176  -0.564 0.429  -0.527 0.678  -0.426 0.893  -0.288 1.020  -0.150 0.893  -0.059 0.721  0.068 0.509  0.068 0.245  0.068 -0.019  0.068 -0.283  0.068 -0.547  0.068 -0.811  0.068 -1.075  0.068 -0.916  0.068 -0.652  0.068 -0.388  0.068 -0.124  0.194 0.088  0.320 0.300  0.320 0.564  0.447 0.775  0.461 1.034  0.678 1.146  0.908 1.064  1.005 0.840  1.078 0.606  1.078 0.342  1.078 0.078  1.078 -0.186  1.078 -0.450  1.078 -0.714  1.078 -0.978  1.078 -1.242  1.078 -1.001
2#app#app37#app3795/e  -0.599 -0.755  -0.599 -0.582  -0.517 -0.491  -0.345 -0.491  -0.313 -0.337  -0.203 -0.210  -0.162 -0.054  -0.040 0.068  0.091 0.168  0.192 0.239  0.192 0.412  0.324 0.452  0.324 0.625  0.324 0.798  0.425 0.928  0.456 1.088  0.456 1.261  0.456 1.433  0.456 1.606  0.343 1.506  0.310 1.355  0.138 1.355  0.061 1.260  -0.036 1.127  -0.158 1.005  -0.311 0.959  -0.335 0.810  -0.335 0.638  -0.366 0.470  -0.421 0.307  -0.467 0.142  -0.467 -0.031  -0.467 -0.204  -0.467 -0.376  -0.467 -0.549  -0.467 -0.721  -0.462 -0.892  -0.340 -1.014  -0.311 -1.174  -0.183 -1.282  -0.071 -1.343  0.031 -1.414  0.203 -1.414  0.361 -1.377  0.456 -1.244  0.511 -1.095  0.633 -0.973  0.720 -0.836  0.720 -0.663  0.720 -0.491
2#app#app37#app3795/d  0.259 0.450  0.149 0.546  -0.022 0.634  -0.197 0.574  -0.344 0.427  -0.422 0.252  -0.569 0.105  -0.713 -0.043  -0.806 -0.229  -0.806 -0.436  -0.826 -0.635  -0.903 -0.811  -0.903 -1.018  -0.873 -1.196  -0.775 -1.324  -0.629 -1.470  -0.428 -1.487  -0.261 -1.390  -0.128 -1.258  -0.027 -1.092  0.065 -0.906  0.158 -0.721  0.165 -0.516  0.259 -0.347  0.259 -0.140  0.259 0.068  0.311 0.263  0.356 0.460  0.356 0.667  0.356 0.875  0.356 1.082  0.356 1.290  0.300 1.474  0.259 1.664  0.259 1.738  0.259 1.531  0.259 1.323  0.259 1.116  0.259 0.908  0.259 0.701  0.259 0.494  0.259 0.286  0.356 0.119  0.356 -0.089  0.356 -0.296  0.453 -0.463  0.453 -0.671  0.453 -0.878  0.453 -0.920  0.453 -0.712
2#app#app37#app3795/a  0.113 1.224  -0.069 1.276  -0.240 1.354  -0.314 1.224  -0.407 1.113  -0.536 1.039  -0.665 0.964  -0.717 0.783  -0.796 0.612  -0.796 0.409  -0.796 0.206  -0.796 0.002  -0.796 -0.201  -0.796 -0.405  -0.796 -0.608  -0.796 -0.812  -0.796 -1.015  -0.721 -1.188  -0.666 -1.368  -0.487 -1.323  -0.317 -1.243  -0.253 -1.090  -0.147 -0.930  -0.058 -0.764  0.086 -0.620  0.113 -0.427  0.162 -0.236  0.242 -0.051  0.242 0.152  0.363 0.306  0.372 0.505  0.467 0.670  0.502 0.858  0.502 1.062  0.502 1.182  0.502 0.979  0.502 0.775  0.408 0.611  0.372 0.422  0.372 0.219  0.372 0.015  0.372 -0.188  0.372 -0.392  0.465 -0.557  0.523 -0.723  0.727 -0.723  0.800 -0.853  1.004 -0.853  1.151 -0.797  1.151 -0.594
2#app#app37#app3795/t  0.165 2.164  0.135 2.024  0.055 1.906  0.055 1.755  0.055 1.603  0.055 1.452  0.055 1.300  0.055 1.148  0.055 0.997  0.055 0.845  0.025 0.706  -0.055 0.588  -0.055 0.436  -0.055 0.285  -0.055 0.133  -0.055 -0.018  -0.055 -0.170  -0.055 -0.321  -0.055 -0.473  -0.055 -0.624  -0.055 -0.776  0.035 -0.890  0.055 -1.033  0.055 -1.185  0.055 -1.336  0.055 -1.488  0.055 -1.499  0.055 -1.347  0.055 -1.195  -0.006 -1.069  -0.113 -0.962  -0.220 -0.855  -0.327 -0.748  -0.434 -0.641  -0.541 -0.533  -0.604 -0.534  -0.604 -0.476  -0.468 -0.445  -0.351 -0.361  -0.221 -0.308  -0.165 -0.180  -0.052 -0.139  0.055 -0.032  0.162 0.075  0.269 0.182  0.408 0.211  0.515 0.319  0.630 0.407  0.714 0.475  0.714 0.627
2#app#app37#app3795/h  -0.419 1.975  -0.419 1.798  -0.431 1.624  -0.510 1.466  -0.527 1.294  -0.527 1.117  -0.527 0.940  -0.527 0.763  -0.527 0.586  -0.527 0.409  -0.527 0.232  -0.527 0.056  -0.527 -0.121  -0.527 -0.298  -0.527 -0.475  -0.527 -0.652  -0.527 -0.829  -0.423 -0.962  -0.419 -1.137  -0.419 -1.054  -0.330 -0.966  -0.310 -0.809  -0.310 -0.632  -0.310 -0.456  -0.294 -0.282  -0.215 -0.124  -0.201 0.049  -0.128 0.196  -0.075 0.341  0.077 0.401  0.126 0.557  0.235 0.689  0.324 0.777  0.501 0.777  0.569 0.668  0.671 0.593  0.671 0.416  0.671 0.239  0.671 0.063  0.671 -0.114  0.671 -0.291  0.671 -0.468  0.671 -0.645  0.671 -0.822  0.671 -0.999  0.671 -1.175  0.671 -1.352  0.671 -1.275  0.732 -1.123  0.780 -0.966
