1b#app#app40#app4073/Q  -0.061 0.491  0.130 0.539  0.130 0.779  0.130 1.018  -0.063 1.064  -0.287 1.028  -0.457 0.859  -0.626 0.690  -0.671 0.491  -0.885 0.430  -1.016 0.245  -1.016 0.006  -1.016 -0.234  -1.016 -0.473  -0.959 -0.656  -0.751 -0.730  -0.560 -0.847  -0.320 -0.847  -0.081 -0.847  0.159 -0.847  0.322 -0.770  0.446 -0.656  0.635 -0.533  0.704 -0.322  0.704 -0.083  0.704 0.156  0.704 0.396  0.704 0.635  0.702 0.873  0.477 0.908  0.308 1.078  0.139 1.247  -0.097 1.255  -0.312 1.195  -0.430 1.012  -0.372 0.780  -0.314 0.547  -0.255 0.315  -0.197 0.083  -0.139 -0.149  -0.081 -0.382  -0.061 -0.618  0.130 -0.667  0.190 -0.847  0.398 -0.923  0.513 -1.115  0.601 -1.317  0.798 -1.420  1.038 -1.420  1.277 -1.420
1b#app#app40#app4073/U  -1.462 0.893  -1.355 0.785  -1.248 0.678  -1.172 0.557  -1.172 0.405  -1.172 0.254  -1.172 0.102  -1.172 -0.050  -1.172 -0.202  -1.111 -0.328  -1.004 -0.436  -0.897 -0.543  -0.882 -0.689  -0.882 -0.841  -0.737 -0.847  -0.585 -0.847  -0.433 -0.847  -0.282 -0.847  -0.130 -0.847  0.012 -0.822  0.119 -0.715  0.226 -0.608  0.277 -0.477  0.277 -0.325  0.371 -0.267  0.523 -0.267  0.567 -0.159  0.567 -0.008  0.567 0.144  0.567 0.296  0.567 0.448  0.567 0.600  0.567 0.751  0.567 0.903  0.567 1.055  0.567 1.158  0.567 1.006  0.567 0.855  0.567 0.703  0.567 0.551  0.567 0.399  0.567 0.247  0.567 0.096  0.623 -0.033  0.730 -0.140  0.838 -0.248  0.981 -0.267  1.133 -0.267  1.147 -0.405  1.147 -0.557
1b#app#app40#app4073/I  -0.081 0.489  -0.081 0.257  -0.081 0.025  -0.081 -0.208  -0.041 -0.423  0.124 -0.587  0.209 -0.784  0.209 -1.016  0.209 -1.249  0.083 -1.065  -0.046 -0.871  -0.175 -0.678  -0.304 -0.485  -0.432 -0.292  -0.561 -0.098  -0.690 0.095  -0.819 0.288  -0.948 0.482  -0.730 0.489  -0.497 0.489  -0.372 0.596  -0.323 0.780  -0.091 0.780  0.141 0.780  0.325 0.896  0.490 1.060  0.718 1.070  0.903 1.183  1.067 1.348  1.294 1.361  1.261 1.251  1.097 1.087  0.933 0.922  0.768 0.758  0.604 0.594  0.440 0.430  0.276 0.265  0.111 0.101  -0.053 -0.063  -0.217 -0.227  -0.381 -0.392  -0.546 -0.556  -0.710 -0.720  -0.874 -0.884  -0.867 -1.049  -0.703 -1.213  -0.488 -1.254  -0.255 -1.254  -0.023 -1.254  0.209 -1.254
1b#app#app40#app4073/C  0.472 1.507  0.472 1.413  0.472 1.319  0.472 1.226  0.444 1.160  0.350 1.160  0.257 1.160  0.163 1.160  0.086 1.121  0.020 1.054  -0.046 0.988  -0.112 0.922  -0.179 0.856  -0.245 0.790  -0.311 0.724  -0.377 0.657  -0.443 0.591  -0.509 0.525  -0.567 0.455  -0.567 0.362  -0.567 0.268  -0.567 0.174  -0.567 0.081  -0.567 -0.013  -0.567 -0.106  -0.567 -0.200  -0.567 -0.294  -0.567 -0.387  -0.567 -0.481  -0.565 -0.573  -0.498 -0.640  -0.432 -0.706  -0.366 -0.772  -0.300 -0.838  -0.234 -0.904  -0.146 -0.917  -0.052 -0.917  0.042 -0.917  0.135 -0.917  0.229 -0.917  0.322 -0.917  0.416 -0.917  0.510 -0.917  0.603 -0.917  0.697 -0.917  0.790 -0.917  0.884 -0.917  0.978 -0.917  1.071 -0.917  1.165 -0.917
1b#app#app40#app4073/K  -0.828 0.695  -0.579 0.695  -0.456 0.569  -0.460 0.323  -0.709 0.323  -0.828 0.193  -0.828 -0.056  -0.828 -0.305  -0.828 -0.555  -0.828 -0.804  -0.828 -1.053  -0.691 -1.165  -0.456 -1.150  -0.456 -0.901  -0.315 -0.793  -0.084 -0.774  -0.084 -0.525  0.061 -0.421  0.288 -0.399  0.288 -0.149  0.393 0.056  0.569 0.233  0.660 0.444  0.660 0.693  0.907 0.695  1.032 0.820  1.032 1.069  1.032 1.318  0.903 1.439  0.660 1.434  0.660 1.184  0.528 1.067  0.288 1.058  0.288 0.809  0.152 0.695  -0.084 0.682  -0.084 0.433  -0.224 0.323  -0.456 0.307  -0.456 0.057  -0.456 -0.192  -0.456 -0.441  -0.456 -0.690  -0.310 -0.793  -0.067 -0.810  0.109 -0.986  0.285 -1.162  0.533 -1.165  0.783 -1.165  1.032 -1.165
1b#app#app40#app4073/L  0.154 1.784  0.154 1.696  0.154 1.607  0.154 1.519  0.154 1.431  0.154 1.342  0.154 1.254  0.154 1.166  0.154 1.077  0.154 0.989  0.154 0.901  0.154 0.812  0.154 0.724  0.154 0.636  0.097 0.603  0.009 0.603  -0.079 0.603  -0.168 0.603  -0.240 0.587  -0.240 0.499  -0.240 0.411  -0.240 0.322  -0.240 0.234  -0.240 0.146  -0.240 0.057  -0.240 -0.031  -0.240 -0.119  -0.240 -0.208  -0.240 -0.296  -0.240 -0.384  -0.240 -0.473  -0.240 -0.561  -0.240 -0.649  -0.240 -0.738  -0.240 -0.826  -0.240 -0.914  -0.208 -0.971  -0.120 -0.971  -0.031 -0.971  0.057 -0.971  0.146 -0.971  0.154 -1.051  0.154 -1.139  0.154 -1.228  0.154 -1.316  0.194 -1.364  0.282 -1.364  0.370 -1.364  0.459 -1.364  0.547 -1.364
1b#app#app40#app4073/Y  -1.162 0.662  -1.162 0.480  -1.102 0.358  -0.921 0.358  -0.858 0.238  -0.858 0.056  -0.679 0.054  -0.554 -0.003  -0.554 -0.185  -0.437 -0.250  -0.256 -0.250  -0.074 -0.250  0.054 -0.305  0.054 -0.486  0.168 -0.554  0.350 -0.554  0.382 -0.382  0.408 -0.202  0.434 -0.022  0.459 0.158  0.485 0.338  0.511 0.518  0.536 0.698  0.562 0.878  0.588 1.058  0.614 1.238  0.639 1.418  0.662 1.549  0.662 1.367  0.662 1.185  0.662 1.003  0.662 0.821  0.646 0.646  0.517 0.517  0.389 0.389  0.260 0.260  0.132 0.132  0.003 0.003  -0.126 -0.125  -0.250 -0.256  -0.250 -0.437  -0.250 -0.619  -0.250 -0.801  -0.250 -0.983  -0.250 -1.165  -0.250 -1.347  -0.250 -1.528  -0.250 -1.710  -0.250 -1.892  -0.250 -2.074
1b#app#app40#app4073/F  -0.528 0.891  -0.528 0.672  -0.528 0.453  -0.528 0.234  -0.528 0.015  -0.528 -0.205  -0.528 -0.424  -0.528 -0.643  -0.528 -0.862  -0.528 -1.081  -0.528 -1.300  -0.528 -1.519  -0.553 -1.429  -0.589 -1.213  -0.625 -0.997  -0.661 -0.781  -0.697 -0.565  -0.733 -0.349  -0.769 -0.132  -0.805 0.084  -0.817 0.292  -0.663 0.447  -0.499 0.582  -0.280 0.582  -0.061 0.582  0.138 0.630  0.293 0.785  0.468 0.891  0.687 0.891  0.709 1.089  0.817 1.200  1.036 1.200  1.255 1.200  1.234 1.088  1.094 0.920  0.954 0.751  0.813 0.583  0.673 0.415  0.533 0.246  0.392 0.078  0.252 -0.090  0.112 -0.259  -0.028 -0.427  -0.169 -0.595  -0.077 -0.655  0.142 -0.655  0.361 -0.655  0.580 -0.655  0.799 -0.655  1.018 -0.655
1b#app#app40#app4073/O  -0.309 0.968  -0.407 0.870  -0.505 0.771  -0.604 0.673  -0.737 0.659  -0.877 0.659  -0.927 0.570  -0.927 0.431  -0.927 0.291  -0.927 0.152  -0.927 0.013  -0.927 -0.126  -0.927 -0.266  -0.927 -0.405  -0.927 -0.544  -0.822 -0.578  -0.683 -0.578  -0.618 -0.653  -0.618 -0.792  -0.574 -0.888  -0.435 -0.888  -0.296 -0.888  -0.156 -0.888  -0.017 -0.888  0.122 -0.888  0.262 -0.888  0.401 -0.888  0.540 -0.888  0.619 -0.828  0.619 -0.688  0.649 -0.578  0.788 -0.578  0.927 -0.578  0.929 -0.440  0.929 -0.301  0.929 -0.162  0.929 -0.023  0.929 0.117  0.929 0.256  0.896 0.382  0.798 0.480  0.699 0.579  0.619 0.685  0.619 0.824  0.619 0.963  0.499 1.028  0.374 1.091  0.250 1.153  0.125 1.215  0.001 1.277
1b#app#app40#app4073/R  -0.577 0.351  -0.577 0.138  -0.577 -0.076  -0.577 -0.290  -0.577 -0.503  -0.577 -0.717  -0.577 -0.930  -0.577 -1.144  -0.577 -1.358  -0.396 -1.391  -0.298 -1.287  -0.321 -1.075  -0.345 -0.863  -0.369 -0.650  -0.392 -0.438  -0.416 -0.226  -0.439 -0.013  -0.463 0.199  -0.487 0.411  -0.510 0.623  -0.534 0.836  -0.557 1.048  -0.538 1.222  -0.324 1.222  -0.111 1.222  0.103 1.222  0.316 1.222  0.530 1.222  0.744 1.222  0.875 1.140  0.869 0.932  0.656 0.932  0.585 0.789  0.519 0.641  0.305 0.641  0.294 0.439  0.168 0.351  0.004 0.302  0.004 0.088  0.004 -0.125  0.004 -0.339  0.004 -0.553  0.004 -0.766  0.174 -0.810  0.387 -0.810  0.601 -0.810  0.815 -0.810  1.028 -0.810  1.242 -0.810  1.455 -0.810
1b#app#app40#app4073/G  -0.050 1.457  -0.050 1.325  -0.050 1.193  -0.161 1.171  -0.293 1.171  -0.399 1.108  -0.493 1.015  -0.586 0.921  -0.680 0.828  -0.773 0.734  -0.867 0.641  -0.908 0.526  -0.908 0.393  -0.908 0.261  -0.908 0.129  -0.908 -0.003  -0.908 -0.136  -0.908 -0.268  -0.908 -0.400  -0.908 -0.532  -0.824 -0.629  -0.730 -0.723  -0.637 -0.816  -0.510 -0.831  -0.378 -0.831  -0.246 -0.831  -0.113 -0.831  0.019 -0.831  0.151 -0.831  0.283 -0.831  0.415 -0.831  0.540 -0.812  0.634 -0.719  0.727 -0.625  0.826 -0.545  0.958 -0.545  1.090 -0.545  1.094 -0.416  1.094 -0.283  1.094 -0.151  1.094 -0.019  1.008 0.027  0.875 0.027  0.808 0.092  0.808 0.224  0.765 0.313  0.632 0.313  0.500 0.313  0.368 0.313  0.236 0.313
