3#apb#apb12#app1230/A  -0.780 0.864  -0.738 0.763  -0.632 0.538  -0.584 0.293  -0.536 0.049  -0.489 -0.196  -0.441 -0.441  -0.394 -0.686  -0.346 -0.931  -0.298 -1.175  -0.264 -1.418  -0.396 -1.241  -0.499 -1.015  -0.582 -0.780  -0.644 -0.540  -0.670 -0.292  -0.695 -0.044  -0.708 0.205  -0.707 0.454  -0.693 0.703  -0.663 0.951  -0.585 1.186  -0.487 1.415  -0.329 1.588  -0.097 1.609  0.103 1.470  0.256 1.273  0.379 1.056  0.466 0.824  0.539 0.585  0.607 0.345  0.659 0.102  0.680 -0.146  0.744 -0.385  0.820 -0.622  0.864 -0.868  0.918 -1.111  0.988 -1.056  0.969 -0.866  0.751 -0.745  0.533 -0.624  0.315 -0.503  0.097 -0.381  -0.121 -0.259  -0.161 -0.074  0.074 -0.022  0.322 0.002  0.570 0.026  0.819 0.050  1.067 0.067
3#apb#apb12#app1230/r  -0.683 0.448  -0.701 0.412  -0.663 0.229  -0.624 0.045  -0.586 -0.139  -0.547 -0.322  -0.509 -0.506  -0.470 -0.689  -0.432 -0.873  -0.395 -1.057  -0.326 -1.202  -0.285 -1.052  -0.359 -0.880  -0.434 -0.707  -0.508 -0.535  -0.582 -0.363  -0.657 -0.191  -0.731 -0.019  -0.806 0.153  -0.893 0.317  -1.017 0.435  -0.949 0.575  -0.801 0.690  -0.653 0.806  -0.506 0.921  -0.358 1.037  -0.210 1.153  -0.062 1.268  0.106 1.276  0.253 1.171  0.358 1.019  0.432 0.846  0.486 0.667  0.523 0.484  0.536 0.297  0.536 0.109  0.460 -0.061  0.369 -0.189  0.311 -0.044  0.399 0.103  0.569 0.075  0.727 -0.026  0.842 -0.174  0.947 -0.329  1.062 -0.477  1.161 -0.635  1.245 -0.803  1.339 -0.964  1.466 -1.102  1.623 -1.202
3#apb#apb12#app1230/i  -0.157 -0.158  -0.136 -0.253  -0.109 -0.346  -0.065 -0.434  -0.021 -0.521  0.022 -0.608  0.066 -0.695  0.098 -0.788  0.127 -0.881  0.156 -0.974  0.185 -1.067  0.222 -1.157  0.261 -1.247  0.299 -1.337  0.323 -1.380  0.303 -1.285  0.283 -1.189  0.263 -1.094  0.243 -0.998  0.224 -0.903  0.204 -0.807  0.184 -0.711  0.164 -0.616  0.144 -0.520  0.124 -0.425  0.104 -0.329  0.084 -0.234  0.064 -0.138  0.044 -0.043  0.024 0.053  0.005 0.149  -0.015 0.244  -0.035 0.340  -0.055 0.435  -0.075 0.531  -0.095 0.626  -0.115 0.722  -0.135 0.818  -0.155 0.913  -0.175 1.009  -0.195 1.104  -0.214 1.200  -0.234 1.295  -0.254 1.391  -0.274 1.486  -0.294 1.582  -0.314 1.678  -0.334 1.773  -0.354 1.869  -0.410 1.919
3#apb#apb12#app1230/z  -1.467 0.761  -1.493 0.842  -1.427 0.878  -1.334 0.845  -1.240 0.811  -1.146 0.777  -1.053 0.743  -0.959 0.709  -0.865 0.675  -0.772 0.641  -0.678 0.608  -0.584 0.574  -0.491 0.540  -0.397 0.506  -0.303 0.472  -0.210 0.438  -0.116 0.404  -0.022 0.371  0.071 0.337  0.067 0.262  0.025 0.172  -0.017 0.082  -0.065 -0.006  -0.116 -0.091  -0.167 -0.176  -0.222 -0.259  -0.288 -0.334  -0.351 -0.411  -0.320 -0.466  -0.227 -0.501  -0.129 -0.521  -0.031 -0.541  0.066 -0.559  0.166 -0.559  0.266 -0.559  0.365 -0.559  0.465 -0.559  0.564 -0.559  0.664 -0.559  0.763 -0.546  0.862 -0.534  0.960 -0.522  1.060 -0.515  1.159 -0.510  1.259 -0.504  1.356 -0.486  1.453 -0.463  1.548 -0.435  1.633 -0.384  1.719 -0.333
3#apb#apb12#app1230/o  -0.891 0.222  -1.031 0.256  -1.077 0.386  -0.978 0.442  -0.829 0.453  -0.680 0.463  -0.532 0.474  -0.383 0.484  -0.234 0.495  -0.085 0.505  0.064 0.516  0.212 0.526  0.361 0.537  0.510 0.547  0.659 0.558  0.808 0.568  0.956 0.579  1.105 0.589  1.216 0.533  1.283 0.400  1.331 0.260  1.358 0.113  1.343 -0.028  1.283 -0.165  1.203 -0.290  1.115 -0.410  1.017 -0.521  0.895 -0.606  0.772 -0.691  0.639 -0.750  0.492 -0.779  0.346 -0.808  0.198 -0.816  0.048 -0.816  -0.100 -0.813  -0.239 -0.758  -0.377 -0.702  -0.514 -0.644  -0.646 -0.574  -0.777 -0.503  -0.900 -0.419  -1.015 -0.325  -1.131 -0.230  -1.167 -0.086  -1.174 0.061  -1.146 0.203  -1.025 0.290  -0.896 0.363  -0.760 0.426  -0.625 0.488
3#apb#apb12#app1230/n  -1.425 0.243  -1.378 0.172  -1.328 0.087  -1.277 0.003  -1.216 -0.072  -1.143 -0.137  -1.070 -0.203  -1.021 -0.286  -0.981 -0.375  -0.939 -0.455  -0.879 -0.378  -0.819 -0.300  -0.759 -0.222  -0.699 -0.145  -0.639 -0.067  -0.579 0.010  -0.549 0.103  -0.525 0.198  -0.501 0.293  -0.474 0.387  -0.423 0.471  -0.373 0.555  -0.309 0.627  -0.231 0.687  -0.143 0.731  -0.054 0.725  0.036 0.687  0.115 0.629  0.192 0.569  0.264 0.503  0.326 0.426  0.387 0.350  0.454 0.278  0.526 0.212  0.599 0.146  0.669 0.078  0.725 -0.002  0.781 -0.083  0.837 -0.164  0.901 -0.238  0.970 -0.307  1.039 -0.376  1.107 -0.447  1.173 -0.520  1.238 -0.593  1.311 -0.658  1.394 -0.710  1.477 -0.763  1.562 -0.811  1.650 -0.855
3#apb#apb12#app1230/a  0.431 -0.139  0.529 -0.025  0.617 0.098  0.660 0.242  0.655 0.391  0.523 0.464  0.391 0.538  0.259 0.612  0.126 0.685  -0.006 0.759  -0.138 0.833  -0.270 0.906  -0.402 0.980  -0.534 1.051  -0.651 0.955  -0.768 0.859  -0.864 0.743  -0.956 0.623  -1.046 0.501  -1.133 0.377  -1.195 0.241  -1.235 0.096  -1.253 -0.054  -1.257 -0.203  -1.196 -0.342  -1.105 -0.460  -0.995 -0.563  -0.865 -0.641  -0.728 -0.679  -0.580 -0.651  -0.431 -0.623  -0.283 -0.589  -0.136 -0.554  0.005 -0.506  0.129 -0.420  0.254 -0.334  0.368 -0.235  0.482 -0.135  0.598 -0.038  0.660 0.057  0.666 -0.094  0.702 -0.241  0.778 -0.371  0.891 -0.471  1.016 -0.552  1.157 -0.608  1.306 -0.620  1.457 -0.620  1.608 -0.620  1.760 -0.620
3#apb#apb12#app1230/C  0.061 0.728  0.090 0.803  0.127 0.888  0.164 0.973  0.201 1.058  0.215 1.147  0.215 1.240  0.144 1.293  0.073 1.311  -0.011 1.272  -0.089 1.223  -0.158 1.162  -0.221 1.094  -0.279 1.022  -0.321 0.941  -0.354 0.855  -0.386 0.768  -0.408 0.678  -0.429 0.588  -0.450 0.498  -0.459 0.406  -0.463 0.314  -0.467 0.221  -0.468 0.129  -0.462 0.037  -0.457 -0.056  -0.448 -0.148  -0.437 -0.240  -0.422 -0.330  -0.377 -0.411  -0.332 -0.492  -0.284 -0.571  -0.231 -0.647  -0.178 -0.723  -0.119 -0.794  -0.059 -0.864  0.005 -0.931  0.076 -0.990  0.147 -1.049  0.229 -1.092  0.310 -1.136  0.397 -1.167  0.486 -1.194  0.577 -1.201  0.670 -1.201  0.757 -1.173  0.842 -1.136  0.921 -1.090  0.994 -1.034  1.068 -0.978
3#apb#apb12#app1230/a  0.092 0.535  0.197 0.625  0.097 0.751  -0.037 0.867  -0.171 0.982  -0.304 1.098  -0.462 1.094  -0.625 1.027  -0.777 0.937  -0.909 0.821  -1.014 0.680  -1.083 0.519  -1.131 0.349  -1.166 0.175  -1.172 -0.001  -1.172 -0.178  -1.168 -0.354  -1.130 -0.527  -1.003 -0.644  -0.878 -0.769  -0.703 -0.774  -0.531 -0.744  -0.360 -0.697  -0.190 -0.651  -0.037 -0.566  0.108 -0.465  0.255 -0.367  0.371 -0.236  0.442 -0.077  0.445 0.096  0.394 0.263  0.329 0.428  0.253 0.581  0.113 0.590  0.096 0.414  0.119 0.240  0.153 0.067  0.190 -0.106  0.241 -0.275  0.328 -0.428  0.454 -0.550  0.596 -0.651  0.764 -0.704  0.938 -0.673  1.109 -0.631  1.279 -0.583  1.440 -0.510  1.595 -0.426  1.741 -0.327  1.884 -0.223
3#apb#apb12#app1230/l  -0.758 1.470  -0.735 1.456  -0.699 1.397  -0.664 1.337  -0.628 1.278  -0.592 1.218  -0.556 1.158  -0.521 1.099  -0.485 1.039  -0.449 0.980  -0.413 0.920  -0.379 0.860  -0.350 0.796  -0.321 0.733  -0.293 0.670  -0.264 0.606  -0.235 0.543  -0.207 0.480  -0.178 0.416  -0.149 0.353  -0.121 0.290  -0.092 0.226  -0.063 0.163  -0.035 0.100  -0.006 0.036  0.023 -0.027  0.051 -0.090  0.080 -0.154  0.109 -0.217  0.137 -0.280  0.166 -0.344  0.195 -0.407  0.223 -0.470  0.252 -0.534  0.281 -0.597  0.309 -0.660  0.338 -0.723  0.367 -0.787  0.395 -0.850  0.424 -0.913  0.453 -0.977  0.481 -1.040  0.510 -1.103  0.539 -1.167  0.567 -1.230  0.596 -1.293  0.625 -1.357  0.653 -1.420  0.682 -1.483  0.740 -1.501
3#apb#apb12#app1230/i  -0.261 0.033  -0.192 -0.037  -0.132 -0.126  -0.072 -0.215  -0.010 -0.302  0.051 -0.390  0.101 -0.485  0.149 -0.581  0.197 -0.676  0.245 -0.772  0.293 -0.868  0.341 -0.964  0.388 -1.060  0.436 -1.156  0.484 -1.251  0.532 -1.347  0.573 -1.329  0.533 -1.230  0.493 -1.130  0.453 -1.031  0.413 -0.931  0.374 -0.832  0.334 -0.732  0.294 -0.633  0.254 -0.533  0.215 -0.434  0.175 -0.334  0.135 -0.235  0.095 -0.135  0.055 -0.036  0.016 0.064  -0.024 0.163  -0.064 0.262  -0.104 0.362  -0.144 0.461  -0.183 0.561  -0.223 0.660  -0.263 0.760  -0.303 0.859  -0.342 0.959  -0.382 1.058  -0.422 1.158  -0.462 1.257  -0.502 1.357  -0.541 1.456  -0.581 1.555  -0.621 1.655  -0.677 1.730  -0.610 1.730  -0.513 1.684
