3#app#app07#app0762/w  -1.366 0.657  -1.355 0.536  -1.246 0.514  -1.246 0.383  -1.246 0.252  -1.246 0.120  -1.180 0.055  -1.126 -0.022  -1.063 -0.127  -1.005 -0.235  -0.945 -0.306  -0.885 -0.377  -0.803 -0.426  -0.672 -0.426  -0.571 -0.352  -0.459 -0.306  -0.404 -0.229  -0.404 -0.098  -0.305 -0.065  -0.284 0.044  -0.283 -0.065  -0.191 -0.158  -0.163 -0.278  -0.163 -0.410  -0.049 -0.426  -0.043 -0.552  -0.027 -0.667  0.105 -0.667  0.236 -0.667  0.367 -0.667  0.499 -0.667  0.558 -0.595  0.641 -0.546  0.745 -0.480  0.799 -0.371  0.865 -0.306  0.919 -0.229  0.981 -0.123  1.040 -0.016  1.040 0.115  1.040 0.246  1.040 0.378  1.040 0.509  1.040 0.640  1.040 0.772  1.036 0.901  0.943 0.994  0.919 1.116  0.919 1.247  0.919 1.378
3#app#app07#app0762/a  0.159 0.376  -0.030 0.376  -0.219 0.376  -0.408 0.376  -0.565 0.299  -0.699 0.165  -0.886 0.160  -0.920 0.005  -1.035 -0.113  -1.204 -0.198  -1.351 -0.296  -1.351 -0.485  -1.351 -0.674  -1.190 -0.703  -1.001 -0.703  -0.843 -0.626  -0.710 -0.493  -0.523 -0.487  -0.334 -0.487  -0.272 -0.359  -0.201 -0.199  -0.067 -0.066  0.067 0.068  0.159 0.219  0.159 0.408  0.159 0.597  0.159 0.786  0.159 0.976  0.159 1.165  0.159 1.125  0.071 1.024  -0.057 0.962  -0.057 0.773  -0.057 0.584  -0.057 0.395  -0.057 0.206  0.045 0.059  0.159 -0.083  0.161 -0.271  0.350 -0.271  0.522 -0.344  0.691 -0.429  0.866 -0.487  1.056 -0.487  1.245 -0.487  1.434 -0.487  1.623 -0.487  1.812 -0.487  1.967 -0.569  2.101 -0.703
3#app#app07#app0762/s  0.729 1.294  0.627 1.193  0.516 1.111  0.372 1.111  0.228 1.111  0.085 1.111  -0.043 1.072  -0.145 0.970  -0.272 0.928  -0.416 0.928  -0.558 0.923  -0.659 0.822  -0.772 0.745  -0.916 0.745  -1.060 0.745  -1.102 0.643  -1.057 0.518  -0.955 0.416  -0.853 0.314  -0.751 0.212  -0.735 0.075  -0.653 0.013  -0.522 -0.017  -0.420 -0.119  -0.297 -0.170  -0.153 -0.170  -0.009 -0.170  0.135 -0.170  0.268 -0.214  0.397 -0.279  0.526 -0.343  0.632 -0.439  0.736 -0.536  0.880 -0.536  1.024 -0.536  1.095 -0.609  1.060 -0.719  0.917 -0.719  0.912 -0.858  0.812 -0.902  0.668 -0.902  0.524 -0.902  0.380 -0.902  0.236 -0.902  0.092 -0.902  -0.052 -0.902  -0.193 -0.909  -0.295 -1.011  -0.408 -1.085  -0.552 -1.085
3#app#app07#app0762/o  0.024 0.812  0.024 0.668  -0.097 0.645  -0.241 0.645  -0.312 0.571  -0.362 0.477  -0.498 0.458  -0.600 0.356  -0.702 0.254  -0.804 0.152  -0.906 0.050  -0.982 -0.062  -0.982 -0.206  -0.982 -0.350  -0.982 -0.495  -0.982 -0.639  -0.896 -0.696  -0.815 -0.759  -0.775 -0.864  -0.647 -0.880  -0.647 -1.024  -0.510 -1.032  -0.366 -1.032  -0.222 -1.032  -0.085 -1.002  0.044 -0.938  0.173 -0.873  0.315 -0.864  0.459 -0.864  0.581 -0.810  0.683 -0.708  0.785 -0.606  0.862 -0.494  0.862 -0.349  0.862 -0.205  0.862 -0.061  0.862 0.083  0.862 0.227  0.862 0.371  0.835 0.504  0.733 0.606  0.694 0.734  0.647 0.859  0.545 0.961  0.526 1.097  0.433 1.148  0.359 1.218  0.312 1.315  0.168 1.315  0.024 1.315
3#app#app07#app0762/n  -0.987 -0.556  -0.987 -0.680  -0.987 -0.804  -0.987 -0.929  -1.054 -0.986  -1.178 -0.986  -1.202 -0.886  -1.192 -0.771  -1.068 -0.771  -0.987 -0.728  -0.987 -0.604  -0.933 -0.502  -0.845 -0.414  -0.757 -0.326  -0.669 -0.238  -0.581 -0.150  -0.493 -0.062  -0.406 0.026  -0.318 0.113  -0.230 0.201  -0.142 0.289  -0.127 0.407  -0.115 0.519  0.010 0.519  0.088 0.565  0.088 0.689  0.144 0.790  0.232 0.878  0.320 0.966  0.408 1.054  0.496 1.142  0.519 1.073  0.519 0.948  0.519 0.824  0.519 0.700  0.519 0.576  0.567 0.471  0.655 0.383  0.734 0.292  0.734 0.168  0.734 0.043  0.734 -0.081  0.790 -0.182  0.878 -0.270  0.973 -0.341  1.097 -0.341  1.164 -0.398  1.164 -0.522  1.255 -0.556  1.379 -0.556
3#app#app07#app0762/l  0.317 1.853  0.317 1.762  0.317 1.671  0.317 1.580  0.317 1.489  0.317 1.398  0.317 1.306  0.286 1.228  0.222 1.164  0.172 1.088  0.132 1.007  0.091 0.925  0.080 0.837  0.080 0.745  0.075 0.655  0.034 0.574  -0.007 0.492  -0.052 0.414  -0.117 0.350  -0.173 0.279  -0.213 0.198  -0.254 0.116  -0.295 0.034  -0.336 -0.047  -0.377 -0.129  -0.395 -0.215  -0.395 -0.307  -0.395 -0.398  -0.395 -0.489  -0.395 -0.580  -0.395 -0.671  -0.395 -0.762  -0.395 -0.854  -0.395 -0.945  -0.358 -0.998  -0.277 -1.008  -0.277 -1.099  -0.203 -1.117  -0.112 -1.117  -0.021 -1.117  0.071 -1.117  0.138 -1.059  0.204 -0.998  0.295 -0.998  0.317 -0.930  0.346 -0.850  0.411 -0.786  0.436 -0.816  0.464 -0.879  0.555 -0.879
3#app#app07#app0762/y  -0.579 1.161  -0.579 1.053  -0.579 0.944  -0.503 0.911  -0.478 0.828  -0.369 0.828  -0.260 0.828  -0.151 0.828  -0.053 0.853  0.032 0.911  0.125 0.948  0.202 1.025  0.289 1.078  0.339 1.137  0.423 1.161  0.505 1.135  0.505 1.026  0.505 0.917  0.505 0.809  0.505 0.700  0.505 0.591  0.505 0.482  0.505 0.373  0.461 0.283  0.422 0.190  0.422 0.082  0.376 -0.016  0.339 -0.116  0.339 -0.225  0.304 -0.326  0.256 -0.423  0.207 -0.520  0.158 -0.618  0.110 -0.715  0.069 -0.815  0.035 -0.919  -0.008 -1.014  -0.106 -1.063  -0.182 -1.132  -0.231 -1.229  -0.300 -1.312  -0.377 -1.389  -0.471 -1.425  -0.579 -1.424  -0.579 -1.316  -0.579 -1.207  -0.579 -1.098  -0.507 -1.019  -0.489 -0.918  -0.412 -0.841
3#app#app07#app0762/t  0.622 1.852  0.495 1.803  0.426 1.655  0.337 1.507  0.282 1.340  0.209 1.183  0.084 1.058  -0.041 0.934  -0.166 0.809  -0.283 0.679  -0.362 0.521  -0.398 0.353  -0.398 0.177  -0.398 0.000  -0.398 -0.176  -0.398 -0.353  -0.360 -0.520  -0.281 -0.678  -0.245 -0.827  -0.143 -0.901  -0.056 -1.041  0.104 -1.082  0.153 -1.209  0.303 -1.273  0.453 -1.337  0.590 -1.432  0.747 -1.461  0.633 -1.327  0.518 -1.193  0.403 -1.059  0.288 -0.926  0.173 -0.792  0.058 -0.658  -0.056 -0.524  -0.171 -0.390  -0.286 -0.256  -0.401 -0.122  -0.516 0.012  -0.631 0.146  -0.746 0.280  -0.658 0.321  -0.609 0.449  -0.433 0.449  -0.298 0.549  -0.133 0.576  0.044 0.576  0.220 0.576  0.397 0.576  0.573 0.576  0.750 0.576
3#app#app07#app0762/o  -0.965 0.406  -0.965 0.287  -0.965 0.168  -0.965 0.048  -0.965 -0.071  -0.965 -0.190  -0.965 -0.309  -0.965 -0.429  -0.965 -0.548  -0.965 -0.667  -0.965 -0.787  -0.960 -0.901  -0.840 -0.901  -0.721 -0.901  -0.602 -0.901  -0.483 -0.901  -0.363 -0.901  -0.244 -0.901  -0.125 -0.901  -0.031 -0.839  0.053 -0.755  0.137 -0.670  0.222 -0.586  0.306 -0.501  0.410 -0.465  0.530 -0.465  0.649 -0.465  0.768 -0.465  0.778 -0.356  0.778 -0.237  0.778 -0.117  0.778 0.002  0.778 0.121  0.778 0.241  0.778 0.360  0.778 0.479  0.778 0.598  0.778 0.718  0.778 0.837  0.664 0.842  0.545 0.842  0.425 0.842  0.342 0.878  0.342 0.998  0.342 1.117  0.342 1.236  0.265 1.278  0.145 1.278  0.026 1.278  -0.093 1.278
3#app#app07#app0762/o  -1.235 0.346  -1.235 0.216  -1.235 0.085  -1.235 -0.046  -1.235 -0.176  -1.235 -0.307  -1.235 -0.437  -1.235 -0.568  -1.235 -0.699  -1.115 -0.710  -0.985 -0.710  -0.854 -0.710  -0.724 -0.710  -0.593 -0.710  -0.462 -0.710  -0.332 -0.710  -0.201 -0.710  -0.070 -0.710  0.060 -0.710  0.085 -0.604  0.085 -0.473  0.188 -0.446  0.319 -0.446  0.449 -0.446  0.580 -0.446  0.682 -0.377  0.774 -0.285  0.867 -0.192  0.877 -0.066  0.877 0.065  0.990 0.082  1.121 0.082  1.141 0.193  1.141 0.323  1.065 0.422  0.973 0.515  0.880 0.607  0.877 0.736  0.877 0.867  0.754 0.874  0.623 0.874  0.493 0.874  0.362 0.874  0.231 0.874  0.101 0.874  0.004 0.793  -0.089 0.701  -0.182 0.610  -0.312 0.610  -0.443 0.610
3#app#app07#app0762/p  0.009 0.647  0.009 0.462  -0.021 0.285  -0.092 0.118  -0.094 -0.067  -0.139 -0.245  -0.183 -0.424  -0.258 -0.592  -0.294 -0.768  -0.294 -0.952  -0.394 -1.095  -0.402 -1.276  -0.495 -1.422  -0.495 -1.606  -0.495 -1.756  -0.487 -1.572  -0.480 -1.387  -0.472 -1.203  -0.465 -1.019  -0.458 -0.835  -0.450 -0.651  -0.443 -0.466  -0.436 -0.282  -0.428 -0.098  -0.421 0.086  -0.414 0.270  -0.406 0.455  -0.399 0.639  -0.341 0.801  -0.277 0.949  -0.093 0.949  0.038 1.079  0.192 1.151  0.311 1.216  0.460 1.252  0.645 1.252  0.829 1.252  0.916 1.155  1.017 1.071  1.017 0.887  0.986 0.716  0.916 0.560  0.796 0.426  0.666 0.295  0.607 0.135  0.461 0.042  0.316 -0.054  0.134 -0.059  -0.008 -0.160  -0.193 -0.160
