1c#apa#apa10#app1047/s  -1.173 -0.672  -1.306 -0.672  -1.439 -0.672  -1.573 -0.672  -1.514 -0.672  -1.394 -0.626  -1.283 -0.552  -1.172 -0.478  -1.062 -0.404  -0.962 -0.316  -0.868 -0.222  -0.774 -0.128  -0.672 -0.042  -0.565 0.038  -0.459 0.118  -0.352 0.198  -0.245 0.278  -0.138 0.357  -0.027 0.431  0.084 0.505  0.195 0.579  0.306 0.653  0.417 0.727  0.527 0.801  0.638 0.875  0.755 0.930  0.886 0.921  1.005 0.861  1.124 0.802  1.158 0.689  1.158 0.556  1.158 0.423  1.144 0.291  1.112 0.162  1.080 0.032  1.047 -0.097  1.015 -0.226  0.902 -0.291  0.783 -0.350  0.658 -0.397  0.529 -0.429  0.400 -0.461  0.270 -0.494  0.141 -0.526  0.022 -0.468  -0.098 -0.409  -0.217 -0.349  -0.336 -0.289  -0.444 -0.223  -0.444 -0.090
1c#apa#apa10#app1047/c  1.178 0.623  1.178 0.729  1.178 0.835  1.161 0.925  1.055 0.925  0.949 0.925  0.843 0.925  0.737 0.925  0.631 0.925  0.525 0.925  0.419 0.925  0.313 0.925  0.220 0.885  0.135 0.821  0.050 0.757  -0.035 0.694  -0.120 0.630  -0.205 0.566  -0.289 0.503  -0.374 0.439  -0.459 0.376  -0.544 0.312  -0.629 0.248  -0.714 0.185  -0.799 0.121  -0.884 0.057  -0.933 -0.024  -0.933 -0.130  -0.933 -0.236  -0.906 -0.336  -0.859 -0.431  -0.811 -0.526  -0.764 -0.621  -0.716 -0.716  -0.669 -0.810  -0.609 -0.885  -0.503 -0.885  -0.397 -0.885  -0.291 -0.885  -0.185 -0.885  -0.078 -0.885  0.028 -0.885  0.134 -0.885  0.240 -0.885  0.346 -0.885  0.452 -0.885  0.558 -0.885  0.664 -0.885  0.770 -0.885  0.876 -0.885
1c#apa#apa10#app1047/r  -0.219 1.178  -0.219 1.038  -0.219 0.898  -0.211 0.758  -0.177 0.622  -0.143 0.486  -0.109 0.350  -0.075 0.214  -0.041 0.078  -0.007 -0.058  0.027 -0.194  0.061 -0.330  0.095 -0.466  0.129 -0.603  0.163 -0.739  0.167 -0.878  0.167 -1.019  0.167 -1.159  0.167 -1.299  0.167 -1.439  0.116 -1.529  -0.024 -1.529  -0.164 -1.529  -0.219 -1.444  -0.219 -1.304  -0.219 -1.163  -0.219 -1.023  -0.219 -0.883  -0.219 -0.743  -0.219 -0.602  -0.219 -0.462  -0.219 -0.322  -0.219 -0.182  -0.219 -0.041  -0.219 0.099  -0.219 0.239  -0.219 0.379  -0.219 0.520  -0.219 0.660  -0.213 0.798  -0.114 0.897  -0.015 0.996  0.084 1.095  0.188 1.188  0.313 1.251  0.439 1.314  0.564 1.377  0.690 1.439  0.815 1.502  0.941 1.565
1c#apa#apa10#app1047/e  -1.201 0.033  -1.025 0.033  -0.930 -0.047  -0.930 -0.223  -0.769 -0.238  -0.593 -0.238  -0.417 -0.238  -0.241 -0.238  -0.065 -0.238  0.111 -0.238  0.287 -0.238  0.452 -0.214  0.577 -0.090  0.701 0.035  0.826 0.159  0.950 0.284  1.074 0.408  1.199 0.533  1.243 0.690  1.225 0.854  1.058 0.909  0.891 0.965  0.724 1.021  0.557 1.076  0.390 1.107  0.223 1.051  0.057 0.996  -0.110 0.940  -0.277 0.884  -0.430 0.805  -0.554 0.681  -0.667 0.549  -0.723 0.382  -0.779 0.215  -0.834 0.048  -0.890 -0.118  -0.902 -0.280  -0.805 -0.426  -0.707 -0.572  -0.610 -0.719  -0.512 -0.865  -0.414 -1.012  -0.261 -1.053  -0.085 -1.053  0.091 -1.053  0.267 -1.053  0.443 -1.053  0.619 -1.053  0.795 -1.053  0.971 -1.053
1c#apa#apa10#app1047/a  1.208 0.355  1.045 0.436  0.883 0.518  0.720 0.599  0.578 0.694  0.578 0.876  0.505 0.985  0.323 0.985  0.141 0.985  -0.041 0.985  -0.223 0.985  -0.405 0.985  -0.587 0.985  -0.721 0.907  -0.803 0.744  -0.884 0.581  -0.966 0.419  -0.998 0.244  -0.998 0.062  -0.998 -0.120  -0.998 -0.302  -0.998 -0.484  -0.922 -0.591  -0.740 -0.591  -0.558 -0.591  -0.376 -0.591  -0.367 -0.417  -0.349 -0.239  -0.268 -0.076  -0.186 0.087  -0.105 0.249  -0.052 0.419  -0.052 0.601  -0.052 0.556  -0.052 0.374  -0.052 0.192  -0.052 0.010  -0.052 -0.172  -0.009 -0.341  0.092 -0.492  0.193 -0.644  0.294 -0.795  0.395 -0.947  0.496 -1.098  0.613 -1.221  0.795 -1.221  0.977 -1.221  1.159 -1.221  1.341 -1.221  1.523 -1.221
1c#apa#apa10#app1047/m  -0.987 0.752  -0.987 0.575  -0.987 0.397  -0.987 0.220  -0.987 0.042  -0.987 -0.135  -0.987 -0.313  -0.987 -0.490  -1.001 -0.662  -1.127 -0.787  -1.175 -0.881  -0.997 -0.881  -0.934 -0.722  -0.878 -0.554  -0.822 -0.386  -0.766 -0.217  -0.691 -0.056  -0.612 0.102  -0.532 0.261  -0.453 0.420  -0.374 0.579  -0.294 0.738  -0.126 0.752  -0.054 0.647  -0.054 0.470  -0.054 0.292  -0.054 0.115  -0.017 -0.057  0.039 -0.226  0.095 -0.394  0.151 -0.562  0.180 -0.560  0.202 -0.392  0.328 -0.266  0.453 -0.141  0.579 -0.015  0.704 0.110  0.830 0.236  0.956 0.361  1.081 0.487  1.207 0.613  1.332 0.738  1.346 0.595  1.346 0.418  1.346 0.240  1.346 0.063  1.346 -0.115  1.346 -0.293  1.346 -0.470  1.346 -0.648
1c#apa#apa10#app1047/e  -0.568 -0.010  -0.461 -0.117  -0.353 -0.225  -0.235 -0.305  -0.082 -0.305  0.070 -0.305  0.222 -0.305  0.374 -0.305  0.526 -0.305  0.659 -0.261  0.767 -0.153  0.874 -0.046  0.982 0.062  1.089 0.169  1.197 0.277  1.144 0.410  1.076 0.546  1.008 0.682  0.940 0.818  0.834 0.916  0.698 0.984  0.562 1.052  0.426 1.120  0.286 1.173  0.134 1.173  -0.006 1.144  -0.113 1.037  -0.221 0.929  -0.328 0.822  -0.436 0.714  -0.543 0.607  -0.620 0.477  -0.689 0.341  -0.756 0.205  -0.825 0.069  -0.864 -0.074  -0.864 -0.226  -0.864 -0.378  -0.864 -0.530  -0.864 -0.682  -0.864 -0.834  -0.801 -0.960  -0.693 -1.067  -0.586 -1.175  -0.441 -1.193  -0.289 -1.193  -0.137 -1.193  0.015 -1.193  0.167 -1.193  0.319 -1.193
1c#apa#apa10#app1047/d  0.469 -0.648  0.456 -0.496  0.317 -0.470  0.278 -0.343  0.113 -0.343  -0.052 -0.343  -0.213 -0.368  -0.370 -0.420  -0.527 -0.472  -0.688 -0.496  -0.782 -0.595  -0.834 -0.752  -0.886 -0.908  -0.901 -1.071  -0.901 -1.236  -0.799 -1.359  -0.664 -1.367  -0.516 -1.293  -0.374 -1.210  -0.237 -1.118  -0.099 -1.027  0.026 -0.925  0.100 -0.777  0.169 -0.627  0.201 -0.466  0.234 -0.304  0.266 -0.142  0.299 0.020  0.317 0.184  0.317 0.349  0.317 0.514  0.317 0.679  0.317 0.844  0.317 1.010  0.317 1.175  0.317 1.340  0.317 1.505  0.317 1.670  0.302 1.743  0.250 1.587  0.198 1.430  0.165 1.270  0.165 1.105  0.165 0.940  0.181 0.776  0.209 0.613  0.236 0.450  0.263 0.287  0.290 0.124  0.317 -0.039
1c#apa#apa10#app1047/a  0.990 0.402  0.990 0.588  0.893 0.678  0.707 0.678  0.520 0.678  0.334 0.678  0.148 0.678  -0.039 0.678  -0.225 0.678  -0.411 0.678  -0.597 0.678  -0.784 0.678  -0.961 0.656  -1.093 0.524  -1.221 0.390  -1.304 0.223  -1.387 0.056  -1.471 -0.110  -1.426 -0.277  -1.343 -0.443  -1.260 -0.610  -1.129 -0.700  -0.943 -0.700  -0.766 -0.642  -0.589 -0.583  -0.412 -0.524  -0.236 -0.466  -0.065 -0.393  0.090 -0.290  0.245 -0.187  0.400 -0.083  0.555 0.020  0.710 0.123  0.714 0.307  0.714 0.494  0.712 0.678  0.526 0.678  0.439 0.579  0.439 0.392  0.439 0.206  0.439 0.020  0.439 -0.167  0.439 -0.353  0.490 -0.527  0.573 -0.694  0.657 -0.860  0.766 -1.001  0.932 -1.085  1.099 -1.168  1.265 -1.251
1c#apa#apa10#app1047/t  0.369 2.013  0.326 1.885  0.284 1.758  0.241 1.630  0.199 1.503  0.128 1.393  0.033 1.297  -0.062 1.202  -0.157 1.107  -0.215 0.992  -0.241 0.860  -0.267 0.728  -0.294 0.597  -0.320 0.465  -0.347 0.333  -0.373 0.201  -0.401 0.070  -0.434 -0.061  -0.467 -0.191  -0.499 -0.322  -0.532 -0.452  -0.565 -0.583  -0.548 -0.708  -0.488 -0.828  -0.427 -0.948  -0.354 -1.059  -0.259 -1.154  -0.149 -1.213  -0.014 -1.213  0.120 -1.213  0.247 -1.179  0.367 -1.119  0.487 -1.059  0.613 -1.023  0.748 -1.023  0.674 -0.912  0.600 -0.800  0.525 -0.688  0.451 -0.576  0.376 -0.464  0.301 -0.352  0.227 -0.241  0.152 -0.129  0.078 -0.017  0.003 0.095  -0.088 0.193  -0.183 0.288  -0.090 0.305  0.045 0.305  0.179 0.305
1c#apa#apa10#app1047/h  -0.061 1.539  -0.061 1.676  -0.061 1.814  -0.061 1.863  -0.061 1.725  -0.061 1.588  -0.061 1.450  -0.066 1.313  -0.083 1.177  -0.100 1.040  -0.117 0.904  -0.134 0.767  -0.151 0.631  -0.168 0.495  -0.185 0.358  -0.202 0.222  -0.219 0.085  -0.236 -0.051  -0.276 -0.181  -0.337 -0.304  -0.399 -0.427  -0.451 -0.553  -0.495 -0.684  -0.538 -0.814  -0.582 -0.945  -0.613 -1.077  -0.613 -1.215  -0.555 -1.108  -0.494 -0.985  -0.432 -0.862  -0.337 -0.763  -0.240 -0.666  -0.143 -0.569  -0.045 -0.471  0.052 -0.374  0.149 -0.277  0.246 -0.180  0.353 -0.096  0.476 -0.034  0.599 0.027  0.676 0.014  0.676 -0.123  0.676 -0.261  0.676 -0.398  0.676 -0.536  0.676 -0.673  0.676 -0.811  0.676 -0.948  0.676 -1.086  0.676 -1.223
