2#apa#apa01#app0159/I  -0.230 1.428  -0.230 1.500  -0.230 1.554  -0.230 1.481  -0.216 1.414  -0.164 1.362  -0.113 1.311  -0.093 1.246  -0.093 1.173  -0.093 1.100  -0.093 1.027  -0.093 0.954  -0.093 0.881  -0.093 0.808  -0.093 0.735  -0.093 0.662  -0.093 0.589  -0.093 0.516  -0.072 0.452  -0.020 0.401  0.031 0.349  0.043 0.281  0.043 0.208  0.043 0.135  0.043 0.062  0.043 -0.011  0.043 -0.084  0.043 -0.157  0.043 -0.230  0.043 -0.303  0.043 -0.375  0.043 -0.448  0.043 -0.521  0.043 -0.594  0.043 -0.667  0.043 -0.740  0.043 -0.813  0.043 -0.886  0.043 -0.959  0.048 -1.030  0.100 -1.081  0.152 -1.133  0.179 -1.194  0.179 -1.267  0.179 -1.340  0.179 -1.413  0.179 -1.486  0.179 -1.559  0.179 -1.632  0.179 -1.705
2#apa#apa01#app0159/f  -0.182 -1.769  -0.107 -1.769  -0.182 -1.675  -0.195 -1.512  -0.303 -1.388  -0.303 -1.219  -0.303 -1.050  -0.303 -0.882  -0.303 -0.713  -0.425 -0.666  -0.425 -0.498  -0.425 -0.329  -0.425 -0.160  -0.477 -0.013  -0.547 0.127  -0.547 0.295  -0.547 0.464  -0.547 0.632  -0.425 0.679  -0.425 0.848  -0.425 1.017  -0.269 1.029  -0.182 1.111  -0.053 1.150  0.116 1.150  0.284 1.150  0.453 1.150  0.622 1.150  0.790 1.150  0.959 1.150  1.035 1.058  0.940 0.926  0.825 0.802  0.711 0.678  0.596 0.554  0.482 0.430  0.368 0.306  0.253 0.183  0.139 0.059  0.025 -0.065  -0.090 -0.189  -0.204 -0.313  -0.319 -0.437  -0.417 -0.561  -0.295 -0.674  -0.127 -0.674  0.042 -0.674  0.211 -0.674  0.379 -0.674  0.548 -0.674
2#apa#apa01#app0159/M  -1.178 -1.258  -1.178 -1.081  -1.178 -0.905  -1.178 -0.728  -1.178 -0.551  -1.062 -0.422  -1.058 -0.247  -1.058 -0.071  -0.938 -0.014  -0.938 0.163  -0.938 0.340  -0.871 0.489  -0.818 0.643  -0.698 0.700  -0.603 0.783  -0.578 0.632  -0.516 0.481  -0.457 0.328  -0.351 0.196  -0.337 0.025  -0.337 -0.152  -0.217 -0.209  -0.217 -0.386  -0.115 -0.520  0.023 -0.506  0.023 -0.329  0.125 -0.195  0.143 -0.026  0.206 0.125  0.331 0.250  0.383 0.405  0.496 0.535  0.621 0.660  0.676 0.783  0.743 0.893  0.790 1.023  0.863 0.920  0.863 0.743  0.863 0.566  0.896 0.423  0.983 0.333  0.983 0.156  0.983 -0.021  0.983 -0.198  0.983 -0.374  0.983 -0.551  0.983 -0.728  0.983 -0.905  0.983 -1.081  1.103 -1.138
2#apa#apa01#app0159/y  -0.920 1.241  -0.812 1.133  -0.755 1.003  -0.695 0.910  -0.589 0.863  -0.589 0.710  -0.567 0.579  -0.424 0.569  -0.424 0.416  -0.424 0.263  -0.286 0.247  -0.258 0.122  -0.145 0.082  -0.092 -0.018  -0.005 -0.084  0.149 -0.084  0.247 -0.021  0.266 0.130  0.285 0.282  0.304 0.434  0.323 0.586  0.342 0.738  0.361 0.890  0.380 1.042  0.399 1.194  0.404 1.135  0.404 0.982  0.404 0.829  0.404 0.676  0.404 0.523  0.404 0.370  0.374 0.247  0.239 0.229  0.239 0.076  0.239 -0.077  0.239 -0.230  0.144 -0.344  0.073 -0.468  0.073 -0.621  0.073 -0.774  0.073 -0.927  0.073 -1.080  0.073 -1.233  0.073 -1.386  -0.019 -1.501  -0.092 -1.624  -0.092 -1.777  -0.092 -1.930  -0.092 -2.083  -0.092 -2.237
2#apa#apa01#app0159/N  -0.605 1.175  -0.605 0.962  -0.605 0.749  -0.605 0.536  -0.605 0.323  -0.605 0.110  -0.605 -0.102  -0.605 -0.315  -0.605 -0.528  -0.605 -0.741  -0.692 -0.918  -0.717 -1.120  -0.708 -0.998  -0.698 -0.786  -0.687 -0.573  -0.676 -0.361  -0.666 -0.148  -0.655 0.065  -0.645 0.277  -0.634 0.490  -0.623 0.702  -0.613 0.915  -0.541 1.063  -0.440 0.952  -0.382 0.796  -0.279 0.626  -0.208 0.443  -0.126 0.283  -0.048 0.149  0.040 -0.028  0.112 -0.211  0.183 -0.394  0.286 -0.564  0.406 -0.728  0.509 -0.898  0.566 -1.054  0.667 -1.166  0.837 -1.061  0.935 -0.943  0.955 -0.750  0.955 -0.537  0.955 -0.324  0.955 -0.111  1.063 0.057  1.066 0.268  1.066 0.481  1.066 0.694  1.113 0.887  1.178 1.073  1.178 1.286
2#apa#apa01#app0159/a  0.013 -0.357  0.213 -0.357  0.242 -0.187  0.383 -0.128  0.472 -0.017  0.472 0.182  0.472 0.382  0.472 0.582  0.472 0.781  0.280 0.789  0.128 0.904  -0.024 1.019  -0.224 1.019  -0.423 1.019  -0.571 0.893  -0.728 0.789  -0.921 0.773  -1.062 0.632  -1.134 0.462  -1.202 0.331  -1.363 0.292  -1.363 0.092  -1.363 -0.107  -1.363 -0.307  -1.363 -0.507  -1.244 -0.587  -1.044 -0.587  -0.844 -0.587  -0.645 -0.587  -0.445 -0.587  -0.245 -0.587  -0.046 -0.587  0.013 -0.446  0.124 -0.357  0.300 -0.300  0.441 -0.158  0.472 0.029  0.472 0.228  0.569 0.331  0.701 0.263  0.701 0.063  0.709 -0.128  0.909 -0.128  0.931 -0.306  1.079 -0.357  1.160 -0.476  1.160 -0.676  1.219 -0.816  1.419 -0.816  1.619 -0.816
2#apa#apa01#app0159/m  -1.176 0.579  -1.176 0.391  -1.107 0.271  -1.022 0.168  -1.022 -0.020  -1.022 -0.209  -1.022 -0.397  -1.022 -0.585  -0.901 -0.653  -0.867 -0.808  -0.867 -0.927  -0.867 -0.739  -0.867 -0.550  -0.867 -0.362  -0.867 -0.174  -0.867 0.015  -0.867 0.203  -0.747 0.271  -0.713 0.425  -0.580 0.559  -0.400 0.579  -0.223 0.551  -0.090 0.418  0.043 0.285  0.057 0.102  0.057 -0.086  0.057 -0.275  0.057 -0.463  0.057 -0.651  0.189 -0.522  0.213 -0.344  0.346 -0.210  0.365 -0.030  0.365 0.158  0.419 0.325  0.519 0.471  0.600 0.579  0.673 0.694  0.822 0.733  0.981 0.704  1.045 0.579  1.135 0.481  1.229 0.332  1.289 0.168  1.426 0.117  1.443 -0.054  1.443 -0.242  1.443 -0.431  1.443 -0.619  1.443 -0.807
2#apa#apa01#app0159/e  -0.774 -0.173  -0.607 -0.173  -0.440 -0.173  -0.274 -0.173  -0.145 -0.081  -0.015 0.006  0.121 0.037  0.140 0.185  0.299 0.192  0.299 0.358  0.299 0.525  0.449 0.542  0.478 0.679  0.478 0.846  0.365 0.900  0.299 1.000  0.211 1.079  0.044 1.079  -0.122 1.079  -0.289 1.079  -0.444 1.051  -0.562 0.933  -0.679 0.815  -0.797 0.697  -0.915 0.579  -0.952 0.428  -0.952 0.262  -0.952 0.095  -0.952 -0.072  -0.952 -0.238  -0.952 -0.405  -0.912 -0.531  -0.745 -0.531  -0.595 -0.547  -0.591 -0.709  -0.424 -0.709  -0.257 -0.709  -0.091 -0.709  0.076 -0.709  0.243 -0.709  0.409 -0.709  0.576 -0.709  0.742 -0.709  0.909 -0.709  1.076 -0.709  1.242 -0.709  1.409 -0.709  1.575 -0.709  1.742 -0.709  1.909 -0.709
2#apa#apa01#app0159/=  -1.578 0.795  -1.432 0.795  -1.286 0.795  -1.141 0.795  -0.995 0.795  -0.849 0.795  -0.703 0.795  -0.557 0.795  -0.411 0.795  -0.265 0.795  -0.119 0.795  0.027 0.795  0.173 0.795  0.319 0.795  0.465 0.795  0.610 0.795  0.756 0.795  0.902 0.795  0.992 0.739  0.992 0.593  0.898 0.495  0.780 0.410  0.661 0.325  0.542 0.240  0.423 0.156  0.305 0.071  0.186 -0.014  0.067 -0.099  -0.051 -0.184  -0.170 -0.269  -0.289 -0.353  -0.408 -0.438  -0.526 -0.523  -0.644 -0.608  -0.644 -0.754  -0.584 -0.840  -0.438 -0.840  -0.292 -0.840  -0.176 -0.871  -0.176 -1.017  -0.088 -1.074  0.058 -1.074  0.204 -1.074  0.350 -1.074  0.496 -1.074  0.524 -0.957  0.554 -0.840  0.700 -0.840  0.846 -0.840  0.992 -0.840
2#apa#apa01#app0159/\"  -0.786 1.063  -0.786 0.949  -0.786 0.834  -0.786 0.719  -0.786 0.605  -0.786 0.490  -0.786 0.376  -0.786 0.261  -0.819 0.160  -0.900 0.079  -0.981 -0.002  -1.062 -0.083  -1.076 -0.192  -1.076 -0.306  -1.076 -0.421  -1.076 -0.536  -1.076 -0.650  -0.997 -0.638  -0.895 -0.587  -0.792 -0.536  -0.690 -0.484  -0.587 -0.433  -0.485 -0.382  -0.382 -0.331  -0.280 -0.279  -0.177 -0.228  -0.075 -0.177  0.028 -0.126  0.130 -0.074  0.233 -0.023  0.335 0.028  0.438 0.079  0.540 0.131  0.643 0.182  0.745 0.233  0.848 0.284  0.950 0.336  1.053 0.387  1.155 0.438  1.245 0.469  1.245 0.354  1.245 0.240  1.245 0.125  1.245 0.010  1.245 -0.104  1.245 -0.219  1.245 -0.333  1.245 -0.448  1.245 -0.563  1.245 -0.677
2#apa#apa01#app0159/Y  -1.294 1.183  -1.271 1.037  -1.147 0.991  -1.099 0.841  -1.001 0.712  -0.947 0.597  -0.854 0.520  -0.854 0.350  -0.767 0.217  -0.647 0.097  -0.527 -0.023  -0.414 -0.146  -0.382 -0.283  -0.228 -0.322  -0.121 -0.447  -0.080 -0.576  0.089 -0.576  0.172 -0.489  0.172 -0.320  0.221 -0.160  0.284 -0.002  0.347 0.155  0.410 0.312  0.473 0.470  0.536 0.627  0.599 0.785  0.662 0.942  0.725 1.099  0.758 1.104  0.758 0.934  0.633 0.890  0.610 0.743  0.465 0.719  0.465 0.549  0.415 0.400  0.319 0.271  0.279 0.118  0.172 -0.007  0.172 -0.177  0.172 -0.346  0.172 -0.516  0.172 -0.686  0.172 -0.855  0.172 -1.025  0.172 -1.194  0.172 -1.364  0.172 -1.533  0.172 -1.703  0.172 -1.872  0.172 -2.042
