1c#apa#apa02#app0235/b  -0.868 1.560  -0.783 1.560  -0.868 1.638  -0.868 1.567  -0.845 1.413  -0.744 1.292  -0.744 1.129  -0.744 0.966  -0.647 0.842  -0.619 0.690  -0.504 0.575  -0.495 0.415  -0.449 0.271  -0.371 0.140  -0.371 -0.023  -0.366 -0.184  -0.251 -0.300  -0.246 -0.461  -0.246 -0.625  -0.246 -0.788  -0.246 -0.899  -0.246 -0.736  -0.246 -0.573  -0.246 -0.410  -0.246 -0.246  -0.246 -0.083  -0.151 0.041  -0.122 0.192  0.029 0.220  0.152 0.317  0.315 0.317  0.478 0.317  0.623 0.299  0.681 0.193  0.816 0.125  0.931 0.009  1.047 -0.106  1.120 -0.239  1.120 -0.402  1.111 -0.562  0.996 -0.677  0.880 -0.792  0.845 -0.925  0.701 -0.972  0.570 -1.049  0.407 -1.049  0.243 -1.049  0.080 -1.049  0.002 -0.964  -0.122 -0.925
1c#apa#apa02#app0235/e  -0.910 -0.345  -0.742 -0.345  -0.575 -0.345  -0.407 -0.345  -0.246 -0.328  -0.128 -0.210  0.007 -0.130  0.168 -0.123  0.168 0.045  0.258 0.176  0.376 0.294  0.495 0.413  0.599 0.538  0.599 0.706  0.599 0.873  0.506 0.948  0.383 0.993  0.383 1.161  0.218 1.164  0.050 1.164  -0.117 1.164  -0.279 1.148  -0.397 1.030  -0.516 0.911  -0.635 0.792  -0.778 0.732  -0.910 0.697  -0.910 0.529  -0.910 0.362  -0.910 0.194  -0.910 0.026  -0.902 -0.138  -0.783 -0.257  -0.652 -0.345  -0.484 -0.345  -0.479 -0.508  -0.364 -0.561  -0.203 -0.591  -0.053 -0.666  0.097 -0.741  0.230 -0.839  0.349 -0.958  0.502 -0.992  0.670 -0.992  0.838 -0.992  1.006 -0.992  1.173 -0.992  1.341 -0.992  1.509 -0.992  1.677 -0.992
1c#apa#apa02#app0235/d  0.226 -0.089  0.081 -0.214  -0.107 -0.256  -0.273 -0.350  -0.357 -0.463  -0.508 -0.574  -0.647 -0.714  -0.595 -0.889  -0.522 -1.056  -0.368 -1.116  -0.210 -1.212  -0.053 -1.307  0.132 -1.336  0.330 -1.336  0.460 -1.288  0.400 -1.100  0.340 -0.912  0.280 -0.725  0.220 -0.537  0.160 -0.349  0.100 -0.161  0.040 0.027  -0.021 0.214  -0.081 0.402  -0.141 0.590  -0.201 0.778  -0.261 0.966  -0.321 1.153  -0.381 1.341  -0.441 1.529  -0.501 1.717  -0.397 1.778  -0.321 1.657  -0.256 1.515  -0.148 1.363  -0.148 1.166  -0.023 1.093  -0.014 0.900  0.102 0.751  0.102 0.553  0.226 0.408  0.226 0.211  0.242 0.020  0.351 -0.132  0.466 -0.214  0.476 -0.402  0.476 -0.599  0.535 -0.772  0.600 -0.942  0.725 -1.087
1c#apa#apa02#app0235/e  -0.512 -0.354  -0.342 -0.354  -0.212 -0.258  -0.104 -0.132  -0.104 0.039  0.051 0.054  0.100 0.175  0.188 0.258  0.342 0.296  0.463 0.417  0.509 0.568  0.509 0.739  0.547 0.871  0.713 0.875  0.713 1.046  0.572 1.075  0.402 1.075  0.231 1.075  0.061 1.075  -0.110 1.075  -0.280 1.075  -0.308 0.933  -0.417 0.871  -0.512 0.796  -0.553 0.667  -0.722 0.662  -0.842 0.541  -0.921 0.403  -0.921 0.233  -0.921 0.062  -0.921 -0.108  -0.921 -0.278  -0.826 -0.354  -0.717 -0.415  -0.690 -0.558  -0.519 -0.558  -0.512 -0.722  -0.383 -0.763  -0.222 -0.806  -0.070 -0.882  0.083 -0.958  0.251 -0.967  0.421 -0.967  0.592 -0.967  0.762 -0.967  0.928 -0.978  1.049 -1.098  1.189 -1.171  1.359 -1.171  1.530 -1.171
1c#apa#apa02#app0235/h  -0.902 1.705  -0.881 1.591  -0.788 1.548  -0.788 1.412  -0.788 1.276  -0.788 1.140  -0.777 1.009  -0.681 0.913  -0.674 0.780  -0.674 0.644  -0.674 0.508  -0.674 0.372  -0.604 0.265  -0.560 0.148  -0.560 0.012  -0.477 -0.090  -0.446 -0.213  -0.446 -0.349  -0.446 -0.485  -0.446 -0.620  -0.400 -0.738  -0.331 -0.845  -0.331 -0.861  -0.250 -0.807  -0.217 -0.703  -0.206 -0.578  -0.103 -0.546  -0.103 -0.410  -0.049 -0.296  0.011 -0.185  0.062 -0.071  0.125 0.039  0.193 0.107  0.303 0.170  0.418 0.221  0.554 0.221  0.690 0.221  0.711 0.107  0.836 0.081  0.925 -0.019  0.925 -0.155  0.925 -0.291  1.001 -0.350  1.039 -0.448  1.039 -0.584  1.039 -0.720  1.039 -0.856  1.039 -0.992  1.039 -1.128  1.153 -1.149
1c#apa#apa02#app0235/o  -0.097 0.834  -0.201 0.731  -0.304 0.628  -0.407 0.524  -0.519 0.441  -0.665 0.441  -0.775 0.353  -0.878 0.250  -1.022 0.244  -1.081 0.157  -1.081 0.011  -1.081 -0.135  -1.081 -0.281  -1.081 -0.427  -1.052 -0.543  -0.906 -0.543  -0.796 -0.632  -0.693 -0.735  -0.549 -0.740  -0.403 -0.740  -0.257 -0.740  -0.110 -0.740  -0.003 -0.834  0.100 -0.937  0.246 -0.937  0.392 -0.937  0.539 -0.937  0.685 -0.937  0.789 -0.837  0.893 -0.734  0.996 -0.631  1.083 -0.521  1.083 -0.375  1.083 -0.228  1.083 -0.082  1.083 0.064  1.083 0.210  1.004 0.323  0.901 0.426  0.797 0.530  0.694 0.633  0.565 0.700  0.434 0.765  0.303 0.831  0.198 0.932  0.093 1.031  -0.053 1.031  -0.199 1.031  -0.345 1.031  -0.491 1.031
1c#apa#apa02#app0235/p  -0.879 1.288  -0.879 1.053  -0.726 0.972  -0.635 0.828  -0.559 0.661  -0.419 0.485  -0.335 0.285  -0.266 0.079  -0.220 -0.137  -0.112 -0.327  -0.108 -0.561  -0.003 -0.771  0.041 -0.995  0.041 -1.230  0.041 -1.465  0.041 -1.699  0.041 -1.928  0.041 -1.693  0.041 -1.458  -0.026 -1.251  -0.112 -1.052  -0.112 -0.818  -0.112 -0.583  -0.256 -0.408  -0.266 -0.177  -0.266 0.058  -0.266 0.292  -0.266 0.527  -0.266 0.762  -0.251 0.982  -0.044 1.050  0.143 1.186  0.354 1.288  0.588 1.288  0.818 1.277  0.961 1.101  0.961 0.866  0.961 0.632  0.961 0.397  0.815 0.223  0.737 0.062  0.654 -0.090  0.484 -0.245  0.249 -0.245  0.067 -0.372  -0.144 -0.367  -0.266 -0.182  -0.409 -0.091  -0.419 0.134  -0.419 0.368
1c#apa#apa02#app0235/e  -0.908 -0.524  -0.723 -0.524  -0.538 -0.524  -0.353 -0.524  -0.197 -0.454  -0.067 -0.323  0.114 -0.311  0.159 -0.171  0.270 -0.098  0.372 -0.015  0.411 0.155  0.542 0.285  0.586 0.452  0.680 0.543  0.799 0.609  0.799 0.794  0.792 0.976  0.661 1.107  0.508 1.183  0.323 1.183  0.138 1.183  -0.047 1.183  -0.232 1.183  -0.268 1.034  -0.389 0.969  -0.481 0.877  -0.546 0.756  -0.695 0.720  -0.702 0.543  -0.887 0.543  -0.908 0.379  -0.908 0.194  -0.908 0.009  -0.908 -0.177  -0.873 -0.347  -0.742 -0.478  -0.576 -0.524  -0.481 -0.615  -0.419 -0.738  -0.244 -0.762  -0.113 -0.892  0.047 -0.951  0.232 -0.951  0.417 -0.951  0.602 -0.951  0.787 -0.951  0.972 -0.951  1.158 -0.951  1.308 -1.034  1.439 -1.165
1c#apa#apa02#app0235/d  0.147 -0.232  0.018 -0.361  -0.061 -0.509  -0.196 -0.575  -0.324 -0.703  -0.381 -0.857  -0.478 -0.942  -0.436 -1.107  -0.374 -1.263  -0.203 -1.274  -0.021 -1.274  0.161 -1.274  0.343 -1.274  0.312 -1.110  0.265 -0.934  0.218 -0.759  0.171 -0.583  0.124 -0.407  0.077 -0.231  0.030 -0.056  -0.016 0.120  -0.063 0.296  -0.110 0.471  -0.157 0.647  -0.204 0.823  -0.251 0.999  -0.298 1.174  -0.344 1.350  -0.391 1.526  -0.438 1.702  -0.459 1.832  -0.374 1.686  -0.349 1.514  -0.239 1.373  -0.166 1.208  -0.166 1.026  -0.061 0.887  0.012 0.736  0.043 0.567  0.093 0.397  0.147 0.228  0.245 0.086  0.251 -0.093  0.317 -0.259  0.423 -0.404  0.518 -0.557  0.564 -0.728  0.617 -0.857  0.694 -0.961  0.772 -1.065
1c#apa#apa02#app0235/h  -0.763 1.742  -0.763 1.596  -0.763 1.451  -0.807 1.315  -0.872 1.185  -0.877 1.041  -0.877 0.895  -0.877 0.749  -0.792 0.639  -0.763 0.505  -0.763 0.359  -0.738 0.220  -0.673 0.089  -0.650 -0.051  -0.593 -0.183  -0.523 -0.310  -0.424 -0.414  -0.397 -0.549  -0.310 -0.659  -0.310 -0.804  -0.310 -0.950  -0.197 -0.969  -0.197 -0.823  -0.197 -0.678  -0.197 -0.532  -0.197 -0.387  -0.158 -0.257  -0.084 -0.142  -0.084 0.004  -0.084 0.149  0.029 0.182  0.087 0.270  0.206 0.333  0.331 0.383  0.477 0.383  0.509 0.270  0.655 0.270  0.709 0.178  0.822 0.146  0.853 0.013  0.935 -0.098  0.935 -0.244  1.001 -0.362  1.049 -0.488  1.049 -0.634  1.049 -0.780  1.049 -0.925  1.049 -1.071  1.172 -1.079  1.275 -0.976
1c#apa#apa02#app0235/e  -0.229 -0.034  -0.124 -0.139  -0.042 -0.189  -0.042 -0.040  0.101 -0.034  0.145 0.070  0.145 0.219  0.172 0.341  0.321 0.341  0.333 0.478  0.333 0.626  0.333 0.775  0.333 0.924  0.333 1.073  0.333 1.222  0.240 1.278  0.091 1.278  -0.042 1.263  -0.042 1.114  -0.168 1.090  -0.229 1.004  -0.278 0.903  -0.424 0.896  -0.529 0.791  -0.634 0.686  -0.739 0.581  -0.792 0.454  -0.792 0.305  -0.792 0.156  -0.792 0.007  -0.792 -0.142  -0.792 -0.290  -0.770 -0.430  -0.665 -0.535  -0.560 -0.641  -0.455 -0.746  -0.322 -0.784  -0.189 -0.824  -0.084 -0.929  0.047 -0.971  0.196 -0.971  0.341 -0.980  0.446 -1.085  0.565 -1.159  0.713 -1.159  0.862 -1.159  1.011 -1.159  1.160 -1.159  1.308 -1.159  1.457 -1.159
