2#app#app08#app0886/B  -0.794 1.569  -0.755 1.335  -0.679 1.107  -0.572 0.892  -0.561 0.654  -0.486 0.444  -0.444 0.221  -0.412 -0.012  -0.327 -0.232  -0.327 -0.473  -0.327 -0.713  -0.327 -0.954  -0.327 -1.194  -0.327 -1.435  -0.327 -1.259  -0.327 -1.019  -0.327 -0.778  -0.327 -0.538  -0.380 -0.310  -0.444 -0.084  -0.339 0.051  -0.327 0.280  -0.327 0.521  -0.318 0.752  -0.116 0.846  -0.002 0.985  0.210 0.916  0.134 0.746  0.023 0.551  -0.184 0.518  -0.327 0.420  -0.444 0.506  -0.327 0.630  -0.126 0.719  0.100 0.752  0.341 0.752  0.555 0.688  0.759 0.600  0.929 0.430  1.074 0.250  1.074 0.009  1.074 -0.231  1.074 -0.472  0.958 -0.664  0.943 -0.898  0.773 -1.068  0.607 -1.240  0.491 -1.409  0.374 -1.577  0.140 -1.584
2#app#app08#app0886/r  -0.748 0.828  -0.885 0.828  -0.922 0.728  -0.922 0.591  -0.904 0.461  -0.807 0.365  -0.748 0.252  -0.741 0.117  -0.679 -0.006  -0.618 -0.129  -0.547 -0.244  -0.450 -0.341  -0.353 -0.438  -0.256 -0.535  -0.225 -0.659  -0.185 -0.780  -0.088 -0.877  -0.051 -0.998  -0.018 -1.122  0.079 -1.219  0.123 -1.337  0.161 -1.437  0.298 -1.437  0.298 -1.300  0.298 -1.163  0.298 -1.026  0.298 -0.889  0.298 -0.752  0.209 -0.651  0.123 -0.550  0.123 -0.412  0.123 -0.275  0.123 -0.138  0.123 -0.001  0.123 0.136  0.123 0.273  0.123 0.410  0.123 0.547  0.123 0.684  0.123 0.821  0.254 0.828  0.298 0.921  0.337 1.042  0.434 1.139  0.556 1.177  0.679 1.209  0.776 1.306  0.895 1.351  1.032 1.351  1.169 1.351
2#app#app08#app0886/o  -0.848 0.972  -0.848 0.817  -0.848 0.663  -0.848 0.508  -0.731 0.470  -0.681 0.366  -0.681 0.212  -0.681 0.057  -0.634 -0.078  -0.525 -0.187  -0.514 -0.337  -0.514 -0.492  -0.433 -0.613  -0.346 -0.732  -0.346 -0.886  -0.340 -1.034  -0.185 -1.034  -0.179 -1.183  -0.043 -1.201  0.111 -1.201  0.266 -1.201  0.420 -1.201  0.550 -1.141  0.659 -1.032  0.768 -0.922  0.824 -0.791  0.844 -0.639  0.893 -0.493  0.942 -0.346  0.991 -0.199  0.991 -0.045  0.991 0.110  0.900 0.227  0.824 0.349  0.800 0.494  0.690 0.603  0.657 0.744  0.590 0.871  0.477 0.972  0.323 0.972  0.168 0.972  0.014 0.972  -0.141 0.972  -0.296 0.972  -0.420 0.898  -0.529 0.789  -0.638 0.680  -0.748 0.571  -0.848 0.458  -0.848 0.303
2#app#app08#app0886/k  -1.005 1.651  -1.106 1.569  -1.106 1.385  -1.106 1.200  -1.088 1.024  -1.005 0.874  -1.005 0.690  -0.946 0.519  -0.903 0.345  -0.903 0.161  -0.835 -0.008  -0.801 -0.184  -0.761 -0.359  -0.667 -0.515  -0.598 -0.671  -0.550 -0.738  -0.419 -0.608  -0.289 -0.477  -0.159 -0.347  -0.029 -0.217  0.102 -0.086  0.232 0.044  0.362 0.174  0.493 0.305  0.623 0.435  0.753 0.565  0.883 0.695  0.837 0.649  0.722 0.512  0.618 0.430  0.488 0.300  0.417 0.145  0.270 0.082  0.139 -0.049  0.008 -0.177  -0.151 -0.238  -0.217 -0.380  -0.186 -0.380  -0.002 -0.380  0.081 -0.482  0.214 -0.533  0.348 -0.583  0.431 -0.685  0.615 -0.685  0.777 -0.739  0.941 -0.786  1.126 -0.786  1.268 -0.888  1.452 -0.888  1.636 -0.888
2#app#app08#app0886/e  -0.864 0.160  -0.716 0.160  -0.715 0.014  -0.571 0.012  -0.465 0.113  -0.338 0.160  -0.190 0.160  -0.066 0.215  0.038 0.319  0.143 0.423  0.247 0.527  0.361 0.606  0.474 0.641  0.474 0.788  0.452 0.926  0.348 1.030  0.326 1.168  0.211 1.201  0.064 1.201  -0.083 1.201  -0.231 1.201  -0.269 1.092  -0.345 0.976  -0.449 0.872  -0.553 0.768  -0.566 0.626  -0.566 0.479  -0.566 0.332  -0.566 0.184  -0.566 0.037  -0.566 -0.110  -0.566 -0.257  -0.566 -0.405  -0.483 -0.518  -0.418 -0.638  -0.364 -0.732  -0.232 -0.768  -0.128 -0.873  -0.024 -0.977  0.098 -1.052  0.237 -1.099  0.377 -1.145  0.519 -1.178  0.667 -1.178  0.814 -1.178  0.961 -1.178  1.104 -1.160  1.236 -1.094  1.368 -1.029  1.515 -1.029
2#app#app08#app0886/n  -1.132 1.099  -1.119 0.920  -0.988 0.790  -0.967 0.614  -0.962 0.432  -0.831 0.302  -0.701 0.171  -0.636 0.014  -0.557 -0.138  -0.427 -0.268  -0.305 -0.402  -0.305 -0.586  -0.305 -0.771  -0.256 -0.935  -0.140 -1.071  -0.112 -1.244  0.018 -1.374  0.026 -1.540  0.026 -1.355  0.026 -1.171  0.026 -0.987  0.026 -0.802  0.026 -0.618  0.026 -0.434  0.026 -0.249  -0.025 -0.073  -0.083 0.102  -0.140 0.277  -0.140 0.461  -0.140 0.646  -0.140 0.830  -0.140 1.014  -0.140 1.199  -0.140 1.383  -0.042 1.332  0.026 1.176  0.101 1.023  0.232 0.893  0.357 0.760  0.375 0.584  0.506 0.453  0.636 0.323  0.687 0.160  0.780 0.014  0.910 -0.116  1.032 -0.253  1.115 -0.418  1.205 -0.577  1.336 -0.707  1.349 -0.886
2#app#app08#app0886/M  -1.109 0.303  -1.027 0.133  -1.015 -0.068  -0.950 -0.261  -0.886 -0.442  -0.849 -0.630  -0.762 -0.798  -0.675 -0.915  -0.698 -0.891  -0.780 -0.721  -0.849 -0.545  -0.849 -0.342  -0.906 -0.161  -0.936 0.030  -0.862 0.203  -0.750 0.303  -0.558 0.273  -0.414 0.129  -0.331 -0.041  -0.187 -0.185  -0.154 -0.375  -0.067 -0.492  0.020 -0.660  0.057 -0.826  0.107 -0.672  0.107 -0.468  0.107 -0.264  0.107 -0.060  0.107 0.143  0.107 0.347  0.107 0.551  0.107 0.755  0.107 0.959  0.107 1.163  0.107 1.367  0.230 1.396  0.374 1.252  0.495 1.091  0.586 0.909  0.677 0.726  0.769 0.544  0.893 0.386  0.997 0.219  1.046 0.021  1.124 -0.167  1.253 -0.322  1.323 -0.497  1.419 -0.661  1.503 -0.826  1.671 -0.913
2#app#app08#app0886/o  -0.611 0.895  -0.719 0.786  -0.827 0.678  -0.881 0.548  -0.881 0.395  -0.881 0.242  -0.881 0.089  -0.881 -0.064  -0.881 -0.217  -0.881 -0.370  -0.881 -0.522  -0.881 -0.675  -0.810 -0.799  -0.684 -0.863  -0.554 -0.920  -0.434 -0.998  -0.281 -0.998  -0.128 -0.998  0.025 -0.998  0.172 -0.963  0.317 -0.915  0.462 -0.866  0.572 -0.762  0.700 -0.681  0.837 -0.613  0.877 -0.484  1.003 -0.458  1.076 -0.329  1.145 -0.192  1.147 -0.040  1.147 0.113  1.147 0.266  1.147 0.419  1.089 0.547  0.981 0.656  0.871 0.762  0.735 0.831  0.597 0.895  0.444 0.895  0.291 0.895  0.141 0.875  -0.004 0.826  -0.149 0.778  -0.271 0.693  -0.379 0.585  -0.483 0.474  -0.552 0.337  -0.625 0.204  -0.733 0.096  -0.746 -0.052
2#app#app08#app0886/o  -0.420 0.807  -0.420 0.960  -0.564 0.969  -0.582 0.833  -0.709 0.807  -0.744 0.689  -0.744 0.535  -0.815 0.412  -0.905 0.296  -0.905 0.143  -0.905 -0.010  -0.905 -0.163  -0.905 -0.317  -0.905 -0.470  -0.810 -0.583  -0.701 -0.691  -0.593 -0.800  -0.582 -0.948  -0.491 -1.064  -0.367 -1.135  -0.214 -1.135  -0.061 -1.135  0.092 -1.135  0.240 -1.122  0.348 -1.013  0.457 -0.905  0.571 -0.811  0.718 -0.801  0.786 -0.664  0.855 -0.527  0.952 -0.410  1.036 -0.292  1.036 -0.139  1.036 0.014  1.036 0.167  1.036 0.320  1.036 0.473  0.935 0.585  0.875 0.713  0.816 0.807  0.663 0.807  0.509 0.807  0.356 0.807  0.203 0.807  0.055 0.796  -0.054 0.688  -0.189 0.645  -0.318 0.586  -0.420 0.475  -0.420 0.322
2#app#app08#app0886/n  -1.072 0.577  -1.072 0.423  -0.972 0.311  -0.863 0.202  -0.754 0.093  -0.739 -0.055  -0.654 -0.173  -0.573 -0.294  -0.573 -0.448  -0.573 -0.602  -0.573 -0.756  -0.573 -0.910  -0.471 -1.021  -0.407 -1.149  -0.407 -1.200  -0.407 -1.046  -0.407 -0.892  -0.407 -0.738  -0.407 -0.584  -0.407 -0.430  -0.407 -0.276  -0.407 -0.123  -0.407 0.031  -0.407 0.185  -0.407 0.339  -0.407 0.493  -0.407 0.647  -0.407 0.801  -0.375 0.942  -0.266 1.050  -0.123 1.076  0.031 1.076  0.185 1.076  0.258 0.994  0.307 0.861  0.415 0.752  0.524 0.643  0.633 0.534  0.742 0.425  0.756 0.277  0.842 0.159  0.951 0.050  1.060 -0.059  1.089 -0.201  1.179 -0.299  1.317 -0.368  1.421 -0.457  1.446 -0.586  1.587 -0.599  1.587 -0.753
2#app#app08#app0886/s  0.491 1.189  0.369 1.189  0.247 1.189  0.125 1.189  0.021 1.146  -0.065 1.060  -0.181 1.047  -0.303 1.047  -0.406 1.002  -0.493 0.916  -0.610 0.905  -0.706 0.844  -0.795 0.763  -0.917 0.763  -0.930 0.654  -0.930 0.533  -0.861 0.479  -0.788 0.431  -0.760 0.337  -0.640 0.332  -0.554 0.245  -0.453 0.195  -0.334 0.181  -0.225 0.127  -0.116 0.072  0.001 0.053  0.116 0.027  0.225 -0.027  0.334 -0.082  0.424 -0.164  0.518 -0.231  0.637 -0.236  0.724 -0.322  0.775 -0.423  0.796 -0.536  0.882 -0.622  0.917 -0.729  0.865 -0.799  0.753 -0.822  0.666 -0.908  0.580 -0.994  0.494 -1.080  0.374 -1.083  0.280 -1.152  0.189 -1.225  0.067 -1.225  -0.055 -1.225  -0.148 -1.296  -0.240 -1.368  -0.361 -1.368
