1c#apa#apa14#app1491/q  0.546 0.361  0.444 0.463  0.398 0.589  0.398 0.734  0.398 0.878  0.340 0.992  0.219 1.072  0.099 1.153  -0.022 1.233  -0.149 1.198  -0.279 1.134  -0.408 1.069  -0.538 1.004  -0.651 0.924  -0.705 0.790  -0.759 0.655  -0.813 0.521  -0.866 0.386  -0.920 0.252  -0.890 0.121  -0.826 -0.009  -0.727 -0.084  -0.583 -0.084  -0.438 -0.084  -0.293 -0.084  -0.156 -0.058  -0.035 0.022  0.085 0.103  0.206 0.183  0.250 0.304  0.250 0.449  0.250 0.424  0.250 0.279  0.250 0.134  0.250 -0.011  0.250 -0.156  0.250 -0.300  0.250 -0.445  0.250 -0.590  0.268 -0.732  0.314 -0.869  0.360 -1.007  0.398 -1.145  0.398 -1.290  0.398 -1.435  0.398 -1.580  0.398 -1.725  0.405 -1.863  0.546 -1.866  0.546 -2.011
1c#apa#apa14#app1491/u  -0.747 0.524  -0.858 0.524  -0.969 0.524  -0.998 0.441  -0.998 0.330  -0.974 0.225  -0.924 0.125  -0.875 0.026  -0.825 -0.074  -0.775 -0.173  -0.747 -0.277  -0.747 -0.388  -0.747 -0.500  -0.747 -0.611  -0.747 -0.722  -0.747 -0.833  -0.747 -0.944  -0.673 -0.981  -0.562 -0.981  -0.451 -0.981  -0.340 -0.981  -0.234 -0.969  -0.155 -0.891  -0.077 -0.812  0.002 -0.734  0.080 -0.655  0.159 -0.577  0.237 -0.498  0.316 -0.420  0.395 -0.341  0.473 -0.262  0.552 -0.184  0.630 -0.105  0.709 -0.027  0.771 0.062  0.806 0.167  0.841 0.273  0.876 0.378  0.911 0.484  0.946 0.589  0.982 0.694  0.996 0.798  0.947 0.898  0.897 0.997  0.847 1.096  0.798 1.196  0.742 1.261  0.664 1.182  0.585 1.104  0.507 1.025
1c#apa#apa14#app1491/i  0.214 0.040  0.105 0.040  0.044 -0.008  0.044 -0.116  0.044 -0.225  0.044 -0.334  0.044 -0.443  0.044 -0.552  0.051 -0.660  0.085 -0.763  0.120 -0.866  0.154 -0.969  0.188 -1.073  0.214 -1.177  0.214 -1.286  0.214 -1.395  0.212 -1.475  0.196 -1.367  0.180 -1.259  0.163 -1.152  0.147 -1.044  0.131 -0.937  0.115 -0.829  0.099 -0.721  0.083 -0.614  0.066 -0.506  0.050 -0.398  0.034 -0.291  0.018 -0.183  0.002 -0.075  -0.014 0.032  -0.030 0.140  -0.047 0.248  -0.063 0.355  -0.079 0.463  -0.095 0.570  -0.111 0.678  -0.127 0.786  -0.143 0.893  -0.160 1.001  -0.176 1.109  -0.192 1.216  -0.208 1.324  -0.224 1.432  -0.240 1.539  -0.256 1.647  -0.273 1.755  -0.289 1.862  -0.296 1.848  -0.296 1.740
1c#apa#apa14#app1491/c  0.730 0.537  0.657 0.611  0.583 0.684  0.509 0.758  0.470 0.845  0.470 0.949  0.470 1.053  0.370 1.058  0.266 1.058  0.162 1.058  0.058 1.058  -0.046 1.058  -0.140 1.013  -0.233 0.967  -0.326 0.920  -0.419 0.874  -0.512 0.827  -0.583 0.762  -0.616 0.663  -0.649 0.565  -0.682 0.466  -0.715 0.367  -0.748 0.269  -0.781 0.170  -0.814 0.071  -0.806 -0.022  -0.749 -0.109  -0.691 -0.195  -0.633 -0.282  -0.576 -0.368  -0.518 -0.455  -0.460 -0.541  -0.402 -0.628  -0.345 -0.715  -0.270 -0.778  -0.171 -0.811  -0.072 -0.844  0.026 -0.877  0.125 -0.910  0.224 -0.943  0.322 -0.976  0.421 -1.009  0.523 -1.025  0.627 -1.025  0.731 -1.025  0.835 -1.025  0.939 -1.025  1.043 -1.025  1.147 -1.025  1.251 -1.025
1c#apa#apa14#app1491/k  -1.113 1.360  -1.113 1.176  -1.101 0.994  -1.018 0.830  -0.942 0.663  -0.942 0.479  -0.923 0.299  -0.841 0.134  -0.758 -0.031  -0.676 -0.196  -0.601 -0.363  -0.601 -0.547  -0.601 -0.732  -0.542 -0.857  -0.396 -0.794  -0.307 -0.632  -0.219 -0.470  -0.131 -0.308  -0.043 -0.146  0.046 0.016  0.134 0.178  0.222 0.340  0.311 0.502  0.399 0.663  0.487 0.825  0.576 0.987  0.445 1.019  0.308 0.905  0.178 0.774  0.047 0.644  -0.083 0.514  -0.214 0.383  -0.344 0.253  -0.431 0.104  -0.431 -0.080  -0.431 -0.265  -0.332 -0.378  -0.157 -0.437  0.018 -0.495  0.197 -0.535  0.379 -0.566  0.561 -0.596  0.743 -0.626  0.924 -0.657  1.106 -0.687  1.291 -0.687  1.475 -0.687  1.660 -0.687  1.827 -0.727  1.958 -0.857
1c#apa#apa14#app1491/z  -1.304 0.894  -1.188 0.894  -1.072 0.894  -0.956 0.894  -0.841 0.894  -0.725 0.894  -0.614 0.917  -0.511 0.969  -0.407 1.020  -0.300 1.055  -0.184 1.055  -0.068 1.055  0.048 1.055  0.158 1.041  0.240 0.959  0.305 0.871  0.305 0.755  0.305 0.639  0.278 0.531  0.214 0.435  0.150 0.339  0.085 0.242  0.021 0.146  -0.038 0.047  -0.090 -0.057  -0.142 -0.161  -0.193 -0.264  -0.245 -0.368  -0.297 -0.471  -0.355 -0.571  -0.437 -0.652  -0.499 -0.742  -0.499 -0.858  -0.402 -0.876  -0.286 -0.876  -0.170 -0.876  -0.054 -0.876  0.062 -0.876  0.177 -0.876  0.293 -0.876  0.409 -0.876  0.525 -0.876  0.641 -0.876  0.757 -0.876  0.870 -0.856  0.982 -0.828  1.094 -0.799  1.207 -0.771  1.319 -0.743  1.432 -0.715
1c#apa#apa14#app1491/e  -1.077 -0.214  -0.936 -0.214  -0.796 -0.209  -0.670 -0.146  -0.544 -0.083  -0.418 -0.020  -0.292 0.043  -0.187 0.135  -0.087 0.235  0.013 0.335  0.112 0.434  0.212 0.534  0.312 0.634  0.411 0.733  0.511 0.833  0.611 0.933  0.710 1.032  0.810 1.132  0.678 1.136  0.537 1.136  0.396 1.136  0.257 1.128  0.131 1.064  0.005 1.001  -0.121 0.938  -0.247 0.875  -0.320 0.759  -0.383 0.633  -0.446 0.507  -0.509 0.381  -0.537 0.246  -0.537 0.105  -0.537 -0.036  -0.537 -0.177  -0.479 -0.300  -0.401 -0.418  -0.323 -0.535  -0.245 -0.652  -0.167 -0.769  -0.089 -0.887  -0.010 -1.004  0.100 -1.089  0.217 -1.167  0.335 -1.245  0.452 -1.324  0.569 -1.402  0.686 -1.480  0.804 -1.558  0.943 -1.565  1.084 -1.565
1c#apa#apa14#app1491/p  -0.452 0.091  -0.572 -0.028  -0.573 -0.175  -0.520 -0.335  -0.466 -0.495  -0.452 -0.662  -0.419 -0.827  -0.378 -0.990  -0.337 -1.154  -0.296 -1.318  -0.222 -1.469  -0.146 -1.620  -0.138 -1.487  -0.138 -1.318  -0.145 -1.151  -0.221 -1.000  -0.296 -0.849  -0.329 -0.683  -0.362 -0.518  -0.395 -0.352  -0.428 -0.187  -0.452 -0.020  -0.452 0.149  -0.474 0.314  -0.528 0.474  -0.581 0.634  -0.574 0.790  -0.499 0.941  -0.452 1.099  -0.376 1.191  -0.207 1.191  -0.038 1.191  0.130 1.191  0.263 1.104  0.403 1.034  0.572 1.034  0.740 1.034  0.879 0.960  0.998 0.841  1.117 0.722  1.119 0.553  1.119 0.385  1.092 0.230  0.951 0.137  0.811 0.043  0.670 -0.051  0.510 -0.100  0.347 -0.141  0.183 -0.182  0.019 -0.223
1c#apa#apa14#app1491/h  -0.352 1.520  -0.454 1.622  -0.528 1.657  -0.528 1.513  -0.528 1.369  -0.528 1.225  -0.528 1.080  -0.528 0.936  -0.528 0.792  -0.528 0.648  -0.528 0.503  -0.528 0.359  -0.528 0.215  -0.528 0.071  -0.528 -0.073  -0.528 -0.218  -0.528 -0.362  -0.528 -0.506  -0.528 -0.650  -0.528 -0.795  -0.528 -0.939  -0.528 -1.083  -0.528 -1.016  -0.476 -0.894  -0.374 -0.792  -0.302 -0.669  -0.237 -0.540  -0.174 -0.410  -0.128 -0.273  -0.082 -0.137  -0.037 0.000  0.012 0.136  0.077 0.265  0.141 0.394  0.242 0.464  0.377 0.439  0.479 0.337  0.581 0.235  0.683 0.133  0.785 0.031  0.887 -0.071  0.989 -0.173  1.057 -0.288  1.057 -0.433  1.057 -0.577  1.057 -0.721  1.057 -0.865  1.057 -1.010  1.057 -1.154  1.057 -1.298
1c#apa#apa14#app1491/y  -1.263 0.935  -1.157 0.830  -1.073 0.708  -1.007 0.574  -0.928 0.449  -0.822 0.344  -0.717 0.238  -0.611 0.132  -0.505 0.027  -0.400 -0.079  -0.294 -0.185  -0.188 -0.290  -0.083 -0.396  0.023 -0.352  0.110 -0.236  0.150 -0.091  0.189 0.053  0.228 0.197  0.268 0.341  0.307 0.485  0.346 0.629  0.385 0.774  0.425 0.918  0.464 1.062  0.503 1.206  0.543 1.350  0.553 1.280  0.527 1.134  0.491 0.989  0.455 0.844  0.419 0.699  0.389 0.553  0.364 0.406  0.340 0.258  0.315 0.111  0.291 -0.036  0.266 -0.184  0.237 -0.330  0.201 -0.475  0.165 -0.620  0.128 -0.765  0.093 -0.910  0.064 -1.057  0.035 -1.204  0.006 -1.350  -0.024 -1.497  -0.052 -1.643  -0.052 -1.793  -0.052 -1.942  -0.052 -2.091
1c#apa#apa14#app1491/r  -0.663 0.462  -0.663 0.342  -0.663 0.222  -0.663 0.102  -0.663 -0.018  -0.663 -0.139  -0.663 -0.259  -0.663 -0.379  -0.655 -0.498  -0.617 -0.612  -0.579 -0.726  -0.541 -0.840  -0.503 -0.954  -0.465 -1.068  -0.427 -1.182  -0.389 -1.296  -0.351 -1.410  -0.297 -1.303  -0.244 -1.195  -0.190 -1.088  -0.136 -0.980  -0.082 -0.873  -0.039 -0.763  -0.039 -0.643  -0.039 -0.522  -0.039 -0.402  -0.039 -0.282  -0.039 -0.162  -0.039 -0.042  -0.039 0.078  -0.039 0.199  -0.039 0.319  -0.039 0.439  -0.039 0.559  -0.039 0.679  -0.017 0.786  0.091 0.839  0.198 0.893  0.306 0.947  0.413 1.001  0.521 1.054  0.634 1.087  0.754 1.087  0.874 1.087  0.984 1.043  1.091 0.989  1.199 0.936  1.306 0.882  1.414 0.828  1.521 0.774
