1c#tos#t1#t1002062/c  0.434 0.649  0.377 0.580  0.377 0.616  0.377 0.742  0.377 0.869  0.377 0.995  0.361 1.105  0.263 1.133  0.206 1.202  0.097 1.219  -0.023 1.181  -0.127 1.115  -0.237 1.055  -0.343 0.986  -0.439 0.908  -0.509 0.803  -0.570 0.693  -0.592 0.572  -0.656 0.472  -0.745 0.383  -0.763 0.264  -0.763 0.138  -0.763 0.012  -0.779 -0.113  -0.804 -0.237  -0.820 -0.361  -0.820 -0.487  -0.820 -0.613  -0.786 -0.731  -0.701 -0.819  -0.596 -0.889  -0.494 -0.948  -0.367 -0.948  -0.241 -0.948  -0.115 -0.948  0.011 -0.948  0.137 -0.948  0.263 -0.948  0.390 -0.948  0.479 -0.880  0.550 -0.775  0.639 -0.686  0.753 -0.640  0.875 -0.609  0.890 -0.495  0.899 -0.377  1.025 -0.377  1.151 -0.377  1.220 -0.320  1.346 -0.320
1c#tos#t1#t1002062/e  -0.945 0.076  -1.138 0.076  -1.282 -0.002  -1.400 -0.122  -1.391 -0.262  -1.208 -0.271  -1.015 -0.271  -0.823 -0.271  -0.650 -0.224  -0.459 -0.222  -0.266 -0.222  -0.115 -0.115  0.073 -0.077  0.158 0.076  0.278 0.176  0.429 0.269  0.472 0.423  0.543 0.545  0.543 0.737  0.494 0.918  0.394 1.011  0.245 1.055  0.115 1.117  -0.026 1.050  -0.196 0.974  -0.326 0.856  -0.461 0.734  -0.499 0.548  -0.598 0.417  -0.598 0.224  -0.598 0.032  -0.598 -0.161  -0.598 -0.353  -0.583 -0.541  -0.470 -0.696  -0.330 -0.827  -0.158 -0.913  0.034 -0.916  0.227 -0.916  0.419 -0.916  0.583 -0.823  0.701 -0.671  0.858 -0.571  1.026 -0.482  1.162 -0.346  1.323 -0.271  1.458 -0.163  1.586 -0.021  1.727 0.109  1.881 0.225
1c#tos#t1#t1002062/i  -0.115 0.684  -0.190 0.619  -0.090 0.560  0.033 0.533  0.074 0.433  0.051 0.298  -0.063 0.229  -0.152 0.149  -0.218 0.030  -0.309 -0.076  -0.408 -0.176  -0.454 -0.297  -0.499 -0.418  -0.599 -0.518  -0.662 -0.637  -0.681 -0.775  -0.681 -0.916  -0.681 -1.056  -0.681 -1.196  -0.643 -1.328  -0.545 -1.392  -0.405 -1.389  -0.269 -1.355  -0.143 -1.293  -0.066 -1.182  0.017 -1.072  0.128 -0.988  0.222 -0.887  0.263 -0.759  0.329 -0.646  0.345 -0.511  0.393 -0.381  0.413 -0.243  0.411 -0.102  0.408 0.038  0.405 0.178  0.402 0.318  0.400 0.459  0.397 0.599  0.394 0.739  0.391 0.880  0.389 1.020  0.386 1.160  0.383 1.301  0.380 1.441  0.378 1.581  0.319 1.665  0.192 1.632  0.277 1.575  0.376 1.476
1c#tos#t1#t1002062/j  -0.235 0.714  -0.418 0.704  -0.483 0.537  -0.473 0.354  -0.306 0.289  -0.117 0.289  0.049 0.343  0.221 0.360  0.306 0.511  0.368 0.536  0.262 0.453  0.164 0.341  0.070 0.178  -0.032 0.021  -0.093 -0.154  -0.163 -0.314  -0.270 -0.458  -0.300 -0.644  -0.412 -0.788  -0.442 -0.972  -0.483 -1.151  -0.582 -1.300  -0.696 -1.433  -0.860 -1.471  -0.944 -1.365  -0.944 -1.176  -0.919 -0.998  -0.856 -0.829  -0.752 -0.674  -0.630 -0.532  -0.470 -0.432  -0.292 -0.385  -0.139 -0.350  0.050 -0.350  0.235 -0.359  0.413 -0.385  0.581 -0.364  0.563 -0.212  0.595 -0.026  0.627 0.161  0.659 0.347  0.691 0.533  0.724 0.719  0.756 0.905  0.788 1.092  0.820 1.278  0.852 1.464  0.884 1.650  0.805 1.743  0.829 1.601
1c#tos#t1#t1002062/k  -0.194 1.682  -0.215 1.636  -0.159 1.443  -0.226 1.225  -0.331 0.996  -0.442 0.756  -0.539 0.510  -0.568 0.252  -0.732 0.046  -0.743 -0.214  -0.835 -0.451  -0.894 -0.707  -0.926 -0.967  -1.018 -1.194  -0.944 -1.145  -0.789 -0.931  -0.627 -0.722  -0.466 -0.512  -0.304 -0.303  -0.143 -0.093  0.019 0.117  0.180 0.326  0.342 0.536  0.503 0.745  0.665 0.955  0.859 1.081  0.791 0.837  0.629 0.629  0.435 0.515  0.250 0.360  0.072 0.239  -0.103 0.080  -0.292 -0.096  -0.484 -0.194  -0.606 -0.337  -0.688 -0.403  -0.519 -0.248  -0.305 -0.194  -0.059 -0.149  0.049 -0.332  0.174 -0.473  0.264 -0.681  0.406 -0.846  0.621 -0.927  0.858 -0.813  1.042 -0.652  1.211 -0.497  1.407 -0.401  1.601 -0.286  1.774 -0.194
1c#tos#t1#t1002062/l  -0.957 -0.789  -0.994 -0.931  -1.002 -0.972  -0.846 -0.899  -0.727 -0.786  -0.595 -0.686  -0.494 -0.591  -0.348 -0.521  -0.292 -0.359  -0.190 -0.217  -0.063 -0.096  0.014 0.061  0.084 0.224  0.218 0.306  0.284 0.450  0.384 0.577  0.431 0.749  0.504 0.897  0.541 1.069  0.577 1.239  0.577 1.418  0.566 1.585  0.388 1.585  0.248 1.518  0.132 1.406  0.029 1.279  -0.054 1.127  -0.119 0.961  -0.190 0.804  -0.248 0.637  -0.324 0.476  -0.337 0.300  -0.372 0.125  -0.373 -0.053  -0.373 -0.232  -0.373 -0.410  -0.373 -0.589  -0.373 -0.767  -0.340 -0.932  -0.291 -1.090  -0.124 -1.118  0.053 -1.110  0.212 -1.033  0.369 -0.948  0.519 -0.853  0.668 -0.754  0.790 -0.627  0.940 -0.570  1.082 -0.511  1.162 -0.351
1c#tos#t1#t1002062/m  -0.996 0.716  -1.180 0.645  -1.070 0.635  -0.881 0.687  -0.670 0.757  -0.438 0.757  -0.264 0.699  -0.351 0.502  -0.448 0.296  -0.644 0.174  -0.755 -0.008  -0.913 -0.157  -1.077 -0.312  -1.177 -0.458  -1.279 -0.544  -1.099 -0.453  -0.932 -0.341  -0.835 -0.142  -0.661 -0.046  -0.463 0.033  -0.332 0.188  -0.183 0.301  0.031 0.350  0.142 0.230  0.088 0.025  -0.035 -0.141  -0.183 -0.258  -0.386 -0.352  -0.498 -0.503  -0.466 -0.544  -0.346 -0.402  -0.218 -0.285  -0.063 -0.140  0.118 0.001  0.290 0.106  0.471 0.188  0.659 0.243  0.844 0.228  0.874 0.026  0.833 -0.201  0.713 -0.376  0.735 -0.585  0.963 -0.565  1.180 -0.483  1.369 -0.356  1.557 -0.252  1.745 -0.143  1.902 -0.016  2.073 0.086  2.256 0.188
1c#tos#t1#t1002062/o  0.454 0.809  0.307 0.760  0.215 0.809  0.059 0.809  -0.086 0.777  -0.216 0.690  -0.366 0.659  -0.483 0.579  -0.538 0.441  -0.652 0.399  -0.718 0.285  -0.788 0.167  -0.871 0.037  -0.959 -0.082  -0.959 -0.237  -0.959 -0.393  -0.959 -0.548  -0.959 -0.703  -0.936 -0.855  -0.897 -1.004  -0.777 -1.073  -0.674 -1.173  -0.546 -1.218  -0.391 -1.218  -0.235 -1.218  -0.083 -1.207  0.047 -1.121  0.162 -1.050  0.214 -0.905  0.324 -0.795  0.441 -0.694  0.571 -0.608  0.641 -0.470  0.679 -0.319  0.705 -0.169  0.815 -0.059  0.823 0.093  0.904 0.215  0.946 0.353  0.946 0.509  0.946 0.664  0.938 0.817  0.867 0.932  0.711 0.932  0.556 0.932  0.400 0.932  0.245 0.932  0.089 0.932  0.024 0.842  0.024 0.809
1c#tos#t1#t1002062/q  0.456 0.344  0.434 0.277  0.504 0.483  0.592 0.671  0.592 0.896  0.592 1.120  0.592 1.345  0.546 1.550  0.339 1.567  0.115 1.567  0.033 1.401  -0.111 1.234  -0.138 1.019  -0.178 0.811  -0.178 0.587  -0.159 0.370  0.055 0.344  0.278 0.347  0.428 0.488  0.457 0.707  0.462 0.633  0.320 0.502  0.253 0.344  0.061 0.266  -0.068 0.163  -0.152 0.014  -0.329 -0.123  -0.360 -0.335  -0.530 -0.479  -0.636 -0.665  -0.744 -0.855  -0.767 -1.070  -0.798 -1.289  -0.813 -1.511  -0.730 -1.668  -0.512 -1.694  -0.317 -1.605  -0.178 -1.480  -0.042 -1.312  0.037 -1.138  0.048 -0.916  0.093 -0.710  0.093 -0.486  0.003 -0.317  -0.149 -0.245  -0.346 -0.245  -0.121 -0.245  0.103 -0.245  0.325 -0.221  0.546 -0.199
1c#tos#t1#t1002062/s  0.881 1.046  0.934 0.897  0.967 0.745  1.010 0.627  0.924 0.619  0.924 0.779  0.858 0.874  0.746 0.926  0.666 1.063  0.547 1.140  0.400 1.183  0.254 1.217  0.093 1.217  -0.030 1.127  -0.136 1.031  -0.279 0.959  -0.344 0.831  -0.408 0.734  -0.408 0.574  -0.365 0.420  -0.356 0.263  -0.298 0.131  -0.145 0.100  -0.020 0.014  0.117 -0.061  0.241 -0.158  0.358 -0.201  0.408 -0.336  0.408 -0.497  0.408 -0.657  0.376 -0.813  0.323 -0.961  0.185 -1.017  0.151 -1.143  -0.000 -1.189  -0.118 -1.232  -0.279 -1.232  -0.322 -1.082  -0.408 -0.974  -0.508 -0.903  -0.537 -0.749  -0.537 -0.589  -0.580 -0.471  -0.599 -0.329  -0.718 -0.407  -0.806 -0.509  -0.924 -0.606  -0.995 -0.745  -1.095 -0.813  -0.967 -0.845
1c#tos#t1#t1002062/t  -0.581 0.430  -0.757 0.430  -0.897 0.351  -0.721 0.351  -0.562 0.390  -0.386 0.390  -0.210 0.390  -0.034 0.390  0.141 0.390  0.317 0.390  0.493 0.390  0.669 0.390  0.768 0.388  0.702 0.551  0.636 0.714  0.570 0.877  0.503 1.039  0.437 1.202  0.371 1.365  0.260 1.462  0.252 1.373  0.222 1.204  0.137 1.051  0.093 0.888  -0.015 0.768  -0.063 0.599  -0.139 0.441  -0.236 0.295  -0.342 0.154  -0.376 -0.017  -0.463 -0.168  -0.526 -0.332  -0.581 -0.495  -0.581 -0.670  -0.581 -0.846  -0.581 -1.022  -0.581 -1.198  -0.581 -1.374  -0.474 -1.468  -0.340 -1.514  -0.181 -1.464  -0.026 -1.395  0.099 -1.271  0.223 -1.146  0.364 -1.042  0.506 -0.942  0.590 -0.798  0.728 -0.715  0.807 -0.619  0.926 -0.562
