1c#app#app13#app1399/b  -0.297 -0.611  -0.297 -0.400  -0.266 -0.220  -0.166 -0.109  -0.105 0.041  -0.036 0.182  0.056 0.301  0.216 0.423  0.403 0.383  0.552 0.234  0.616 0.050  0.746 -0.107  0.746 -0.318  0.746 -0.528  0.746 -0.739  0.653 -0.928  0.558 -1.117  0.485 -1.310  0.395 -1.483  0.225 -1.547  0.120 -1.654  -0.075 -1.615  -0.166 -1.443  -0.217 -1.240  -0.284 -1.040  -0.297 -0.831  -0.297 -0.621  -0.297 -0.410  -0.287 -0.201  -0.193 -0.013  -0.166 0.192  -0.166 0.403  -0.166 0.613  -0.166 0.824  -0.130 1.026  -0.036 1.215  -0.036 1.426  -0.036 1.637  -0.036 1.847  -0.166 1.727  -0.206 1.525  -0.297 1.336  -0.297 1.125  -0.297 0.914  -0.297 0.704  -0.297 0.493  -0.297 0.282  -0.297 0.071  -0.297 -0.140  -0.297 -0.350
1c#app#app13#app1399/i  -0.067 0.363  0.057 0.363  0.071 0.363  -0.052 0.363  -0.067 0.254  -0.067 0.131  -0.067 0.007  -0.067 -0.117  -0.067 -0.240  -0.067 -0.364  -0.067 -0.488  -0.067 -0.611  -0.067 -0.735  -0.067 -0.859  -0.067 -0.982  -0.067 -1.106  -0.067 -1.230  -0.067 -1.354  0.008 -1.446  0.096 -1.534  0.122 -1.483  0.115 -1.360  0.109 -1.236  0.102 -1.113  0.096 -0.989  0.089 -0.866  0.083 -0.742  0.076 -0.619  0.070 -0.495  0.063 -0.372  0.057 -0.248  0.050 -0.125  0.044 -0.001  0.037 0.122  0.031 0.246  0.024 0.369  0.018 0.493  0.011 0.616  0.005 0.740  -0.002 0.863  -0.008 0.987  -0.015 1.110  -0.021 1.234  -0.028 1.357  -0.034 1.481  -0.041 1.604  -0.047 1.728  -0.054 1.851  -0.060 1.975  -0.067 2.098
1c#app#app13#app1399/g  -0.093 1.123  -0.093 1.262  -0.128 1.366  -0.268 1.366  -0.407 1.366  -0.458 1.277  -0.564 1.244  -0.580 1.120  -0.580 0.981  -0.580 0.842  -0.524 0.758  -0.385 0.758  -0.246 0.758  -0.106 0.758  -0.004 0.847  0.029 0.973  0.140 1.001  0.155 0.874  0.254 0.776  0.272 0.644  0.272 0.504  0.272 0.365  0.272 0.226  0.272 0.086  0.272 -0.053  0.316 -0.182  0.378 -0.307  0.394 -0.443  0.394 -0.582  0.394 -0.721  0.394 -0.861  0.394 -1.000  0.394 -1.140  0.394 -1.279  0.394 -1.418  0.272 -1.436  0.251 -1.554  0.123 -1.527  0.029 -1.427  0.012 -1.294  -0.087 -1.196  -0.097 -1.060  -0.159 -0.935  -0.215 -0.809  -0.215 -0.669  -0.215 -0.530  -0.215 -0.391  -0.215 -0.251  -0.215 -0.112  -0.093 -0.094
1c#app#app13#app1399/i  -0.210 1.571  -0.138 1.571  -0.067 1.571  -0.046 1.520  -0.046 1.448  -0.046 1.377  -0.046 1.306  -0.046 1.234  -0.046 1.163  -0.046 1.091  -0.046 1.020  -0.046 0.948  -0.046 0.877  -0.046 0.806  -0.046 0.734  -0.046 0.663  -0.046 0.591  -0.046 0.520  -0.046 0.448  -0.046 0.377  -0.046 0.306  -0.046 0.234  -0.046 0.163  -0.046 0.091  -0.046 0.020  -0.046 -0.052  -0.046 -0.123  -0.046 -0.194  -0.046 -0.266  -0.046 -0.337  -0.046 -0.409  -0.046 -0.480  -0.046 -0.552  0.003 -0.603  0.053 -0.653  0.104 -0.704  0.117 -0.770  0.117 -0.841  0.117 -0.913  0.117 -0.984  0.117 -1.055  0.117 -1.127  0.117 -1.198  0.117 -1.270  0.117 -1.341  0.117 -1.413  0.117 -1.484  0.117 -1.555  0.117 -1.627  0.117 -1.698
1c#app#app13#app1399/n  -0.474 -0.147  -0.474 -0.282  -0.474 -0.417  -0.474 -0.551  -0.474 -0.686  -0.474 -0.820  -0.474 -0.955  -0.474 -1.089  -0.474 -1.224  -0.600 -1.232  -0.734 -1.232  -0.745 -1.109  -0.745 -0.974  -0.745 -0.839  -0.745 -0.705  -0.745 -0.570  -0.745 -0.436  -0.692 -0.314  -0.632 -0.193  -0.572 -0.073  -0.512 0.047  -0.474 0.173  -0.474 0.308  -0.440 0.428  -0.345 0.524  -0.250 0.619  -0.202 0.733  -0.202 0.868  -0.156 0.984  -0.061 1.079  0.034 1.174  0.154 1.209  0.288 1.209  0.399 1.150  0.494 1.055  0.589 0.960  0.684 0.865  0.779 0.770  0.875 0.675  0.883 0.543  0.883 0.409  0.883 0.274  0.883 0.140  0.883 0.005  0.883 -0.129  0.965 -0.230  1.060 -0.325  1.154 -0.421  1.154 -0.555  1.154 -0.690
1c#app#app13#app1399/k  -0.629 2.257  -0.629 2.043  -0.629 1.829  -0.524 1.658  -0.382 1.503  -0.382 1.289  -0.382 1.075  -0.382 0.861  -0.341 0.654  -0.274 0.451  -0.206 0.248  -0.138 0.045  -0.135 -0.169  -0.135 -0.383  -0.135 -0.596  -0.135 -0.810  -0.135 -1.024  -0.135 -1.238  -0.132 -1.451  0.020 -1.602  0.120 -1.612  0.139 -1.399  0.158 -1.186  0.178 -0.973  0.197 -0.760  0.217 -0.547  0.236 -0.334  0.255 -0.121  0.275 0.092  0.294 0.305  0.313 0.519  0.333 0.732  0.352 0.945  0.359 0.885  0.359 0.671  0.359 0.457  0.322 0.281  0.109 0.278  -0.042 0.126  -0.135 -0.049  -0.185 -0.213  -0.382 -0.230  -0.382 -0.444  -0.184 -0.460  0.030 -0.460  0.244 -0.460  0.359 -0.559  0.425 -0.707  0.639 -0.707  0.853 -0.707
1c#app#app13#app1399/y  -0.377 1.111  -0.251 1.111  -0.356 1.111  -0.377 1.005  -0.309 0.907  -0.241 0.809  -0.241 0.683  -0.232 0.566  -0.106 0.566  -0.104 0.442  -0.024 0.349  0.032 0.246  0.069 0.158  0.179 0.183  0.228 0.299  0.278 0.414  0.327 0.530  0.377 0.646  0.427 0.762  0.476 0.877  0.526 0.993  0.575 1.109  0.576 0.986  0.495 0.894  0.440 0.791  0.414 0.676  0.325 0.587  0.261 0.480  0.204 0.367  0.168 0.250  0.153 0.127  0.096 0.015  0.040 -0.098  0.032 -0.222  0.032 -0.348  -0.007 -0.465  -0.064 -0.577  -0.120 -0.690  -0.176 -0.803  -0.233 -0.915  -0.267 -1.036  -0.297 -1.159  -0.328 -1.281  -0.358 -1.403  -0.377 -1.527  -0.377 -1.653  -0.377 -1.779  -0.377 -1.904  -0.377 -2.030  -0.377 -2.156
1c#app#app13#app1399/d  0.221 -0.706  0.221 -0.516  0.154 -0.354  -0.004 -0.278  -0.193 -0.278  -0.331 -0.401  -0.465 -0.535  -0.493 -0.713  -0.493 -0.903  -0.493 -1.092  -0.493 -1.282  -0.440 -1.419  -0.251 -1.419  -0.104 -1.315  0.030 -1.181  0.164 -1.047  0.221 -0.881  0.221 -0.692  0.263 -0.520  0.363 -0.372  0.363 -0.182  0.363 0.007  0.363 0.197  0.363 0.386  0.363 0.576  0.363 0.765  0.323 0.945  0.238 1.115  0.217 1.299  0.132 1.469  0.078 1.645  -0.003 1.801  -0.167 1.863  -0.207 1.713  -0.207 1.524  -0.207 1.334  -0.207 1.145  -0.207 0.955  -0.207 0.765  -0.207 0.576  -0.207 0.386  -0.164 0.207  -0.080 0.038  -0.065 -0.148  -0.038 -0.332  0.047 -0.501  0.078 -0.683  0.196 -0.824  0.229 -1.000  0.363 -1.134
1c#app#app13#app1399/e  -0.286 -0.479  -0.180 -0.373  -0.074 -0.267  0.044 -0.188  0.193 -0.188  0.296 -0.141  0.296 0.009  0.336 0.142  0.442 0.248  0.548 0.354  0.588 0.488  0.588 0.638  0.588 0.788  0.588 0.938  0.588 1.088  0.588 1.238  0.467 1.267  0.317 1.267  0.167 1.267  0.017 1.267  -0.133 1.267  -0.283 1.267  -0.286 1.120  -0.286 0.970  -0.286 0.820  -0.301 0.685  -0.450 0.685  -0.577 0.662  -0.577 0.512  -0.577 0.362  -0.577 0.212  -0.577 0.062  -0.577 -0.088  -0.542 -0.224  -0.436 -0.330  -0.330 -0.436  -0.286 -0.568  -0.286 -0.718  -0.286 -0.868  -0.286 -1.018  -0.180 -1.062  -0.030 -1.062  0.005 -1.176  0.005 -1.326  0.129 -1.353  0.279 -1.353  0.296 -1.485  0.296 -1.635  0.438 -1.644  0.588 -1.644
1c#app#app13#app1399/v  -0.837 0.263  -0.837 0.154  -0.837 0.044  -0.837 -0.065  -0.837 -0.175  -0.837 -0.285  -0.837 -0.394  -0.837 -0.504  -0.787 -0.563  -0.677 -0.563  -0.568 -0.563  -0.458 -0.563  -0.424 -0.639  -0.424 -0.748  -0.424 -0.858  -0.424 -0.967  -0.323 -0.976  -0.214 -0.976  -0.104 -0.976  0.006 -0.976  0.115 -0.976  0.225 -0.976  0.334 -0.976  0.402 -0.934  0.402 -0.824  0.402 -0.714  0.402 -0.605  0.402 -0.495  0.402 -0.386  0.402 -0.276  0.402 -0.167  0.402 -0.057  0.402 0.053  0.402 0.162  0.402 0.272  0.402 0.381  0.402 0.491  0.402 0.600  0.402 0.710  0.402 0.820  0.402 0.929  0.402 1.039  0.402 1.148  0.402 1.258  0.402 1.368  0.402 1.477  0.402 1.587  0.402 1.696  0.402 1.806  0.402 1.915
1c#app#app13#app1399/i  -0.092 -0.130  -0.092 -0.229  -0.068 -0.318  0.002 -0.388  0.071 -0.458  0.073 -0.556  0.073 -0.655  0.073 -0.753  0.073 -0.852  0.073 -0.951  0.073 -1.049  0.073 -1.148  0.073 -1.247  0.073 -1.346  0.073 -1.444  0.068 -1.347  0.063 -1.248  0.058 -1.149  0.053 -1.051  0.048 -0.952  0.043 -0.854  0.038 -0.755  0.033 -0.657  0.028 -0.558  0.023 -0.459  0.019 -0.361  0.014 -0.262  0.009 -0.164  0.004 -0.065  -0.001 0.034  -0.006 0.132  -0.011 0.231  -0.016 0.329  -0.021 0.428  -0.026 0.526  -0.031 0.625  -0.036 0.724  -0.041 0.822  -0.046 0.921  -0.051 1.019  -0.055 1.118  -0.060 1.217  -0.065 1.315  -0.070 1.414  -0.075 1.512  -0.080 1.611  -0.085 1.709  -0.090 1.808  -0.092 1.907  -0.092 2.005
