1c#apa#apa09#app0988/y  -0.505 1.313  -0.606 1.212  -0.661 1.092  -0.661 0.948  -0.661 0.805  -0.661 0.662  -0.661 0.519  -0.660 0.377  -0.532 0.441  -0.404 0.505  -0.291 0.590  -0.190 0.691  -0.089 0.792  0.012 0.894  0.113 0.995  0.214 1.096  0.332 1.157  0.451 1.118  0.515 0.990  0.579 0.862  0.612 0.723  0.640 0.583  0.668 0.443  0.696 0.302  0.724 0.162  0.744 0.021  0.744 -0.122  0.744 -0.265  0.742 -0.408  0.697 -0.544  0.652 -0.679  0.606 -0.815  0.521 -0.922  0.406 -1.008  0.292 -1.094  0.177 -1.179  0.063 -1.265  -0.055 -1.340  -0.198 -1.340  -0.341 -1.340  -0.445 -1.244  -0.531 -1.132  -0.595 -1.004  -0.659 -0.876  -0.599 -0.748  -0.535 -0.620  -0.471 -0.492  -0.407 -0.364  -0.336 -0.247  -0.193 -0.247
1c#apa#apa09#app0988/o  -0.313 0.269  -0.415 0.371  -0.517 0.472  -0.618 0.574  -0.758 0.585  -0.902 0.585  -0.946 0.485  -0.946 0.342  -0.946 0.198  -0.946 0.054  -0.946 -0.090  -0.946 -0.234  -0.939 -0.377  -0.875 -0.505  -0.811 -0.634  -0.746 -0.763  -0.682 -0.891  -0.603 -0.997  -0.459 -0.997  -0.315 -0.997  -0.171 -0.997  -0.027 -0.997  0.117 -0.997  0.260 -0.997  0.380 -0.937  0.481 -0.835  0.583 -0.733  0.685 -0.631  0.787 -0.530  0.888 -0.428  0.976 -0.316  1.041 -0.187  1.105 -0.059  1.169 0.070  1.234 0.199  1.222 0.315  1.120 0.417  1.019 0.519  0.905 0.601  0.768 0.647  0.632 0.692  0.495 0.738  0.359 0.783  0.222 0.829  0.086 0.874  -0.054 0.902  -0.198 0.902  -0.342 0.902  -0.485 0.902  -0.629 0.902
1c#apa#apa09#app0988/u  -0.417 0.343  -0.500 0.427  -0.584 0.511  -0.667 0.594  -0.751 0.625  -0.835 0.541  -0.918 0.458  -1.002 0.374  -1.032 0.268  -1.032 0.150  -1.032 0.032  -1.032 -0.086  -1.032 -0.205  -0.997 -0.308  -0.913 -0.392  -0.829 -0.475  -0.746 -0.559  -0.662 -0.642  -0.579 -0.726  -0.495 -0.810  -0.409 -0.888  -0.291 -0.888  -0.173 -0.888  -0.054 -0.888  0.064 -0.888  0.182 -0.888  0.300 -0.888  0.419 -0.888  0.516 -0.860  0.554 -0.748  0.591 -0.635  0.629 -0.523  0.666 -0.411  0.703 -0.299  0.741 -0.187  0.778 -0.074  0.815 0.038  0.815 0.156  0.815 0.274  0.815 0.393  0.815 0.511  0.815 0.629  0.815 0.747  0.815 0.865  0.815 0.984  0.815 1.102  0.815 1.220  0.743 1.267  0.625 1.267  0.507 1.267
1c#apa#apa09#app0988/k  -0.276 1.534  -0.276 1.730  -0.276 1.925  -0.276 1.780  -0.276 1.585  -0.276 1.389  -0.276 1.194  -0.276 0.998  -0.276 0.803  -0.276 0.608  -0.276 0.412  -0.276 0.217  -0.276 0.022  -0.276 -0.174  -0.286 -0.368  -0.348 -0.553  -0.410 -0.738  -0.472 -0.924  -0.640 -0.961  -0.692 -0.817  -0.692 -0.622  -0.626 -0.446  -0.518 -0.284  -0.409 -0.121  -0.301 0.042  -0.276 0.229  -0.145 0.330  0.040 0.392  0.225 0.454  0.414 0.495  0.610 0.495  0.805 0.495  0.971 0.466  0.964 0.272  0.877 0.097  0.789 -0.077  0.641 -0.191  0.466 -0.278  0.291 -0.365  0.116 -0.453  -0.059 -0.540  -0.199 -0.675  -0.215 -0.814  -0.077 -0.952  0.061 -1.090  0.219 -1.195  0.405 -1.257  0.590 -1.319  0.776 -1.377  0.971 -1.377
1c#apa#apa09#app0988/n  -0.333 0.477  -0.443 0.367  -0.552 0.258  -0.643 0.134  -0.712 -0.004  -0.782 -0.143  -0.851 -0.282  -0.888 -0.428  -0.888 -0.583  -0.888 -0.738  -0.888 -0.893  -0.986 -1.008  -1.096 -1.117  -1.125 -1.147  -1.015 -1.037  -0.905 -0.927  -0.796 -0.818  -0.686 -0.708  -0.584 -0.592  -0.498 -0.463  -0.412 -0.334  -0.326 -0.205  -0.240 -0.076  -0.154 0.053  -0.068 0.182  0.039 0.294  0.148 0.404  0.258 0.514  0.368 0.623  0.477 0.733  0.587 0.843  0.697 0.952  0.806 1.062  0.916 1.172  1.026 1.281  1.025 1.197  0.988 1.046  0.950 0.896  0.913 0.745  0.875 0.595  0.837 0.445  0.800 0.294  0.762 0.144  0.725 -0.007  0.687 -0.157  0.649 -0.308  0.612 -0.458  0.574 -0.609  0.537 -0.759  0.499 -0.909
1c#apa#apa09#app0988/o  0.939 0.435  0.781 0.475  0.623 0.514  0.465 0.554  0.306 0.593  0.148 0.633  -0.010 0.672  -0.173 0.676  -0.315 0.625  -0.430 0.510  -0.545 0.394  -0.660 0.279  -0.776 0.164  -0.891 0.049  -0.986 -0.075  -0.986 -0.238  -0.986 -0.401  -0.986 -0.564  -0.986 -0.727  -0.986 -0.890  -0.946 -1.029  -0.800 -1.102  -0.654 -1.175  -0.508 -1.248  -0.354 -1.199  -0.199 -1.148  -0.045 -1.096  0.110 -1.045  0.262 -0.986  0.408 -0.913  0.554 -0.841  0.699 -0.767  0.738 -0.609  0.778 -0.451  0.817 -0.293  0.857 -0.134  0.896 0.024  0.936 0.182  0.856 0.319  0.765 0.455  0.675 0.591  0.584 0.726  0.494 0.862  0.370 0.960  0.224 1.033  0.079 1.106  -0.067 1.135  -0.213 1.062  -0.359 0.989  -0.505 0.916
1c#apa#apa09#app0988/w  -0.648 0.564  -0.730 0.646  -0.812 0.728  -0.866 0.635  -0.917 0.531  -0.969 0.428  -1.042 0.339  -1.124 0.257  -1.154 0.154  -1.154 0.038  -1.154 -0.078  -1.154 -0.193  -1.140 -0.306  -1.088 -0.410  -1.036 -0.513  -0.984 -0.615  -0.868 -0.615  -0.759 -0.586  -0.655 -0.535  -0.552 -0.483  -0.448 -0.431  -0.345 -0.379  -0.241 -0.327  -0.139 -0.274  -0.057 -0.192  0.025 -0.110  -0.090 -0.110  -0.080 -0.110  0.034 -0.114  0.138 -0.166  0.242 -0.218  0.345 -0.270  0.459 -0.278  0.575 -0.278  0.691 -0.278  0.806 -0.278  0.916 -0.254  1.020 -0.202  1.124 -0.151  1.223 -0.092  1.305 -0.011  1.374 0.077  1.374 0.192  1.374 0.308  1.358 0.419  1.294 0.516  1.229 0.612  1.165 0.708  1.101 0.805  1.037 0.901
1c#apa#apa09#app0988/w  -0.706 0.795  -0.793 0.882  -0.888 0.947  -1.010 0.947  -1.049 0.830  -1.088 0.714  -1.127 0.598  -1.162 0.481  -1.162 0.359  -1.162 0.236  -1.162 0.114  -1.162 -0.009  -1.152 -0.127  -1.065 -0.214  -0.966 -0.269  -0.844 -0.264  -0.728 -0.225  -0.612 -0.186  -0.495 -0.148  -0.385 -0.099  -0.298 -0.013  -0.212 0.074  -0.125 0.160  -0.014 0.187  0.054 0.132  0.054 0.010  0.054 -0.113  0.107 -0.223  0.161 -0.332  0.205 -0.444  0.205 -0.567  0.316 -0.609  0.432 -0.648  0.549 -0.687  0.665 -0.725  0.787 -0.725  0.910 -0.725  1.013 -0.677  1.099 -0.590  1.141 -0.478  1.171 -0.359  1.200 -0.241  1.230 -0.122  1.260 -0.003  1.243 0.114  1.204 0.230  1.165 0.347  1.127 0.463  1.052 0.557  0.965 0.643
1c#apa#apa09#app0988/h  -0.215 1.702  -0.142 1.775  -0.068 1.848  -0.068 1.746  -0.068 1.642  -0.068 1.539  -0.068 1.435  -0.068 1.332  -0.068 1.229  -0.068 1.125  -0.068 1.022  -0.068 0.919  -0.068 0.815  -0.068 0.712  -0.068 0.608  -0.068 0.505  -0.068 0.402  -0.095 0.303  -0.128 0.205  -0.161 0.107  -0.193 0.008  -0.226 -0.090  -0.259 -0.188  -0.291 -0.286  -0.324 -0.384  -0.357 -0.482  -0.361 -0.585  -0.361 -0.688  -0.361 -0.791  -0.361 -0.895  -0.316 -0.979  -0.243 -1.052  -0.215 -1.017  -0.198 -0.923  -0.112 -0.865  -0.026 -0.808  0.060 -0.751  0.146 -0.693  0.231 -0.635  0.304 -0.561  0.380 -0.495  0.484 -0.495  0.518 -0.564  0.518 -0.667  0.518 -0.771  0.518 -0.874  0.518 -0.978  0.518 -1.081  0.591 -1.154  0.664 -1.227
1c#apa#apa09#app0988/a  0.912 0.533  0.912 0.672  0.911 0.810  0.773 0.810  0.634 0.810  0.495 0.810  0.357 0.810  0.218 0.810  0.079 0.809  -0.055 0.775  -0.190 0.741  -0.324 0.708  -0.459 0.674  -0.594 0.640  -0.728 0.607  -0.863 0.573  -0.997 0.540  -1.023 0.421  -1.023 0.282  -1.074 0.155  -1.136 0.031  -1.198 -0.093  -1.260 -0.217  -1.264 -0.332  -1.166 -0.430  -1.068 -0.528  -0.948 -0.573  -0.809 -0.573  -0.670 -0.573  -0.531 -0.573  -0.397 -0.548  -0.265 -0.504  -0.133 -0.460  -0.002 -0.417  0.130 -0.373  0.261 -0.329  0.391 -0.280  0.515 -0.218  0.639 -0.156  0.763 -0.094  0.887 -0.032  0.912 -0.130  0.912 -0.269  0.912 -0.408  0.912 -0.546  0.992 -0.652  1.090 -0.750  1.188 -0.848  1.189 -0.987  1.189 -1.126
1c#apa#apa09#app0988/t  0.272 1.343  0.272 1.494  0.272 1.645  0.272 1.796  0.210 1.684  0.143 1.549  0.065 1.420  -0.019 1.294  -0.102 1.169  -0.186 1.043  -0.237 0.901  -0.285 0.758  -0.333 0.615  -0.380 0.471  -0.428 0.328  -0.476 0.185  -0.504 0.038  -0.504 -0.113  -0.504 -0.264  -0.504 -0.415  -0.504 -0.566  -0.504 -0.717  -0.482 -0.862  -0.399 -0.987  -0.315 -1.113  -0.231 -1.239  -0.110 -1.295  0.041 -1.295  0.192 -1.295  0.322 -1.246  0.429 -1.139  0.536 -1.032  0.643 -0.925  0.749 -0.818  0.856 -0.712  0.893 -0.576  0.807 -0.481  0.668 -0.420  0.530 -0.358  0.392 -0.297  0.254 -0.236  0.116 -0.174  -0.022 -0.113  -0.160 -0.052  -0.298 0.010  -0.436 0.071  -0.449 0.156  -0.340 0.256  -0.189 0.256  -0.038 0.256
