2#ceb#Bouzy/F  0.435 0.472  0.457 0.425  0.401 0.255  0.340 0.086  0.277 -0.082  0.212 -0.249  0.146 -0.416  0.072 -0.580  -0.011 -0.739  -0.104 -0.892  -0.210 -1.037  -0.337 -1.163  -0.488 -1.259  -0.662 -1.297  -0.835 -1.261  -0.971 -1.146  -1.058 -0.991  -1.105 -0.818  -1.119 -0.640  -1.053 -0.481  -0.894 -0.402  -0.726 -0.338  -0.549 -0.320  -0.369 -0.313  -0.190 -0.306  -0.011 -0.297  0.168 -0.291  0.347 -0.275  0.523 -0.243  0.518 -0.195  0.353 -0.131  0.200 -0.036  0.048 0.058  -0.105 0.152  -0.258 0.246  -0.411 0.341  -0.444 0.485  -0.374 0.650  -0.256 0.785  -0.120 0.902  0.029 1.001  0.194 1.070  0.367 1.114  0.545 1.141  0.724 1.154  0.903 1.157  1.083 1.157  1.262 1.162  1.440 1.177  1.616 1.210
2#ceb#Bouzy/o  -0.245 0.417  -0.306 0.324  -0.362 0.199  -0.428 0.079  -0.499 -0.037  -0.572 -0.153  -0.645 -0.268  -0.715 -0.386  -0.783 -0.504  -0.843 -0.627  -0.896 -0.753  -0.918 -0.887  -0.928 -1.024  -0.861 -1.142  -0.755 -1.228  -0.622 -1.246  -0.487 -1.228  -0.355 -1.195  -0.231 -1.139  -0.110 -1.076  0.002 -0.997  0.111 -0.915  0.203 -0.814  0.280 -0.702  0.355 -0.587  0.427 -0.471  0.488 -0.349  0.549 -0.226  0.607 -0.103  0.648 0.028  0.689 0.158  0.728 0.289  0.751 0.424  0.773 0.559  0.796 0.694  0.800 0.830  0.805 0.967  0.782 1.099  0.734 1.227  0.625 1.300  0.495 1.330  0.373 1.278  0.256 1.208  0.151 1.121  0.049 1.030  -0.044 0.930  -0.127 0.822  -0.205 0.711  -0.248 0.581  -0.292 0.451
2#ceb#Bouzy/u  -0.494 1.057  -0.599 0.931  -0.691 0.794  -0.780 0.656  -0.868 0.517  -0.955 0.377  -1.035 0.233  -1.108 0.086  -1.167 -0.068  -1.217 -0.225  -1.248 -0.386  -1.253 -0.548  -1.211 -0.707  -1.106 -0.834  -0.960 -0.902  -0.801 -0.935  -0.636 -0.935  -0.479 -0.895  -0.326 -0.835  -0.186 -0.749  -0.051 -0.655  0.072 -0.547  0.185 -0.427  0.292 -0.303  0.384 -0.166  0.475 -0.029  0.557 0.114  0.637 0.258  0.715 0.403  0.787 0.552  0.858 0.700  0.917 0.854  0.973 1.009  1.026 1.164  0.986 1.108  0.927 0.954  0.865 0.801  0.799 0.650  0.733 0.500  0.668 0.348  0.603 0.197  0.535 0.047  0.466 -0.103  0.402 -0.254  0.342 -0.408  0.293 -0.565  0.245 -0.722  0.337 -0.787  0.480 -0.713  0.612 -0.614
2#ceb#Bouzy/r  -0.241 0.367  -0.274 0.263  -0.307 0.159  -0.340 0.055  -0.373 -0.049  -0.405 -0.153  -0.437 -0.257  -0.469 -0.361  -0.501 -0.465  -0.531 -0.570  -0.560 -0.675  -0.588 -0.780  -0.618 -0.884  -0.649 -0.989  -0.683 -1.092  -0.723 -1.193  -0.752 -1.236  -0.725 -1.130  -0.689 -1.027  -0.652 -0.925  -0.609 -0.825  -0.566 -0.725  -0.522 -0.625  -0.472 -0.529  -0.421 -0.432  -0.371 -0.335  -0.317 -0.241  -0.256 -0.151  -0.194 -0.062  -0.132 0.028  -0.070 0.118  -0.001 0.202  0.070 0.284  0.141 0.367  0.212 0.450  0.285 0.530  0.370 0.598  0.455 0.667  0.539 0.735  0.624 0.804  0.719 0.857  0.815 0.909  0.911 0.961  1.011 1.002  1.116 1.030  1.221 1.057  1.330 1.066  1.438 1.070  1.547 1.059  1.642 1.072
2#ceb#Bouzy/p  -0.069 0.729  -0.079 0.553  -0.125 0.380  -0.180 0.210  -0.244 0.043  -0.312 -0.122  -0.385 -0.285  -0.459 -0.448  -0.533 -0.611  -0.607 -0.773  -0.681 -0.936  -0.755 -1.099  -0.829 -1.261  -0.909 -1.421  -0.994 -1.498  -0.937 -1.329  -0.877 -1.161  -0.815 -0.993  -0.747 -0.828  -0.678 -0.663  -0.605 -0.500  -0.530 -0.337  -0.454 -0.176  -0.373 -0.016  -0.292 0.143  -0.206 0.299  -0.107 0.448  -0.009 0.597  0.096 0.742  0.206 0.883  0.318 1.022  0.455 1.137  0.600 1.238  0.768 1.298  0.945 1.272  1.072 1.148  1.133 0.980  1.142 0.801  1.115 0.626  1.068 0.454  1.001 0.288  0.921 0.129  0.811 -0.011  0.685 -0.137  0.540 -0.241  0.376 -0.306  0.200 -0.300  0.101 -0.166  0.102 0.010  0.140 0.185
2#ceb#Bouzy/i  -0.132 -0.099  -0.176 -0.189  -0.234 -0.270  -0.283 -0.357  -0.332 -0.444  -0.381 -0.532  -0.422 -0.623  -0.459 -0.716  -0.493 -0.810  -0.524 -0.904  -0.550 -1.001  -0.573 -1.099  -0.581 -1.198  -0.579 -1.297  -0.504 -1.305  -0.437 -1.233  -0.378 -1.152  -0.329 -1.065  -0.280 -0.978  -0.234 -0.889  -0.190 -0.799  -0.147 -0.709  -0.103 -0.619  -0.073 -0.524  -0.043 -0.428  -0.013 -0.333  0.017 -0.237  0.047 -0.142  0.077 -0.047  0.107 0.049  0.137 0.144  0.167 0.240  0.198 0.335  0.228 0.430  0.258 0.526  0.288 0.621  0.318 0.717  0.348 0.812  0.378 0.907  0.408 1.003  0.438 1.098  0.468 1.194  0.498 1.289  0.528 1.384  0.558 1.480  0.588 1.575  0.618 1.671  0.588 1.607  0.589 1.507  0.602 1.408
2#ceb#Bouzy/n  -0.701 0.290  -0.765 0.141  -0.825 -0.009  -0.876 -0.163  -0.920 -0.319  -0.954 -0.477  -0.997 -0.633  -1.045 -0.788  -1.099 -0.941  -1.119 -0.941  -1.044 -0.797  -0.972 -0.653  -0.902 -0.506  -0.822 -0.366  -0.742 -0.225  -0.659 -0.086  -0.571 0.051  -0.484 0.187  -0.392 0.321  -0.292 0.448  -0.191 0.574  -0.088 0.700  0.026 0.814  0.141 0.929  0.261 1.036  0.395 1.127  0.532 1.213  0.690 1.249  0.845 1.239  0.954 1.128  0.998 0.973  1.007 0.812  0.965 0.656  0.915 0.502  0.858 0.350  0.801 0.199  0.739 0.049  0.674 -0.099  0.609 -0.248  0.541 -0.395  0.474 -0.542  0.411 -0.692  0.349 -0.841  0.276 -0.986  0.258 -1.038  0.351 -0.906  0.451 -0.778  0.549 -0.649  0.647 -0.520  0.745 -0.391
2#ceb#Bouzy/k  0.077 1.329  0.008 1.120  -0.058 0.911  -0.119 0.700  -0.183 0.490  -0.254 0.282  -0.325 0.074  -0.398 -0.133  -0.471 -0.341  -0.557 -0.543  -0.645 -0.744  -0.742 -0.941  -0.844 -1.136  -0.958 -1.324  -1.104 -1.487  -1.061 -1.313  -0.946 -1.125  -0.831 -0.938  -0.707 -0.757  -0.583 -0.575  -0.448 -0.403  -0.300 -0.240  -0.152 -0.077  -0.005 0.085  0.143 0.248  0.291 0.411  0.438 0.574  0.586 0.736  0.734 0.899  0.881 1.062  1.029 1.225  1.177 1.387  1.131 1.293  1.010 1.110  0.880 0.933  0.738 0.765  0.593 0.600  0.444 0.439  0.292 0.280  0.133 0.128  -0.026 -0.023  -0.185 -0.175  -0.341 -0.329  -0.294 -0.430  -0.074 -0.430  0.140 -0.480  0.335 -0.580  0.499 -0.723  0.583 -0.922  0.469 -0.911
2#ceb#Bouzy/g  0.405 0.682  0.547 0.771  0.628 0.920  0.654 1.088  0.629 1.255  0.507 1.356  0.347 1.313  0.205 1.219  0.074 1.109  -0.049 0.990  -0.159 0.859  -0.255 0.718  -0.310 0.558  -0.263 0.406  -0.103 0.363  0.062 0.399  0.217 0.470  0.355 0.570  0.473 0.693  0.577 0.829  0.602 0.862  0.522 0.711  0.453 0.555  0.392 0.395  0.331 0.235  0.287 0.070  0.249 -0.096  0.211 -0.263  0.175 -0.430  0.142 -0.598  0.107 -0.766  0.070 -0.933  0.024 -1.097  -0.029 -1.260  -0.106 -1.412  -0.207 -1.549  -0.344 -1.648  -0.507 -1.664  -0.624 -1.543  -0.689 -1.387  -0.715 -1.218  -0.712 -1.048  -0.699 -0.877  -0.669 -0.710  -0.627 -0.544  -0.581 -0.379  -0.516 -0.221  -0.440 -0.068  -0.360 0.083  -0.280 0.234
2#ceb#Bouzy/r  -0.007 0.431  -0.046 0.321  -0.084 0.210  -0.119 0.099  -0.155 -0.013  -0.190 -0.124  -0.226 -0.235  -0.262 -0.346  -0.297 -0.458  -0.333 -0.569  -0.371 -0.679  -0.412 -0.789  -0.453 -0.898  -0.488 -1.010  -0.522 -1.121  -0.568 -1.228  -0.618 -1.334  -0.653 -1.355  -0.633 -1.241  -0.603 -1.128  -0.575 -1.015  -0.546 -0.901  -0.513 -0.789  -0.476 -0.678  -0.439 -0.568  -0.400 -0.458  -0.355 -0.350  -0.310 -0.242  -0.265 -0.134  -0.218 -0.027  -0.166 0.077  -0.114 0.182  -0.061 0.286  -0.003 0.387  0.064 0.483  0.131 0.579  0.198 0.674  0.276 0.761  0.358 0.844  0.441 0.926  0.530 1.000  0.628 1.065  0.725 1.130  0.833 1.173  0.943 1.213  1.058 1.232  1.173 1.236  1.282 1.196  1.381 1.134  1.463 1.052
2#ceb#Bouzy/a  0.005 -0.120  0.127 0.039  0.235 0.207  0.324 0.386  0.381 0.577  0.432 0.771  0.462 0.968  0.438 1.163  0.284 1.254  0.095 1.214  -0.082 1.121  -0.249 1.011  -0.414 0.899  -0.558 0.760  -0.702 0.621  -0.830 0.467  -0.951 0.309  -1.062 0.142  -1.158 -0.033  -1.242 -0.213  -1.299 -0.405  -1.328 -0.601  -1.316 -0.796  -1.209 -0.963  -1.039 -1.069  -0.843 -1.091  -0.646 -1.066  -0.455 -1.013  -0.277 -0.920  -0.119 -0.801  0.030 -0.667  0.149 -0.507  0.265 -0.344  0.369 -0.173  0.472 -0.002  0.565 0.176  0.655 0.354  0.740 0.535  0.749 0.553  0.668 0.370  0.588 0.187  0.520 -0.001  0.474 -0.195  0.475 -0.390  0.591 -0.539  0.781 -0.591  0.977 -0.559  1.152 -0.462  1.312 -0.344  1.467 -0.217
