1d#tos#f3#f3050060/!  0.106 1.276  0.106 1.350  0.085 1.404  0.011 1.404  -0.022 1.445  -0.022 1.459  -0.022 1.385  -0.022 1.310  -0.022 1.236  -0.022 1.162  -0.022 1.088  -0.022 1.014  -0.022 0.939  -0.022 0.865  -0.022 0.791  -0.022 0.717  -0.022 0.643  -0.022 0.568  -0.022 0.494  -0.022 0.420  -0.022 0.346  -0.022 0.271  -0.022 0.197  -0.022 0.123  -0.022 0.049  -0.022 -0.025  -0.022 -0.100  -0.022 -0.174  -0.022 -0.248  -0.018 -0.322  -0.005 -0.395  0.008 -0.468  0.021 -0.541  0.034 -0.614  0.047 -0.687  0.059 -0.761  0.072 -0.834  0.085 -0.907  0.098 -0.980  0.106 -1.053  0.101 -1.127  0.083 -1.199  0.065 -1.271  0.001 -1.300  -0.068 -1.326  -0.107 -1.384  -0.107 -1.458  -0.107 -1.532  -0.064 -1.589  -0.064 -1.663
1d#tos#f3#f3050060/#  -0.915 0.268  -1.119 -0.014  -0.919 0.148  -0.571 0.328  -0.210 0.499  0.155 0.683  0.526 0.807  0.891 0.990  0.571 0.739  0.250 0.487  -0.071 0.234  -0.392 -0.018  -0.713 -0.270  -0.795 -0.639  -0.953 -0.816  -0.546 -0.799  -0.180 -0.632  0.187 -0.471  0.514 -0.226  0.875 -0.044  1.217 0.171  0.946 0.389  0.594 0.597  0.243 0.805  -0.115 0.991  -0.487 0.870  -0.674 0.603  -0.734 0.204  -0.734 -0.204  -0.734 -0.613  -0.734 -1.021  -0.734 -1.429  -0.536 -1.427  -0.368 -1.054  -0.200 -0.682  -0.032 -0.310  0.136 0.063  0.303 0.435  0.471 0.807  0.639 1.180  0.684 1.473  0.470 1.278  0.470 0.870  0.470 0.461  0.410 0.063  0.410 -0.346  0.410 -0.754  0.468 -1.158  0.565 -1.555  0.591 -1.960
1d#tos#f3#f3050060/%  0.021 0.843  -0.223 0.843  -0.402 0.759  -0.602 0.689  -0.749 0.496  -0.760 0.257  -0.613 0.160  -0.384 0.200  -0.216 0.373  -0.081 0.569  0.054 0.766  -0.048 0.908  -0.259 0.875  -0.125 0.962  0.094 1.069  0.313 1.176  0.532 1.282  0.752 1.389  0.900 1.382  0.712 1.273  0.571 1.100  0.410 0.917  0.245 0.738  0.139 0.519  0.058 0.289  -0.050 0.077  -0.195 -0.117  -0.295 -0.339  -0.414 -0.552  -0.490 -0.783  -0.630 -0.979  -0.736 -1.197  -0.792 -1.422  -0.765 -1.606  -0.583 -1.445  -0.400 -1.284  -0.217 -1.123  -0.034 -0.962  0.149 -0.800  0.332 -0.639  0.515 -0.478  0.412 -0.429  0.314 -0.600  0.314 -0.843  0.382 -1.044  0.610 -0.978  0.677 -0.774  0.704 -0.536  0.538 -0.459  0.314 -0.524
1d#tos#f3#f3050060/(  0.424 1.396  0.345 1.396  0.267 1.396  0.188 1.396  0.110 1.396  0.050 1.366  0.012 1.298  -0.025 1.235  -0.038 1.163  -0.103 1.119  -0.160 1.071  -0.160 0.993  -0.172 0.916  -0.201 0.844  -0.230 0.771  -0.255 0.696  -0.270 0.619  -0.286 0.542  -0.295 0.465  -0.295 0.386  -0.295 0.308  -0.295 0.229  -0.295 0.151  -0.295 0.072  -0.295 -0.006  -0.295 -0.085  -0.295 -0.163  -0.290 -0.241  -0.275 -0.318  -0.260 -0.395  -0.241 -0.471  -0.216 -0.546  -0.186 -0.618  -0.151 -0.688  -0.116 -0.758  -0.086 -0.831  -0.057 -0.904  -0.028 -0.977  0.041 -1.010  0.114 -1.040  0.186 -1.069  0.245 -1.120  0.301 -1.175  0.365 -1.215  0.442 -1.230  0.519 -1.245  0.596 -1.260  0.673 -1.273  0.751 -1.286  0.828 -1.298
1d#tos#f3#f3050060/+  -1.369 -0.137  -1.494 -0.213  -1.389 -0.234  -1.244 -0.185  -1.087 -0.185  -0.939 -0.159  -0.805 -0.081  -0.653 -0.043  -0.501 -0.005  -0.349 0.033  -0.201 0.082  -0.061 0.152  0.094 0.156  0.243 0.206  0.395 0.243  0.538 0.305  0.684 0.351  0.835 0.387  0.989 0.400  1.097 0.418  0.977 0.518  0.857 0.619  0.738 0.720  0.618 0.821  0.498 0.922  0.378 1.023  0.259 1.124  0.123 1.180  -0.034 1.180  -0.088 1.093  -0.052 0.942  -0.052 0.786  -0.052 0.629  -0.052 0.473  -0.052 0.316  -0.044 0.160  -0.013 0.007  -0.004 -0.149  -0.004 -0.305  0.010 -0.461  0.036 -0.615  0.059 -0.770  0.081 -0.925  0.094 -1.081  0.094 -1.237  0.094 -1.394  0.130 -1.543  0.188 -1.689  0.191 -1.845  0.240 -1.990
1d#tos#f3#f3050060/  -0.774 0.314  -0.774 0.229  -0.782 0.152  -0.867 0.152  -0.952 0.152  -1.037 0.152  -1.111 0.132  -1.159 0.061  -1.206 -0.009  -1.253 -0.080  -1.311 -0.142  -1.298 -0.172  -1.213 -0.172  -1.128 -0.172  -1.043 -0.172  -0.958 -0.172  -0.873 -0.172  -0.788 -0.172  -0.703 -0.172  -0.618 -0.172  -0.533 -0.172  -0.448 -0.172  -0.363 -0.172  -0.278 -0.172  -0.193 -0.172  -0.108 -0.172  -0.023 -0.172  0.062 -0.172  0.147 -0.172  0.232 -0.172  0.317 -0.172  0.399 -0.156  0.477 -0.124  0.556 -0.092  0.635 -0.061  0.714 -0.029  0.792 0.005  0.868 0.043  0.944 0.081  1.020 0.119  1.097 0.154  1.180 0.171  1.263 0.187  1.347 0.204  1.430 0.221  1.511 0.243  1.587 0.281  1.663 0.319  1.739 0.357  1.815 0.395
1d#tos#f3#f3050060/.  -0.339 1.723  -0.339 1.644  -0.339 1.565  -0.339 1.486  -0.339 1.407  -0.339 1.329  -0.339 1.250  -0.339 1.171  -0.339 1.092  -0.339 1.013  -0.339 0.935  -0.339 0.856  -0.339 0.777  -0.294 0.717  -0.238 0.661  -0.182 0.605  -0.179 0.528  -0.179 0.449  -0.179 0.370  -0.179 0.292  -0.179 0.213  -0.179 0.134  -0.179 0.055  -0.179 -0.024  -0.115 -0.038  -0.036 -0.038  -0.019 -0.100  -0.019 -0.179  -0.019 -0.258  -0.019 -0.336  -0.019 -0.415  -0.019 -0.494  0.030 -0.543  0.100 -0.578  0.171 -0.613  0.241 -0.649  0.301 -0.690  0.301 -0.769  0.301 -0.848  0.301 -0.927  0.304 -1.005  0.339 -1.075  0.375 -1.146  0.410 -1.216  0.445 -1.287  0.499 -1.338  0.570 -1.373  0.640 -1.409  0.711 -1.444  0.781 -1.479
1d#tos#f3#f3050060/  0.956 1.319  0.886 1.319  0.835 1.300  0.815 1.238  0.768 1.186  0.737 1.123  0.713 1.059  0.713 0.988  0.688 0.929  0.638 0.879  0.590 0.829  0.558 0.766  0.527 0.703  0.496 0.640  0.463 0.578  0.427 0.518  0.391 0.458  0.355 0.398  0.319 0.337  0.280 0.279  0.231 0.229  0.181 0.180  0.132 0.130  0.082 0.081  0.035 0.028  -0.004 -0.030  -0.043 -0.088  -0.082 -0.147  -0.120 -0.205  -0.159 -0.264  -0.199 -0.322  -0.242 -0.377  -0.286 -0.431  -0.330 -0.486  -0.374 -0.541  -0.418 -0.596  -0.462 -0.650  -0.507 -0.704  -0.552 -0.758  -0.597 -0.812  -0.642 -0.866  -0.687 -0.920  -0.732 -0.974  -0.777 -1.028  -0.822 -1.081  -0.867 -1.135  -0.911 -1.189  -0.956 -1.243  -1.001 -1.297  -1.046 -1.351
1d#tos#f3#f3050060/:  0.148 1.155  0.085 1.207  0.000 1.207  -0.085 1.207  -0.169 1.207  -0.254 1.207  -0.325 1.222  -0.325 1.307  -0.272 1.286  -0.220 1.254  -0.192 1.180  -0.132 1.120  -0.114 1.043  -0.075 0.997  -0.062 0.925  -0.062 0.840  -0.062 0.756  -0.062 0.671  -0.062 0.586  -0.062 0.501  -0.061 0.416  -0.042 0.334  -0.022 0.251  -0.002 0.169  0.017 0.086  0.037 0.003  0.057 -0.079  0.076 -0.162  0.096 -0.244  0.116 -0.327  0.135 -0.409  0.155 -0.492  0.175 -0.574  0.194 -0.657  0.201 -0.741  0.201 -0.826  0.142 -0.877  0.069 -0.921  -0.004 -0.965  -0.062 -1.017  -0.062 -1.102  -0.033 -1.157  -0.009 -1.219  0.009 -1.299  0.051 -1.371  0.127 -1.409  0.148 -1.481  0.189 -1.525  0.201 -1.598  0.201 -1.683
1d#tos#f3#f3050060/<  0.700 1.489  0.598 1.489  0.500 1.486  0.500 1.384  0.493 1.289  0.391 1.289  0.367 1.212  0.328 1.130  0.244 1.074  0.160 1.016  0.093 0.941  0.047 0.850  -0.006 0.763  -0.062 0.679  -0.100 0.588  -0.103 0.489  -0.202 0.464  -0.300 0.440  -0.366 0.389  -0.368 0.288  -0.440 0.216  -0.512 0.144  -0.566 0.065  -0.566 -0.037  -0.609 -0.129  -0.667 -0.211  -0.739 -0.283  -0.766 -0.373  -0.798 -0.443  -0.766 -0.443  -0.675 -0.489  -0.578 -0.510  -0.491 -0.560  -0.407 -0.616  -0.319 -0.667  -0.229 -0.714  -0.153 -0.776  -0.051 -0.776  0.046 -0.803  0.143 -0.835  0.221 -0.897  0.293 -0.969  0.392 -0.976  0.487 -1.003  0.576 -1.052  0.654 -1.110  0.755 -1.110  0.857 -1.110  0.959 -1.110  1.033 -1.176
1d#tos#f3#f3050060/=  -0.885 0.584  -0.885 0.412  -0.937 0.291  -1.081 0.320  -0.977 0.389  -0.813 0.425  -0.655 0.487  -0.483 0.492  -0.329 0.569  -0.159 0.584  0.010 0.613  0.178 0.654  0.347 0.682  0.510 0.707  0.632 0.829  0.785 0.878  0.957 0.878  1.130 0.878  1.303 0.878  1.274 0.820  1.127 0.729  0.981 0.637  0.834 0.545  0.688 0.454  0.541 0.362  0.394 0.271  0.248 0.179  0.101 0.087  -0.045 -0.004  -0.192 -0.096  -0.338 -0.187  -0.485 -0.279  -0.631 -0.371  -0.778 -0.462  -0.925 -0.554  -0.987 -0.692  -1.081 -0.826  -0.966 -0.884  -0.793 -0.884  -0.638 -0.959  -0.471 -0.982  -0.298 -0.982  -0.125 -0.982  0.048 -0.982  0.221 -0.982  0.390 -0.957  0.558 -0.915  0.727 -0.884  0.900 -0.884  1.073 -0.884
