2#app#app14#app1491/S  0.550 1.115  0.550 1.237  0.448 1.258  0.326 1.258  0.203 1.258  0.080 1.258  -0.025 1.241  -0.025 1.119  -0.144 1.115  -0.238 1.046  -0.325 0.959  -0.411 0.872  -0.498 0.786  -0.585 0.699  -0.671 0.612  -0.758 0.525  -0.845 0.439  -0.826 0.396  -0.715 0.367  -0.628 0.280  -0.517 0.252  -0.413 0.208  -0.326 0.122  -0.209 0.108  -0.086 0.108  0.036 0.108  0.147 0.080  0.234 -0.007  0.344 -0.036  0.449 -0.079  0.536 -0.165  0.623 -0.252  0.694 -0.345  0.694 -0.468  0.694 -0.591  0.694 -0.713  0.612 -0.754  0.550 -0.815  0.522 -0.926  0.435 -1.013  0.349 -1.099  0.262 -1.186  0.175 -1.273  0.076 -1.329  -0.047 -1.329  -0.169 -1.329  -0.292 -1.329  -0.414 -1.329  -0.513 -1.272  -0.600 -1.186
2#app#app14#app1491/e  -1.147 0.046  -0.978 0.046  -0.810 0.046  -0.642 0.046  -0.504 0.119  -0.386 0.238  -0.256 0.331  -0.088 0.331  0.080 0.331  0.248 0.331  0.416 0.331  0.563 0.352  0.563 0.520  0.635 0.616  0.803 0.616  0.848 0.739  0.848 0.907  0.848 1.075  0.807 1.145  0.688 1.026  0.569 0.908  0.404 0.901  0.236 0.901  0.068 0.901  -0.073 0.835  -0.191 0.717  -0.310 0.598  -0.429 0.479  -0.548 0.360  -0.704 0.331  -0.862 0.321  -0.862 0.153  -0.862 -0.015  -0.862 -0.183  -0.782 -0.318  -0.663 -0.437  -0.544 -0.556  -0.425 -0.675  -0.307 -0.794  -0.188 -0.912  -0.069 -1.031  0.073 -1.093  0.241 -1.093  0.278 -1.225  0.293 -1.378  0.461 -1.378  0.629 -1.378  0.797 -1.378  0.965 -1.378  1.133 -1.378
2#app#app14#app1491/e  -0.604 0.387  -0.471 0.387  -0.337 0.387  -0.203 0.387  -0.070 0.387  0.064 0.387  0.198 0.387  0.323 0.407  0.418 0.502  0.512 0.596  0.639 0.613  0.756 0.630  0.756 0.764  0.756 0.897  0.756 1.031  0.658 1.067  0.524 1.067  0.390 1.067  0.257 1.067  0.123 1.067  0.015 1.006  -0.080 0.911  -0.151 0.807  -0.151 0.673  -0.225 0.613  -0.359 0.613  -0.378 0.499  -0.393 0.371  -0.488 0.277  -0.582 0.182  -0.604 0.058  -0.604 -0.076  -0.604 -0.210  -0.604 -0.344  -0.604 -0.477  -0.540 -0.584  -0.446 -0.679  -0.378 -0.784  -0.378 -0.918  -0.322 -1.029  -0.228 -1.124  -0.133 -1.218  -0.039 -1.313  0.056 -1.407  0.181 -1.427  0.311 -1.436  0.406 -1.531  0.500 -1.625  0.622 -1.654  0.756 -1.654
2#app#app14#app1491/?  -0.554 -1.897  -0.434 -1.897  -0.394 -1.812  -0.387 -1.692  -0.380 -1.571  -0.372 -1.451  -0.365 -1.331  -0.358 -1.211  -0.351 -1.091  -0.344 -0.970  -0.337 -0.850  -0.330 -0.730  -0.323 -0.610  -0.316 -0.489  -0.309 -0.369  -0.302 -0.249  -0.295 -0.129  -0.288 -0.008  -0.281 0.112  -0.273 0.232  -0.266 0.352  -0.259 0.472  -0.252 0.593  -0.245 0.713  -0.183 0.808  -0.098 0.893  -0.012 0.979  0.075 1.059  0.195 1.059  0.289 1.124  0.374 1.209  0.492 1.215  0.612 1.215  0.690 1.172  0.690 1.052  0.690 0.932  0.690 0.811  0.650 0.707  0.565 0.622  0.535 0.514  0.504 0.406  0.419 0.321  0.334 0.236  0.249 0.151  0.139 0.126  0.068 0.076  0.068 -0.044  0.068 -0.165  -0.002 -0.256  -0.087 -0.341
2#app#app14#app1491/\"  -0.246 1.375  -0.246 1.237  -0.246 1.099  -0.246 0.961  -0.314 0.850  -0.412 0.753  -0.509 0.655  -0.607 0.557  -0.703 0.459  -0.703 0.321  -0.703 0.182  -0.703 0.044  -0.703 -0.094  -0.703 -0.232  -0.703 -0.371  -0.703 -0.509  -0.703 -0.647  -0.703 -0.785  -0.703 -0.924  -0.703 -1.062  -0.703 -1.200  -0.703 -1.338  -0.635 -1.282  -0.549 -1.174  -0.462 -1.066  -0.376 -0.959  -0.290 -0.851  -0.203 -0.743  -0.117 -0.635  -0.031 -0.527  0.056 -0.419  0.142 -0.311  0.228 -0.203  0.315 -0.095  0.401 0.013  0.487 0.121  0.574 0.229  0.660 0.337  0.747 0.445  0.833 0.553  0.919 0.661  1.006 0.769  1.092 0.877  1.125 0.833  1.125 0.695  1.125 0.557  1.125 0.419  1.125 0.280  1.125 0.142  1.125 0.004
2#app#app14#app1491/s  0.598 1.514  0.598 1.386  0.598 1.259  0.493 1.236  0.365 1.236  0.262 1.178  0.171 1.088  0.081 0.997  -0.030 0.958  -0.158 0.958  -0.271 0.923  -0.362 0.833  -0.452 0.743  -0.542 0.652  -0.632 0.562  -0.723 0.472  -0.766 0.401  -0.638 0.401  -0.510 0.401  -0.383 0.401  -0.255 0.401  -0.127 0.401  0.000 0.401  0.103 0.340  0.193 0.250  0.283 0.159  0.319 0.047  0.319 -0.081  0.373 -0.155  0.501 -0.155  0.598 -0.186  0.598 -0.314  0.590 -0.434  0.462 -0.434  0.335 -0.434  0.319 -0.546  0.319 -0.674  0.256 -0.775  0.166 -0.865  0.076 -0.956  0.041 -1.069  0.041 -1.197  -0.015 -1.268  -0.143 -1.268  -0.261 -1.292  -0.351 -1.382  -0.441 -1.472  -0.538 -1.547  -0.666 -1.547  -0.793 -1.547
2#app#app14#app1491/c  1.132 1.275  1.030 1.275  0.928 1.275  0.835 1.266  0.835 1.164  0.835 1.061  0.817 0.977  0.714 0.977  0.612 0.977  0.518 0.958  0.445 0.886  0.373 0.813  0.301 0.741  0.224 0.679  0.122 0.679  0.020 0.679  -0.059 0.655  -0.059 0.553  -0.059 0.451  -0.092 0.382  -0.194 0.382  -0.296 0.382  -0.356 0.340  -0.356 0.237  -0.356 0.135  -0.392 0.048  -0.465 -0.024  -0.537 -0.097  -0.609 -0.169  -0.654 -0.253  -0.654 -0.355  -0.654 -0.457  -0.654 -0.560  -0.654 -0.662  -0.654 -0.764  -0.597 -0.809  -0.495 -0.809  -0.392 -0.809  -0.356 -0.875  -0.356 -0.978  -0.356 -1.080  -0.281 -1.107  -0.179 -1.107  -0.077 -1.107  0.026 -1.107  0.128 -1.107  0.230 -1.107  0.239 -1.200  0.239 -1.302  0.239 -1.405
2#app#app14#app1491/r  -0.893 -0.515  -0.893 -0.621  -0.893 -0.728  -0.893 -0.835  -0.893 -0.941  -0.893 -1.048  -0.868 -1.130  -0.762 -1.130  -0.655 -1.130  -0.586 -1.092  -0.586 -0.985  -0.586 -0.879  -0.586 -0.772  -0.586 -0.665  -0.586 -0.559  -0.586 -0.452  -0.586 -0.345  -0.586 -0.238  -0.510 -0.207  -0.404 -0.207  -0.297 -0.207  -0.278 -0.119  -0.278 -0.013  -0.278 0.094  -0.278 0.201  -0.278 0.308  -0.272 0.408  -0.165 0.408  -0.059 0.408  0.029 0.427  0.029 0.533  0.029 0.640  0.061 0.715  0.167 0.715  0.274 0.715  0.381 0.715  0.487 0.715  0.594 0.715  0.701 0.715  0.807 0.715  0.914 0.715  1.021 0.715  1.128 0.715  1.234 0.715  1.259 0.634  1.259 0.527  1.259 0.420  1.354 0.408  1.460 0.408  1.567 0.408
2#app#app14#app1491/e  0.103 0.569  0.222 0.569  0.341 0.569  0.459 0.569  0.578 0.569  0.697 0.569  0.816 0.569  0.839 0.665  0.839 0.784  0.839 0.903  0.754 0.937  0.635 0.937  0.516 0.937  0.397 0.937  0.279 0.937  0.160 0.937  0.041 0.937  -0.078 0.937  -0.197 0.937  -0.301 0.901  -0.385 0.817  -0.469 0.733  -0.553 0.649  -0.633 0.563  -0.633 0.444  -0.633 0.326  -0.633 0.207  -0.633 0.088  -0.633 -0.031  -0.633 -0.150  -0.633 -0.269  -0.633 -0.388  -0.633 -0.507  -0.633 -0.626  -0.633 -0.745  -0.633 -0.864  -0.554 -0.903  -0.435 -0.903  -0.317 -0.903  -0.217 -0.951  -0.133 -1.035  -0.049 -1.119  0.035 -1.204  0.126 -1.272  0.244 -1.272  0.363 -1.272  0.482 -1.272  0.601 -1.272  0.720 -1.272  0.839 -1.272
2#app#app14#app1491/e  -0.498 0.219  -0.387 0.109  -0.276 -0.002  -0.158 -0.097  -0.001 -0.097  0.149 -0.082  0.260 0.029  0.371 0.140  0.495 0.219  0.652 0.219  0.767 0.261  0.767 0.418  0.806 0.536  0.963 0.536  1.083 0.572  1.083 0.729  1.059 0.876  0.948 0.987  0.837 1.098  0.715 1.142  0.575 1.072  0.435 1.002  0.295 0.932  0.154 0.862  -0.000 0.852  -0.157 0.852  -0.275 0.758  -0.386 0.647  -0.497 0.536  -0.608 0.425  -0.719 0.315  -0.814 0.197  -0.814 0.040  -0.814 -0.117  -0.814 -0.274  -0.814 -0.430  -0.814 -0.587  -0.814 -0.744  -0.814 -0.901  -0.802 -1.045  -0.645 -1.045  -0.488 -1.045  -0.331 -1.045  -0.182 -1.053  -0.182 -1.210  -0.177 -1.362  -0.020 -1.362  0.137 -1.362  0.294 -1.362  0.451 -1.362
2#app#app14#app1491/c  0.533 1.393  0.638 1.393  0.744 1.393  0.740 1.348  0.665 1.273  0.591 1.199  0.517 1.125  0.442 1.050  0.368 0.976  0.294 0.902  0.193 0.890  0.088 0.890  -0.003 0.856  -0.078 0.782  -0.152 0.708  -0.226 0.633  -0.301 0.559  -0.375 0.485  -0.449 0.410  -0.473 0.315  -0.473 0.210  -0.494 0.114  -0.569 0.039  -0.643 -0.035  -0.718 -0.109  -0.724 -0.212  -0.724 -0.317  -0.724 -0.422  -0.724 -0.527  -0.724 -0.632  -0.724 -0.737  -0.724 -0.843  -0.647 -0.871  -0.542 -0.871  -0.437 -0.871  -0.332 -0.871  -0.226 -0.871  -0.121 -0.871  -0.016 -0.871  0.089 -0.871  0.194 -0.871  0.299 -0.871  0.404 -0.871  0.510 -0.871  0.615 -0.871  0.720 -0.871  0.813 -0.842  0.888 -0.768  0.962 -0.693  1.036 -0.619
