2#apb#apb22#app2214/S  0.943 1.186  0.810 1.179  0.678 1.173  0.547 1.154  0.416 1.132  0.285 1.110  0.158 1.075  0.032 1.034  -0.094 0.993  -0.219 0.948  -0.339 0.893  -0.460 0.838  -0.581 0.784  -0.693 0.713  -0.803 0.639  -0.877 0.535  -0.888 0.413  -0.831 0.296  -0.710 0.242  -0.590 0.187  -0.462 0.155  -0.331 0.138  -0.199 0.122  -0.068 0.106  0.064 0.090  0.195 0.075  0.327 0.059  0.453 0.020  0.577 -0.027  0.698 -0.078  0.803 -0.160  0.880 -0.257  0.896 -0.389  0.856 -0.508  0.785 -0.620  0.701 -0.720  0.593 -0.796  0.485 -0.873  0.371 -0.938  0.245 -0.978  0.118 -1.019  -0.008 -1.060  -0.138 -1.083  -0.269 -1.106  -0.399 -1.129  -0.531 -1.140  -0.663 -1.135  -0.796 -1.130  -0.922 -1.096  -1.045 -1.047
2#apb#apb22#app2214/a  -1.226 -0.740  -1.395 -0.724  -1.318 -0.631  -1.204 -0.503  -1.075 -0.389  -0.947 -0.275  -0.828 -0.152  -0.716 -0.021  -0.605 0.110  -0.493 0.240  -0.381 0.370  -0.268 0.499  -0.154 0.628  -0.041 0.757  0.077 0.882  0.198 1.003  0.320 1.125  0.444 1.243  0.593 1.327  0.743 1.411  0.897 1.341  0.984 1.206  0.955 1.037  0.925 0.868  0.889 0.700  0.845 0.534  0.800 0.368  0.756 0.202  0.690 0.044  0.619 -0.113  0.549 -0.269  0.476 -0.425  0.387 -0.571  0.297 -0.718  0.208 -0.865  0.125 -1.015  0.041 -1.165  -0.042 -1.315  -0.107 -1.325  -0.150 -1.159  -0.192 -0.993  -0.234 -0.826  -0.276 -0.660  -0.319 -0.493  -0.361 -0.327  -0.403 -0.160  -0.269 -0.079  -0.107 -0.026  0.062 0.006  0.231 0.038
2#apb#apb22#app2214/n  -1.437 -1.122  -1.375 -0.992  -1.291 -0.868  -1.211 -0.741  -1.131 -0.614  -1.050 -0.487  -0.967 -0.363  -0.884 -0.238  -0.801 -0.113  -0.717 0.012  -0.629 0.133  -0.533 0.249  -0.438 0.364  -0.342 0.480  -0.247 0.596  -0.156 0.715  -0.065 0.835  0.026 0.954  0.120 1.071  0.226 1.177  0.332 1.283  0.430 1.370  0.430 1.220  0.420 1.072  0.362 0.934  0.303 0.795  0.247 0.657  0.198 0.515  0.148 0.373  0.099 0.231  0.052 0.089  0.015 -0.057  -0.021 -0.202  -0.057 -0.348  -0.075 -0.496  -0.075 -0.646  -0.047 -0.790  0.015 -0.925  0.165 -0.925  0.315 -0.925  0.443 -0.847  0.570 -0.767  0.697 -0.687  0.816 -0.596  0.931 -0.500  1.046 -0.404  1.155 -0.301  1.242 -0.180  1.330 -0.058  1.418 0.064
2#apb#apb22#app2214/d  0.732 1.808  0.718 1.737  0.696 1.627  0.674 1.517  0.650 1.408  0.626 1.298  0.603 1.189  0.579 1.080  0.554 0.971  0.528 0.862  0.503 0.753  0.477 0.644  0.452 0.535  0.431 0.425  0.415 0.314  0.400 0.203  0.384 0.092  0.368 -0.019  0.352 -0.129  0.334 -0.240  0.309 -0.349  0.285 -0.458  0.261 -0.568  0.236 -0.677  0.194 -0.779  0.134 -0.873  0.073 -0.967  0.005 -1.055  -0.070 -1.139  -0.160 -1.168  -0.268 -1.138  -0.373 -1.100  -0.475 -1.053  -0.576 -1.005  -0.654 -0.930  -0.716 -0.837  -0.778 -0.744  -0.815 -0.642  -0.823 -0.531  -0.830 -0.419  -0.819 -0.308  -0.804 -0.197  -0.779 -0.091  -0.708 -0.004  -0.637 0.083  -0.544 0.141  -0.443 0.188  -0.340 0.218  -0.234 0.182  -0.128 0.147
2#apb#apb22#app2214/y  -1.095 1.005  -1.026 0.902  -0.958 0.798  -0.902 0.687  -0.846 0.577  -0.769 0.480  -0.691 0.383  -0.589 0.316  -0.478 0.260  -0.364 0.221  -0.239 0.221  -0.115 0.221  0.008 0.224  0.118 0.282  0.227 0.341  0.337 0.399  0.418 0.493  0.499 0.587  0.580 0.681  0.665 0.771  0.753 0.859  0.840 0.947  0.912 1.023  0.809 0.955  0.710 0.880  0.639 0.780  0.572 0.675  0.505 0.571  0.449 0.460  0.396 0.348  0.343 0.236  0.289 0.124  0.241 0.010  0.195 -0.106  0.149 -0.221  0.102 -0.336  0.056 -0.451  0.010 -0.567  -0.030 -0.684  -0.069 -0.802  -0.109 -0.919  -0.148 -1.037  -0.187 -1.155  -0.226 -1.273  -0.259 -1.392  -0.288 -1.513  -0.316 -1.634  -0.344 -1.755  -0.372 -1.876  -0.400 -1.997
2#apb#apb22#app2214/T  0.480 1.017  0.489 1.181  0.512 1.202  0.512 1.038  0.509 0.873  0.495 0.709  0.481 0.545  0.467 0.381  0.445 0.218  0.421 0.055  0.397 -0.108  0.369 -0.270  0.335 -0.431  0.300 -0.592  0.265 -0.753  0.222 -0.912  0.179 -1.071  0.128 -1.228  0.071 -1.382  0.026 -1.540  -0.023 -1.606  -0.099 -1.459  -0.174 -1.313  -0.250 -1.167  -0.326 -1.021  -0.402 -0.875  -0.478 -0.728  -0.554 -0.582  -0.629 -0.436  -0.705 -0.290  -0.781 -0.144  -0.857 0.002  -0.933 0.149  -1.009 0.295  -1.084 0.441  -1.056 0.541  -0.906 0.596  -0.743 0.617  -0.579 0.638  -0.415 0.652  -0.251 0.659  -0.086 0.665  0.078 0.671  0.243 0.678  0.407 0.681  0.572 0.681  0.737 0.681  0.901 0.681  1.066 0.681  1.231 0.681
2#apb#apb22#app2214/i  0.493 1.625  0.469 1.560  0.445 1.494  0.421 1.429  0.397 1.364  0.374 1.298  0.350 1.233  0.326 1.168  0.302 1.102  0.279 1.037  0.255 0.971  0.231 0.906  0.207 0.841  0.184 0.775  0.160 0.710  0.136 0.645  0.112 0.579  0.089 0.514  0.065 0.449  0.041 0.383  0.017 0.318  0.001 0.250  -0.014 0.182  -0.028 0.114  -0.043 0.046  -0.058 -0.022  -0.073 -0.090  -0.087 -0.158  -0.102 -0.225  -0.117 -0.293  -0.132 -0.361  -0.147 -0.429  -0.161 -0.497  -0.176 -0.565  -0.191 -0.633  -0.206 -0.701  -0.220 -0.769  -0.235 -0.837  -0.250 -0.905  -0.265 -0.973  -0.280 -1.041  -0.285 -1.110  -0.285 -1.179  -0.285 -1.249  -0.285 -1.319  -0.285 -1.388  -0.285 -1.458  -0.285 -1.527  -0.285 -1.597  -0.285 -1.666
2#apb#apb22#app2214/n  -1.367 -1.117  -1.410 -0.987  -1.384 -0.842  -1.348 -0.699  -1.277 -0.570  -1.205 -0.441  -1.126 -0.317  -1.030 -0.204  -0.934 -0.092  -0.839 0.021  -0.740 0.130  -0.638 0.237  -0.536 0.344  -0.434 0.451  -0.334 0.560  -0.239 0.673  -0.143 0.785  -0.047 0.898  0.056 1.002  0.166 1.101  0.282 1.137  0.302 0.997  0.279 0.851  0.247 0.707  0.209 0.565  0.172 0.422  0.130 0.280  0.088 0.139  0.046 -0.003  0.006 -0.145  -0.033 -0.288  -0.072 -0.430  -0.091 -0.575  -0.091 -0.723  -0.017 -0.844  0.105 -0.845  0.241 -0.786  0.370 -0.717  0.492 -0.633  0.614 -0.550  0.732 -0.462  0.831 -0.352  0.929 -0.242  1.028 -0.132  1.120 -0.018  1.207 0.102  1.293 0.222  1.379 0.342  1.463 0.464  1.547 0.585
2#apb#apb22#app2214/a  -1.132 -1.216  -1.090 -1.059  -1.048 -0.902  -0.989 -0.751  -0.929 -0.600  -0.866 -0.450  -0.781 -0.311  -0.696 -0.173  -0.611 -0.034  -0.525 0.104  -0.430 0.236  -0.335 0.368  -0.240 0.500  -0.145 0.632  -0.046 0.760  0.055 0.888  0.155 1.016  0.255 1.144  0.361 1.267  0.467 1.391  0.583 1.504  0.703 1.529  0.737 1.376  0.742 1.215  0.711 1.055  0.681 0.895  0.651 0.735  0.623 0.575  0.596 0.415  0.565 0.255  0.529 0.097  0.492 -0.062  0.456 -0.220  0.423 -0.379  0.391 -0.539  0.359 -0.698  0.331 -0.858  0.302 -1.018  0.284 -1.180  0.262 -1.310  0.163 -1.181  0.065 -1.052  -0.033 -0.922  -0.132 -0.793  -0.230 -0.663  -0.329 -0.534  -0.427 -0.405  -0.445 -0.273  -0.322 -0.194  -0.160 -0.179
2#apb#apb22#app2214/V  0.054 1.386  -0.077 1.400  -0.182 1.328  -0.226 1.205  -0.253 1.076  -0.274 0.946  -0.274 0.814  -0.277 0.683  -0.296 0.552  -0.314 0.422  -0.332 0.291  -0.346 0.160  -0.359 0.029  -0.373 -0.102  -0.388 -0.233  -0.404 -0.364  -0.421 -0.494  -0.438 -0.625  -0.456 -0.755  -0.481 -0.885  -0.505 -1.015  -0.529 -1.144  -0.551 -1.274  -0.573 -1.404  -0.547 -1.469  -0.482 -1.354  -0.418 -1.239  -0.354 -1.124  -0.291 -1.009  -0.227 -0.893  -0.158 -0.781  -0.088 -0.669  -0.019 -0.557  0.051 -0.445  0.121 -0.333  0.191 -0.222  0.261 -0.111  0.332 0.001  0.402 0.112  0.477 0.221  0.553 0.329  0.629 0.436  0.705 0.544  0.781 0.651  0.859 0.758  0.937 0.864  1.015 0.970  1.100 1.071  1.192 1.165  1.255 1.086
2#apb#apb22#app2214/i  0.205 0.272  0.123 0.190  0.050 0.100  -0.022 0.009  -0.077 -0.091  -0.124 -0.197  -0.170 -0.303  -0.209 -0.412  -0.239 -0.524  -0.270 -0.635  -0.300 -0.747  -0.338 -0.856  -0.390 -0.959  -0.442 -1.063  -0.476 -1.172  -0.493 -1.286  -0.498 -1.396  -0.421 -1.458  -0.387 -1.347  -0.354 -1.236  -0.320 -1.126  -0.286 -1.015  -0.252 -0.904  -0.218 -0.794  -0.185 -0.683  -0.151 -0.572  -0.117 -0.462  -0.083 -0.351  -0.050 -0.240  -0.016 -0.130  0.018 -0.019  0.052 0.092  0.085 0.202  0.119 0.313  0.153 0.424  0.187 0.534  0.221 0.645  0.254 0.756  0.288 0.866  0.322 0.977  0.356 1.088  0.389 1.198  0.423 1.309  0.457 1.420  0.491 1.530  0.525 1.641  0.558 1.752  0.553 1.660  0.519 1.558  0.540 1.446
