2#tos#f2#f2016063/!  -0.006 1.648  -0.038 1.584  -0.085 1.543  -0.111 1.498  -0.111 1.426  -0.111 1.354  -0.111 1.282  -0.111 1.210  -0.111 1.139  -0.111 1.067  -0.111 0.995  -0.111 0.923  -0.111 0.851  -0.111 0.779  -0.111 0.708  -0.111 0.636  -0.088 0.574  -0.038 0.523  0.013 0.472  0.046 0.414  0.046 0.342  0.046 0.270  0.046 0.198  0.046 0.127  0.046 0.055  0.046 -0.017  0.046 -0.089  0.046 -0.161  0.046 -0.232  0.046 -0.304  0.046 -0.376  0.046 -0.448  0.046 -0.520  0.046 -0.592  0.046 -0.663  0.096 -0.715  0.097 -0.785  0.090 -0.857  0.083 -0.928  0.076 -0.999  0.069 -1.071  0.062 -1.142  0.054 -1.214  0.047 -1.285  0.046 -1.357  0.046 -1.429  0.046 -1.501  0.046 -1.573  0.046 -1.644  0.046 -1.716
2#tos#f2#f2016063/&  0.824 0.131  0.690 0.028  0.721 -0.137  0.692 -0.363  0.618 -0.539  0.539 -0.708  0.412 -0.847  0.238 -0.957  0.072 -1.056  -0.144 -1.107  -0.278 -1.210  -0.515 -1.210  -0.679 -1.107  -0.814 -1.004  -0.930 -0.883  -0.930 -0.645  -0.894 -0.417  -0.779 -0.282  -0.606 -0.179  -0.428 -0.080  -0.303 0.043  -0.156 0.166  0.019 0.274  0.154 0.431  0.300 0.587  0.412 0.748  0.463 0.934  0.463 1.171  0.423 1.399  0.257 1.479  0.117 1.576  -0.018 1.679  -0.231 1.616  -0.356 1.472  -0.414 1.293  -0.414 1.056  -0.414 0.819  -0.400 0.595  -0.311 0.447  -0.286 0.234  -0.168 0.092  -0.104 -0.089  -0.001 -0.223  0.051 -0.409  0.205 -0.491  0.360 -0.574  0.412 -0.760  0.535 -0.889  0.715 -0.997  0.876 -1.107
2#tos#f2#f2016063/(  0.634 1.412  0.550 1.412  0.467 1.412  0.454 1.342  0.420 1.292  0.337 1.292  0.265 1.274  0.227 1.199  0.161 1.172  0.086 1.158  0.049 1.083  0.012 1.009  -0.025 0.934  -0.084 0.875  -0.087 0.793  -0.087 0.709  -0.123 0.637  -0.169 0.568  -0.212 0.496  -0.238 0.417  -0.264 0.338  -0.267 0.255  -0.267 0.172  -0.268 0.089  -0.294 0.010  -0.320 -0.070  -0.327 -0.152  -0.327 -0.235  -0.327 -0.319  -0.327 -0.402  -0.327 -0.485  -0.327 -0.569  -0.327 -0.652  -0.327 -0.735  -0.327 -0.819  -0.316 -0.900  -0.290 -0.979  -0.260 -1.056  -0.201 -1.115  -0.140 -1.169  -0.056 -1.169  0.027 -1.169  0.110 -1.169  0.194 -1.169  0.277 -1.169  0.360 -1.169  0.444 -1.169  0.527 -1.169  0.610 -1.169  0.694 -1.169
2#tos#f2#f2016063/)  -0.469 1.335  -0.476 1.264  -0.554 1.264  -0.612 1.244  -0.585 1.193  -0.507 1.193  -0.436 1.170  -0.371 1.127  -0.306 1.084  -0.238 1.050  -0.160 1.050  -0.091 1.029  -0.042 0.971  -0.031 0.897  0.024 0.842  0.061 0.774  0.096 0.704  0.138 0.639  0.181 0.574  0.224 0.509  0.244 0.437  0.244 0.359  0.244 0.281  0.244 0.203  0.244 0.125  0.244 0.047  0.244 -0.031  0.244 -0.109  0.244 -0.187  0.244 -0.265  0.244 -0.343  0.244 -0.421  0.244 -0.499  0.244 -0.577  0.215 -0.648  0.180 -0.718  0.172 -0.794  0.172 -0.872  0.172 -0.950  0.172 -1.028  0.163 -1.104  0.120 -1.168  0.076 -1.233  0.033 -1.298  -0.002 -1.368  -0.037 -1.437  -0.090 -1.494  -0.145 -1.549  -0.200 -1.605  -0.255 -1.660
2#tos#f2#f2016063/,  1.029 1.299  0.997 1.235  0.966 1.172  0.934 1.109  0.903 1.046  0.871 0.983  0.839 0.919  0.788 0.887  0.718 0.887  0.647 0.887  0.593 0.854  0.550 0.798  0.508 0.741  0.466 0.685  0.423 0.628  0.381 0.571  0.338 0.515  0.296 0.458  0.253 0.402  0.211 0.345  0.169 0.289  0.126 0.232  0.084 0.176  0.041 0.119  -0.001 0.062  -0.040 0.004  -0.079 -0.055  -0.119 -0.114  -0.158 -0.173  -0.197 -0.232  -0.236 -0.291  -0.275 -0.349  -0.315 -0.408  -0.354 -0.467  -0.393 -0.526  -0.434 -0.583  -0.476 -0.640  -0.519 -0.697  -0.561 -0.753  -0.604 -0.810  -0.646 -0.866  -0.689 -0.923  -0.731 -0.979  -0.773 -1.036  -0.816 -1.092  -0.858 -1.149  -0.901 -1.206  -0.943 -1.262  -0.985 -1.319  -1.028 -1.375
2#tos#f2#f2016063/:  0.305 1.540  0.227 1.540  0.150 1.540  0.072 1.540  0.021 1.514  0.021 1.436  0.021 1.359  0.021 1.281  0.021 1.204  0.021 1.127  0.021 1.049  0.021 0.972  0.021 0.894  0.021 0.817  0.021 0.739  0.021 0.662  0.021 0.584  0.021 0.507  0.021 0.429  0.021 0.352  0.021 0.275  0.024 0.197  0.039 0.122  0.054 0.046  0.070 -0.030  0.085 -0.106  0.100 -0.182  0.115 -0.258  0.115 -0.336  0.115 -0.413  0.115 -0.491  0.115 -0.568  0.115 -0.645  0.115 -0.723  0.047 -0.732  -0.031 -0.732  -0.108 -0.732  -0.169 -0.749  -0.169 -0.826  -0.169 -0.904  -0.169 -0.981  -0.169 -1.059  -0.169 -1.136  -0.169 -1.213  -0.169 -1.291  -0.169 -1.368  -0.169 -1.446  -0.169 -1.523  -0.169 -1.601  -0.169 -1.678
2#tos#f2#f2016063/;  0.137 1.635  0.084 1.582  0.031 1.529  -0.024 1.483  -0.091 1.475  -0.090 1.400  -0.081 1.326  -0.071 1.252  -0.061 1.178  -0.052 1.103  -0.042 1.029  -0.032 0.955  -0.023 0.881  -0.013 0.807  -0.003 0.733  0.006 0.658  0.016 0.584  0.026 0.510  0.035 0.436  0.045 0.362  0.055 0.288  0.064 0.213  0.074 0.139  0.084 0.065  0.093 -0.009  0.103 -0.083  0.113 -0.157  0.122 -0.232  0.132 -0.306  0.137 -0.380  0.137 -0.455  0.102 -0.495  0.027 -0.495  -0.015 -0.527  -0.015 -0.602  -0.015 -0.677  -0.015 -0.752  -0.015 -0.826  -0.024 -0.900  -0.047 -0.971  -0.071 -1.042  -0.091 -1.113  -0.091 -1.188  -0.091 -1.263  -0.091 -1.338  -0.091 -1.412  -0.091 -1.487  -0.091 -1.562  -0.091 -1.637  -0.091 -1.712
2#tos#f2#f2016063/>  -0.339 1.134  -0.396 1.045  -0.427 0.958  -0.538 0.940  -0.649 0.921  -0.761 0.906  -0.850 0.850  -0.877 0.792  -0.764 0.792  -0.708 0.736  -0.595 0.736  -0.482 0.736  -0.370 0.736  -0.257 0.736  -0.225 0.655  -0.202 0.565  -0.089 0.565  0.024 0.565  0.137 0.565  0.249 0.565  0.362 0.565  0.475 0.565  0.588 0.565  0.693 0.533  0.743 0.451  0.743 0.338  0.799 0.282  0.799 0.169  0.799 0.056  0.730 -0.030  0.679 -0.131  0.629 -0.232  0.566 -0.326  0.501 -0.417  0.421 -0.497  0.384 -0.600  0.362 -0.710  0.326 -0.810  0.225 -0.861  0.124 -0.911  0.063 -1.004  0.005 -1.101  -0.053 -1.198  -0.159 -1.234  -0.256 -1.287  -0.336 -1.367  -0.415 -1.447  -0.495 -1.526  -0.561 -1.618  -0.623 -1.712
2#tos#f2#f2016063/?  -0.685 0.809  -0.786 0.782  -0.882 0.734  -0.890 0.680  -0.788 0.714  -0.696 0.752  -0.612 0.809  -0.505 0.809  -0.415 0.850  -0.329 0.901  -0.221 0.902  -0.117 0.928  -0.012 0.947  0.095 0.947  0.202 0.947  0.309 0.947  0.412 0.917  0.514 0.894  0.589 0.818  0.690 0.806  0.690 0.699  0.690 0.591  0.667 0.489  0.619 0.393  0.579 0.294  0.536 0.198  0.461 0.122  0.413 0.026  0.369 -0.071  0.344 -0.153  0.236 -0.153  0.231 -0.255  0.159 -0.290  0.121 -0.374  0.061 -0.461  0.002 -0.544  -0.043 -0.632  -0.043 -0.740  -0.050 -0.840  -0.089 -0.908  -0.148 -0.991  -0.224 -1.067  -0.227 -1.173  -0.227 -1.280  -0.227 -1.388  -0.227 -1.495  -0.193 -1.594  -0.157 -1.689  -0.105 -1.757  -0.089 -1.848
2#tos#f2#f2016063/[  0.492 1.464  0.492 1.488  0.431 1.433  0.347 1.392  0.264 1.350  0.259 1.260  0.195 1.230  0.142 1.191  0.142 1.098  0.142 1.005  0.061 0.970  -0.027 0.940  -0.095 0.877  -0.165 0.821  -0.244 0.787  -0.309 0.721  -0.279 0.704  -0.326 0.659  -0.326 0.565  -0.326 0.472  -0.326 0.379  -0.326 0.286  -0.326 0.193  -0.326 0.100  -0.309 0.009  -0.280 -0.079  -0.268 -0.170  -0.268 -0.263  -0.268 -0.356  -0.268 -0.449  -0.268 -0.543  -0.268 -0.636  -0.268 -0.729  -0.268 -0.822  -0.268 -0.915  -0.268 -1.008  -0.268 -1.101  -0.241 -1.168  -0.148 -1.168  -0.057 -1.156  0.031 -1.127  0.122 -1.109  0.215 -1.109  0.308 -1.109  0.401 -1.109  0.494 -1.109  0.584 -1.093  0.667 -1.051  0.755 -1.022  0.843 -0.992
2#tos#f2#f2016063/]  -0.803 0.914  -0.925 0.914  -1.044 0.911  -1.044 0.789  -1.044 0.667  -0.981 0.645  -0.866 0.674  -0.744 0.674  -0.622 0.674  -0.500 0.674  -0.381 0.678  -0.326 0.787  -0.208 0.794  -0.098 0.846  0.011 0.901  0.126 0.929  0.237 0.974  0.360 0.974  0.458 0.951  0.458 0.829  0.485 0.734  0.544 0.661  0.639 0.598  0.639 0.475  0.639 0.353  0.639 0.231  0.639 0.109  0.639 -0.013  0.639 -0.135  0.639 -0.257  0.639 -0.379  0.639 -0.501  0.603 -0.588  0.579 -0.685  0.539 -0.768  0.458 -0.844  0.380 -0.888  0.278 -0.908  0.196 -0.948  0.087 -0.969  0.026 -1.068  -0.096 -1.068  -0.209 -1.082  -0.265 -1.188  -0.387 -1.188  -0.503 -1.195  -0.435 -1.245  -0.326 -1.190  -0.264 -1.128  -0.142 -1.128
