3#apb#apb41#app4138/W  -1.093 0.736  -1.093 0.691  -1.099 0.505  -1.104 0.319  -1.099 0.133  -1.095 -0.053  -1.093 -0.239  -1.093 -0.425  -1.084 -0.610  -1.046 -0.793  -0.935 -0.931  -0.758 -0.955  -0.615 -0.842  -0.482 -0.713  -0.382 -0.556  -0.283 -0.399  -0.203 -0.231  -0.126 -0.061  -0.075 0.116  -0.041 0.299  -0.021 0.484  -0.015 0.670  -0.023 0.855  -0.029 0.832  -0.016 0.647  -0.006 0.461  0.003 0.275  0.011 0.089  0.004 -0.097  -0.004 -0.283  -0.011 -0.469  0.016 -0.653  0.047 -0.836  0.193 -0.951  0.377 -0.965  0.537 -0.885  0.682 -0.771  0.783 -0.614  0.882 -0.457  0.941 -0.281  1.000 -0.104  1.031 0.079  1.056 0.264  1.065 0.449  1.056 0.635  1.047 0.821  1.035 1.006  1.022 1.192  1.043 1.377  1.092 1.242
3#apb#apb41#app4138/a  0.253 0.457  0.293 0.627  0.375 0.788  0.364 0.943  0.202 0.982  0.021 0.959  -0.144 0.883  -0.309 0.804  -0.472 0.722  -0.613 0.609  -0.746 0.484  -0.878 0.358  -1.003 0.225  -1.128 0.092  -1.238 -0.052  -1.335 -0.207  -1.413 -0.370  -1.466 -0.545  -1.426 -0.711  -1.265 -0.798  -1.094 -0.837  -0.911 -0.830  -0.729 -0.822  -0.556 -0.771  -0.387 -0.703  -0.217 -0.635  -0.064 -0.539  0.084 -0.431  0.231 -0.324  0.365 -0.201  0.495 -0.072  0.603 0.073  0.693 0.232  0.739 0.402  0.738 0.584  0.690 0.760  0.590 0.792  0.546 0.615  0.511 0.436  0.494 0.254  0.478 0.073  0.495 -0.109  0.516 -0.290  0.619 -0.440  0.754 -0.557  0.913 -0.643  1.093 -0.673  1.269 -0.635  1.424 -0.545  1.550 -0.415
3#apb#apb41#app4138/s  0.818 0.300  0.847 0.445  0.858 0.592  0.836 0.735  0.770 0.868  0.640 0.921  0.497 0.960  0.351 0.953  0.204 0.933  0.058 0.913  -0.086 0.876  -0.228 0.836  -0.371 0.797  -0.509 0.747  -0.642 0.680  -0.774 0.614  -0.907 0.548  -1.041 0.486  -1.169 0.415  -1.144 0.305  -1.017 0.261  -0.869 0.261  -0.721 0.261  -0.573 0.261  -0.425 0.261  -0.277 0.261  -0.130 0.243  0.017 0.223  0.163 0.203  0.308 0.171  0.453 0.139  0.587 0.083  0.712 0.003  0.774 -0.125  0.817 -0.266  0.775 -0.407  0.730 -0.548  0.668 -0.680  0.571 -0.791  0.473 -0.903  0.367 -1.005  0.253 -1.099  0.139 -1.193  0.013 -1.270  -0.121 -1.333  -0.254 -1.396  -0.399 -1.417  -0.547 -1.426  -0.683 -1.382  -0.813 -1.311
3#apb#apb41#app4138/h  -0.309 1.710  -0.302 1.810  -0.227 1.859  -0.191 1.750  -0.190 1.636  -0.190 1.522  -0.192 1.408  -0.195 1.293  -0.198 1.179  -0.202 1.065  -0.210 0.951  -0.222 0.837  -0.234 0.724  -0.246 0.610  -0.259 0.496  -0.279 0.384  -0.298 0.271  -0.318 0.159  -0.338 0.046  -0.356 -0.067  -0.371 -0.180  -0.387 -0.293  -0.402 -0.406  -0.412 -0.520  -0.422 -0.634  -0.408 -0.745  -0.360 -0.848  -0.265 -0.861  -0.176 -0.793  -0.092 -0.716  -0.015 -0.631  0.060 -0.546  0.136 -0.460  0.211 -0.374  0.286 -0.288  0.370 -0.210  0.459 -0.145  0.541 -0.193  0.569 -0.301  0.557 -0.415  0.546 -0.528  0.532 -0.642  0.517 -0.755  0.502 -0.868  0.481 -0.981  0.461 -1.093  0.454 -1.207  0.462 -1.320  0.524 -1.389  0.599 -1.302
3#apb#apb41#app4138/i  0.006 0.977  -0.029 1.047  -0.064 1.117  0.007 1.143  0.081 1.168  0.155 1.193  0.230 1.217  0.284 1.268  0.327 1.332  0.327 1.254  0.327 1.176  0.327 1.097  0.320 1.019  0.312 0.941  0.304 0.864  0.295 0.786  0.287 0.708  0.279 0.630  0.271 0.552  0.263 0.474  0.252 0.397  0.226 0.323  0.200 0.249  0.174 0.175  0.149 0.101  0.123 0.027  0.097 -0.046  0.071 -0.120  0.045 -0.194  0.019 -0.268  -0.008 -0.341  -0.037 -0.414  -0.066 -0.487  -0.095 -0.560  -0.125 -0.632  -0.154 -0.705  -0.183 -0.778  -0.212 -0.850  -0.241 -0.923  -0.270 -0.996  -0.302 -1.067  -0.334 -1.138  -0.367 -1.209  -0.400 -1.281  -0.433 -1.352  -0.466 -1.423  -0.492 -1.495  -0.492 -1.573  -0.492 -1.652  -0.492 -1.730
3#apb#apb41#app4138/n  -0.725 0.568  -0.622 0.638  -0.600 0.475  -0.647 0.311  -0.719 0.157  -0.806 0.009  -0.898 -0.134  -1.003 -0.270  -1.107 -0.405  -1.210 -0.542  -1.153 -0.590  -1.006 -0.502  -0.861 -0.411  -0.730 -0.305  -0.624 -0.170  -0.530 -0.029  -0.471 0.131  -0.412 0.292  -0.355 0.453  -0.298 0.615  -0.243 0.777  -0.236 0.749  -0.259 0.580  -0.291 0.412  -0.323 0.243  -0.340 0.073  -0.354 -0.097  -0.362 -0.268  -0.344 -0.438  -0.326 -0.608  -0.212 -0.735  -0.076 -0.827  0.089 -0.871  0.256 -0.868  0.424 -0.834  0.585 -0.784  0.723 -0.684  0.862 -0.584  0.981 -0.463  1.089 -0.330  1.181 -0.189  1.228 -0.025  1.276 0.140  1.305 0.308  1.327 0.478  1.349 0.648  1.360 0.818  1.372 0.989  1.386 1.134  1.349 0.967
3#apb#apb41#app4138/g  0.352 0.912  0.456 1.029  0.469 1.169  0.330 1.235  0.177 1.251  0.023 1.224  -0.120 1.163  -0.257 1.087  -0.373 0.984  -0.479 0.869  -0.537 0.723  -0.543 0.571  -0.493 0.432  -0.369 0.336  -0.228 0.271  -0.080 0.219  0.073 0.191  0.229 0.177  0.386 0.175  0.542 0.184  0.697 0.210  0.777 0.266  0.677 0.387  0.578 0.509  0.533 0.650  0.632 0.723  0.632 0.568  0.624 0.411  0.579 0.261  0.535 0.110  0.489 -0.040  0.439 -0.188  0.389 -0.337  0.340 -0.486  0.257 -0.619  0.173 -0.751  0.088 -0.883  -0.002 -1.012  -0.093 -1.140  -0.187 -1.265  -0.293 -1.380  -0.420 -1.469  -0.565 -1.496  -0.704 -1.431  -0.818 -1.326  -0.907 -1.197  -0.954 -1.049  -0.994 -0.897  -1.018 -0.742  -1.042 -0.587
3#apb#apb41#app4138/t  0.678 1.556  0.639 1.616  0.617 1.440  0.591 1.264  0.565 1.089  0.541 0.913  0.517 0.737  0.493 0.561  0.461 0.386  0.421 0.213  0.381 0.040  0.342 -0.133  0.302 -0.306  0.252 -0.476  0.203 -0.647  0.154 -0.818  0.113 -0.990  0.083 -1.165  0.060 -1.341  0.060 -1.518  0.082 -1.605  0.039 -1.442  -0.048 -1.287  -0.135 -1.132  -0.222 -0.978  -0.309 -0.823  -0.396 -0.668  -0.483 -0.513  -0.570 -0.359  -0.658 -0.204  -0.745 -0.049  -0.832 0.106  -0.919 0.260  -1.006 0.415  -1.093 0.570  -1.177 0.595  -1.051 0.470  -0.894 0.399  -0.723 0.350  -0.549 0.314  -0.374 0.283  -0.198 0.274  -0.020 0.281  0.157 0.290  0.334 0.307  0.510 0.325  0.687 0.335  0.865 0.335  1.041 0.347  1.215 0.384
3#apb#apb41#app4138/o  -0.809 -0.388  -0.685 -0.248  -0.560 -0.108  -0.435 0.031  -0.309 0.169  -0.192 0.307  -0.322 0.363  -0.490 0.279  -0.606 0.136  -0.713 -0.017  -0.786 -0.188  -0.841 -0.366  -0.814 -0.551  -0.709 -0.701  -0.574 -0.818  -0.388 -0.840  -0.202 -0.862  -0.017 -0.873  0.168 -0.842  0.353 -0.811  0.537 -0.779  0.709 -0.704  0.880 -0.629  1.052 -0.554  1.206 -0.448  1.359 -0.341  1.413 -0.169  1.447 0.015  1.381 0.186  1.301 0.356  1.221 0.525  1.099 0.659  0.946 0.768  0.794 0.876  0.636 0.977  0.474 1.071  0.312 1.137  0.150 1.044  -0.013 0.951  -0.168 0.849  -0.310 0.726  -0.451 0.603  -0.593 0.481  -0.693 0.324  -0.787 0.162  -0.881 0.000  -0.974 -0.162  -1.006 -0.347  -1.039 -0.531  -1.071 -0.716
3#apb#apb41#app4138/n  -0.786 0.483  -0.664 0.565  -0.678 0.492  -0.782 0.388  -0.883 0.282  -0.983 0.175  -1.052 0.047  -1.114 -0.086  -1.183 -0.215  -1.251 -0.345  -1.145 -0.413  -1.006 -0.383  -0.873 -0.321  -0.766 -0.222  -0.672 -0.110  -0.596 0.015  -0.537 0.146  -0.516 0.291  -0.490 0.435  -0.456 0.578  -0.422 0.716  -0.459 0.595  -0.480 0.450  -0.493 0.304  -0.484 0.161  -0.438 0.022  -0.392 -0.117  -0.295 -0.226  -0.195 -0.333  -0.082 -0.422  0.051 -0.484  0.184 -0.545  0.322 -0.591  0.467 -0.610  0.612 -0.628  0.757 -0.633  0.902 -0.611  1.047 -0.589  1.181 -0.532  1.312 -0.467  1.399 -0.359  1.457 -0.225  1.434 -0.082  1.402 0.061  1.368 0.203  1.331 0.345  1.294 0.487  1.257 0.628  1.220 0.770  1.177 0.910
3#apb#apb41#app4138/T  0.113 0.875  0.149 0.826  0.196 0.660  0.196 0.486  0.194 0.312  0.173 0.139  0.152 -0.034  0.123 -0.205  0.086 -0.375  0.048 -0.545  0.010 -0.715  -0.029 -0.885  -0.068 -1.055  -0.100 -1.226  -0.129 -1.398  -0.120 -1.570  -0.036 -1.663  0.060 -1.518  0.140 -1.364  0.206 -1.204  0.237 -1.033  0.199 -0.877  0.098 -0.735  -0.003 -0.593  -0.105 -0.452  -0.206 -0.310  -0.308 -0.168  -0.409 -0.027  -0.510 0.115  -0.612 0.256  -0.771 0.316  -0.941 0.346  -1.115 0.346  -1.133 0.351  -0.961 0.378  -0.796 0.431  -0.634 0.495  -0.472 0.559  -0.307 0.613  -0.141 0.667  0.025 0.721  0.189 0.779  0.351 0.843  0.513 0.906  0.676 0.969  0.842 1.020  1.009 1.071  1.175 1.123  1.339 1.181  1.409 1.168
3#apb#apb41#app4138/e  -0.667 -0.348  -0.738 -0.224  -0.703 -0.312  -0.584 -0.431  -0.418 -0.437  -0.258 -0.396  -0.103 -0.332  0.050 -0.263  0.194 -0.174  0.337 -0.086  0.480 0.003  0.600 0.121  0.719 0.240  0.838 0.359  0.926 0.502  1.015 0.646  1.032 0.813  0.982 0.966  0.897 1.111  0.750 1.179  0.590 1.233  0.424 1.246  0.255 1.246  0.095 1.214  -0.052 1.133  -0.200 1.052  -0.327 0.948  -0.422 0.809  -0.517 0.670  -0.611 0.531  -0.680 0.378  -0.746 0.223  -0.812 0.068  -0.869 -0.089  -0.885 -0.257  -0.901 -0.424  -0.882 -0.586  -0.811 -0.739  -0.722 -0.873  -0.568 -0.941  -0.414 -1.009  -0.251 -1.039  -0.083 -1.046  0.085 -1.053  0.252 -1.044  0.416 -1.007  0.581 -0.970  0.743 -0.925  0.901 -0.869  1.060 -0.813
