3#apa#apa13#app1388/T  0.091 0.820  0.160 0.682  0.170 0.530  0.170 0.376  0.170 0.222  0.170 0.067  0.170 -0.087  0.170 -0.241  0.170 -0.396  0.170 -0.550  0.170 -0.705  0.170 -0.859  0.170 -1.013  0.169 -1.167  0.091 -1.289  0.091 -1.444  0.091 -1.598  0.046 -1.545  -0.017 -1.404  -0.080 -1.263  -0.143 -1.122  -0.206 -0.981  -0.270 -0.840  -0.333 -0.699  -0.396 -0.559  -0.459 -0.418  -0.522 -0.277  -0.585 -0.136  -0.648 0.005  -0.712 0.146  -0.775 0.287  -0.838 0.427  -0.901 0.568  -0.890 0.661  -0.815 0.741  -0.661 0.741  -0.507 0.741  -0.352 0.741  -0.199 0.750  -0.053 0.799  0.098 0.820  0.251 0.837  0.402 0.867  0.553 0.897  0.708 0.900  0.862 0.900  1.003 0.958  1.149 0.992  1.288 1.059  1.442 1.059
3#apa#apa13#app1388/w  -1.359 0.498  -1.222 0.498  -1.170 0.413  -1.170 0.276  -1.170 0.138  -1.170 0.001  -1.170 -0.136  -1.170 -0.273  -1.170 -0.411  -1.100 -0.519  -1.068 -0.639  -0.931 -0.639  -0.794 -0.639  -0.696 -0.544  -0.573 -0.483  -0.462 -0.405  -0.365 -0.308  -0.268 -0.211  -0.222 -0.093  -0.141 0.011  -0.128 0.143  -0.128 0.280  -0.142 0.403  -0.222 0.347  -0.222 0.209  -0.222 0.072  -0.222 -0.065  -0.222 -0.202  -0.166 -0.316  -0.054 -0.392  0.070 -0.450  0.207 -0.450  0.344 -0.450  0.477 -0.431  0.600 -0.370  0.733 -0.351  0.855 -0.290  0.965 -0.210  1.062 -0.113  1.159 -0.016  1.256 0.081  1.293 0.203  1.350 0.327  1.388 0.455  1.388 0.592  1.358 0.717  1.293 0.828  1.205 0.877  1.106 0.969  1.009 1.066
3#apa#apa13#app1388/o  -1.116 0.110  -1.116 -0.013  -1.116 -0.136  -1.116 -0.258  -1.116 -0.381  -1.052 -0.478  -0.985 -0.573  -0.971 -0.690  -0.884 -0.777  -0.774 -0.807  -0.651 -0.807  -0.528 -0.807  -0.405 -0.807  -0.282 -0.807  -0.160 -0.807  -0.037 -0.807  0.079 -0.791  0.166 -0.704  0.278 -0.676  0.400 -0.676  0.504 -0.629  0.591 -0.543  0.701 -0.488  0.811 -0.433  0.906 -0.357  0.993 -0.270  1.079 -0.184  1.111 -0.074  1.111 0.049  1.111 0.172  1.057 0.241  0.980 0.287  0.947 0.389  0.837 0.444  0.727 0.499  0.638 0.583  0.551 0.670  0.464 0.757  0.351 0.800  0.234 0.839  0.118 0.878  -0.002 0.896  -0.125 0.896  -0.248 0.896  -0.371 0.896  -0.493 0.896  -0.616 0.896  -0.739 0.896  -0.862 0.896  -0.985 0.896
3#apa#apa13#app1388/f  0.195 0.018  0.354 0.087  0.423 0.246  0.464 0.416  0.498 0.590  0.554 0.754  0.554 0.941  0.554 1.128  0.535 1.311  0.464 1.482  0.464 1.669  0.330 1.722  0.195 1.669  0.098 1.521  0.039 1.343  -0.020 1.165  -0.074 0.986  -0.074 0.799  -0.074 0.612  -0.133 0.438  -0.164 0.258  -0.164 0.071  -0.164 -0.117  -0.140 -0.298  -0.074 -0.470  -0.074 -0.657  -0.009 -0.829  0.058 -1.004  0.106 -1.184  0.195 -1.281  0.195 -1.469  0.082 -1.409  -0.061 -1.287  -0.203 -1.165  -0.345 -1.043  -0.487 -0.921  -0.630 -0.800  -0.772 -0.678  -0.914 -0.556  -1.056 -0.434  -0.879 -0.430  -0.721 -0.359  -0.541 -0.341  -0.354 -0.341  -0.166 -0.341  0.021 -0.341  0.208 -0.341  0.396 -0.341  0.575 -0.361  0.733 -0.430
3#apa#apa13#app1388/l  0.102 1.663  0.052 1.613  0.003 1.563  -0.022 1.503  -0.022 1.433  -0.022 1.363  -0.022 1.293  -0.022 1.223  -0.022 1.152  -0.022 1.082  -0.022 1.012  -0.022 0.942  -0.022 0.872  -0.022 0.802  -0.022 0.731  -0.022 0.661  -0.022 0.591  -0.022 0.521  -0.022 0.451  -0.022 0.381  -0.022 0.310  -0.022 0.240  -0.022 0.170  -0.022 0.100  -0.022 0.030  -0.022 -0.040  -0.022 -0.111  -0.022 -0.181  -0.022 -0.251  -0.022 -0.321  -0.022 -0.391  -0.022 -0.461  -0.022 -0.532  -0.022 -0.602  -0.022 -0.672  -0.022 -0.742  -0.022 -0.812  -0.022 -0.883  -0.022 -0.953  -0.022 -1.023  -0.022 -1.093  -0.022 -1.163  0.017 -1.217  0.066 -1.267  0.102 -1.323  0.102 -1.393  0.102 -1.463  0.102 -1.533  0.102 -1.603  0.102 -1.673
3#apa#apa13#app1388/o  -0.918 0.206  -0.918 0.083  -0.918 -0.040  -0.918 -0.163  -0.918 -0.286  -0.918 -0.409  -0.897 -0.523  -0.810 -0.610  -0.777 -0.719  -0.720 -0.785  -0.608 -0.812  -0.521 -0.899  -0.410 -0.926  -0.287 -0.926  -0.164 -0.926  -0.041 -0.926  0.082 -0.926  0.205 -0.926  0.328 -0.926  0.355 -0.831  0.424 -0.750  0.534 -0.695  0.643 -0.639  0.730 -0.552  0.780 -0.450  0.813 -0.360  0.921 -0.345  0.921 -0.222  0.921 -0.099  0.921 0.023  0.921 0.146  0.876 0.251  0.789 0.338  0.780 0.456  0.689 0.489  0.587 0.540  0.500 0.627  0.399 0.696  0.296 0.764  0.194 0.832  0.092 0.900  0.002 0.983  -0.089 1.065  -0.199 1.119  -0.309 1.174  -0.427 1.196  -0.550 1.196  -0.672 1.196  -0.795 1.196  -0.918 1.196
3#apa#apa13#app1388/w  -1.309 0.656  -1.309 0.507  -1.309 0.357  -1.409 0.249  -1.409 0.099  -1.405 -0.050  -1.338 -0.184  -1.309 -0.327  -1.209 -0.377  -1.124 -0.441  -0.974 -0.441  -0.825 -0.441  -0.689 -0.381  -0.549 -0.342  -0.432 -0.263  -0.326 -0.157  -0.220 -0.051  -0.114 0.055  -0.012 0.162  -0.012 0.312  -0.012 0.462  -0.066 0.557  -0.186 0.483  -0.211 0.344  -0.211 0.194  -0.211 0.044  -0.211 -0.106  -0.211 -0.255  -0.166 -0.386  -0.061 -0.492  0.069 -0.541  0.219 -0.541  0.368 -0.541  0.518 -0.541  0.644 -0.484  0.776 -0.441  0.886 -0.402  0.976 -0.342  1.114 -0.314  1.220 -0.208  1.326 -0.102  1.385 0.023  1.385 0.173  1.385 0.323  1.374 0.468  1.268 0.574  1.163 0.679  1.045 0.756  0.922 0.821  0.787 0.856
3#apa#apa13#app1388/e  -1.007 -0.384  -0.889 -0.502  -0.734 -0.532  -0.567 -0.532  -0.400 -0.532  -0.269 -0.496  -0.230 -0.346  -0.122 -0.224  -0.099 -0.066  0.019 0.051  0.173 0.068  0.194 0.226  0.312 0.344  0.321 0.507  0.321 0.674  0.321 0.841  0.321 1.008  0.321 1.175  0.321 1.341  0.197 1.385  0.031 1.385  -0.132 1.375  -0.250 1.257  -0.368 1.139  -0.486 1.021  -0.564 0.887  -0.598 0.728  -0.672 0.579  -0.712 0.421  -0.712 0.254  -0.712 0.088  -0.712 -0.079  -0.708 -0.245  -0.633 -0.394  -0.551 -0.532  -0.394 -0.555  -0.276 -0.673  -0.158 -0.791  -0.018 -0.879  0.131 -0.953  0.293 -0.974  0.459 -0.974  0.618 -0.924  0.776 -0.872  0.936 -0.827  1.103 -0.827  1.251 -0.781  1.375 -0.679  1.530 -0.650  1.648 -0.532
3#apa#apa13#app1388/r  -0.875 0.028  -0.818 -0.086  -0.760 -0.200  -0.734 -0.322  -0.694 -0.433  -0.604 -0.523  -0.594 -0.647  -0.594 -0.774  -0.594 -0.902  -0.518 -0.954  -0.454 -1.017  -0.403 -1.094  -0.313 -1.132  -0.313 -1.209  -0.300 -1.094  -0.173 -1.094  -0.173 -0.966  -0.173 -0.838  -0.173 -0.711  -0.173 -0.583  -0.173 -0.455  -0.202 -0.334  -0.259 -0.220  -0.313 -0.105  -0.313 0.023  -0.400 0.115  -0.454 0.220  -0.492 0.309  -0.594 0.335  -0.581 0.449  -0.453 0.450  -0.363 0.540  -0.256 0.590  -0.128 0.590  -0.000 0.590  0.128 0.590  0.255 0.590  0.383 0.590  0.475 0.676  0.580 0.730  0.708 0.730  0.836 0.730  0.963 0.730  1.091 0.730  1.205 0.788  1.319 0.845  1.441 0.870  1.563 0.896  1.677 0.953  1.791 1.010
3#apa#apa13#app1388/h  -0.394 1.671  -0.458 1.753  -0.476 1.626  -0.495 1.488  -0.558 1.369  -0.558 1.224  -0.558 1.079  -0.558 0.933  -0.558 0.788  -0.558 0.643  -0.558 0.497  -0.558 0.352  -0.558 0.207  -0.558 0.061  -0.558 -0.084  -0.558 -0.229  -0.558 -0.375  -0.558 -0.520  -0.558 -0.665  -0.558 -0.811  -0.555 -0.953  -0.476 -1.019  -0.394 -0.986  -0.344 -0.853  -0.312 -0.715  -0.221 -0.606  -0.156 -0.476  -0.108 -0.339  -0.056 -0.205  0.016 -0.089  0.027 0.054  0.092 0.184  0.157 0.314  0.189 0.450  0.304 0.523  0.418 0.449  0.468 0.313  0.508 0.174  0.545 0.038  0.610 -0.092  0.672 -0.223  0.704 -0.361  0.777 -0.484  0.880 -0.587  0.918 -0.717  0.970 -0.841  1.072 -0.944  1.211 -0.969  1.349 -1.015  1.491 -1.035
3#apa#apa13#app1388/a  0.540 0.347  0.507 0.516  0.403 0.656  0.322 0.758  0.176 0.847  0.047 0.977  -0.113 1.031  -0.296 1.031  -0.478 1.031  -0.650 0.984  -0.813 0.902  -0.945 0.777  -1.075 0.648  -1.204 0.519  -1.333 0.390  -1.375 0.224  -1.375 0.042  -1.375 -0.141  -1.288 -0.287  -1.159 -0.417  -1.030 -0.546  -0.874 -0.610  -0.691 -0.610  -0.508 -0.610  -0.326 -0.610  -0.143 -0.610  0.040 -0.610  0.222 -0.610  0.364 -0.512  0.531 -0.474  0.663 -0.350  0.792 -0.221  0.921 -0.092  0.950 0.079  0.950 0.261  0.882 0.416  0.727 0.484  0.545 0.484  0.511 0.318  0.403 0.180  0.403 -0.003  0.403 -0.185  0.403 -0.368  0.427 -0.547  0.485 -0.720  0.550 -0.884  0.732 -0.884  0.885 -0.956  1.041 -1.021  1.224 -1.021
