1c#apb#apb15#app1524/i  0.084 0.007  0.010 0.077  0.009 -0.024  -0.007 -0.132  -0.024 -0.240  -0.042 -0.347  -0.075 -0.451  -0.107 -0.555  -0.140 -0.659  -0.172 -0.763  -0.204 -0.868  -0.236 -0.972  -0.265 -1.077  -0.284 -1.184  -0.304 -1.292  -0.309 -1.400  -0.273 -1.438  -0.205 -1.361  -0.188 -1.253  -0.170 -1.146  -0.152 -1.038  -0.134 -0.931  -0.116 -0.823  -0.098 -0.715  -0.080 -0.608  -0.062 -0.500  -0.044 -0.393  -0.026 -0.285  -0.008 -0.178  0.010 -0.070  0.028 0.038  0.046 0.145  0.063 0.253  0.081 0.360  0.099 0.468  0.117 0.575  0.135 0.683  0.153 0.791  0.171 0.898  0.189 1.006  0.207 1.113  0.225 1.221  0.243 1.329  0.261 1.436  0.279 1.544  0.297 1.651  0.314 1.759  0.311 1.843  0.212 1.804  0.182 1.700
1c#apb#apb15#app1524/l  0.152 1.671  0.156 1.646  0.166 1.576  0.175 1.505  0.170 1.434  0.166 1.363  0.161 1.292  0.157 1.220  0.152 1.149  0.144 1.079  0.134 1.008  0.125 0.937  0.116 0.867  0.107 0.796  0.097 0.725  0.088 0.655  0.080 0.584  0.072 0.513  0.064 0.442  0.056 0.371  0.048 0.301  0.040 0.230  0.032 0.159  0.025 0.088  0.017 0.017  0.011 -0.054  0.005 -0.125  -0.000 -0.196  -0.006 -0.267  -0.011 -0.338  -0.017 -0.409  -0.022 -0.480  -0.028 -0.551  -0.038 -0.621  -0.055 -0.691  -0.072 -0.760  -0.090 -0.829  -0.107 -0.898  -0.124 -0.967  -0.142 -1.036  -0.154 -1.106  -0.165 -1.177  -0.175 -1.247  -0.186 -1.318  -0.202 -1.387  -0.222 -1.456  -0.237 -1.525  -0.230 -1.467  -0.222 -1.396  -0.214 -1.326
1c#apb#apb15#app1524/l  0.253 1.652  0.198 1.611  0.179 1.550  0.179 1.481  0.179 1.411  0.178 1.342  0.169 1.273  0.161 1.204  0.153 1.135  0.145 1.066  0.134 0.998  0.121 0.929  0.107 0.861  0.094 0.793  0.081 0.725  0.068 0.656  0.055 0.588  0.043 0.520  0.031 0.451  0.020 0.383  0.009 0.314  -0.003 0.245  -0.014 0.177  -0.026 0.108  -0.037 0.040  -0.046 -0.029  -0.053 -0.098  -0.060 -0.167  -0.067 -0.236  -0.074 -0.306  -0.081 -0.375  -0.088 -0.444  -0.095 -0.513  -0.099 -0.582  -0.102 -0.652  -0.105 -0.721  -0.107 -0.791  -0.110 -0.860  -0.113 -0.930  -0.115 -0.999  -0.116 -1.068  -0.116 -1.138  -0.116 -1.207  -0.116 -1.277  -0.116 -1.346  -0.116 -1.416  -0.116 -1.485  -0.116 -1.555  -0.116 -1.624  -0.116 -1.694
1c#apb#apb15#app1524/e  -1.059 -0.169  -0.998 -0.261  -0.838 -0.262  -0.681 -0.226  -0.524 -0.190  -0.366 -0.157  -0.208 -0.129  -0.049 -0.101  0.109 -0.071  0.263 -0.024  0.417 0.024  0.565 0.084  0.706 0.162  0.847 0.240  0.961 0.353  0.969 0.511  0.969 0.672  0.925 0.827  0.828 0.944  0.694 1.033  0.549 1.094  0.391 1.126  0.233 1.158  0.077 1.148  -0.077 1.100  -0.231 1.053  -0.365 0.966  -0.497 0.873  -0.602 0.756  -0.684 0.617  -0.765 0.478  -0.808 0.324  -0.845 0.167  -0.858 0.012  -0.804 -0.140  -0.750 -0.292  -0.675 -0.431  -0.567 -0.550  -0.458 -0.669  -0.343 -0.781  -0.209 -0.870  -0.075 -0.960  0.059 -1.049  0.209 -1.099  0.367 -1.134  0.524 -1.169  0.681 -1.203  0.840 -1.233  0.998 -1.262  1.156 -1.292
1c#apb#apb15#app1524/r  -0.441 0.526  -0.464 0.408  -0.488 0.290  -0.502 0.171  -0.502 0.051  -0.502 -0.070  -0.500 -0.190  -0.481 -0.309  -0.463 -0.428  -0.445 -0.547  -0.409 -0.662  -0.368 -0.775  -0.326 -0.888  -0.282 -1.001  -0.238 -1.112  -0.192 -1.224  -0.138 -1.332  -0.110 -1.419  -0.164 -1.311  -0.218 -1.203  -0.256 -1.089  -0.290 -0.974  -0.320 -0.857  -0.327 -0.737  -0.335 -0.617  -0.342 -0.497  -0.347 -0.377  -0.328 -0.258  -0.309 -0.139  -0.290 -0.020  -0.271 0.099  -0.240 0.213  -0.170 0.311  -0.100 0.410  -0.030 0.508  0.040 0.606  0.123 0.692  0.208 0.778  0.293 0.863  0.385 0.938  0.495 0.989  0.604 1.039  0.714 1.090  0.830 1.113  0.950 1.123  1.070 1.132  1.190 1.144  1.309 1.162  1.428 1.181  1.547 1.199
1c#apb#apb15#app1524/r  -0.618 0.231  -0.632 0.149  -0.615 0.043  -0.586 -0.062  -0.558 -0.166  -0.535 -0.272  -0.518 -0.379  -0.502 -0.486  -0.480 -0.591  -0.448 -0.695  -0.416 -0.798  -0.386 -0.902  -0.365 -1.008  -0.344 -1.114  -0.316 -1.219  -0.289 -1.323  -0.309 -1.303  -0.334 -1.198  -0.358 -1.092  -0.365 -0.985  -0.365 -0.876  -0.359 -0.769  -0.345 -0.661  -0.331 -0.554  -0.316 -0.447  -0.286 -0.343  -0.252 -0.241  -0.217 -0.138  -0.183 -0.035  -0.141 0.064  -0.086 0.157  -0.031 0.250  0.024 0.344  0.078 0.437  0.135 0.529  0.193 0.621  0.250 0.713  0.307 0.804  0.374 0.888  0.458 0.956  0.543 1.023  0.634 1.076  0.740 1.099  0.846 1.123  0.951 1.147  1.057 1.172  1.162 1.195  1.270 1.203  1.378 1.212  1.486 1.220
1c#apb#apb15#app1524/y  -0.244 1.279  -0.310 1.195  -0.333 1.086  -0.340 0.973  -0.330 0.861  -0.320 0.749  -0.312 0.637  -0.269 0.535  -0.206 0.442  -0.136 0.353  -0.029 0.331  0.078 0.355  0.164 0.420  0.229 0.512  0.286 0.609  0.339 0.708  0.377 0.813  0.400 0.924  0.418 1.035  0.429 1.147  0.392 1.076  0.352 0.970  0.315 0.864  0.278 0.758  0.251 0.648  0.224 0.539  0.196 0.430  0.171 0.320  0.147 0.210  0.123 0.100  0.099 -0.011  0.074 -0.121  0.058 -0.232  0.045 -0.344  0.031 -0.456  0.017 -0.568  0.004 -0.680  -0.016 -0.791  -0.036 -0.901  -0.057 -1.012  -0.077 -1.123  -0.097 -1.234  -0.116 -1.345  -0.136 -1.456  -0.175 -1.560  -0.235 -1.655  -0.294 -1.751  -0.381 -1.819  -0.477 -1.879  -0.572 -1.939
1c#apb#apb15#app1524/l  -0.896 -0.955  -0.783 -0.872  -0.679 -0.773  -0.581 -0.667  -0.483 -0.562  -0.381 -0.460  -0.279 -0.358  -0.182 -0.251  -0.087 -0.142  0.008 -0.034  0.092 0.083  0.176 0.200  0.259 0.318  0.324 0.445  0.376 0.580  0.428 0.714  0.480 0.849  0.530 0.984  0.581 1.119  0.632 1.254  0.669 1.393  0.675 1.531  0.557 1.463  0.448 1.369  0.339 1.274  0.243 1.167  0.157 1.052  0.070 0.937  -0.010 0.817  -0.076 0.689  -0.143 0.561  -0.209 0.434  -0.266 0.302  -0.305 0.163  -0.343 0.024  -0.381 -0.115  -0.405 -0.256  -0.405 -0.400  -0.405 -0.544  -0.392 -0.686  -0.343 -0.822  -0.293 -0.957  -0.221 -1.080  -0.135 -1.196  -0.048 -1.311  0.071 -1.392  0.193 -1.468  0.334 -1.496  0.475 -1.479  0.615 -1.446
1c#apb#apb15#app1524/a  0.611 0.276  0.580 0.432  0.548 0.589  0.505 0.742  0.454 0.893  0.383 1.034  0.271 1.141  0.123 1.194  -0.032 1.155  -0.186 1.112  -0.331 1.047  -0.477 0.982  -0.588 0.870  -0.695 0.751  -0.802 0.633  -0.874 0.492  -0.937 0.345  -1.000 0.198  -1.053 0.049  -1.079 -0.109  -1.105 -0.266  -1.105 -0.423  -1.074 -0.580  -1.033 -0.731  -0.920 -0.844  -0.802 -0.949  -0.656 -1.014  -0.510 -1.079  -0.352 -1.087  -0.193 -1.087  -0.059 -1.009  0.069 -0.913  0.181 -0.803  0.279 -0.677  0.377 -0.551  0.448 -0.408  0.514 -0.262  0.579 -0.117  0.638 0.031  0.698 0.179  0.757 0.328  0.795 0.440  0.795 0.280  0.795 0.121  0.795 -0.039  0.795 -0.199  0.833 -0.352  0.901 -0.493  1.014 -0.606  1.127 -0.718
1c#apb#apb15#app1524/t  0.372 1.702  0.282 1.569  0.254 1.409  0.226 1.248  0.186 1.090  0.144 0.932  0.103 0.774  0.091 0.612  0.085 0.449  0.080 0.286  0.075 0.123  0.069 -0.040  0.064 -0.203  0.058 -0.365  0.053 -0.528  0.047 -0.691  0.041 -0.854  0.035 -1.017  0.031 -1.180  0.031 -1.343  0.031 -1.507  0.016 -1.669  -0.003 -1.750  -0.048 -1.593  -0.092 -1.436  -0.136 -1.279  -0.179 -1.122  -0.223 -0.965  -0.267 -0.808  -0.310 -0.651  -0.354 -0.493  -0.398 -0.336  -0.442 -0.179  -0.485 -0.022  -0.529 0.135  -0.573 0.292  -0.616 0.449  -0.660 0.606  -0.650 0.723  -0.487 0.723  -0.325 0.710  -0.162 0.696  0.000 0.681  0.163 0.680  0.326 0.680  0.489 0.680  0.653 0.680  0.816 0.680  0.977 0.698  1.139 0.723
1c#apb#apb15#app1524/e  -1.127 -0.621  -1.015 -0.539  -0.863 -0.499  -0.706 -0.480  -0.552 -0.445  -0.400 -0.399  -0.249 -0.353  -0.100 -0.299  0.049 -0.244  0.195 -0.184  0.336 -0.114  0.478 -0.043  0.614 0.037  0.748 0.121  0.841 0.238  0.892 0.388  0.892 0.546  0.892 0.704  0.843 0.850  0.766 0.988  0.677 1.115  0.540 1.193  0.396 1.243  0.239 1.226  0.082 1.206  -0.074 1.178  -0.230 1.150  -0.363 1.078  -0.475 0.966  -0.577 0.848  -0.636 0.701  -0.695 0.554  -0.716 0.400  -0.716 0.241  -0.716 0.083  -0.678 -0.067  -0.612 -0.211  -0.545 -0.355  -0.471 -0.492  -0.359 -0.604  -0.247 -0.716  -0.135 -0.828  -0.011 -0.924  0.125 -1.006  0.261 -1.087  0.397 -1.169  0.535 -1.244  0.679 -1.311  0.823 -1.377  0.967 -1.443
