1d#tos#t2#t2061062/\"  -0.850 0.315  -0.892 0.229  -1.021 0.229  -1.109 0.187  -1.109 0.059  -1.109 -0.070  -1.109 -0.199  -1.082 -0.317  -1.023 -0.421  -1.023 -0.550  -1.023 -0.679  -1.023 -0.808  -0.993 -0.924  -0.936 -1.030  -0.873 -1.001  -0.784 -0.908  -0.694 -0.815  -0.605 -0.722  -0.516 -0.629  -0.427 -0.536  -0.338 -0.442  -0.248 -0.349  -0.159 -0.256  -0.070 -0.163  0.019 -0.070  0.108 0.023  0.197 0.116  0.287 0.209  0.376 0.302  0.465 0.395  0.554 0.488  0.643 0.581  0.733 0.674  0.822 0.767  0.911 0.861  1.000 0.954  0.994 1.006  0.876 0.962  0.791 0.885  0.791 0.756  0.802 0.629  0.843 0.507  0.890 0.389  0.964 0.291  0.964 0.162  0.964 0.033  0.964 -0.096  0.974 -0.223  1.032 -0.338  1.051 -0.462
1d#tos#t2#t2061062/#  -1.135 0.206  -1.298 0.058  -0.894 0.042  -0.474 0.042  -0.054 0.042  0.353 0.097  0.772 0.097  0.791 0.044  0.386 -0.064  -0.020 -0.172  -0.426 -0.280  -0.831 -0.388  -1.237 -0.497  -1.559 -0.665  -1.139 -0.665  -0.719 -0.665  -0.300 -0.665  0.120 -0.665  0.540 -0.665  0.960 -0.665  1.363 -0.657  1.108 -0.324  0.852 0.009  0.597 0.342  0.341 0.675  0.085 1.008  -0.170 1.341  -0.426 1.674  -0.536 1.367  -0.495 0.953  -0.481 0.536  -0.427 0.120  -0.427 -0.299  -0.384 -0.715  -0.373 -1.134  -0.253 -1.039  -0.137 -0.635  -0.020 -0.232  0.096 0.172  0.212 0.575  0.329 0.978  0.445 1.382  0.457 1.345  0.444 0.926  0.570 0.535  0.607 0.121  0.638 -0.291  0.662 -0.706  0.716 -1.117  0.771 -1.482
1d#tos#t2#t2061062/$  0.594 0.564  0.532 0.564  0.366 0.667  0.132 0.702  -0.102 0.667  -0.259 0.530  -0.459 0.461  -0.470 0.204  -0.424 -0.019  -0.238 -0.122  -0.073 -0.225  0.140 -0.324  0.328 -0.414  0.528 -0.568  0.625 -0.740  0.663 -0.970  0.556 -1.153  0.329 -1.220  0.095 -1.254  -0.173 -1.254  -0.401 -1.194  -0.593 -1.117  -0.553 -0.869  -0.495 -0.606  -0.438 -0.344  -0.381 -0.082  -0.324 0.180  -0.266 0.442  -0.209 0.705  -0.152 0.967  -0.095 1.229  -0.037 1.491  0.020 1.754  0.001 1.756  -0.058 1.532  -0.058 1.264  0.021 1.142  0.011 1.197  0.025 0.942  0.082 0.728  0.093 0.460  0.104 0.192  0.115 -0.076  0.125 -0.344  0.136 -0.613  0.147 -0.881  0.079 -1.107  0.114 -1.370  0.148 -1.604  0.148 -1.872
1d#tos#t2#t2061062/'  0.398 1.553  0.322 1.553  0.282 1.518  0.282 1.442  0.282 1.366  0.252 1.319  0.176 1.319  0.165 1.255  0.165 1.179  0.165 1.103  0.165 1.027  0.165 0.951  0.165 0.875  0.165 0.799  0.165 0.723  0.165 0.647  0.165 0.571  0.165 0.495  0.165 0.419  0.165 0.343  0.165 0.267  0.165 0.191  0.165 0.115  0.165 0.039  0.165 -0.037  0.165 -0.112  0.165 -0.188  0.165 -0.264  0.145 -0.330  0.082 -0.372  0.019 -0.414  -0.044 -0.456  -0.107 -0.499  -0.171 -0.541  -0.186 -0.609  -0.186 -0.684  -0.186 -0.760  -0.186 -0.836  -0.186 -0.912  -0.186 -0.988  -0.218 -1.051  -0.272 -1.105  -0.326 -1.158  -0.380 -1.212  -0.433 -1.266  -0.487 -1.319  -0.537 -1.375  -0.537 -1.451  -0.537 -1.527  -0.537 -1.603
1d#tos#t2#t2061062/+  -1.664 0.054  -1.718 -0.108  -1.611 -0.154  -1.441 -0.154  -1.270 -0.154  -1.100 -0.154  -0.930 -0.154  -0.759 -0.154  -0.589 -0.154  -0.418 -0.154  -0.251 -0.167  -0.093 -0.224  0.077 -0.224  0.248 -0.224  0.418 -0.224  0.589 -0.224  0.759 -0.224  0.930 -0.224  1.071 -0.154  1.242 -0.154  1.262 -0.082  1.154 0.050  1.047 0.183  0.940 0.315  0.833 0.448  0.725 0.580  0.618 0.713  0.511 0.845  0.403 0.978  0.296 1.110  0.189 1.243  0.047 1.303  0.002 1.178  -0.011 1.012  -0.068 0.865  -0.068 0.695  -0.068 0.524  -0.068 0.354  -0.068 0.183  -0.068 0.013  -0.068 -0.158  -0.068 -0.328  -0.068 -0.499  -0.077 -0.668  -0.131 -0.829  -0.137 -0.999  -0.137 -1.169  -0.137 -1.340  -0.137 -1.510  -0.137 -1.681
1d#tos#t2#t2061062/,  0.571 1.523  0.495 1.523  0.432 1.509  0.432 1.433  0.432 1.356  0.432 1.279  0.432 1.203  0.432 1.126  0.432 1.050  0.432 0.973  0.382 0.917  0.328 0.863  0.293 0.801  0.293 0.724  0.293 0.648  0.293 0.571  0.293 0.495  0.293 0.418  0.293 0.341  0.293 0.265  0.293 0.188  0.293 0.112  0.293 0.035  0.293 -0.042  0.293 -0.118  0.246 -0.161  0.173 -0.185  0.100 -0.209  0.028 -0.233  -0.045 -0.258  -0.118 -0.282  -0.163 -0.342  -0.205 -0.406  -0.248 -0.469  -0.290 -0.533  -0.333 -0.597  -0.375 -0.661  -0.415 -0.726  -0.449 -0.795  -0.483 -0.863  -0.517 -0.932  -0.549 -1.001  -0.573 -1.074  -0.597 -1.147  -0.621 -1.219  -0.645 -1.292  -0.670 -1.365  -0.711 -1.427  -0.765 -1.481  -0.819 -1.535
1d#tos#t2#t2061062/  -1.255 0.120  -1.330 0.120  -1.405 0.120  -1.446 0.064  -1.479 -0.003  -1.468 -0.043  -1.393 -0.043  -1.318 -0.043  -1.242 -0.043  -1.167 -0.043  -1.092 -0.043  -1.017 -0.043  -0.941 -0.043  -0.866 -0.043  -0.791 -0.043  -0.716 -0.043  -0.641 -0.043  -0.565 -0.043  -0.490 -0.043  -0.415 -0.043  -0.340 -0.043  -0.265 -0.043  -0.189 -0.043  -0.114 -0.043  -0.039 -0.043  0.036 -0.043  0.112 -0.043  0.187 -0.043  0.262 -0.043  0.337 -0.043  0.412 -0.043  0.488 -0.043  0.563 -0.043  0.638 -0.043  0.713 -0.043  0.789 -0.043  0.864 -0.043  0.939 -0.043  1.014 -0.043  1.089 -0.043  1.108 0.014  1.108 0.089  1.152 0.120  1.227 0.120  1.303 0.120  1.378 0.120  1.453 0.120  1.528 0.120  1.603 0.120  1.679 0.120
1d#tos#t2#t2061062/:  -0.066 1.296  -0.177 1.222  -0.223 1.113  -0.171 1.002  -0.230 0.928  -0.364 0.928  -0.433 0.992  -0.473 1.086  -0.418 1.138  -0.285 1.138  -0.152 1.138  -0.066 1.091  -0.066 0.957  -0.170 0.928  -0.288 0.953  -0.285 1.033  -0.174 1.086  -0.118 1.008  -0.171 0.927  -0.163 0.795  -0.127 0.666  -0.091 0.538  -0.055 0.410  -0.018 0.281  0.018 0.153  0.054 0.024  0.090 -0.104  0.126 -0.232  0.162 -0.361  0.198 -0.489  0.234 -0.617  0.270 -0.746  0.302 -0.875  0.257 -0.963  0.270 -0.963  0.354 -1.012  0.354 -1.146  0.354 -1.279  0.273 -1.331  0.139 -1.331  0.039 -1.297  0.039 -1.164  -0.013 -1.083  0.045 -0.986  0.173 -0.963  0.302 -0.967  0.302 -1.101  0.249 -1.212  0.151 -1.278  0.039 -1.331
1d#tos#t2#t2061062/>  -0.888 1.105  -1.003 1.105  -1.094 1.062  -1.158 0.967  -1.120 0.922  -1.028 0.868  -0.923 0.843  -0.823 0.809  -0.709 0.807  -0.622 0.735  -0.518 0.690  -0.404 0.687  -0.296 0.651  -0.187 0.614  -0.078 0.578  0.011 0.513  0.125 0.513  0.238 0.497  0.349 0.470  0.448 0.420  0.529 0.339  0.615 0.268  0.724 0.232  0.836 0.216  0.891 0.157  0.947 0.099  1.007 0.043  1.015 0.039  0.901 0.039  0.829 -0.004  0.801 -0.107  0.720 -0.188  0.636 -0.265  0.534 -0.316  0.453 -0.397  0.372 -0.478  0.355 -0.585  0.273 -0.640  0.170 -0.684  0.106 -0.779  0.034 -0.866  -0.061 -0.929  -0.159 -0.988  -0.256 -1.046  -0.296 -1.144  -0.296 -1.259  -0.394 -1.313  -0.474 -1.356  -0.537 -1.442  -0.592 -1.501
1d#tos#t2#t2061062/]  -0.566 1.314  -0.652 1.307  -0.665 1.228  -0.633 1.228  -0.548 1.198  -0.459 1.185  -0.367 1.185  -0.275 1.185  -0.183 1.185  -0.091 1.185  0.001 1.185  0.075 1.168  0.075 1.076  0.075 0.984  0.075 0.893  0.075 0.801  0.075 0.709  0.115 0.633  0.118 0.543  0.154 0.465  0.161 0.376  0.200 0.294  0.204 0.203  0.204 0.111  0.204 0.019  0.204 -0.073  0.204 -0.165  0.247 -0.214  0.247 -0.306  0.247 -0.398  0.247 -0.490  0.247 -0.582  0.247 -0.674  0.247 -0.766  0.269 -0.848  0.332 -0.914  0.332 -1.006  0.348 -1.082  0.375 -1.147  0.346 -1.210  0.254 -1.210  0.162 -1.210  0.070 -1.210  -0.019 -1.193  -0.107 -1.168  -0.199 -1.168  -0.291 -1.168  -0.382 -1.168  -0.474 -1.168  -0.524 -1.125
1d#tos#t2#t2061062/{  0.658 1.407  0.565 1.363  0.454 1.363  0.342 1.363  0.230 1.363  0.119 1.363  0.007 1.363  -0.053 1.307  -0.091 1.205  -0.091 1.093  -0.091 0.982  -0.047 0.914  -0.047 0.802  -0.047 0.691  -0.012 0.614  -0.003 0.512  -0.040 0.438  -0.047 0.333  -0.113 0.261  -0.180 0.217  -0.267 0.167  -0.332 0.108  -0.434 0.085  -0.546 0.085  -0.658 0.085  -0.559 0.085  -0.447 0.085  -0.355 0.039  -0.286 -0.003  -0.223 -0.051  -0.179 -0.145  -0.135 -0.212  -0.110 -0.318  -0.047 -0.407  -0.047 -0.518  -0.047 -0.630  -0.047 -0.741  -0.047 -0.853  -0.047 -0.964  -0.047 -1.076  -0.008 -1.149  0.041 -1.237  0.064 -1.325  0.158 -1.369  0.251 -1.413  0.346 -1.454  0.456 -1.458  0.567 -1.458  0.679 -1.458  0.791 -1.458
