2#tos#t2#t2004060/!  0.408 1.456  0.363 1.414  0.323 1.462  0.372 1.505  0.408 1.505  0.408 1.417  0.342 1.371  0.323 1.302  0.323 1.214  0.323 1.126  0.268 1.061  0.238 0.986  0.204 0.912  0.196 0.828  0.170 0.751  0.153 0.670  0.153 0.582  0.153 0.494  0.132 0.415  0.070 0.353  0.038 0.278  0.026 0.195  0.012 0.111  -0.017 0.030  -0.017 -0.058  -0.017 -0.146  -0.046 -0.216  -0.120 -0.262  -0.155 -0.329  -0.187 -0.300  -0.187 -0.387  -0.187 -0.475  -0.187 -0.563  -0.187 -0.651  -0.187 -0.739  -0.187 -0.827  -0.187 -0.914  -0.187 -1.002  -0.187 -1.090  -0.228 -1.136  -0.307 -1.175  -0.314 -1.258  -0.328 -1.292  -0.357 -1.281  -0.357 -1.193  -0.283 -1.179  -0.229 -1.145  -0.229 -1.215  -0.229 -1.303  -0.314 -1.306
2#tos#t2#t2004060/%  -0.260 0.911  -0.384 0.688  -0.461 0.499  -0.686 0.457  -0.869 0.457  -0.920 0.673  -0.891 0.911  -0.631 0.917  -0.407 0.934  -0.466 0.760  -0.508 0.503  -0.711 0.416  -0.561 0.525  -0.329 0.656  -0.097 0.787  0.135 0.918  0.367 1.049  0.599 1.180  0.831 1.310  0.735 1.199  0.632 0.979  0.488 0.764  0.307 0.609  0.154 0.392  0.053 0.150  -0.070 -0.061  -0.160 -0.305  -0.298 -0.528  -0.391 -0.758  -0.495 -1.002  -0.666 -1.186  -0.714 -1.432  -0.757 -1.526  -0.561 -1.346  -0.364 -1.166  -0.168 -0.985  0.028 -0.805  0.224 -0.625  0.420 -0.445  0.616 -0.265  0.729 -0.274  0.597 -0.408  0.537 -0.614  0.440 -0.784  0.570 -0.947  0.828 -0.985  0.970 -0.862  0.976 -0.601  0.903 -0.408  0.688 -0.326
2#tos#t2#t2004060/&  0.686 0.473  0.728 0.292  0.728 0.070  0.728 -0.153  0.644 -0.323  0.560 -0.461  0.476 -0.600  0.410 -0.771  0.235 -0.903  0.059 -1.038  -0.119 -1.084  -0.342 -1.084  -0.565 -1.084  -0.698 -0.967  -0.829 -0.871  -0.829 -0.649  -0.829 -0.426  -0.790 -0.242  -0.751 -0.038  -0.706 0.172  -0.571 0.262  -0.438 0.379  -0.270 0.479  -0.108 0.599  0.024 0.710  0.117 0.891  0.185 1.062  0.265 1.237  0.223 1.442  0.084 1.525  -0.097 1.567  -0.282 1.505  -0.408 1.409  -0.450 1.228  -0.450 1.006  -0.367 0.810  -0.294 0.635  -0.282 0.414  -0.143 0.277  -0.027 0.134  0.055 -0.055  0.174 -0.158  0.265 -0.321  0.337 -0.525  0.436 -0.705  0.515 -0.871  0.560 -1.075  0.652 -1.260  0.728 -1.451  0.770 -1.463
2#tos#t2#t2004060/)  -0.120 1.523  -0.164 1.457  -0.208 1.390  -0.265 1.361  -0.217 1.329  -0.168 1.298  -0.124 1.237  -0.066 1.184  0.014 1.184  0.026 1.116  0.028 1.038  0.074 1.004  0.074 0.925  0.108 0.859  0.165 0.802  0.220 0.745  0.220 0.665  0.220 0.585  0.220 0.505  0.220 0.425  0.240 0.349  0.265 0.273  0.268 0.193  0.268 0.113  0.268 0.033  0.268 -0.046  0.268 -0.126  0.246 -0.197  0.189 -0.253  0.171 -0.326  0.171 -0.406  0.171 -0.486  0.148 -0.560  0.115 -0.633  0.090 -0.709  0.053 -0.777  0.007 -0.842  -0.028 -0.913  -0.064 -0.985  -0.117 -1.044  -0.120 -1.123  -0.172 -1.170  -0.217 -1.223  -0.217 -1.303  -0.259 -1.352  -0.335 -1.377  -0.411 -1.389  -0.445 -1.435  -0.525 -1.435  -0.556 -1.483
2#tos#t2#t2004060/.  0.357 2.075  0.357 1.857  0.357 1.638  0.357 1.420  0.357 1.201  0.357 0.982  0.357 0.764  0.357 0.545  0.357 0.327  0.357 0.108  0.265 -0.072  0.110 -0.226  -0.044 -0.381  -0.054 -0.596  -0.067 -0.801  -0.286 -0.801  -0.504 -0.801  -0.723 -0.801  -0.875 -0.735  -0.875 -0.516  -0.875 -0.298  -0.875 -0.079  -0.875 0.139  -0.875 0.358  -0.731 0.432  -0.512 0.432  -0.344 0.553  -0.189 0.707  -0.027 0.843  0.192 0.843  0.357 0.789  0.357 0.571  0.437 0.432  0.655 0.432  0.768 0.326  0.768 0.108  0.768 -0.111  0.768 -0.330  0.768 -0.548  0.768 -0.767  0.603 -0.883  0.408 -0.981  0.212 -1.079  0.017 -1.177  -0.193 -1.212  -0.412 -1.212  -0.464 -1.046  -0.464 -0.827  -0.657 -0.801  -0.875 -0.801
2#tos#t2#t2004060/  0.854 1.343  0.807 1.317  0.759 1.291  0.728 1.249  0.712 1.191  0.700 1.120  0.677 1.050  0.631 1.011  0.559 1.006  0.493 0.973  0.474 0.911  0.474 0.837  0.427 0.789  0.365 0.748  0.332 0.693  0.332 0.619  0.332 0.546  0.286 0.491  0.234 0.439  0.182 0.387  0.134 0.331  0.101 0.266  0.073 0.198  0.046 0.129  0.018 0.061  -0.011 -0.007  -0.044 -0.072  -0.077 -0.138  -0.110 -0.204  -0.143 -0.270  -0.194 -0.322  -0.241 -0.377  -0.259 -0.449  -0.277 -0.520  -0.308 -0.585  -0.352 -0.644  -0.396 -0.703  -0.437 -0.764  -0.470 -0.830  -0.510 -0.892  -0.550 -0.953  -0.571 -1.021  -0.584 -1.087  -0.645 -1.128  -0.706 -1.169  -0.719 -1.238  -0.742 -1.308  -0.771 -1.374  -0.808 -1.432  -0.808 -1.506
2#tos#t2#t2004060/;  0.137 1.698  0.137 1.616  0.090 1.582  0.066 1.524  -0.015 1.524  -0.036 1.465  -0.030 1.384  -0.024 1.303  -0.017 1.222  -0.011 1.141  -0.004 1.060  0.002 0.979  0.008 0.898  0.015 0.817  0.021 0.736  0.027 0.655  0.034 0.574  0.040 0.493  0.047 0.412  0.053 0.331  0.059 0.250  0.066 0.169  0.072 0.088  0.079 0.007  0.085 -0.074  0.091 -0.155  0.098 -0.236  0.104 -0.317  0.111 -0.398  0.117 -0.479  0.123 -0.560  0.130 -0.641  0.136 -0.722  0.063 -0.729  -0.018 -0.729  -0.096 -0.734  -0.122 -0.811  -0.147 -0.888  -0.144 -0.961  -0.063 -0.961  0.018 -0.961  0.021 -1.039  0.021 -1.120  -0.033 -1.175  -0.098 -1.223  -0.163 -1.272  -0.210 -1.330  -0.235 -1.403  -0.280 -1.471  -0.326 -1.538
2#tos#t2#t2004060/<  0.512 1.386  0.512 1.281  0.512 1.367  0.455 1.357  0.435 1.271  0.387 1.213  0.281 1.213  0.202 1.170  0.144 1.087  0.050 1.038  0.003 0.944  -0.026 0.848  -0.101 0.773  -0.198 0.752  -0.237 0.685  -0.237 0.580  -0.296 0.492  -0.354 0.403  -0.401 0.309  -0.468 0.263  -0.539 0.220  -0.613 0.145  -0.688 0.070  -0.756 0.026  -0.789 0.003  -0.741 -0.055  -0.670 -0.111  -0.601 -0.170  -0.525 -0.201  -0.506 -0.295  -0.412 -0.342  -0.306 -0.343  -0.221 -0.376  -0.179 -0.472  -0.176 -0.575  -0.075 -0.609  0.017 -0.655  0.083 -0.737  0.142 -0.825  0.221 -0.890  0.316 -0.937  0.397 -0.993  0.402 -1.095  0.497 -1.143  0.591 -1.190  0.635 -1.269  0.729 -1.316  0.815 -1.353  0.858 -1.448  0.916 -1.496
2#tos#t2#t2004060/|  0.130 1.473  0.052 1.473  -0.027 1.473  -0.057 1.522  -0.120 1.534  -0.120 1.455  -0.120 1.376  -0.120 1.298  -0.090 1.226  -0.057 1.155  -0.057 1.076  -0.057 0.998  -0.057 0.919  -0.057 0.840  -0.057 0.762  -0.057 0.683  -0.057 0.604  -0.044 0.527  -0.029 0.450  -0.014 0.372  0.000 0.295  0.015 0.218  0.030 0.141  0.044 0.063  0.059 -0.014  0.074 -0.091  0.089 -0.169  0.103 -0.246  0.118 -0.323  0.133 -0.400  0.148 -0.478  0.162 -0.555  0.177 -0.632  0.192 -0.710  0.133 -0.756  0.068 -0.800  0.005 -0.845  -0.015 -0.904  -0.093 -0.904  -0.120 -0.956  -0.057 -0.972  -0.057 -1.051  -0.057 -1.130  -0.057 -1.208  -0.057 -1.287  -0.040 -1.359  0.005 -1.418  0.005 -1.497  0.005 -1.576  0.005 -1.654
2#tos#t2#t2004060/~  -1.089 0.144  -1.127 0.071  -1.223 0.039  -1.268 -0.029  -1.302 -0.095  -1.328 -0.140  -1.272 -0.095  -1.208 -0.059  -1.200 0.040  -1.155 0.130  -1.089 0.169  -1.059 0.263  -0.996 0.323  -0.896 0.323  -0.795 0.323  -0.695 0.323  -0.594 0.323  -0.493 0.323  -0.447 0.411  -0.366 0.443  -0.266 0.443  -0.252 0.356  -0.231 0.259  -0.199 0.163  -0.112 0.144  -0.013 0.143  -0.013 0.042  0.024 -0.050  0.082 -0.130  0.165 -0.184  0.258 -0.215  0.295 -0.284  0.372 -0.347  0.462 -0.392  0.558 -0.411  0.648 -0.454  0.749 -0.454  0.849 -0.454  0.930 -0.406  1.001 -0.335  1.098 -0.310  1.196 -0.286  1.286 -0.245  1.370 -0.189  1.421 -0.116  1.435 -0.021  1.506 0.050  1.587 0.107  1.679 0.144  1.719 0.204
2#tos#t2#t2004060/2  -0.473 0.550  -0.539 0.420  -0.669 0.355  -0.668 0.383  -0.788 0.420  -0.798 0.568  -0.798 0.725  -0.726 0.813  -0.603 0.894  -0.553 1.039  -0.432 1.110  -0.349 1.198  -0.218 1.260  -0.062 1.263  0.095 1.263  0.240 1.251  0.287 1.105  0.370 1.018  0.379 0.865  0.435 0.730  0.435 0.573  0.435 0.416  0.435 0.259  0.377 0.160  0.287 0.086  0.152 0.008  0.046 -0.105  0.046 -0.262  -0.067 -0.350  -0.214 -0.366  -0.245 -0.504  -0.377 -0.587  -0.451 -0.704  -0.580 -0.790  -0.603 -0.938  -0.646 -1.007  -0.489 -1.007  -0.332 -1.007  -0.175 -1.007  -0.017 -1.007  0.140 -1.007  0.297 -1.007  0.407 -0.932  0.531 -0.878  0.688 -0.878  0.845 -0.878  1.002 -0.878  1.159 -0.878  1.316 -0.878  1.473 -0.878
