1c#apa#apa04#app0457/s  1.257 1.283  1.160 1.185  1.051 1.113  0.913 1.113  0.775 1.113  0.648 1.064  0.525 1.002  0.402 0.938  0.304 0.841  0.194 0.772  0.056 0.772  -0.082 0.772  -0.186 0.690  -0.287 0.596  -0.410 0.534  -0.534 0.472  -0.662 0.432  -0.801 0.432  -0.939 0.432  -0.956 0.310  -0.956 0.172  -0.899 0.091  -0.760 0.091  -0.622 0.091  -0.484 0.091  -0.346 0.091  -0.207 0.091  -0.069 0.091  0.069 0.091  0.207 0.091  0.236 -0.018  0.313 -0.079  0.438 -0.111  0.536 -0.209  0.576 -0.331  0.576 -0.469  0.564 -0.602  0.466 -0.700  0.369 -0.797  0.271 -0.895  0.173 -0.993  0.075 -1.091  -0.059 -1.100  -0.105 -1.193  -0.165 -1.271  -0.295 -1.291  -0.393 -1.388  -0.509 -1.441  -0.647 -1.441  -0.786 -1.441
1c#apa#apa04#app0457/c  0.933 1.252  0.833 1.252  0.733 1.252  0.633 1.252  0.536 1.246  0.465 1.175  0.395 1.105  0.314 1.057  0.214 1.057  0.125 1.031  0.055 0.960  -0.016 0.889  -0.087 0.819  -0.158 0.748  -0.228 0.677  -0.299 0.606  -0.370 0.536  -0.443 0.471  -0.543 0.471  -0.630 0.458  -0.630 0.358  -0.630 0.258  -0.630 0.158  -0.630 0.058  -0.630 -0.042  -0.630 -0.142  -0.630 -0.242  -0.630 -0.342  -0.630 -0.442  -0.630 -0.542  -0.630 -0.642  -0.602 -0.730  -0.531 -0.801  -0.460 -0.871  -0.371 -0.897  -0.271 -0.897  -0.171 -0.897  -0.071 -0.897  0.029 -0.897  0.129 -0.897  0.229 -0.897  0.329 -0.897  0.429 -0.897  0.529 -0.897  0.629 -0.897  0.729 -0.897  0.829 -0.897  0.929 -0.897  1.029 -0.897  1.129 -0.897
1c#apa#apa04#app0457/r  -0.270 -0.901  -0.270 -0.993  -0.270 -1.086  -0.270 -1.178  -0.270 -1.270  -0.270 -1.362  -0.270 -1.343  -0.270 -1.251  -0.270 -1.159  -0.271 -1.067  -0.363 -1.067  -0.436 -1.048  -0.436 -0.956  -0.436 -0.863  -0.436 -0.771  -0.436 -0.679  -0.436 -0.587  -0.436 -0.494  -0.436 -0.402  -0.436 -0.310  -0.436 -0.218  -0.436 -0.126  -0.436 -0.033  -0.436 0.059  -0.436 0.151  -0.436 0.243  -0.383 0.313  -0.318 0.379  -0.270 0.451  -0.270 0.544  -0.226 0.592  -0.134 0.592  -0.060 0.636  0.005 0.701  0.070 0.766  0.135 0.832  0.201 0.897  0.282 0.924  0.374 0.924  0.466 0.924  0.559 0.924  0.651 0.924  0.743 0.924  0.835 0.924  0.927 0.924  1.020 0.924  1.112 0.924  1.204 0.924  1.296 0.924  1.389 0.924
1c#apa#apa04#app0457/e  -0.859 0.389  -0.691 0.389  -0.524 0.389  -0.357 0.389  -0.189 0.389  -0.022 0.389  0.127 0.344  0.245 0.225  0.383 0.154  0.550 0.154  0.717 0.154  0.885 0.154  1.021 0.185  1.021 0.353  1.152 0.389  1.256 0.452  1.256 0.620  1.093 0.624  1.021 0.719  0.993 0.859  0.826 0.859  0.658 0.859  0.491 0.859  0.324 0.859  0.203 0.746  0.085 0.628  -0.033 0.509  -0.152 0.391  -0.318 0.389  -0.486 0.389  -0.624 0.360  -0.624 0.192  -0.715 0.063  -0.833 -0.055  -0.951 -0.174  -1.070 -0.292  -1.093 -0.450  -1.093 -0.617  -1.093 -0.784  -0.928 -0.786  -0.789 -0.855  -0.671 -0.973  -0.552 -1.092  -0.434 -1.210  -0.286 -1.255  -0.118 -1.255  0.049 -1.255  0.216 -1.255  0.384 -1.255  0.551 -1.255
1c#apa#apa04#app0457/a  0.027 0.563  -0.130 0.563  -0.287 0.563  -0.444 0.563  -0.601 0.563  -0.705 0.510  -0.769 0.417  -0.904 0.364  -1.023 0.270  -1.145 0.235  -1.177 0.091  -1.288 -0.020  -1.296 -0.174  -1.407 -0.285  -1.358 -0.396  -1.228 -0.463  -1.071 -0.463  -0.939 -0.403  -0.817 -0.316  -0.660 -0.316  -0.503 -0.316  -0.365 -0.269  -0.249 -0.169  -0.100 -0.150  0.011 -0.039  0.027 0.111  0.027 0.268  0.019 0.124  -0.119 0.104  -0.119 -0.053  -0.119 -0.210  -0.068 -0.316  0.089 -0.316  0.174 -0.389  0.257 -0.463  0.415 -0.463  0.572 -0.463  0.695 -0.381  0.806 -0.270  0.922 -0.169  1.053 -0.144  1.090 -0.023  1.247 -0.023  1.347 0.035  1.415 0.124  1.549 0.179  1.660 0.291  1.771 0.402  1.786 0.553  1.933 0.563
1c#apa#apa04#app0457/m  -1.065 0.532  -1.065 0.357  -1.065 0.182  -1.065 0.007  -1.155 -0.131  -1.256 -0.264  -1.256 -0.439  -1.256 -0.614  -1.256 -0.789  -1.256 -0.646  -1.113 -0.614  -0.938 -0.614  -0.874 -0.503  -0.807 -0.356  -0.683 -0.232  -0.683 -0.057  -0.683 0.118  -0.582 0.251  -0.458 0.375  -0.334 0.498  -0.301 0.660  -0.189 0.723  -0.110 0.627  -0.110 0.452  -0.110 0.277  -0.110 0.102  -0.110 -0.073  -0.094 -0.232  0.081 -0.232  0.205 -0.108  0.352 -0.041  0.508 0.004  0.632 0.128  0.798 0.150  0.845 0.278  0.957 0.341  1.036 0.437  1.116 0.532  1.227 0.596  1.227 0.675  1.227 0.500  1.227 0.325  1.227 0.150  1.103 0.026  1.036 -0.121  1.036 -0.296  1.036 -0.471  1.036 -0.646  1.036 -0.821  1.036 -0.996
1c#apa#apa04#app0457/e  -1.240 0.519  -1.240 0.329  -1.240 0.433  -1.136 0.519  -1.007 0.458  -0.989 0.286  -0.799 0.286  -0.658 0.170  -0.516 0.054  -0.326 0.054  -0.137 0.054  0.053 0.054  0.243 0.054  0.433 0.054  0.623 0.054  0.813 0.054  1.002 0.054  1.087 0.159  1.025 0.286  0.855 0.305  0.855 0.495  0.737 0.636  0.595 0.752  0.405 0.752  0.216 0.752  0.026 0.752  -0.164 0.752  -0.354 0.752  -0.543 0.751  -0.678 0.616  -0.812 0.482  -0.946 0.348  -1.007 0.183  -0.965 0.011  -0.831 -0.123  -0.676 -0.229  -0.506 -0.313  -0.336 -0.398  -0.196 -0.525  -0.056 -0.645  0.134 -0.645  0.323 -0.645  0.477 -0.732  0.611 -0.867  0.745 -1.001  0.890 -1.110  1.080 -1.110  1.216 -1.239  1.363 -1.343  1.553 -1.343
1c#apa#apa04#app0457/d  0.197 -0.486  0.114 -0.368  0.046 -0.217  -0.120 -0.134  -0.203 -0.017  -0.404 -0.017  -0.593 -0.061  -0.766 -0.160  -0.857 -0.322  -0.966 -0.477  -1.092 -0.557  -1.201 -0.712  -1.209 -0.909  -1.171 -1.072  -0.971 -1.072  -0.771 -1.072  -0.576 -1.048  -0.397 -0.959  -0.219 -0.903  -0.078 -0.761  0.098 -0.702  0.240 -0.561  0.315 -0.391  0.371 -0.200  0.432 -0.010  0.432 0.190  0.432 0.390  0.422 0.588  0.333 0.768  0.315 0.964  0.315 1.164  0.315 1.364  0.315 1.564  0.315 1.764  0.315 1.752  0.315 1.552  0.315 1.351  0.315 1.151  0.315 0.951  0.315 0.751  0.319 0.551  0.368 0.357  0.416 0.162  0.432 -0.036  0.432 -0.236  0.432 -0.436  0.539 -0.592  0.549 -0.788  0.549 -0.989  0.666 -1.072
1c#apa#apa04#app0457/a  0.364 0.658  0.214 0.658  0.190 0.783  0.089 0.832  -0.061 0.832  -0.211 0.832  -0.361 0.832  -0.510 0.830  -0.644 0.763  -0.778 0.696  -0.855 0.594  -0.894 0.483  -1.040 0.473  -1.146 0.367  -1.204 0.242  -1.204 0.092  -1.204 -0.058  -1.204 -0.208  -1.204 -0.357  -1.084 -0.387  -0.962 -0.455  -0.856 -0.561  -0.707 -0.562  -0.557 -0.562  -0.436 -0.491  -0.330 -0.387  -0.180 -0.387  -0.030 -0.387  0.015 -0.283  0.015 -0.133  0.071 -0.039  0.190 -0.008  0.190 0.142  0.190 0.292  0.190 0.177  0.297 0.135  0.423 0.076  0.529 -0.030  0.674 -0.039  0.712 -0.151  0.800 -0.213  0.931 -0.258  1.037 -0.364  1.177 -0.387  1.300 -0.452  1.406 -0.558  1.511 -0.664  1.632 -0.736  1.757 -0.760  1.757 -0.910
1c#apa#apa04#app0457/t  0.207 1.847  0.207 1.923  0.128 1.768  -0.006 1.634  -0.058 1.468  -0.058 1.279  -0.125 1.118  -0.190 0.957  -0.258 0.785  -0.323 0.612  -0.323 0.423  -0.323 0.235  -0.323 0.046  -0.323 -0.142  -0.323 -0.330  -0.323 -0.519  -0.295 -0.696  -0.190 -0.841  -0.094 -0.933  -0.038 -1.065  0.075 -1.141  0.207 -1.198  0.395 -1.198  0.584 -1.198  0.772 -1.198  0.961 -1.198  0.878 -1.116  0.721 -1.011  0.565 -0.907  0.408 -0.802  0.251 -0.697  0.094 -0.593  -0.063 -0.488  -0.219 -0.384  -0.376 -0.279  -0.533 -0.175  -0.690 -0.070  -0.846 0.034  -0.962 0.126  -0.796 0.182  -0.640 0.259  -0.491 0.355  -0.318 0.391  -0.129 0.391  0.059 0.391  0.247 0.391  0.436 0.391  0.624 0.391  0.813 0.391  1.001 0.391
1c#apa#apa04#app0457/h  0.040 1.913  0.160 1.913  0.040 1.893  0.026 1.756  -0.037 1.631  -0.091 1.503  -0.091 1.363  -0.091 1.223  -0.113 1.088  -0.176 0.962  -0.221 0.833  -0.221 0.693  -0.221 0.552  -0.221 0.412  -0.221 0.272  -0.284 0.158  -0.351 0.045  -0.351 -0.095  -0.351 -0.235  -0.404 -0.353  -0.481 -0.462  -0.481 -0.602  -0.518 -0.727  -0.611 -0.828  -0.611 -0.969  -0.584 -1.081  -0.481 -1.043  -0.481 -0.903  -0.423 -0.821  -0.351 -0.753  -0.296 -0.635  -0.221 -0.526  -0.181 -0.410  -0.056 -0.348  0.040 -0.266  0.083 -0.170  0.208 -0.132  0.310 -0.040  0.450 -0.040  0.590 -0.040  0.690 -0.079  0.690 -0.220  0.690 -0.360  0.690 -0.500  0.690 -0.640  0.690 -0.781  0.690 -0.921  0.801 -0.951  0.821 -1.071  0.821 -1.211
