3#apb#apb05#app0511/I  -1.447 -0.990  -1.526 -1.116  -1.329 -1.113  -1.132 -1.061  -0.941 -0.989  -0.749 -0.926  -0.550 -0.882  -0.350 -0.846  -0.150 -0.807  0.047 -0.758  0.247 -0.722  0.446 -0.689  0.470 -0.487  0.493 -0.285  0.516 -0.083  0.539 0.120  0.562 0.322  0.585 0.524  0.609 0.726  0.611 0.921  0.532 0.778  0.452 0.591  0.384 0.399  0.312 0.209  0.233 0.022  0.146 -0.162  0.055 -0.344  -0.036 -0.526  -0.121 -0.711  -0.189 -0.903  -0.199 -0.982  -0.217 -0.784  -0.257 -0.585  -0.298 -0.385  -0.339 -0.186  -0.379 0.013  -0.420 0.213  -0.461 0.412  -0.501 0.612  -0.547 0.731  -0.376 0.798  -0.179 0.846  0.023 0.873  0.212 0.949  0.400 1.026  0.585 1.110  0.771 1.193  0.959 1.271  1.160 1.301  1.343 1.368
3#apb#apb05#app0511/n  -0.728 0.987  -0.647 0.916  -0.659 0.765  -0.689 0.615  -0.720 0.466  -0.752 0.317  -0.783 0.168  -0.805 0.017  -0.826 -0.134  -0.863 -0.281  -0.911 -0.426  -0.959 -0.570  -1.007 -0.715  -1.051 -0.853  -1.014 -0.747  -0.942 -0.613  -0.870 -0.478  -0.790 -0.349  -0.702 -0.224  -0.609 -0.104  -0.506 0.008  -0.402 0.120  -0.300 0.233  -0.202 0.349  -0.103 0.465  -0.003 0.580  0.105 0.688  0.213 0.795  0.339 0.879  0.472 0.953  0.620 0.987  0.757 0.971  0.774 0.819  0.782 0.667  0.782 0.515  0.774 0.363  0.759 0.211  0.755 0.059  0.747 -0.092  0.703 -0.238  0.663 -0.385  0.630 -0.534  0.620 -0.685  0.647 -0.832  0.749 -0.928  0.891 -0.981  1.044 -0.981  1.194 -0.969  1.339 -0.921  1.483 -0.873
3#apb#apb05#app0511/  -1.412 -0.363  -1.482 -0.363  -1.533 -0.363  -1.462 -0.363  -1.393 -0.354  -1.330 -0.323  -1.267 -0.291  -1.203 -0.259  -1.140 -0.228  -1.077 -0.196  -1.013 -0.166  -0.942 -0.166  -0.871 -0.166  -0.801 -0.166  -0.730 -0.166  -0.659 -0.166  -0.588 -0.166  -0.517 -0.166  -0.448 -0.154  -0.380 -0.136  -0.312 -0.117  -0.243 -0.098  -0.175 -0.080  -0.107 -0.061  -0.039 -0.043  0.030 -0.024  0.098 -0.005  0.166 0.013  0.235 0.032  0.302 0.055  0.369 0.077  0.436 0.099  0.503 0.122  0.570 0.144  0.637 0.166  0.705 0.189  0.772 0.211  0.839 0.234  0.906 0.256  0.973 0.278  1.041 0.296  1.112 0.303  1.182 0.310  1.253 0.317  1.323 0.324  1.394 0.331  1.464 0.338  1.535 0.345  1.605 0.352  1.675 0.359
3#apb#apb05#app0511/Y  -0.754 0.859  -0.696 0.843  -0.647 0.706  -0.606 0.565  -0.553 0.430  -0.472 0.308  -0.394 0.184  -0.302 0.071  -0.199 -0.033  -0.095 -0.136  0.024 -0.220  0.161 -0.263  0.243 -0.185  0.283 -0.044  0.324 0.097  0.365 0.237  0.405 0.378  0.446 0.519  0.487 0.660  0.527 0.800  0.568 0.941  0.609 1.082  0.649 1.223  0.690 1.363  0.630 1.287  0.547 1.169  0.507 1.028  0.463 0.888  0.407 0.753  0.351 0.617  0.301 0.480  0.253 0.341  0.204 0.203  0.156 0.065  0.108 -0.074  0.060 -0.212  0.006 -0.348  -0.051 -0.483  -0.108 -0.618  -0.165 -0.753  -0.223 -0.888  -0.281 -1.022  -0.340 -1.156  -0.402 -1.289  -0.470 -1.419  -0.539 -1.548  -0.579 -1.688  -0.609 -1.831  -0.654 -1.970  -0.635 -1.916
3#apb#apb05#app0511/u  -0.613 1.215  -0.656 1.290  -0.705 1.131  -0.735 0.968  -0.773 0.807  -0.847 0.658  -0.916 0.507  -0.965 0.348  -1.014 0.189  -1.049 0.027  -1.081 -0.137  -1.100 -0.302  -1.090 -0.465  -1.041 -0.624  -0.975 -0.776  -0.827 -0.804  -0.661 -0.804  -0.495 -0.804  -0.328 -0.804  -0.171 -0.769  -0.027 -0.686  0.091 -0.569  0.208 -0.451  0.296 -0.310  0.388 -0.172  0.488 -0.039  0.588 0.095  0.633 0.250  0.657 0.415  0.689 0.577  0.748 0.733  0.808 0.888  0.840 1.050  0.818 1.107  0.730 0.967  0.694 0.804  0.660 0.642  0.627 0.479  0.595 0.316  0.550 0.155  0.502 -0.004  0.464 -0.166  0.427 -0.328  0.402 -0.492  0.385 -0.658  0.397 -0.823  0.431 -0.983  0.513 -1.128  0.647 -1.221  0.792 -1.301
3#apb#apb05#app0511/n  -0.254 1.359  -0.350 1.224  -0.432 1.082  -0.484 0.924  -0.536 0.767  -0.542 0.602  -0.542 0.436  -0.547 0.271  -0.572 0.107  -0.597 -0.057  -0.628 -0.220  -0.663 -0.382  -0.698 -0.544  -0.725 -0.708  -0.750 -0.872  -0.783 -1.033  -0.831 -1.191  -0.823 -1.256  -0.754 -1.105  -0.684 -0.955  -0.621 -0.802  -0.568 -0.645  -0.516 -0.487  -0.453 -0.335  -0.363 -0.196  -0.273 -0.056  -0.184 0.084  -0.102 0.228  -0.020 0.372  0.063 0.515  0.166 0.645  0.271 0.773  0.378 0.899  0.496 1.017  0.637 1.048  0.789 1.015  0.881 0.877  0.927 0.720  0.960 0.557  0.966 0.392  0.966 0.226  0.940 0.064  0.899 -0.097  0.870 -0.259  0.870 -0.425  0.865 -0.590  0.829 -0.752  0.814 -0.915  0.838 -1.079  0.870 -1.242
3#apb#apb05#app0511/g  0.674 0.967  0.591 1.097  0.440 1.144  0.286 1.108  0.133 1.067  -0.015 1.014  -0.145 0.922  -0.264 0.819  -0.372 0.703  -0.472 0.580  -0.564 0.451  -0.625 0.305  -0.666 0.152  -0.617 0.015  -0.470 -0.038  -0.312 -0.026  -0.169 0.038  -0.032 0.116  0.102 0.202  0.225 0.301  0.342 0.408  0.408 0.549  0.462 0.698  0.518 0.847  0.568 0.997  0.565 1.016  0.526 0.865  0.505 0.708  0.486 0.550  0.474 0.392  0.466 0.234  0.458 0.075  0.450 -0.083  0.437 -0.241  0.421 -0.399  0.389 -0.554  0.347 -0.707  0.290 -0.855  0.226 -0.999  0.146 -1.136  0.047 -1.260  -0.075 -1.351  -0.229 -1.386  -0.388 -1.397  -0.546 -1.401  -0.704 -1.392  -0.857 -1.357  -1.002 -1.295  -1.150 -1.236  -1.306 -1.225
3#apb#apb05#app0511/J  0.636 0.777  0.602 0.798  0.572 0.662  0.547 0.526  0.523 0.389  0.503 0.252  0.486 0.114  0.466 -0.024  0.445 -0.161  0.425 -0.299  0.407 -0.436  0.388 -0.574  0.352 -0.708  0.308 -0.839  0.242 -0.961  0.164 -1.076  0.063 -1.163  -0.070 -1.199  -0.208 -1.219  -0.343 -1.200  -0.477 -1.164  -0.595 -1.090  -0.710 -1.013  -0.818 -0.925  -0.914 -0.826  -0.995 -0.713  -1.032 -0.587  -0.968 -0.470  -0.918 -0.340  -0.868 -0.210  -0.818 -0.081  -0.769 0.049  -0.719 0.179  -0.669 0.308  -0.621 0.438  -0.553 0.549  -0.439 0.625  -0.313 0.683  -0.182 0.728  -0.049 0.768  0.084 0.808  0.217 0.849  0.350 0.889  0.486 0.914  0.623 0.933  0.761 0.953  0.898 0.977  1.033 1.006  1.166 1.047  1.303 1.056
3#apb#apb05#app0511/.  0.838 1.518  0.756 1.436  0.675 1.355  0.593 1.273  0.512 1.191  0.430 1.110  0.348 1.028  0.267 0.947  0.185 0.865  0.104 0.784  0.022 0.702  -0.059 0.620  -0.141 0.539  -0.223 0.457  -0.304 0.376  -0.386 0.294  -0.467 0.213  -0.549 0.131  -0.630 0.049  -0.712 -0.032  -0.794 -0.114  -0.875 -0.195  -0.957 -0.277  -1.038 -0.358  -1.120 -0.440  -1.202 -0.522  -1.130 -0.540  -1.014 -0.540  -0.899 -0.540  -0.784 -0.540  -0.668 -0.540  -0.553 -0.540  -0.438 -0.540  -0.322 -0.540  -0.207 -0.540  -0.091 -0.540  0.024 -0.540  0.139 -0.540  0.255 -0.540  0.370 -0.540  0.485 -0.540  0.601 -0.540  0.716 -0.540  0.831 -0.540  0.947 -0.540  1.062 -0.540  1.178 -0.540  1.293 -0.540  1.408 -0.540  1.524 -0.540
3#apb#apb05#app0511/M  -0.554 0.746  -0.603 0.649  -0.640 0.412  -0.713 0.183  -0.776 -0.049  -0.837 -0.281  -0.936 -0.501  -1.021 -0.725  -1.086 -0.957  -1.106 -1.196  -1.074 -1.113  -0.986 -0.889  -0.887 -0.669  -0.795 -0.447  -0.710 -0.222  -0.619 -0.000  -0.518 0.219  -0.414 0.435  -0.303 0.649  -0.193 0.862  -0.047 1.053  0.102 1.242  0.259 1.424  0.431 1.445  0.494 1.214  0.456 0.977  0.416 0.739  0.375 0.502  0.331 0.266  0.279 0.032  0.188 -0.191  0.097 -0.413  0.005 -0.636  -0.081 -0.860  -0.093 -0.945  -0.001 -0.723  0.075 -0.495  0.185 -0.284  0.323 -0.087  0.476 0.099  0.633 0.281  0.803 0.449  1.029 0.507  1.158 0.316  1.212 0.083  1.232 -0.156  1.194 -0.390  1.128 -0.620  1.079 -0.855  1.029 -1.077
3#apb#apb05#app0511/a  0.308 -0.425  0.407 -0.228  0.475 -0.022  0.507 0.194  0.596 0.395  0.641 0.609  0.588 0.809  0.463 0.989  0.282 1.093  0.066 1.097  -0.145 1.033  -0.339 0.934  -0.529 0.823  -0.692 0.677  -0.848 0.521  -0.981 0.347  -1.105 0.166  -1.170 -0.044  -1.234 -0.255  -1.283 -0.469  -1.319 -0.684  -1.295 -0.903  -1.178 -1.086  -0.990 -1.164  -0.771 -1.178  -0.565 -1.123  -0.372 -1.018  -0.193 -0.891  -0.028 -0.749  0.059 -0.547  0.145 -0.345  0.238 -0.145  0.331 0.054  0.410 0.259  0.480 0.467  0.553 0.675  0.635 0.879  0.741 1.071  0.670 0.975  0.608 0.764  0.547 0.553  0.499 0.339  0.465 0.122  0.465 -0.098  0.465 -0.318  0.465 -0.538  0.485 -0.757  0.602 -0.903  0.811 -0.965  1.030 -0.989
