1b#app#app12#app1287/Q  -0.062 0.658  -0.207 0.717  -0.396 0.680  -0.531 0.599  -0.635 0.441  -0.729 0.273  -0.806 0.092  -0.833 -0.100  -0.892 -0.291  -0.892 -0.495  -0.892 -0.699  -0.892 -0.903  -0.833 -1.048  -0.699 -1.197  -0.572 -1.300  -0.368 -1.300  -0.169 -1.288  0.002 -1.181  0.162 -1.075  0.307 -0.931  0.409 -0.769  0.470 -0.590  0.537 -0.398  0.591 -0.206  0.650 -0.027  0.674 0.172  0.709 0.368  0.709 0.572  0.709 0.776  0.691 0.973  0.631 1.152  0.551 1.330  0.443 1.458  0.251 1.489  0.072 1.429  -0.094 1.337  -0.176 1.169  -0.138 0.969  -0.099 0.768  -0.061 0.568  -0.022 0.367  0.017 0.167  0.055 -0.034  0.094 -0.234  0.202 -0.350  0.294 -0.463  0.353 -0.642  0.413 -0.822  0.471 -1.002  0.531 -1.181
1b#app#app12#app1287/U  -0.467 1.353  -0.511 1.269  -0.551 1.182  -0.551 1.055  -0.555 0.929  -0.635 0.835  -0.635 0.707  -0.635 0.580  -0.635 0.453  -0.635 0.325  -0.635 0.198  -0.635 0.071  -0.635 -0.057  -0.635 -0.184  -0.635 -0.311  -0.554 -0.405  -0.551 -0.531  -0.551 -0.659  -0.521 -0.774  -0.467 -0.879  -0.460 -1.003  -0.370 -1.093  -0.272 -1.164  -0.215 -1.235  -0.101 -1.248  0.026 -1.248  0.070 -1.164  0.120 -1.087  0.205 -0.995  0.288 -0.902  0.326 -0.790  0.372 -0.682  0.387 -0.561  0.456 -0.462  0.456 -0.335  0.539 -0.242  0.540 -0.115  0.541 0.012  0.623 0.105  0.623 0.233  0.693 0.331  0.707 0.453  0.707 0.580  0.707 0.707  0.707 0.835  0.787 0.929  0.791 1.055  0.791 1.182  0.791 1.309  0.791 1.437
1b#app#app12#app1287/I  0.086 1.509  0.086 1.436  0.086 1.484  0.037 1.509  -0.000 1.473  -0.000 1.400  -0.000 1.326  -0.000 1.253  -0.000 1.179  -0.000 1.106  -0.000 1.032  -0.000 0.959  -0.000 0.885  -0.000 0.812  -0.000 0.738  0.050 0.685  0.086 0.627  0.086 0.553  0.086 0.480  0.086 0.406  0.086 0.332  0.086 0.259  0.086 0.185  0.086 0.112  0.082 0.039  0.049 -0.027  0.016 -0.092  -0.000 -0.162  -0.000 -0.236  -0.000 -0.309  -0.000 -0.383  -0.000 -0.456  -0.000 -0.530  -0.000 -0.603  -0.000 -0.677  -0.011 -0.748  -0.044 -0.814  -0.076 -0.879  -0.086 -0.951  -0.086 -1.024  -0.086 -1.098  -0.086 -1.171  -0.086 -1.245  -0.086 -1.318  -0.086 -1.392  -0.086 -1.465  -0.086 -1.539  -0.086 -1.562  -0.086 -1.514  -0.086 -1.587
1b#app#app12#app1287/C  0.581 1.296  0.559 1.368  0.465 1.368  0.371 1.368  0.277 1.368  0.219 1.332  0.162 1.296  0.091 1.240  0.075 1.153  -0.008 1.110  -0.070 1.054  -0.103 0.974  -0.169 0.908  -0.224 0.834  -0.253 0.745  -0.283 0.656  -0.324 0.571  -0.370 0.490  -0.431 0.422  -0.431 0.328  -0.454 0.239  -0.496 0.155  -0.504 0.063  -0.504 -0.031  -0.504 -0.125  -0.504 -0.219  -0.504 -0.312  -0.504 -0.406  -0.504 -0.500  -0.504 -0.594  -0.489 -0.685  -0.447 -0.769  -0.373 -0.800  -0.302 -0.857  -0.236 -0.923  -0.151 -0.945  -0.082 -1.005  0.007 -1.017  0.101 -1.017  0.195 -1.017  0.289 -1.017  0.382 -1.017  0.472 -0.999  0.556 -0.957  0.647 -0.945  0.736 -0.934  0.805 -0.873  0.870 -0.844  0.920 -0.800  0.942 -0.728
1b#app#app12#app1287/K  -0.258 1.598  -0.258 1.380  -0.291 1.175  -0.336 0.975  -0.421 0.790  -0.474 0.579  -0.492 0.363  -0.550 0.158  -0.648 -0.023  -0.648 -0.242  -0.662 -0.456  -0.726 -0.660  -0.726 -0.878  -0.726 -1.096  -0.726 -1.314  -0.661 -1.377  -0.591 -1.178  -0.489 -0.985  -0.387 -0.792  -0.285 -0.600  -0.183 -0.407  -0.081 -0.214  0.022 -0.021  0.124 0.172  0.226 0.365  0.328 0.558  0.430 0.751  0.532 0.943  0.634 1.136  0.736 1.329  0.660 1.270  0.506 1.116  0.385 0.937  0.210 0.819  0.111 0.642  -0.025 0.526  -0.165 0.366  -0.258 0.172  -0.258 -0.046  -0.258 -0.264  -0.110 -0.421  0.053 -0.526  0.213 -0.584  0.399 -0.662  0.540 -0.740  0.726 -0.818  0.912 -0.896  1.097 -0.974  1.316 -0.974  1.534 -0.974
1b#app#app12#app1287/Z  -0.600 1.311  -0.547 1.249  -0.432 1.249  -0.317 1.249  -0.211 1.288  -0.102 1.311  0.013 1.311  0.128 1.311  0.233 1.268  0.340 1.241  0.433 1.187  0.456 1.095  0.456 0.980  0.456 0.865  0.411 0.769  0.381 0.664  0.328 0.562  0.255 0.475  0.204 0.372  0.152 0.269  0.075 0.185  -0.006 0.104  -0.070 0.010  -0.133 -0.085  -0.214 -0.166  -0.294 -0.248  -0.358 -0.344  -0.426 -0.434  -0.529 -0.486  -0.557 -0.591  -0.614 -0.690  -0.662 -0.785  -0.724 -0.838  -0.696 -0.925  -0.643 -0.987  -0.529 -0.987  -0.414 -0.987  -0.299 -0.987  -0.184 -0.987  -0.069 -0.987  0.037 -0.948  0.147 -0.925  0.262 -0.925  0.377 -0.925  0.481 -0.900  0.581 -0.863  0.696 -0.863  0.811 -0.863  0.900 -0.801  1.015 -0.801
1b#app#app12#app1287/E  0.575 1.344  0.476 1.277  0.310 1.277  0.211 1.210  0.045 1.210  -0.113 1.229  -0.250 1.256  -0.367 1.138  -0.437 1.001  -0.507 0.864  -0.570 0.723  -0.622 0.565  -0.630 0.400  -0.697 0.262  -0.716 0.101  -0.764 -0.054  -0.828 -0.193  -0.831 -0.358  -0.831 -0.524  -0.831 -0.690  -0.831 -0.856  -0.764 -0.994  -0.678 -1.085  -0.560 -1.201  -0.394 -1.201  -0.228 -1.201  -0.062 -1.201  0.076 -1.134  0.228 -1.073  0.384 -1.019  0.519 -0.933  0.658 -0.866  0.776 -0.818  0.830 -0.732  0.710 -0.642  0.612 -0.508  0.514 -0.374  0.416 -0.240  0.317 -0.106  0.219 0.027  0.121 0.161  0.039 0.301  0.032 0.340  0.171 0.405  0.336 0.407  0.502 0.407  0.641 0.474  0.807 0.474  0.945 0.541  1.044 0.608
1b#app#app12#app1287/P  -0.211 0.694  -0.125 0.593  -0.125 0.406  -0.125 0.219  -0.125 0.033  -0.159 -0.146  -0.211 -0.320  -0.211 -0.507  -0.211 -0.694  -0.224 -0.877  -0.297 -1.047  -0.297 -1.233  -0.297 -1.420  -0.297 -1.607  -0.297 -1.793  -0.296 -1.780  -0.290 -1.593  -0.285 -1.407  -0.279 -1.220  -0.273 -1.033  -0.267 -0.847  -0.261 -0.660  -0.255 -0.474  -0.250 -0.287  -0.244 -0.101  -0.238 0.086  -0.232 0.273  -0.226 0.459  -0.220 0.646  -0.215 0.832  -0.163 0.999  -0.125 1.170  -0.081 1.338  0.046 1.422  0.190 1.466  0.376 1.466  0.477 1.380  0.634 1.307  0.684 1.135  0.733 0.960  0.733 0.773  0.733 0.586  0.707 0.410  0.636 0.253  0.561 0.098  0.468 -0.000  0.314 -0.078  0.213 0.007  0.032 0.022  -0.125 0.093
1b#app#app12#app1287/H  -0.444 1.340  -0.444 1.096  -0.444 0.851  -0.444 0.607  -0.494 0.374  -0.552 0.143  -0.567 -0.098  -0.660 -0.321  -0.660 -0.565  -0.660 -0.810  -0.763 -1.030  -0.779 -1.269  -0.877 -1.473  -0.769 -1.557  -0.744 -1.318  -0.635 -1.099  -0.526 -0.881  -0.416 -0.662  -0.307 -0.443  -0.198 -0.224  -0.088 -0.006  0.021 0.213  0.131 0.432  0.240 0.651  0.349 0.869  0.459 1.088  0.568 1.307  0.678 1.526  0.747 1.577  0.639 1.440  0.639 1.196  0.639 0.951  0.531 0.751  0.531 0.507  0.531 0.262  0.520 0.020  0.422 -0.201  0.422 -0.446  0.422 -0.690  0.422 -0.935  0.422 -1.180  0.422 -1.093  0.365 -0.857  0.294 -0.623  0.222 -0.389  0.150 -0.155  0.078 0.079  0.006 0.312  0.178 0.366  0.422 0.366
1b#app#app12#app1287/Y  -0.513 1.174  -0.513 1.015  -0.463 0.877  -0.431 0.731  -0.354 0.604  -0.349 0.447  -0.303 0.296  -0.267 0.142  -0.249 -0.012  -0.185 -0.156  -0.185 -0.315  -0.123 -0.449  -0.085 -0.343  -0.024 -0.196  0.036 -0.048  0.096 0.099  0.156 0.246  0.216 0.393  0.277 0.540  0.337 0.687  0.397 0.834  0.457 0.982  0.517 1.129  0.578 1.276  0.637 1.417  0.580 1.282  0.537 1.138  0.472 0.994  0.465 0.838  0.390 0.710  0.332 0.565  0.261 0.422  0.226 0.272  0.192 0.121  0.121 -0.021  0.062 -0.166  0.055 -0.324  0.005 -0.475  -0.056 -0.622  -0.116 -0.768  -0.154 -0.922  -0.200 -1.074  -0.267 -1.217  -0.268 -1.376  -0.339 -1.518  -0.349 -1.675  -0.399 -1.784  -0.431 -1.911  -0.431 -1.991  -0.349 -1.866
1b#app#app12#app1287/R  -0.249 0.708  -0.249 0.494  -0.249 0.279  -0.284 0.079  -0.333 -0.115  -0.343 -0.328  -0.418 -0.525  -0.483 -0.713  -0.503 -0.919  -0.549 -1.126  -0.653 -1.307  -0.672 -1.308  -0.672 -1.094  -0.588 -0.964  -0.539 -0.769  -0.468 -0.578  -0.385 -0.380  -0.333 -0.174  -0.266 0.013  -0.239 0.218  -0.143 0.410  -0.047 0.602  0.006 0.804  0.069 1.004  0.175 1.178  0.254 1.374  0.357 1.556  0.486 1.641  0.616 1.556  0.728 1.427  0.820 1.250  0.853 1.050  0.823 0.848  0.716 0.708  0.599 0.561  0.442 0.454  0.227 0.454  0.097 0.369  0.006 0.246  -0.079 0.066  -0.085 -0.146  -0.164 -0.328  -0.119 -0.524  -0.008 -0.705  0.076 -0.888  0.115 -1.072  0.245 -1.157  0.341 -1.323  0.469 -1.411  0.599 -1.496
