1b#app#app11#app1169/Q  0.546 0.448  0.635 0.583  0.546 0.718  0.512 0.928  0.353 1.087  0.160 1.161  -0.064 1.161  -0.288 1.161  -0.463 1.043  -0.648 0.921  -0.818 0.778  -0.973 0.618  -1.074 0.417  -1.147 0.211  -1.234 0.007  -1.236 -0.216  -1.236 -0.440  -1.206 -0.652  -1.047 -0.810  -0.868 -0.939  -0.653 -0.978  -0.429 -0.978  -0.205 -0.978  0.010 -0.919  0.216 -0.831  0.392 -0.698  0.583 -0.584  0.741 -0.426  0.900 -0.267  0.956 -0.051  0.991 0.169  0.991 0.393  0.916 0.599  0.828 0.790  0.727 0.820  0.557 0.674  0.387 0.528  0.217 0.383  0.047 0.237  -0.124 0.091  -0.294 -0.055  -0.396 -0.176  -0.256 -0.260  -0.075 -0.357  0.100 -0.456  0.199 -0.641  0.312 -0.833  0.470 -0.991  0.629 -1.149  0.813 -1.245
1b#app#app11#app1169/U  -0.924 0.599  -0.975 0.494  -1.030 0.393  -1.030 0.237  -1.030 0.081  -1.030 -0.075  -1.030 -0.231  -1.056 -0.376  -1.135 -0.499  -1.135 -0.655  -1.095 -0.771  -1.030 -0.862  -0.924 -0.912  -0.838 -0.982  -0.682 -0.982  -0.526 -0.982  -0.378 -0.963  -0.258 -0.876  -0.102 -0.876  0.014 -0.781  0.166 -0.771  0.296 -0.710  0.407 -0.599  0.517 -0.489  0.647 -0.407  0.759 -0.322  0.741 -0.167  0.722 -0.012  0.704 0.143  0.686 0.297  0.668 0.452  0.649 0.607  0.631 0.762  0.613 0.917  0.595 1.072  0.577 1.227  0.558 1.381  0.551 1.348  0.551 1.192  0.551 1.036  0.488 0.895  0.446 0.749  0.446 0.593  0.446 0.437  0.446 0.281  0.446 0.125  0.446 -0.031  0.446 -0.187  0.446 -0.343  0.551 -0.455
1b#app#app11#app1169/I  -0.021 1.709  -0.021 1.639  -0.021 1.569  -0.021 1.499  -0.021 1.428  -0.021 1.358  -0.021 1.288  -0.021 1.218  -0.021 1.148  -0.021 1.078  -0.021 1.008  -0.021 0.938  -0.021 0.868  -0.021 0.797  -0.021 0.727  -0.021 0.657  -0.021 0.587  -0.021 0.517  -0.021 0.447  -0.021 0.377  -0.021 0.307  -0.021 0.237  -0.021 0.166  -0.021 0.096  -0.021 0.026  -0.021 -0.044  -0.021 -0.114  -0.021 -0.184  -0.021 -0.254  -0.021 -0.324  -0.021 -0.394  -0.021 -0.465  -0.021 -0.535  -0.021 -0.605  -0.021 -0.675  -0.021 -0.745  -0.021 -0.815  -0.021 -0.885  -0.021 -0.955  -0.021 -1.026  -0.021 -1.096  -0.021 -1.166  0.019 -1.219  0.068 -1.269  0.118 -1.318  0.139 -1.380  0.139 -1.450  0.139 -1.520  0.139 -1.590  0.139 -1.660
1b#app#app11#app1169/C  0.684 0.508  0.784 0.508  0.806 0.587  0.806 0.687  0.806 0.788  0.806 0.888  0.806 0.989  0.806 1.090  0.737 1.121  0.637 1.121  0.536 1.121  0.436 1.121  0.335 1.121  0.259 1.063  0.187 0.992  0.116 0.921  0.045 0.850  -0.026 0.779  -0.097 0.708  -0.168 0.637  -0.174 0.539  -0.224 0.459  -0.295 0.388  -0.297 0.288  -0.350 0.210  -0.419 0.138  -0.419 0.037  -0.456 -0.055  -0.501 -0.145  -0.542 -0.236  -0.542 -0.336  -0.603 -0.411  -0.664 -0.487  -0.664 -0.587  -0.664 -0.688  -0.633 -0.781  -0.588 -0.871  -0.543 -0.961  -0.542 -1.061  -0.488 -1.139  -0.415 -1.208  -0.315 -1.208  -0.214 -1.208  -0.114 -1.208  -0.013 -1.208  0.087 -1.208  0.188 -1.208  0.288 -1.208  0.368 -1.156  0.439 -1.085
1b#app#app11#app1169/K  -0.790 1.327  -0.790 1.112  -0.790 0.897  -0.790 0.682  -0.790 0.467  -0.790 0.252  -0.790 0.037  -0.790 -0.178  -0.790 -0.393  -0.764 -0.602  -0.672 -0.795  -0.672 -1.010  -0.631 -1.061  -0.528 -0.872  -0.425 -0.684  -0.322 -0.495  -0.219 -0.306  -0.116 -0.118  -0.013 0.071  0.090 0.260  0.193 0.449  0.296 0.637  0.399 0.826  0.502 1.015  0.604 1.203  0.707 1.392  0.709 1.300  0.580 1.132  0.462 0.975  0.370 0.844  0.266 0.672  0.149 0.505  -0.003 0.353  -0.086 0.173  -0.203 0.075  -0.328 -0.088  -0.480 -0.240  -0.447 -0.316  -0.232 -0.316  -0.086 -0.385  0.081 -0.433  0.178 -0.551  0.356 -0.640  0.542 -0.709  0.726 -0.785  0.892 -0.903  1.067 -0.999  1.219 -1.151  1.391 -1.255  1.557 -1.372
1b#app#app11#app1169/Z  -1.022 0.758  -0.979 0.662  -0.927 0.749  -0.796 0.758  -0.680 0.813  -0.558 0.853  -0.428 0.875  -0.320 0.949  -0.181 0.949  -0.042 0.949  0.077 0.998  0.196 1.044  0.335 1.044  0.474 1.044  0.613 1.044  0.752 1.044  0.720 0.973  0.621 0.875  0.523 0.776  0.492 0.650  0.394 0.552  0.314 0.447  0.265 0.328  0.167 0.230  0.069 0.131  -0.009 0.018  -0.072 -0.105  -0.171 -0.203  -0.269 -0.302  -0.367 -0.400  -0.450 -0.504  -0.496 -0.624  -0.594 -0.722  -0.640 -0.842  -0.640 -0.981  -0.640 -1.120  -0.536 -1.141  -0.433 -1.055  -0.294 -1.055  -0.155 -1.055  -0.016 -1.055  0.123 -1.055  0.222 -0.959  0.361 -0.959  0.500 -0.959  0.635 -0.942  0.759 -0.880  0.894 -0.864  1.033 -0.864  1.172 -0.864
1b#app#app11#app1169/E  0.377 1.098  0.544 1.098  0.711 1.098  0.584 1.098  0.417 1.098  0.250 1.098  0.082 1.098  -0.085 1.098  -0.206 0.987  -0.370 0.980  -0.512 0.918  -0.656 0.862  -0.783 0.765  -0.901 0.647  -0.922 0.488  -0.922 0.321  -0.922 0.154  -0.804 0.105  -0.804 -0.062  -0.804 -0.230  -0.804 -0.397  -0.804 -0.564  -0.804 -0.731  -0.729 -0.867  -0.686 -1.017  -0.568 -1.066  -0.481 -1.146  -0.314 -1.146  -0.147 -1.146  0.020 -1.146  0.139 -1.030  0.306 -1.028  0.473 -1.028  0.522 -0.910  0.689 -0.910  0.744 -0.785  0.760 -0.619  0.777 -0.453  0.794 -0.286  0.810 -0.120  0.827 0.046  0.843 0.213  0.849 0.380  0.810 0.271  0.643 0.271  0.516 0.174  0.357 0.153  0.210 0.104  0.072 0.035  -0.096 0.035
1b#app#app11#app1169/P  -0.416 0.276  -0.416 0.119  -0.416 -0.037  -0.416 -0.194  -0.394 -0.345  -0.324 -0.485  -0.300 -0.636  -0.300 -0.793  -0.300 -0.949  -0.300 -1.106  -0.274 -1.251  -0.185 -1.371  -0.185 -1.527  -0.215 -1.461  -0.257 -1.310  -0.299 -1.159  -0.341 -1.009  -0.383 -0.858  -0.425 -0.707  -0.467 -0.556  -0.509 -0.405  -0.551 -0.254  -0.592 -0.104  -0.634 0.047  -0.676 0.198  -0.718 0.349  -0.760 0.500  -0.647 0.540  -0.572 0.622  -0.531 0.737  -0.374 0.737  -0.300 0.820  -0.176 0.853  -0.020 0.853  0.110 0.917  0.245 0.968  0.402 0.968  0.559 0.968  0.705 0.927  0.845 0.857  1.001 0.853  1.136 0.801  1.266 0.737  1.315 0.630  1.292 0.483  1.181 0.372  1.070 0.262  0.960 0.151  0.849 0.040  0.738 -0.070
1b#app#app11#app1169/H  -1.009 0.833  -0.885 0.737  -0.885 0.516  -0.885 0.296  -0.885 0.075  -0.885 -0.145  -0.848 -0.357  -0.760 -0.557  -0.760 -0.778  -0.760 -0.998  -0.636 -1.167  -0.636 -1.388  -0.493 -1.321  -0.441 -1.106  -0.390 -0.892  -0.338 -0.678  -0.287 -0.463  -0.236 -0.249  -0.184 -0.034  -0.133 0.180  -0.081 0.394  -0.030 0.609  0.022 0.823  0.073 1.038  0.125 1.252  0.176 1.467  0.228 1.681  0.307 1.578  0.357 1.407  0.357 1.186  0.357 0.966  0.419 0.771  0.481 0.576  0.481 0.356  0.481 0.135  0.604 -0.035  0.605 -0.254  0.605 -0.475  0.605 -0.695  0.701 -0.876  0.729 -1.085  0.845 -1.126  0.782 -0.915  0.718 -0.703  0.655 -0.492  0.592 -0.281  0.528 -0.070  0.425 0.088  0.205 0.088  -0.016 0.088
1b#app#app11#app1169/Y  -1.058 0.783  -1.033 0.658  -0.933 0.608  -0.880 0.480  -0.808 0.359  -0.756 0.231  -0.650 0.125  -0.544 0.019  -0.438 -0.087  -0.289 -0.092  -0.183 -0.136  -0.114 -0.217  0.036 -0.217  0.102 -0.103  0.146 0.041  0.190 0.184  0.234 0.327  0.278 0.471  0.322 0.614  0.366 0.758  0.410 0.901  0.455 1.044  0.499 1.188  0.543 1.331  0.566 1.337  0.566 1.187  0.566 1.037  0.441 1.012  0.441 0.862  0.441 0.712  0.441 0.562  0.412 0.415  0.375 0.270  0.339 0.124  0.277 -0.007  0.191 -0.121  0.191 -0.271  0.156 -0.413  0.089 -0.547  0.035 -0.687  -0.013 -0.829  -0.058 -0.972  -0.058 -1.122  -0.083 -1.266  -0.150 -1.400  -0.183 -1.542  -0.183 -1.692  -0.183 -1.842  -0.202 -1.984  -0.308 -2.091
1b#app#app11#app1169/R  -0.244 1.048  -0.244 0.818  -0.244 0.587  -0.244 0.357  -0.244 0.127  -0.244 -0.104  -0.244 -0.334  -0.244 -0.564  -0.244 -0.795  -0.244 -1.025  -0.154 -1.218  -0.179 -1.212  -0.243 -0.991  -0.308 -0.770  -0.372 -0.549  -0.437 -0.328  -0.501 -0.106  -0.566 0.115  -0.630 0.336  -0.695 0.557  -0.759 0.778  -0.824 0.999  -0.739 1.129  -0.626 1.246  -0.396 1.246  -0.206 1.345  0.024 1.345  0.224 1.272  0.444 1.246  0.547 1.061  0.730 0.964  0.745 0.740  0.646 0.551  0.551 0.360  0.388 0.197  0.273 0.059  0.084 -0.040  -0.019 -0.210  -0.210 -0.303  -0.343 -0.420  -0.227 -0.535  -0.096 -0.634  0.094 -0.733  0.306 -0.810  0.490 -0.930  0.702 -1.008  0.886 -1.128  1.095 -1.181  1.306 -1.227  1.437 -1.326
