3#app#app25#app2576/!  0.392 1.820  0.392 1.723  0.392 1.626  0.392 1.529  0.392 1.432  0.392 1.335  0.392 1.238  0.357 1.177  0.260 1.177  0.231 1.108  0.226 1.016  0.129 1.016  0.071 0.978  0.071 0.881  0.071 0.784  0.071 0.687  0.071 0.590  0.071 0.493  0.071 0.396  0.019 0.321  -0.050 0.252  -0.096 0.172  -0.110 0.076  -0.123 -0.020  -0.137 -0.116  -0.151 -0.212  -0.164 -0.308  -0.178 -0.404  -0.192 -0.500  -0.206 -0.596  -0.219 -0.692  -0.233 -0.788  -0.247 -0.884  -0.281 -0.973  -0.324 -1.060  -0.368 -1.147  -0.411 -1.234  -0.317 -1.235  -0.220 -1.235  -0.123 -1.235  -0.045 -1.190  0.024 -1.121  0.071 -1.043  0.071 -0.946  0.071 -0.849  0.070 -0.753  -0.027 -0.753  -0.114 -0.776  -0.182 -0.845  -0.251 -0.914
3#app#app25#app2576/@  0.588 0.052  0.454 0.189  0.359 0.419  0.243 0.326  -0.028 0.326  -0.234 0.260  -0.434 0.189  -0.508 -0.008  -0.508 -0.280  -0.453 -0.496  -0.182 -0.496  0.035 -0.365  0.266 -0.270  0.451 -0.076  0.451 -0.092  0.314 -0.226  0.314 -0.497  0.314 -0.768  0.545 -0.677  0.725 -0.561  0.932 -0.496  1.066 -0.359  1.273 -0.215  1.273 0.056  1.273 0.327  1.273 0.598  1.060 0.737  0.862 0.890  0.712 1.011  0.451 1.021  0.307 1.148  0.173 1.011  -0.099 1.011  -0.370 1.011  -0.504 0.874  -0.718 0.737  -0.919 0.666  -0.967 0.415  -1.193 0.318  -1.330 0.183  -1.330 -0.088  -1.330 -0.359  -1.330 -0.630  -1.199 -0.770  -0.984 -0.907  -0.733 -0.956  -0.499 -1.044  -0.228 -1.044  0.043 -1.044  0.314 -1.044
3#app#app25#app2576/#  0.089 1.289  0.089 0.816  -0.232 0.476  -0.403 0.170  -0.518 -0.188  -0.731 -0.448  -0.895 -0.757  -1.059 -1.066  -0.819 -0.895  -0.509 -0.538  -0.199 -0.180  0.110 0.177  0.420 0.534  0.730 0.892  1.039 1.249  0.909 1.032  0.745 0.723  0.581 0.414  0.417 0.105  0.253 -0.300  0.024 -0.582  -0.080 -1.008  -0.403 -1.159  -0.591 -1.114  -0.773 -0.677  -0.955 -0.240  -1.137 0.196  -1.319 0.633  -1.160 0.632  -0.687 0.632  -0.214 0.632  0.191 0.468  0.596 0.304  1.069 0.304  1.378 0.140  1.851 0.140  1.466 0.097  0.995 0.050  0.525 0.003  0.054 -0.044  -0.416 -0.091  -0.887 -0.138  -1.358 -0.185  -0.944 -0.188  -0.471 -0.188  -0.162 -0.352  0.311 -0.352  0.745 -0.390  1.093 -0.516  1.238 -0.516
3#app#app25#app2576/$  0.546 1.822  0.362 1.617  0.279 1.371  0.178 1.131  0.178 0.850  0.178 0.569  -0.005 0.472  -0.005 0.192  -0.057 -0.068  -0.189 -0.294  -0.324 -0.519  -0.373 -0.780  -0.461 -1.024  -0.557 -1.265  -0.557 -1.428  -0.468 -1.175  -0.308 -0.944  -0.148 -0.713  0.012 -0.482  0.172 -0.251  0.331 -0.020  0.491 0.211  0.651 0.442  0.811 0.673  0.971 0.903  1.039 1.086  0.758 1.086  0.477 1.086  0.196 1.086  -0.071 1.003  -0.338 0.914  -0.433 0.719  -0.557 0.562  -0.487 0.351  -0.206 0.351  -0.005 0.271  0.120 0.042  0.362 -0.031  0.474 -0.200  0.546 -0.409  0.546 -0.690  0.327 -0.752  0.178 -0.884  -0.051 -0.936  -0.189 -1.078  -0.429 -1.120  -0.710 -1.120  -0.925 -1.054  -1.040 -0.821  -1.292 -0.752
3#app#app25#app2576/%  0.501 1.334  0.252 1.334  0.139 1.198  -0.111 1.198  -0.223 1.061  -0.336 0.924  -0.456 0.795  -0.456 0.545  -0.238 0.514  -0.045 0.651  0.205 0.651  0.228 0.877  0.293 1.061  0.543 1.061  0.787 1.048  0.985 0.924  1.098 0.788  1.158 0.651  1.046 0.514  0.830 0.433  0.638 0.343  0.491 0.241  0.364 0.118  0.158 0.034  -0.059 -0.045  -0.235 -0.222  -0.450 -0.306  -0.593 -0.412  -0.788 -0.501  -0.868 -0.716  -1.003 -0.830  -1.139 -0.943  -1.267 -1.122  -1.039 -1.021  -0.811 -0.919  -0.583 -0.818  -0.355 -0.717  -0.127 -0.615  -0.159 -0.692  -0.319 -0.876  -0.319 -1.125  -0.071 -1.126  0.179 -1.126  0.291 -0.989  0.501 -0.949  0.501 -0.700  0.501 -0.451  0.316 -0.306  0.091 -0.330  -0.046 -0.443
3#app#app25#app2576/^  -1.478 -1.008  -1.478 -0.884  -1.478 -0.761  -1.390 -0.725  -1.267 -0.725  -1.195 -0.673  -1.195 -0.549  -1.179 -0.442  -1.055 -0.442  -0.932 -0.442  -0.913 -0.338  -0.913 -0.214  -0.844 -0.160  -0.720 -0.160  -0.606 -0.136  -0.519 -0.049  -0.431 0.039  -0.347 0.127  -0.347 0.251  -0.347 0.374  -0.255 0.406  -0.131 0.406  -0.064 0.462  -0.064 0.586  -0.043 0.689  0.080 0.689  0.204 0.689  0.327 0.689  0.451 0.689  0.575 0.689  0.698 0.689  0.822 0.689  0.945 0.689  1.067 0.686  1.067 0.563  1.067 0.439  1.067 0.316  1.067 0.192  1.067 0.069  1.067 -0.055  1.048 -0.160  0.924 -0.160  0.801 -0.160  0.784 -0.267  0.784 -0.390  0.713 -0.442  0.589 -0.442  0.537 -0.442  0.660 -0.442  0.784 -0.442
3#app#app25#app2576/&  0.432 -1.255  0.301 -1.208  0.234 -1.057  0.169 -0.905  0.038 -0.857  0.038 -0.678  0.038 -0.500  -0.066 -0.364  -0.093 -0.197  -0.093 -0.018  -0.093 0.161  -0.093 0.340  -0.093 0.519  -0.093 0.697  0.022 0.829  0.148 0.955  0.187 1.108  0.347 1.153  0.490 1.239  0.638 1.313  0.793 1.370  0.841 1.239  0.957 1.177  0.847 1.108  0.826 0.950  0.826 0.772  0.826 0.593  0.695 0.545  0.635 0.391  0.485 0.320  0.432 0.195  0.259 0.189  0.169 0.100  0.033 0.057  -0.093 0.005  -0.193 -0.074  -0.329 -0.178  -0.497 -0.205  -0.675 -0.205  -0.854 -0.205  -0.881 -0.357  -0.881 -0.536  -0.881 -0.715  -0.913 -0.862  -1.012 -0.941  -1.012 -1.120  -0.969 -1.255  -0.790 -1.255  -0.613 -1.251  -0.487 -1.124
3#app#app25#app2576/*  0.688 1.612  0.511 1.233  0.476 0.801  0.226 0.598  0.079 0.292  0.079 -0.160  -0.124 -0.409  -0.163 -0.823  -0.412 -1.025  -0.530 -1.361  -0.732 -1.610  -0.816 -1.214  -0.905 -0.770  -0.994 -0.327  -1.083 0.117  -0.969 0.395  -0.517 0.395  -0.267 0.192  0.185 0.192  0.434 -0.011  0.887 -0.011  1.136 -0.214  1.078 -0.020  0.740 0.281  0.402 0.581  0.064 0.882  -0.274 1.182  -0.530 1.298  -0.530 0.846  -0.327 0.596  -0.327 0.144  -0.029 -0.011  0.079 -0.355  0.282 -0.604  0.313 -1.025  0.514 -1.156  0.682 -0.736  0.850 -0.316  1.018 0.104  1.186 0.524  1.142 0.801  0.748 0.658  0.485 0.434  0.275 0.192  -0.124 0.138  -0.398 -0.082  -0.732 -0.277  -0.935 -0.526  -1.294 -0.620  -1.544 -0.823
3#app#app25#app2576/(  1.279 1.255  1.214 1.189  1.148 1.124  1.083 1.059  1.017 0.993  0.939 0.960  0.846 0.960  0.754 0.960  0.689 0.932  0.689 0.840  0.624 0.813  0.532 0.813  0.439 0.813  0.394 0.765  0.394 0.672  0.334 0.605  0.269 0.540  0.203 0.474  0.138 0.409  0.073 0.344  0.007 0.278  -0.062 0.223  -0.155 0.223  -0.232 0.186  -0.297 0.121  -0.363 0.056  -0.428 -0.010  -0.490 -0.077  -0.490 -0.169  -0.532 -0.219  -0.625 -0.219  -0.637 -0.299  -0.637 -0.391  -0.637 -0.484  -0.637 -0.576  -0.637 -0.669  -0.637 -0.761  -0.593 -0.809  -0.500 -0.809  -0.548 -0.867  -0.613 -0.932  -0.637 -1.015  -0.634 -1.104  -0.541 -1.104  -0.449 -1.104  -0.356 -1.104  -0.287 -1.159  -0.222 -1.225  -0.140 -1.251  -0.048 -1.251
3#app#app25#app2576/)  -0.265 1.591  -0.179 1.591  -0.099 1.585  -0.099 1.498  -0.099 1.412  -0.099 1.326  -0.085 1.245  -0.024 1.184  0.037 1.123  0.110 1.092  0.196 1.092  0.234 1.043  0.234 0.957  0.234 0.871  0.234 0.784  0.234 0.698  0.234 0.612  0.234 0.525  0.234 0.439  0.234 0.353  0.234 0.267  0.234 0.180  0.234 0.094  0.234 0.008  0.234 -0.079  0.234 -0.165  0.234 -0.251  0.234 -0.338  0.234 -0.424  0.234 -0.510  0.234 -0.597  0.234 -0.683  0.204 -0.739  0.117 -0.739  0.068 -0.775  0.068 -0.862  0.025 -0.905  -0.061 -0.905  -0.099 -0.954  -0.099 -1.041  -0.154 -1.072  -0.240 -1.072  -0.327 -1.072  -0.413 -1.072  -0.431 -1.139  -0.431 -1.226  -0.505 -1.238  -0.592 -1.238  -0.678 -1.238  -0.764 -1.238
3#app#app25#app2576/`  -0.212 1.712  -0.212 1.638  -0.212 1.565  -0.212 1.491  -0.212 1.418  -0.212 1.345  -0.212 1.271  -0.212 1.198  -0.212 1.124  -0.212 1.051  -0.212 0.977  -0.212 0.904  -0.212 0.830  -0.212 0.757  -0.212 0.683  -0.212 0.610  -0.212 0.537  -0.212 0.463  -0.212 0.390  -0.212 0.316  -0.212 0.243  -0.212 0.169  -0.212 0.096  -0.212 0.022  -0.212 -0.051  -0.212 -0.125  -0.212 -0.198  -0.212 -0.272  -0.168 -0.327  -0.116 -0.379  -0.064 -0.431  -0.012 -0.483  0.040 -0.534  0.092 -0.586  0.144 -0.638  0.196 -0.690  0.248 -0.742  0.299 -0.794  0.351 -0.846  0.403 -0.898  0.453 -0.951  0.453 -1.025  0.453 -1.098  0.453 -1.171  0.453 -1.245  0.453 -1.318  0.453 -1.392  0.453 -1.465  0.453 -1.539  0.453 -1.612
