2#app#app06#app0640/[  0.361 1.433  0.296 1.369  0.241 1.301  0.197 1.253  0.106 1.253  0.015 1.253  -0.053 1.199  -0.135 1.177  -0.208 1.133  -0.282 1.091  -0.346 1.027  -0.410 0.962  -0.438 0.893  -0.480 0.844  -0.540 0.813  -0.540 0.722  -0.524 0.638  -0.480 0.565  -0.480 0.474  -0.451 0.388  -0.422 0.301  -0.361 0.235  -0.359 0.144  -0.359 0.053  -0.299 -0.013  -0.299 -0.104  -0.251 -0.175  -0.206 -0.253  -0.179 -0.338  -0.152 -0.422  -0.119 -0.506  -0.097 -0.592  -0.056 -0.673  -0.016 -0.754  0.001 -0.842  0.019 -0.925  0.061 -0.999  0.105 -1.071  0.169 -1.136  0.195 -1.087  0.287 -1.087  0.378 -1.087  0.469 -1.087  0.560 -1.087  0.651 -1.087  0.718 -1.030  0.808 -1.027  0.899 -1.027  0.990 -1.027  1.021 -1.087
2#app#app06#app0640/(  -0.060 1.480  -0.068 1.548  -0.127 1.532  -0.144 1.463  -0.196 1.409  -0.230 1.341  -0.262 1.273  -0.262 1.198  -0.277 1.128  -0.329 1.075  -0.329 0.999  -0.329 0.923  -0.329 0.848  -0.329 0.772  -0.329 0.697  -0.329 0.621  -0.329 0.546  -0.329 0.470  -0.326 0.395  -0.293 0.328  -0.262 0.259  -0.262 0.184  -0.255 0.110  -0.231 0.038  -0.207 -0.034  -0.194 -0.107  -0.194 -0.183  -0.171 -0.253  -0.137 -0.320  -0.103 -0.388  -0.069 -0.456  -0.022 -0.513  0.023 -0.573  0.057 -0.640  0.099 -0.702  0.153 -0.755  0.206 -0.808  0.241 -0.875  0.275 -0.942  0.279 -1.017  0.333 -1.070  0.403 -1.082  0.459 -1.129  0.513 -1.183  0.574 -1.217  0.615 -1.252  0.658 -1.284  0.733 -1.284  0.809 -1.284  0.884 -1.284
2#app#app06#app0640/1  -0.497 1.565  -0.424 1.565  -0.391 1.526  -0.391 1.453  -0.391 1.380  -0.391 1.307  -0.386 1.236  -0.353 1.171  -0.321 1.106  -0.288 1.041  -0.285 0.969  -0.270 0.899  -0.238 0.834  -0.205 0.769  -0.179 0.702  -0.179 0.630  -0.179 0.557  -0.165 0.490  -0.113 0.438  -0.073 0.383  -0.073 0.310  -0.073 0.237  -0.063 0.166  -0.031 0.101  0.002 0.036  0.034 -0.029  0.067 -0.094  0.100 -0.159  0.132 -0.224  0.140 -0.295  0.140 -0.368  0.140 -0.441  0.140 -0.513  0.140 -0.586  0.140 -0.659  0.188 -0.712  0.239 -0.763  0.246 -0.833  0.246 -0.906  0.246 -0.979  0.246 -1.052  0.271 -1.114  0.323 -1.165  0.352 -1.226  0.352 -1.299  0.352 -1.372  0.379 -1.433  0.430 -1.485  0.458 -1.546  0.458 -1.619
2#app#app06#app0640/)  -0.727 1.162  -0.650 1.162  -0.648 1.237  -0.575 1.241  -0.498 1.241  -0.421 1.241  -0.411 1.175  -0.346 1.162  -0.332 1.100  -0.271 1.083  -0.253 1.025  -0.197 1.004  -0.174 0.950  -0.137 0.888  -0.087 0.831  -0.053 0.762  -0.018 0.693  -0.016 0.617  -0.016 0.540  0.032 0.483  0.063 0.419  0.063 0.342  0.083 0.273  0.138 0.219  0.142 0.144  0.142 0.067  0.142 -0.010  0.171 -0.080  0.205 -0.149  0.221 -0.222  0.221 -0.299  0.221 -0.376  0.221 -0.453  0.221 -0.530  0.221 -0.607  0.221 -0.684  0.221 -0.761  0.221 -0.838  0.221 -0.915  0.221 -0.992  0.221 -1.068  0.221 -1.145  0.221 -1.222  0.221 -1.299  0.221 -1.376  0.221 -1.453  0.221 -1.530  0.221 -1.607  0.221 -1.684  0.221 -1.761
2#app#app06#app0640/(  -0.281 1.424  -0.228 1.477  -0.213 1.546  -0.213 1.499  -0.213 1.424  -0.218 1.351  -0.271 1.297  -0.281 1.226  -0.281 1.151  -0.281 1.075  -0.281 1.000  -0.281 0.925  -0.281 0.849  -0.281 0.774  -0.281 0.699  -0.281 0.623  -0.281 0.548  -0.281 0.473  -0.281 0.397  -0.247 0.330  -0.214 0.263  -0.213 0.187  -0.213 0.112  -0.213 0.037  -0.213 -0.039  -0.202 -0.112  -0.178 -0.184  -0.155 -0.255  -0.114 -0.316  -0.076 -0.376  -0.076 -0.452  -0.051 -0.516  0.003 -0.570  0.056 -0.623  0.091 -0.689  0.125 -0.756  0.176 -0.811  0.197 -0.878  0.234 -0.938  0.288 -0.991  0.341 -1.045  0.394 -1.098  0.447 -1.151  0.509 -1.193  0.576 -1.227  0.648 -1.243  0.676 -1.290  0.730 -1.311  0.806 -1.311  0.881 -1.311
2#app#app06#app0640/2  -1.067 0.776  -0.974 0.788  -0.904 0.858  -0.834 0.928  -0.764 0.997  -0.694 1.067  -0.609 1.102  -0.530 1.149  -0.446 1.183  -0.347 1.183  -0.248 1.183  -0.155 1.168  -0.085 1.098  -0.015 1.029  -0.007 0.933  0.009 0.841  0.074 0.769  0.074 0.670  0.074 0.572  0.074 0.473  0.074 0.374  0.009 0.302  -0.007 0.210  -0.007 0.111  -0.028 0.021  -0.089 -0.053  -0.089 -0.152  -0.089 -0.251  -0.089 -0.349  -0.089 -0.448  -0.159 -0.518  -0.170 -0.612  -0.170 -0.711  -0.145 -0.799  -0.089 -0.875  -0.052 -0.937  0.047 -0.937  0.074 -1.008  0.163 -1.019  0.262 -1.019  0.360 -1.019  0.459 -1.019  0.558 -1.019  0.657 -1.019  0.756 -1.019  0.855 -1.019  0.954 -1.019  1.052 -1.019  1.146 -1.007  1.216 -0.937
2#app#app06#app0640/)  -0.763 1.280  -0.687 1.280  -0.614 1.275  -0.560 1.221  -0.490 1.207  -0.415 1.207  -0.358 1.163  -0.294 1.135  -0.218 1.135  -0.142 1.135  -0.113 1.089  -0.113 1.013  -0.076 0.953  -0.041 0.892  -0.041 0.816  -0.017 0.751  0.031 0.695  0.036 0.621  0.069 0.553  0.103 0.486  0.103 0.410  0.103 0.334  0.103 0.259  0.103 0.183  0.103 0.108  0.103 0.032  0.103 -0.043  0.123 -0.111  0.175 -0.165  0.175 -0.240  0.175 -0.316  0.175 -0.391  0.175 -0.467  0.175 -0.543  0.175 -0.618  0.175 -0.694  0.175 -0.769  0.175 -0.845  0.175 -0.920  0.175 -0.996  0.175 -1.071  0.175 -1.147  0.175 -1.223  0.175 -1.298  0.175 -1.374  0.175 -1.449  0.175 -1.525  0.175 -1.600  0.175 -1.676  0.175 -1.752
2#app#app06#app0640/(  -0.187 1.601  -0.262 1.601  -0.302 1.565  -0.302 1.490  -0.302 1.415  -0.302 1.340  -0.302 1.265  -0.302 1.190  -0.302 1.116  -0.302 1.041  -0.302 0.966  -0.302 0.891  -0.302 0.816  -0.302 0.741  -0.302 0.666  -0.302 0.591  -0.302 0.516  -0.290 0.446  -0.237 0.393  -0.187 0.338  -0.187 0.263  -0.187 0.188  -0.187 0.113  -0.153 0.046  -0.120 -0.021  -0.086 -0.088  -0.073 -0.160  -0.073 -0.235  -0.073 -0.310  -0.073 -0.384  -0.071 -0.459  -0.018 -0.512  0.035 -0.565  0.041 -0.637  0.060 -0.704  0.113 -0.757  0.166 -0.810  0.219 -0.863  0.272 -0.916  0.325 -0.969  0.378 -1.022  0.384 -1.095  0.411 -1.142  0.486 -1.142  0.543 -1.187  0.596 -1.240  0.649 -1.293  0.702 -1.346  0.766 -1.371  0.841 -1.371
2#app#app06#app0640/3  -0.915 0.964  -0.907 0.864  -0.804 0.875  -0.728 0.951  -0.627 0.964  -0.519 0.964  -0.443 1.037  -0.346 1.063  -0.239 1.063  -0.217 1.149  -0.124 1.163  -0.018 1.162  -0.009 1.063  0.082 1.047  0.082 0.940  0.060 0.842  -0.016 0.766  -0.018 0.660  -0.030 0.565  -0.117 0.545  -0.117 0.438  -0.142 0.341  -0.217 0.265  -0.217 0.157  -0.234 0.067  -0.299 0.050  -0.224 -0.026  -0.148 -0.102  -0.053 -0.132  0.033 -0.183  0.120 -0.232  0.181 -0.278  0.235 -0.332  0.281 -0.392  0.330 -0.480  0.381 -0.566  0.423 -0.631  0.480 -0.680  0.480 -0.788  0.480 -0.895  0.480 -1.002  0.480 -1.109  0.480 -1.217  0.480 -1.324  0.480 -1.431  0.469 -1.527  0.381 -1.546  0.362 -1.645  0.286 -1.721  0.181 -1.727
2#app#app06#app0640/)  -0.610 1.469  -0.610 1.390  -0.607 1.314  -0.532 1.310  -0.532 1.231  -0.526 1.159  -0.455 1.151  -0.446 1.082  -0.378 1.071  -0.366 1.005  -0.291 0.995  -0.235 0.940  -0.223 0.866  -0.160 0.850  -0.146 0.786  -0.100 0.727  -0.053 0.665  -0.018 0.594  0.009 0.522  0.023 0.449  0.079 0.394  0.086 0.318  0.135 0.260  0.181 0.197  0.216 0.127  0.241 0.054  0.241 -0.025  0.241 -0.103  0.241 -0.182  0.261 -0.252  0.317 -0.308  0.318 -0.386  0.318 -0.464  0.318 -0.543  0.318 -0.622  0.318 -0.700  0.318 -0.779  0.318 -0.858  0.312 -0.934  0.256 -0.989  0.241 -1.062  0.241 -1.140  0.214 -1.213  0.179 -1.283  0.144 -1.353  0.109 -1.424  0.086 -1.497  0.065 -1.567  0.010 -1.622  -0.068 -1.623
2#app#app06#app0640/(  0.071 1.688  0.071 1.613  0.071 1.538  0.045 1.473  -0.008 1.420  -0.047 1.357  -0.081 1.290  -0.115 1.222  -0.117 1.148  -0.117 1.073  -0.117 0.997  -0.117 0.922  -0.117 0.847  -0.165 0.791  -0.212 0.735  -0.212 0.660  -0.212 0.585  -0.212 0.510  -0.212 0.435  -0.212 0.359  -0.212 0.284  -0.212 0.209  -0.212 0.134  -0.212 0.058  -0.212 -0.017  -0.212 -0.092  -0.212 -0.167  -0.201 -0.241  -0.183 -0.314  -0.165 -0.387  -0.146 -0.460  -0.128 -0.533  -0.117 -0.607  -0.109 -0.679  -0.055 -0.732  -0.010 -0.791  0.024 -0.858  0.057 -0.925  0.103 -0.984  0.156 -1.037  0.166 -1.109  0.208 -1.142  0.276 -1.158  0.329 -1.211  0.383 -1.264  0.436 -1.318  0.506 -1.330  0.581 -1.330  0.656 -1.330  0.732 -1.330
