3#app#app08#app0856/0  -0.131 0.495  -0.276 0.495  -0.398 0.439  -0.501 0.337  -0.554 0.214  -0.631 0.101  -0.733 -0.002  -0.765 -0.133  -0.765 -0.278  -0.765 -0.423  -0.763 -0.568  -0.717 -0.705  -0.672 -0.843  -0.584 -0.954  -0.481 -1.057  -0.379 -1.159  -0.249 -1.196  -0.104 -1.196  0.041 -1.196  0.186 -1.196  0.319 -1.168  0.421 -1.066  0.524 -0.963  0.626 -0.861  0.723 -0.754  0.788 -0.625  0.853 -0.495  0.918 -0.365  0.925 -0.222  0.925 -0.077  0.925 0.068  0.925 0.212  0.892 0.350  0.828 0.479  0.730 0.585  0.659 0.710  0.586 0.834  0.479 0.930  0.349 0.994  0.211 1.023  0.079 1.077  -0.054 1.129  -0.199 1.129  -0.344 1.128  -0.446 1.025  -0.579 0.998  -0.660 0.886  -0.660 0.741  -0.737 0.628  -0.765 0.495
3#app#app08#app0856/1  -0.221 1.510  -0.146 1.510  -0.071 1.510  -0.020 1.487  -0.020 1.412  -0.020 1.337  0.014 1.276  0.066 1.223  0.119 1.170  0.172 1.117  0.181 1.046  0.181 0.971  0.181 0.897  0.181 0.822  0.181 0.747  0.181 0.672  0.181 0.597  0.181 0.523  0.181 0.448  0.181 0.373  0.181 0.298  0.181 0.223  0.181 0.148  0.160 0.082  0.107 0.030  0.054 -0.023  0.001 -0.076  -0.020 -0.142  -0.020 -0.217  -0.020 -0.292  -0.020 -0.367  -0.020 -0.442  -0.020 -0.516  -0.020 -0.591  -0.020 -0.666  -0.020 -0.741  -0.020 -0.816  -0.020 -0.890  -0.065 -0.947  -0.118 -0.999  -0.171 -1.052  -0.221 -1.106  -0.221 -1.181  -0.221 -1.256  -0.221 -1.331  -0.221 -1.406  -0.221 -1.481  -0.221 -1.555  -0.221 -1.630  -0.221 -1.705
3#app#app08#app0856/  0.751 1.471  0.751 1.399  0.717 1.362  0.645 1.362  0.611 1.301  0.579 1.237  0.547 1.173  0.515 1.109  0.483 1.045  0.451 0.981  0.423 0.916  0.423 0.844  0.404 0.777  0.372 0.713  0.340 0.649  0.305 0.587  0.254 0.537  0.204 0.486  0.172 0.422  0.140 0.358  0.108 0.294  0.071 0.232  0.031 0.173  -0.009 0.113  -0.048 0.054  -0.088 -0.006  -0.124 -0.067  -0.124 -0.138  -0.124 -0.210  -0.125 -0.281  -0.157 -0.345  -0.189 -0.409  -0.221 -0.473  -0.265 -0.529  -0.316 -0.580  -0.358 -0.636  -0.390 -0.700  -0.422 -0.764  -0.452 -0.829  -0.452 -0.901  -0.469 -0.968  -0.501 -1.032  -0.533 -1.096  -0.561 -1.161  -0.561 -1.233  -0.561 -1.304  -0.561 -1.376  -0.561 -1.448  -0.561 -1.519  -0.561 -1.591
3#app#app08#app0856/2  -1.114 0.741  -1.029 0.825  -0.939 0.894  -0.820 0.894  -0.701 0.894  -0.603 0.944  -0.519 1.028  -0.408 1.048  -0.289 1.048  -0.172 1.038  -0.066 0.985  0.040 0.932  0.151 0.894  0.270 0.894  0.389 0.894  0.507 0.894  0.626 0.894  0.729 0.878  0.729 0.759  0.729 0.640  0.729 0.521  0.729 0.402  0.729 0.283  0.647 0.198  0.563 0.114  0.479 0.030  0.395 -0.054  0.311 -0.138  0.226 -0.223  0.142 -0.307  0.035 -0.334  -0.071 -0.366  -0.155 -0.450  -0.239 -0.535  -0.323 -0.619  -0.346 -0.728  -0.398 -0.795  -0.499 -0.813  -0.499 -0.932  -0.499 -1.051  -0.432 -1.102  -0.322 -1.125  -0.238 -1.209  -0.138 -1.255  -0.019 -1.255  0.100 -1.255  0.219 -1.255  0.338 -1.255  0.457 -1.255  0.575 -1.255
3#app#app08#app0856/3  -0.901 0.978  -0.766 0.978  -0.755 1.102  -0.643 1.124  -0.508 1.124  -0.373 1.124  -0.238 1.124  -0.103 1.124  0.032 1.124  0.154 1.093  0.249 0.998  0.376 0.978  0.511 0.978  0.562 0.894  0.562 0.759  0.562 0.624  0.511 0.539  0.376 0.539  0.244 0.527  0.124 0.467  0.003 0.406  -0.129 0.393  -0.236 0.327  -0.338 0.247  -0.462 0.236  -0.462 0.101  -0.462 -0.034  -0.340 -0.046  -0.237 -0.125  -0.131 -0.192  -0.024 -0.220  -0.007 -0.338  0.128 -0.338  0.263 -0.338  0.327 -0.454  0.387 -0.574  0.466 -0.681  0.561 -0.777  0.562 -0.912  0.562 -1.047  0.483 -1.149  0.375 -1.216  0.249 -1.236  0.153 -1.332  0.041 -1.403  -0.080 -1.464  -0.204 -1.509  -0.339 -1.509  -0.474 -1.509  -0.609 -1.509
3#app#app08#app0856/  0.601 1.510  0.529 1.510  0.472 1.474  0.421 1.423  0.414 1.354  0.385 1.294  0.334 1.243  0.321 1.177  0.307 1.108  0.274 1.044  0.242 0.979  0.200 0.922  0.149 0.871  0.134 0.805  0.134 0.733  0.134 0.661  0.134 0.589  0.134 0.517  0.134 0.445  0.134 0.373  0.134 0.301  0.118 0.231  0.100 0.162  0.083 0.092  0.066 0.022  0.048 -0.048  0.022 -0.115  -0.010 -0.179  -0.042 -0.243  -0.053 -0.313  -0.053 -0.385  -0.055 -0.456  -0.088 -0.521  -0.120 -0.585  -0.152 -0.649  -0.184 -0.714  -0.216 -0.778  -0.239 -0.845  -0.239 -0.917  -0.239 -0.989  -0.275 -1.046  -0.326 -1.097  -0.360 -1.160  -0.393 -1.224  -0.425 -1.288  -0.475 -1.340  -0.519 -1.393  -0.519 -1.465  -0.562 -1.520  -0.613 -1.571
3#app#app08#app0856/4  -0.900 0.854  -0.769 0.909  -0.847 0.907  -1.010 0.854  -1.065 0.723  -1.161 0.634  -1.175 0.462  -1.292 0.393  -1.292 0.208  -1.292 0.022  -1.292 -0.164  -1.142 -0.211  -1.003 -0.323  -0.817 -0.323  -0.646 -0.384  -0.477 -0.453  -0.291 -0.453  -0.106 -0.456  0.070 -0.515  0.246 -0.574  0.430 -0.584  0.616 -0.584  0.801 -0.584  0.987 -0.584  1.172 -0.584  1.133 -0.429  1.066 -0.256  1.000 -0.083  0.933 0.090  0.866 0.264  0.800 0.437  0.733 0.610  0.666 0.783  0.600 0.957  0.523 1.116  0.408 1.045  0.319 0.896  0.277 0.728  0.277 0.543  0.277 0.357  0.277 0.171  0.277 -0.014  0.277 -0.200  0.277 -0.386  0.277 -0.571  0.277 -0.757  0.277 -0.943  0.146 -0.997  0.146 -1.183  0.146 -1.369
3#app#app08#app0856/5  -0.075 0.951  -0.152 1.051  -0.228 0.951  -0.366 0.859  -0.520 0.805  -0.645 0.680  -0.699 0.526  -0.773 0.380  -0.739 0.218  -0.614 0.094  -0.454 0.053  -0.306 -0.015  -0.243 -0.146  -0.075 -0.155  0.001 -0.284  0.159 -0.363  0.317 -0.441  0.423 -0.572  0.497 -0.718  0.621 -0.843  0.723 -0.977  0.715 -1.150  0.623 -1.288  0.501 -1.342  0.324 -1.342  0.148 -1.342  -0.028 -1.342  -0.167 -1.251  -0.320 -1.197  -0.474 -1.143  -0.441 -0.969  -0.408 -0.796  -0.375 -0.623  -0.342 -0.450  -0.309 -0.277  -0.276 -0.103  -0.243 0.070  -0.210 0.243  -0.177 0.416  -0.144 0.589  -0.111 0.762  -0.078 0.936  0.045 1.051  0.193 1.119  0.354 1.160  0.521 1.216  0.692 1.250  0.869 1.250  1.045 1.250  1.221 1.250
3#app#app08#app0856/`  -0.858 1.534  -0.802 1.477  -0.745 1.421  -0.689 1.365  -0.632 1.308  -0.576 1.252  -0.520 1.196  -0.510 1.120  -0.510 1.040  -0.510 0.960  -0.510 0.880  -0.483 0.812  -0.427 0.756  -0.371 0.699  -0.314 0.643  -0.258 0.586  -0.202 0.530  -0.163 0.466  -0.163 0.387  -0.163 0.307  -0.163 0.227  -0.163 0.147  -0.109 0.090  -0.053 0.034  0.004 -0.023  0.060 -0.079  0.116 -0.136  0.173 -0.192  0.185 -0.267  0.185 -0.347  0.185 -0.426  0.185 -0.506  0.219 -0.551  0.299 -0.551  0.379 -0.551  0.458 -0.551  0.532 -0.557  0.532 -0.637  0.532 -0.717  0.532 -0.796  0.532 -0.876  0.532 -0.956  0.532 -1.036  0.532 -1.115  0.532 -1.195  0.532 -1.275  0.532 -1.355  0.532 -1.434  0.532 -1.514  0.532 -1.594
3#app#app08#app0856/i  -0.444 0.174  -0.553 0.174  -0.567 0.079  -0.509 -0.006  -0.444 -0.088  -0.444 -0.197  -0.444 -0.306  -0.444 -0.415  -0.384 -0.499  -0.321 -0.582  -0.321 -0.691  -0.321 -0.800  -0.321 -0.909  -0.321 -1.018  -0.321 -1.127  -0.321 -1.236  -0.321 -1.345  -0.311 -1.392  -0.278 -1.288  -0.245 -1.184  -0.212 -1.080  -0.178 -0.977  -0.145 -0.873  -0.112 -0.769  -0.079 -0.665  -0.045 -0.561  -0.012 -0.457  0.021 -0.354  0.054 -0.250  0.087 -0.146  0.121 -0.042  0.154 0.062  0.187 0.166  0.220 0.269  0.254 0.373  0.287 0.477  0.320 0.581  0.353 0.685  0.387 0.789  0.420 0.892  0.453 0.996  0.486 1.100  0.519 1.204  0.553 1.308  0.586 1.412  0.619 1.515  0.652 1.619  0.606 1.704  0.539 1.785  0.539 1.894
3#app#app08#app0856/s  0.655 0.979  0.536 0.979  0.417 0.979  0.298 0.979  0.180 0.979  0.061 0.979  -0.058 0.979  -0.176 0.979  -0.295 0.979  -0.414 0.979  -0.532 0.979  -0.651 0.979  -0.770 0.979  -0.888 0.979  -0.944 0.916  -0.918 0.808  -0.834 0.724  -0.750 0.640  -0.666 0.556  -0.582 0.472  -0.496 0.392  -0.390 0.339  -0.284 0.285  -0.186 0.221  -0.102 0.137  -0.018 0.053  0.066 -0.031  0.150 -0.115  0.238 -0.193  0.344 -0.246  0.450 -0.299  0.546 -0.366  0.630 -0.450  0.714 -0.534  0.798 -0.618  0.800 -0.736  0.800 -0.855  0.737 -0.910  0.655 -0.947  0.646 -1.060  0.540 -1.113  0.433 -1.166  0.323 -1.201  0.204 -1.201  0.085 -1.201  -0.033 -1.201  -0.152 -1.201  -0.271 -1.201  -0.389 -1.201  -0.508 -1.201
3#app#app08#app0856/b  -0.674 1.792  -0.829 1.792  -0.912 1.719  -0.834 1.596  -0.750 1.468  -0.680 1.330  -0.674 1.176  -0.674 1.021  -0.632 0.876  -0.562 0.737  -0.493 0.599  -0.437 0.457  -0.437 0.302  -0.391 0.158  -0.322 0.019  -0.252 -0.120  -0.199 -0.262  -0.199 -0.418  -0.199 -0.573  -0.134 -0.712  -0.081 -0.855  -0.081 -1.010  -0.081 -1.165  -0.199 -1.149  -0.171 -1.000  -0.102 -0.862  -0.081 -0.711  -0.081 -0.556  -0.081 -0.401  -0.037 -0.257  0.032 -0.118  0.139 -0.006  0.165 0.138  0.274 0.248  0.310 0.368  0.465 0.368  0.620 0.368  0.768 0.350  0.869 0.237  0.869 0.082  0.869 -0.074  0.869 -0.229  0.869 -0.384  0.815 -0.517  0.722 -0.638  0.652 -0.777  0.631 -0.927  0.529 -1.040  0.420 -1.149  0.394 -1.294
3#app#app08#app0856/e  -1.218 0.149  -1.206 0.309  -1.058 0.285  -1.022 0.149  -0.849 0.149  -0.677 0.149  -0.505 0.149  -0.332 0.149  -0.188 0.081  -0.054 -0.012  0.118 -0.012  0.291 -0.012  0.463 -0.012  0.626 0.029  0.780 0.106  0.942 0.149  1.089 0.211  1.187 0.343  1.187 0.515  1.187 0.687  1.125 0.821  0.971 0.898  0.811 0.951  0.638 0.951  0.466 0.951  0.293 0.951  0.152 0.877  0.015 0.790  -0.157 0.790  -0.308 0.738  -0.430 0.616  -0.552 0.494  -0.674 0.373  -0.737 0.226  -0.737 0.054  -0.737 -0.118  -0.737 -0.291  -0.737 -0.463  -0.636 -0.594  -0.577 -0.741  -0.476 -0.813  -0.316 -0.864  -0.162 -0.941  -0.026 -1.043  0.096 -1.165  0.218 -1.287  0.370 -1.367  0.524 -1.444  0.694 -1.455  0.866 -1.455
3#app#app08#app0856/f  0.461 0.610  0.398 0.749  0.334 0.889  0.255 0.990  0.233 1.134  0.233 1.299  0.233 1.465  0.157 1.555  0.034 1.598  -0.114 1.555  -0.231 1.438  -0.299 1.300  -0.375 1.166  -0.375 1.000  -0.375 0.835  -0.375 0.669  -0.327 0.514  -0.267 0.361  -0.214 0.204  -0.162 0.046  -0.109 -0.111  -0.051 -0.266  0.005 -0.418  0.005 -0.584  0.050 -0.742  0.081 -0.903  0.118 -1.060  0.157 -1.216  0.157 -1.382  0.157 -1.548  0.233 -1.682  0.191 -1.654  0.123 -1.503  0.055 -1.352  -0.013 -1.200  -0.081 -1.049  -0.149 -0.898  -0.217 -0.747  -0.285 -0.596  -0.353 -0.445  -0.421 -0.294  -0.435 -0.150  -0.349 -0.061  -0.205 0.020  -0.063 0.078  0.102 0.078  0.268 0.078  0.434 0.078  0.599 0.078  0.765 0.078
3#app#app08#app0856/o  0.099 0.281  -0.060 0.289  -0.072 0.452  -0.191 0.571  -0.347 0.599  -0.475 0.503  -0.538 0.362  -0.599 0.219  -0.726 0.122  -0.856 0.084  -0.856 -0.084  -0.856 -0.251  -0.856 -0.419  -0.805 -0.566  -0.686 -0.684  -0.568 -0.803  -0.449 -0.921  -0.379 -1.059  -0.303 -1.151  -0.135 -1.151  0.033 -1.151  0.200 -1.151  0.368 -1.151  0.536 -1.151  0.666 -1.061  0.735 -0.922  0.790 -0.778  0.909 -0.659  1.028 -0.541  1.053 -0.384  1.053 -0.216  1.053 -0.048  1.053 0.119  1.049 0.285  0.931 0.404  0.842 0.544  0.767 0.694  0.668 0.826  0.538 0.917  0.370 0.917  0.203 0.917  0.035 0.917  -0.133 0.917  -0.300 0.917  -0.468 0.917  -0.636 0.917  -0.772 0.842  -0.891 0.724  -1.009 0.605  -1.015 0.440
3#app#app08#app0856/r  -0.681 0.456  -0.540 0.456  -0.537 0.593  -0.537 0.466  -0.407 0.456  -0.394 0.329  -0.394 0.189  -0.394 0.048  -0.394 -0.092  -0.394 -0.232  -0.394 -0.372  -0.394 -0.512  -0.394 -0.653  -0.394 -0.793  -0.394 -0.933  -0.394 -1.073  -0.394 -1.213  -0.394 -1.354  -0.333 -1.469  -0.250 -1.530  -0.250 -1.390  -0.250 -1.249  -0.250 -1.109  -0.250 -0.969  -0.250 -0.829  -0.250 -0.689  -0.250 -0.548  -0.250 -0.408  -0.154 -0.308  -0.107 -0.187  -0.107 -0.047  -0.107 0.093  -0.107 0.234  -0.064 0.356  0.036 0.455  0.037 0.595  0.037 0.735  0.169 0.743  0.180 0.872  0.293 0.943  0.418 1.005  0.552 1.030  0.693 1.030  0.833 1.030  0.973 1.030  1.113 1.030  1.253 1.030  1.374 0.983  1.474 0.886  1.615 0.886
3#app#app08#app0856/e  -0.549 0.156  -0.712 0.156  -0.772 0.156  -0.609 0.156  -0.446 0.156  -0.283 0.156  -0.120 0.156  0.039 0.175  0.185 0.248  0.337 0.293  0.474 0.355  0.606 0.430  0.769 0.430  0.823 0.539  0.823 0.702  0.800 0.842  0.686 0.891  0.611 0.979  0.448 0.979  0.285 0.979  0.122 0.979  -0.041 0.979  -0.197 0.949  -0.343 0.876  -0.472 0.781  -0.604 0.704  -0.731 0.637  -0.821 0.502  -0.912 0.366  -0.960 0.218  -0.960 0.055  -0.960 -0.108  -0.950 -0.267  -0.834 -0.382  -0.719 -0.497  -0.604 -0.612  -0.489 -0.728  -0.373 -0.843  -0.251 -0.942  -0.088 -0.942  0.067 -0.975  0.213 -1.048  0.368 -1.079  0.531 -1.079  0.694 -1.079  0.857 -1.079  1.020 -1.079  1.183 -1.079  1.346 -1.079  1.509 -1.079
3#app#app08#app0856/'  0.745 0.945  0.830 0.945  0.916 0.945  1.002 0.945  1.088 0.945  1.012 0.945  0.927 0.945  0.841 0.945  0.755 0.945  0.745 0.870  0.745 0.785  0.745 0.699  0.745 0.613  0.675 0.597  0.589 0.597  0.503 0.597  0.418 0.597  0.351 0.552  0.290 0.491  0.230 0.430  0.169 0.370  0.108 0.309  0.048 0.249  -0.013 0.188  -0.073 0.127  -0.134 0.067  -0.195 0.006  -0.255 -0.054  -0.300 -0.122  -0.300 -0.207  -0.300 -0.293  -0.300 -0.379  -0.317 -0.447  -0.403 -0.447  -0.489 -0.447  -0.574 -0.447  -0.648 -0.459  -0.648 -0.545  -0.648 -0.631  -0.648 -0.716  -0.651 -0.801  -0.689 -0.878  -0.728 -0.955  -0.766 -1.031  -0.804 -1.108  -0.843 -1.185  -0.881 -1.261  -0.919 -1.338  -0.957 -1.415  -0.996 -1.491
3#app#app08#app0856/6  0.590 1.946  0.449 1.946  0.348 1.848  0.301 1.725  0.250 1.605  0.150 1.506  0.050 1.406  -0.027 1.289  -0.090 1.162  -0.131 1.031  -0.152 0.894  -0.215 0.768  -0.275 0.641  -0.275 0.499  -0.275 0.358  -0.275 0.217  -0.275 0.075  -0.275 -0.066  -0.275 -0.207  -0.275 -0.349  -0.275 -0.490  -0.275 -0.631  -0.189 -0.737  -0.089 -0.837  0.011 -0.937  0.111 -1.037  0.233 -1.083  0.375 -1.083  0.495 -1.033  0.595 -0.933  0.695 -0.833  0.734 -0.708  0.734 -0.567  0.677 -0.449  0.590 -0.344  0.575 -0.218  0.433 -0.218  0.292 -0.218  0.151 -0.218  0.009 -0.218  -0.132 -0.218  -0.274 -0.218  -0.415 -0.218  -0.420 -0.354  -0.514 -0.456  -0.614 -0.556  -0.708 -0.659  -0.708 -0.800  -0.708 -0.942  -0.708 -1.083
