2#tos#t1#t1069062/#  -1.017 0.588  -0.789 0.549  -0.369 0.549  0.022 0.665  0.442 0.665  0.687 0.921  0.753 0.823  0.410 0.580  0.068 0.337  -0.275 0.094  -0.618 -0.149  -0.961 -0.392  -1.210 -0.684  -0.899 -0.607  -0.516 -0.517  -0.236 -0.376  0.184 -0.376  0.541 -0.247  0.881 -0.145  0.920 0.059  0.642 0.374  0.364 0.690  0.086 1.005  -0.192 1.320  -0.361 1.350  -0.361 0.930  -0.361 0.509  -0.400 0.128  -0.400 -0.293  -0.361 -0.674  -0.323 -1.056  -0.323 -1.476  -0.323 -1.897  -0.284 -1.645  -0.183 -1.237  -0.083 -0.829  0.018 -0.421  0.119 -0.013  0.220 0.395  0.321 0.803  0.422 1.211  0.338 1.475  0.410 1.081  0.384 0.665  0.371 0.247  0.410 -0.167  0.410 -0.588  0.410 -1.008  0.448 -1.412  0.564 -1.803
2#tos#t1#t1069062/$  0.713 0.675  0.723 0.689  0.532 0.830  0.347 0.930  0.063 0.930  -0.149 0.857  -0.431 0.848  -0.595 0.679  -0.741 0.540  -0.665 0.275  -0.534 0.094  -0.359 -0.015  -0.111 -0.052  0.158 -0.088  0.293 -0.263  0.527 -0.358  0.726 -0.488  0.750 -0.748  0.786 -0.996  0.575 -1.069  0.399 -1.178  0.115 -1.178  -0.164 -1.169  -0.300 -0.997  -0.475 -0.888  -0.640 -0.800  -0.555 -0.529  -0.469 -0.257  -0.384 0.014  -0.298 0.285  -0.213 0.557  -0.127 0.828  -0.042 1.099  0.044 1.370  0.129 1.642  0.086 1.693  0.095 1.472  0.095 1.188  0.132 0.940  0.067 0.676  0.023 0.400  0.023 0.116  0.023 -0.169  0.023 -0.453  0.023 -0.738  -0.086 -0.913  -0.086 -1.197  -0.014 -1.409  -0.014 -1.694  -0.014 -1.978
2#tos#t1#t1069062/%  -0.332 0.703  -0.479 0.591  -0.690 0.586  -0.800 0.717  -0.800 0.935  -0.732 1.083  -0.515 1.083  -0.449 0.932  -0.496 0.761  -0.432 0.756  -0.238 0.853  -0.044 0.950  0.150 1.047  0.345 1.144  0.539 1.241  0.691 1.271  0.545 1.200  0.487 1.041  0.426 0.842  0.359 0.656  0.160 0.568  0.019 0.408  0.009 0.194  -0.128 0.026  -0.276 -0.120  -0.373 -0.314  -0.450 -0.468  -0.537 -0.662  -0.699 -0.776  -0.830 -0.908  -0.917 -1.037  -0.834 -1.093  -0.619 -1.059  -0.405 -1.024  -0.190 -0.990  0.024 -0.956  0.238 -0.922  0.453 -0.888  0.667 -0.854  0.881 -0.820  0.735 -0.935  0.518 -0.935  0.418 -0.818  0.340 -0.656  0.398 -0.496  0.554 -0.379  0.771 -0.379  0.867 -0.501  0.867 -0.718  0.808 -0.876
2#tos#t1#t1069062/'  0.175 1.058  0.175 0.962  0.095 0.945  -0.001 0.945  -0.096 0.945  -0.189 0.959  -0.275 1.002  -0.361 1.045  -0.387 1.124  -0.336 1.170  -0.241 1.170  -0.150 1.158  -0.082 1.090  0.000 1.058  0.062 1.024  0.062 0.928  0.062 0.832  0.062 0.736  0.062 0.640  0.062 0.544  0.015 0.496  -0.019 0.496  0.062 0.481  0.062 0.386  0.062 0.290  0.117 0.217  0.175 0.145  0.175 0.049  0.175 -0.047  0.175 -0.143  0.175 -0.239  0.175 -0.335  0.175 -0.431  0.175 -0.526  0.175 -0.622  0.175 -0.718  0.175 -0.814  0.175 -0.910  0.161 -1.004  0.131 -1.094  0.101 -1.185  0.070 -1.276  0.004 -1.339  -0.076 -1.393  -0.156 -1.446  -0.236 -1.499  -0.274 -1.574  -0.274 -1.670  -0.274 -1.766  -0.274 -1.862
2#tos#t1#t1069062/(  0.449 1.418  0.444 1.492  0.402 1.455  0.331 1.442  0.292 1.373  0.262 1.306  0.206 1.250  0.189 1.177  0.136 1.131  0.064 1.095  0.040 1.031  0.020 0.971  0.002 0.909  0.002 0.830  0.002 0.751  -0.033 0.693  -0.104 0.657  -0.147 0.604  -0.147 0.525  -0.172 0.449  -0.184 0.372  -0.204 0.297  -0.221 0.222  -0.221 0.142  -0.221 0.063  -0.221 -0.016  -0.221 -0.096  -0.221 -0.175  -0.221 -0.255  -0.221 -0.334  -0.221 -0.414  -0.221 -0.493  -0.221 -0.573  -0.221 -0.652  -0.175 -0.693  -0.150 -0.768  -0.147 -0.847  -0.147 -0.927  -0.144 -1.005  -0.100 -1.071  -0.043 -1.114  -0.012 -1.181  0.033 -1.236  0.109 -1.261  0.172 -1.300  0.189 -1.363  0.216 -1.425  0.290 -1.449  0.332 -1.486  0.375 -1.523
2#tos#t1#t1069062/?  -0.338 0.250  -0.457 0.220  -0.553 0.250  -0.615 0.320  -0.705 0.409  -0.781 0.469  -0.781 0.595  -0.840 0.697  -0.811 0.793  -0.752 0.878  -0.684 0.959  -0.558 0.959  -0.474 1.018  -0.348 1.018  -0.222 1.018  -0.096 1.018  0.026 0.999  0.144 0.959  0.265 0.938  0.357 0.884  0.449 0.825  0.528 0.744  0.621 0.666  0.667 0.574  0.694 0.459  0.756 0.358  0.756 0.232  0.756 0.106  0.671 0.043  0.633 -0.046  0.537 -0.117  0.451 -0.187  0.388 -0.262  0.283 -0.318  0.283 -0.444  0.174 -0.466  0.052 -0.489  0.009 -0.580  -0.019 -0.696  -0.072 -0.770  -0.072 -0.896  -0.072 -1.022  -0.055 -1.144  -0.012 -1.237  -0.001 -1.363  0.009 -1.489  0.017 -1.614  -0.014 -1.733  -0.065 -1.848  -0.131 -1.938
2#tos#t1#t1069062/]  -0.509 1.207  -0.597 1.207  -0.654 1.154  -0.577 1.147  -0.488 1.147  -0.400 1.147  -0.311 1.147  -0.223 1.147  -0.134 1.147  -0.046 1.147  0.043 1.147  0.118 1.114  0.195 1.088  0.233 1.037  0.233 0.948  0.233 0.860  0.233 0.771  0.248 0.684  0.262 0.597  0.262 0.508  0.262 0.420  0.262 0.331  0.262 0.243  0.262 0.154  0.262 0.066  0.262 -0.023  0.262 -0.111  0.262 -0.200  0.262 -0.288  0.262 -0.377  0.262 -0.465  0.262 -0.554  0.262 -0.642  0.262 -0.731  0.262 -0.819  0.262 -0.908  0.262 -0.997  0.262 -1.085  0.236 -1.163  0.162 -1.196  0.073 -1.196  -0.015 -1.196  -0.104 -1.196  -0.192 -1.196  -0.281 -1.196  -0.370 -1.196  -0.458 -1.196  -0.547 -1.196  -0.631 -1.213  -0.717 -1.226
2#tos#t1#t1069062/^  -1.253 -0.210  -1.253 -0.316  -1.253 -0.422  -1.357 -0.423  -1.326 -0.423  -1.221 -0.423  -1.115 -0.423  -1.030 -0.394  -0.997 -0.294  -0.965 -0.193  -0.939 -0.091  -0.913 0.012  -0.898 0.115  -0.821 0.144  -0.756 0.185  -0.685 0.239  -0.584 0.273  -0.543 0.349  -0.517 0.428  -0.429 0.471  -0.335 0.499  -0.260 0.529  -0.260 0.635  -0.189 0.670  -0.125 0.712  -0.030 0.668  0.070 0.641  0.140 0.574  0.198 0.486  0.269 0.412  0.364 0.365  0.395 0.278  0.489 0.231  0.571 0.165  0.645 0.091  0.699 0.001  0.762 -0.069  0.867 -0.069  0.973 -0.069  1.079 -0.069  1.088 -0.165  1.088 -0.271  1.088 -0.376  1.144 -0.442  1.244 -0.475  1.301 -0.540  1.301 -0.646  1.338 -0.732  1.426 -0.790  1.514 -0.849
2#tos#t1#t1069062/|  -0.017 1.578  -0.092 1.578  -0.119 1.531  -0.085 1.490  -0.085 1.415  -0.085 1.340  -0.057 1.277  -0.051 1.205  -0.045 1.136  -0.017 1.089  -0.017 1.014  -0.017 0.939  0.017 0.898  0.017 0.823  0.017 0.749  0.017 0.674  0.017 0.599  0.017 0.524  0.011 0.455  -0.013 0.409  -0.005 0.334  0.002 0.260  0.010 0.185  0.017 0.111  0.025 0.036  0.032 -0.038  0.040 -0.113  0.047 -0.187  0.017 -0.228  -0.017 -0.269  -0.017 -0.344  -0.007 -0.416  0.017 -0.486  0.017 -0.560  0.017 -0.635  0.017 -0.710  0.017 -0.785  0.017 -0.860  0.017 -0.935  0.017 -1.010  0.017 -1.085  0.017 -1.159  0.017 -1.234  0.017 -1.309  0.017 -1.384  0.024 -1.452  0.051 -1.500  0.051 -1.575  0.051 -1.649  0.051 -1.724
2#tos#t1#t1069062/~  -1.520 -0.044  -1.565 -0.093  -1.479 -0.093  -1.421 -0.057  -1.389 0.006  -1.295 0.006  -1.272 0.078  -1.254 0.154  -1.159 0.154  -1.123 0.213  -1.069 0.253  -0.975 0.253  -0.880 0.253  -0.786 0.253  -0.691 0.253  -0.646 0.303  -0.601 0.253  -0.509 0.243  -0.424 0.204  -0.330 0.202  -0.288 0.118  -0.202 0.105  -0.183 0.029  -0.112 0.006  -0.034 -0.011  -0.022 -0.093  0.041 -0.145  0.106 -0.192  0.151 -0.242  0.246 -0.242  0.340 -0.242  0.435 -0.242  0.529 -0.242  0.574 -0.291  0.669 -0.291  0.763 -0.291  0.858 -0.291  0.907 -0.246  0.948 -0.192  0.993 -0.143  1.088 -0.143  1.124 -0.074  1.207 -0.044  1.301 -0.044  1.383 -0.013  1.402 0.073  1.452 0.118  1.510 0.154  1.600 0.159  1.600 0.154
2#tos#t1#t1069062/0  0.154 1.332  0.003 1.307  -0.087 1.230  -0.127 1.117  -0.207 1.045  -0.287 0.972  -0.337 0.831  -0.408 0.726  -0.408 0.573  -0.457 0.440  -0.488 0.300  -0.488 0.148  -0.488 -0.005  -0.488 -0.158  -0.488 -0.311  -0.488 -0.464  -0.504 -0.610  -0.568 -0.736  -0.568 -0.889  -0.528 -1.002  -0.528 -1.154  -0.440 -1.226  -0.408 -1.375  -0.287 -1.407  -0.163 -1.435  -0.026 -1.395  0.099 -1.330  0.221 -1.241  0.247 -1.102  0.320 -0.978  0.398 -0.874  0.471 -0.764  0.475 -0.611  0.515 -0.499  0.515 -0.346  0.515 -0.193  0.555 -0.057  0.559 0.095  0.635 0.224  0.595 0.337  0.595 0.490  0.595 0.643  0.515 0.746  0.475 0.889  0.435 1.002  0.349 1.096  0.211 1.131  0.074 1.146  -0.054 1.171  -0.207 1.171
