2#apa#apa15#app1539/@  0.314 -0.433  0.314 -0.212  0.314 0.010  0.218 0.192  0.061 0.349  -0.039 0.530  -0.128 0.536  -0.216 0.350  -0.280 0.144  -0.379 -0.055  -0.392 -0.274  -0.392 -0.496  -0.285 -0.610  -0.063 -0.610  0.137 -0.588  0.185 -0.386  0.314 -0.217  0.399 -0.080  0.490 0.050  0.615 0.220  0.667 0.421  0.667 0.643  0.667 0.864  0.667 1.086  0.559 1.263  0.402 1.420  0.216 1.508  -0.006 1.508  -0.224 1.499  -0.381 1.342  -0.538 1.185  -0.612 0.982  -0.666 0.766  -0.720 0.551  -0.745 0.332  -0.745 0.110  -0.745 -0.112  -0.745 -0.334  -0.706 -0.549  -0.636 -0.760  -0.565 -0.970  -0.466 -1.168  -0.335 -1.316  -0.113 -1.316  0.109 -1.316  0.330 -1.312  0.545 -1.258  0.761 -1.204  0.976 -1.150  1.196 -1.139
2#apa#apa15#app1539/1  -0.114 1.704  -0.114 1.633  -0.114 1.562  -0.114 1.492  -0.114 1.421  -0.114 1.350  -0.114 1.280  -0.114 1.209  -0.114 1.139  -0.114 1.068  -0.114 0.997  -0.114 0.927  -0.114 0.856  -0.114 0.785  -0.114 0.715  -0.114 0.644  -0.114 0.574  -0.114 0.503  -0.114 0.432  -0.114 0.362  -0.114 0.291  -0.114 0.220  -0.114 0.150  -0.114 0.079  -0.114 0.008  -0.114 -0.062  -0.114 -0.133  -0.087 -0.197  -0.056 -0.260  -0.024 -0.324  0.007 -0.387  0.039 -0.450  0.071 -0.513  0.102 -0.576  0.134 -0.639  0.165 -0.703  0.194 -0.766  0.194 -0.837  0.194 -0.908  0.194 -0.978  0.194 -1.049  0.194 -1.120  0.194 -1.190  0.194 -1.261  0.194 -1.331  0.194 -1.402  0.194 -1.473  0.194 -1.543  0.194 -1.614  0.194 -1.685
2#apa#apa15#app1539/2  -0.796 0.641  -0.796 0.750  -0.786 0.850  -0.676 0.850  -0.587 0.870  -0.587 0.979  -0.557 1.058  -0.448 1.058  -0.339 1.058  -0.230 1.058  -0.120 1.058  -0.011 1.058  0.098 1.058  0.207 1.058  0.317 1.058  0.426 1.058  0.455 0.979  0.455 0.869  0.455 0.760  0.455 0.651  0.455 0.542  0.455 0.433  0.378 0.355  0.301 0.278  0.229 0.197  0.168 0.106  0.107 0.015  0.047 -0.076  -0.014 -0.167  -0.074 -0.258  -0.135 -0.349  -0.191 -0.442  -0.240 -0.540  -0.288 -0.638  -0.337 -0.736  -0.379 -0.835  -0.379 -0.944  -0.360 -1.046  -0.283 -1.123  -0.205 -1.200  -0.111 -1.235  -0.001 -1.235  0.108 -1.235  0.217 -1.235  0.326 -1.235  0.435 -1.235  0.545 -1.235  0.654 -1.235  0.763 -1.235  0.872 -1.235
2#apa#apa15#app1539/:  -0.137 1.108  -0.137 1.190  -0.137 1.273  -0.137 1.356  -0.188 1.387  -0.271 1.387  -0.353 1.387  -0.410 1.369  -0.384 1.291  -0.358 1.212  -0.332 1.134  -0.306 1.055  -0.280 0.977  -0.254 0.898  -0.227 0.820  -0.201 0.741  -0.175 0.663  -0.149 0.584  -0.123 0.506  -0.097 0.428  -0.070 0.349  -0.044 0.271  -0.018 0.192  0.008 0.114  0.034 0.035  0.060 -0.043  0.086 -0.122  0.113 -0.200  0.139 -0.278  0.165 -0.357  0.191 -0.435  0.217 -0.514  0.243 -0.592  0.269 -0.671  0.296 -0.749  0.322 -0.828  0.348 -0.906  0.374 -0.985  0.400 -1.063  0.410 -1.130  0.328 -1.130  0.245 -1.130  0.162 -1.130  0.143 -1.193  0.143 -1.276  0.143 -1.359  0.111 -1.410  0.029 -1.410  -0.054 -1.410  -0.137 -1.410
2#apa#apa15#app1539/3  -0.883 0.619  -1.032 0.619  -0.992 0.619  -0.883 0.659  -0.883 0.807  -0.788 0.916  -0.683 1.021  -0.536 1.025  -0.388 1.025  -0.239 1.025  -0.091 1.025  0.058 1.025  0.207 1.025  0.335 1.004  0.335 0.855  0.253 0.740  0.148 0.635  0.043 0.530  -0.062 0.425  -0.167 0.320  -0.272 0.215  -0.419 0.213  -0.568 0.213  -0.644 0.213  -0.495 0.213  -0.347 0.213  -0.202 0.189  -0.061 0.142  0.080 0.095  0.221 0.048  0.360 -0.003  0.493 -0.069  0.626 -0.136  0.740 -0.213  0.740 -0.362  0.821 -0.477  0.926 -0.582  0.904 -0.717  0.857 -0.858  0.810 -0.999  0.763 -1.140  0.663 -1.208  0.517 -1.218  0.384 -1.284  0.251 -1.351  0.117 -1.411  -0.032 -1.411  -0.180 -1.411  -0.329 -1.411  -0.477 -1.411
2#apa#apa15#app1539/4  -0.681 0.647  -0.873 0.647  -0.927 0.508  -0.927 0.316  -0.927 0.124  -0.927 -0.068  -0.927 -0.260  -0.927 -0.452  -0.927 -0.643  -0.916 -0.825  -0.724 -0.825  -0.532 -0.825  -0.341 -0.825  -0.149 -0.825  0.043 -0.825  0.235 -0.825  0.427 -0.825  0.619 -0.825  0.786 -0.805  0.744 -0.617  0.703 -0.430  0.661 -0.242  0.619 -0.055  0.578 0.132  0.536 0.320  0.494 0.507  0.453 0.694  0.411 0.882  0.369 1.069  0.328 1.257  0.300 1.445  0.290 1.628  0.098 1.628  0.054 1.480  0.054 1.288  0.054 1.096  0.054 0.904  0.054 0.712  0.054 0.520  0.054 0.328  0.054 0.136  0.054 -0.055  0.054 -0.247  0.080 -0.436  0.126 -0.622  0.173 -0.809  0.220 -0.995  0.266 -1.181  0.300 -1.369  0.300 -1.561
2#apa#apa15#app1539/:  0.338 -0.660  0.278 -0.720  0.218 -0.780  0.158 -0.840  0.098 -0.900  0.038 -0.960  -0.022 -1.020  -0.026 -1.104  -0.026 -1.188  -0.026 -1.273  -0.026 -1.358  -0.026 -1.335  -0.026 -1.250  -0.026 -1.165  -0.026 -1.080  -0.026 -0.996  -0.026 -0.911  -0.026 -0.826  -0.026 -0.741  -0.026 -0.656  -0.026 -0.571  -0.026 -0.487  -0.026 -0.402  -0.026 -0.317  -0.026 -0.232  -0.026 -0.147  -0.026 -0.062  -0.026 0.023  -0.026 0.107  -0.026 0.192  -0.026 0.277  -0.026 0.362  -0.026 0.447  -0.026 0.532  -0.026 0.616  -0.026 0.701  -0.026 0.786  -0.026 0.871  -0.026 0.956  -0.026 1.041  -0.026 1.126  -0.026 1.210  -0.026 1.295  -0.026 1.380  -0.026 1.465  -0.026 1.550  -0.026 1.635  -0.026 1.719  -0.026 1.804  -0.026 1.889
2#apa#apa15#app1539/5  0.542 1.094  0.413 1.094  0.350 1.160  0.347 1.286  0.218 1.286  0.097 1.255  -0.019 1.197  -0.134 1.140  -0.249 1.082  -0.364 1.025  -0.479 0.967  -0.594 0.909  -0.608 0.789  -0.608 0.660  -0.608 0.532  -0.608 0.403  -0.662 0.328  -0.791 0.328  -0.799 0.208  -0.742 0.136  -0.614 0.136  -0.485 0.136  -0.356 0.136  -0.227 0.136  -0.098 0.136  0.030 0.136  0.159 0.136  0.281 0.096  0.403 0.055  0.525 0.014  0.648 -0.027  0.733 -0.094  0.733 -0.223  0.733 -0.351  0.733 -0.480  0.733 -0.609  0.733 -0.738  0.701 -0.853  0.610 -0.944  0.513 -1.027  0.398 -1.085  0.283 -1.142  0.168 -1.200  0.053 -1.257  -0.063 -1.315  -0.178 -1.373  -0.301 -1.396  -0.426 -1.387  -0.517 -1.296  -0.608 -1.205
2#apa#apa15#app1539/6  -0.405 1.651  -0.405 1.809  -0.405 1.773  -0.405 1.614  -0.405 1.456  -0.405 1.297  -0.405 1.139  -0.408 0.981  -0.458 0.830  -0.509 0.680  -0.559 0.530  -0.609 0.379  -0.624 0.223  -0.624 0.065  -0.624 -0.094  -0.624 -0.252  -0.624 -0.411  -0.624 -0.570  -0.624 -0.728  -0.624 -0.887  -0.624 -1.045  -0.624 -1.204  -0.468 -1.206  -0.320 -1.163  -0.178 -1.092  -0.036 -1.022  0.091 -0.930  0.203 -0.818  0.315 -0.706  0.427 -0.594  0.539 -0.482  0.652 -0.369  0.764 -0.257  0.876 -0.145  0.988 -0.033  1.100 0.079  1.133 0.224  1.083 0.332  0.925 0.332  0.766 0.332  0.608 0.332  0.463 0.310  0.392 0.168  0.321 0.026  0.248 -0.114  0.136 -0.226  0.042 -0.341  0.113 -0.483  0.184 -0.625  0.254 -0.766
2#apa#apa15#app1539/_  1.685 0.411  1.610 0.411  1.536 0.411  1.462 0.411  1.388 0.411  1.317 0.397  1.250 0.364  1.184 0.331  1.118 0.298  1.051 0.265  0.985 0.231  0.919 0.198  0.852 0.165  0.786 0.132  0.720 0.099  0.652 0.069  0.578 0.069  0.504 0.069  0.430 0.069  0.356 0.069  0.281 0.069  0.207 0.069  0.133 0.069  0.059 0.069  -0.015 0.069  -0.090 0.069  -0.164 0.069  -0.238 0.069  -0.312 0.069  -0.380 0.053  -0.432 0.001  -0.485 -0.052  -0.537 -0.104  -0.589 -0.157  -0.642 -0.209  -0.694 -0.262  -0.764 -0.272  -0.838 -0.272  -0.913 -0.272  -0.987 -0.272  -1.061 -0.272  -1.135 -0.272  -1.209 -0.272  -1.284 -0.272  -1.358 -0.272  -1.387 -0.317  -1.387 -0.391  -1.387 -0.465  -1.387 -0.539  -1.387 -0.613
2#apa#apa15#app1539/J  0.132 1.191  0.092 1.273  0.051 1.355  0.010 1.436  -0.028 1.506  -0.028 1.415  -0.016 1.326  0.025 1.244  0.066 1.162  0.107 1.080  0.148 0.999  0.189 0.917  0.230 0.835  0.271 0.753  0.307 0.669  0.335 0.582  0.364 0.495  0.393 0.408  0.422 0.321  0.451 0.234  0.491 0.152  0.532 0.070  0.573 -0.012  0.614 -0.094  0.615 -0.185  0.605 -0.274  0.554 -0.350  0.504 -0.426  0.453 -0.502  0.402 -0.578  0.351 -0.655  0.300 -0.731  0.218 -0.766  0.132 -0.795  0.045 -0.824  -0.042 -0.853  -0.129 -0.882  -0.217 -0.902  -0.309 -0.902  -0.401 -0.902  -0.492 -0.902  -0.584 -0.902  -0.675 -0.902  -0.767 -0.902  -0.858 -0.902  -0.950 -0.902  -1.042 -0.902  -1.133 -0.902  -1.155 -0.833  -1.155 -0.741
