3#apa#apa15#app1578/b  -0.488 1.727  -0.488 1.570  -0.488 1.413  -0.488 1.257  -0.488 1.100  -0.488 0.944  -0.488 0.787  -0.488 0.630  -0.525 0.478  -0.562 0.326  -0.600 0.175  -0.638 0.023  -0.678 -0.129  -0.727 -0.277  -0.777 -0.426  -0.827 -0.575  -0.855 -0.593  -0.855 -0.437  -0.855 -0.280  -0.855 -0.124  -0.855 0.033  -0.752 0.126  -0.612 0.196  -0.470 0.258  -0.313 0.258  -0.157 0.258  -0.000 0.258  0.157 0.258  0.313 0.258  0.470 0.258  0.626 0.254  0.774 0.204  0.923 0.155  1.071 0.105  1.206 0.033  1.316 -0.078  1.348 -0.221  1.348 -0.378  1.307 -0.517  1.196 -0.628  1.056 -0.687  0.904 -0.725  0.752 -0.763  0.600 -0.801  0.448 -0.839  0.299 -0.887  0.151 -0.937  0.002 -0.986  -0.148 -1.027  -0.304 -1.027
3#apa#apa15#app1578/o  -0.479 0.337  -0.479 0.489  -0.479 0.641  -0.479 0.793  -0.370 0.837  -0.219 0.832  -0.083 0.764  0.053 0.696  0.189 0.628  0.328 0.568  0.472 0.520  0.617 0.472  0.761 0.424  0.905 0.375  1.042 0.315  1.150 0.208  1.257 0.100  1.271 -0.046  1.271 -0.198  1.271 -0.351  1.207 -0.476  1.100 -0.584  0.992 -0.692  0.884 -0.799  0.777 -0.907  0.627 -0.913  0.475 -0.913  0.323 -0.913  0.171 -0.913  0.019 -0.913  -0.133 -0.913  -0.279 -0.888  -0.416 -0.820  -0.552 -0.751  -0.688 -0.683  -0.776 -0.568  -0.844 -0.432  -0.912 -0.296  -0.980 -0.160  -1.048 -0.024  -1.116 0.112  -1.185 0.248  -1.181 0.361  -1.045 0.429  -0.909 0.497  -0.773 0.565  -0.637 0.633  -0.501 0.701  -0.365 0.769  -0.229 0.837
3#apa#apa15#app1578/x  -1.722 0.467  -1.554 0.467  -1.421 0.383  -1.303 0.265  -1.157 0.185  -1.007 0.110  -0.857 0.035  -0.738 -0.083  -0.616 -0.198  -0.477 -0.290  -0.338 -0.383  -0.198 -0.476  -0.059 -0.569  0.090 -0.642  0.249 -0.695  0.408 -0.748  0.567 -0.801  0.710 -0.881  0.828 -0.999  0.878 -0.953  0.878 -0.785  0.878 -0.618  0.878 -0.450  0.878 -0.283  0.878 -0.115  0.878 0.053  0.878 0.220  0.878 0.388  0.878 0.555  0.878 0.723  0.878 0.890  0.878 1.058  0.770 1.117  0.602 1.117  0.445 1.107  0.445 0.940  0.354 0.810  0.236 0.691  0.117 0.573  0.000 0.453  -0.105 0.322  -0.209 0.191  -0.314 0.060  -0.419 -0.070  -0.523 -0.201  -0.628 -0.332  -0.733 -0.463  -0.837 -0.594  -0.953 -0.714  -1.072 -0.833
3#apa#apa15#app1578/s  -0.096 1.012  -0.218 1.012  -0.340 1.012  -0.462 1.012  -0.584 1.012  -0.706 1.012  -0.828 1.012  -0.924 0.970  -0.979 0.860  -1.034 0.751  -1.088 0.642  -1.105 0.524  -1.102 0.405  -0.983 0.375  -0.865 0.346  -0.746 0.316  -0.628 0.286  -0.509 0.257  -0.391 0.227  -0.272 0.204  -0.150 0.204  -0.028 0.204  0.094 0.204  0.217 0.204  0.338 0.197  0.456 0.167  0.575 0.137  0.693 0.108  0.811 0.078  0.930 0.048  1.048 0.019  1.116 -0.051  1.116 -0.173  1.116 -0.295  1.105 -0.412  1.019 -0.499  0.933 -0.585  0.834 -0.657  0.733 -0.724  0.631 -0.792  0.530 -0.860  0.428 -0.928  0.326 -0.995  0.211 -1.032  0.093 -1.061  -0.026 -1.091  -0.144 -1.121  -0.263 -1.150  -0.381 -1.180  -0.500 -1.209
3#apa#apa15#app1578/a  0.369 -0.079  0.492 0.044  0.614 0.167  0.614 0.341  0.614 0.515  0.614 0.689  0.614 0.863  0.614 1.037  0.614 1.211  0.614 1.385  0.441 1.386  0.278 1.340  0.122 1.262  -0.033 1.184  -0.154 1.072  -0.232 0.916  -0.309 0.761  -0.395 0.610  -0.500 0.471  -0.604 0.332  -0.709 0.193  -0.813 0.054  -0.917 -0.085  -1.022 -0.225  -1.096 -0.374  -1.096 -0.548  -1.096 -0.722  -1.096 -0.896  -1.082 -1.056  -0.908 -1.056  -0.754 -0.991  -0.610 -0.895  -0.465 -0.798  -0.320 -0.702  -0.175 -0.605  -0.044 -0.493  0.079 -0.370  0.202 -0.247  0.325 -0.124  0.448 -0.001  0.571 0.122  0.614 0.051  0.614 -0.123  0.614 -0.296  0.614 -0.470  0.638 -0.640  0.693 -0.805  0.748 -0.970  0.803 -1.135  0.858 -1.300
3#apa#apa15#app1578/i  0.073 -0.007  0.073 -0.109  0.073 -0.212  0.073 -0.314  0.117 -0.406  0.162 -0.497  0.208 -0.589  0.247 -0.683  0.279 -0.780  0.311 -0.877  0.344 -0.974  0.376 -1.071  0.384 -1.172  0.369 -1.268  0.296 -1.341  0.228 -1.402  0.208 -1.301  0.189 -1.201  0.170 -1.100  0.151 -1.000  0.132 -0.900  0.113 -0.799  0.094 -0.699  0.074 -0.598  0.055 -0.498  0.036 -0.397  0.017 -0.297  -0.002 -0.196  -0.021 -0.096  -0.040 0.005  -0.060 0.105  -0.079 0.206  -0.098 0.306  -0.117 0.407  -0.136 0.507  -0.155 0.608  -0.174 0.708  -0.194 0.809  -0.213 0.909  -0.232 1.010  -0.251 1.110  -0.270 1.210  -0.289 1.311  -0.308 1.411  -0.328 1.512  -0.347 1.612  -0.366 1.713  -0.385 1.813  -0.394 1.808  -0.394 1.706
3#apa#apa15#app1578/d  0.306 1.969  0.355 1.821  0.405 1.674  0.454 1.527  0.474 1.374  0.474 1.219  0.474 1.064  0.474 0.908  0.474 0.753  0.474 0.597  0.474 0.442  0.474 0.286  0.474 0.131  0.474 -0.024  0.474 -0.180  0.474 -0.335  0.474 -0.491  0.474 -0.646  0.474 -0.802  0.474 -0.957  0.463 -0.984  0.438 -0.831  0.412 -0.678  0.387 -0.524  0.361 -0.371  0.335 -0.218  0.310 -0.064  0.306 0.091  0.306 0.246  0.203 0.327  0.056 0.376  -0.092 0.426  -0.237 0.440  -0.376 0.371  -0.515 0.301  -0.654 0.232  -0.793 0.162  -0.867 0.053  -0.886 -0.100  -0.935 -0.247  -0.984 -0.394  -1.034 -0.542  -0.987 -0.689  -0.937 -0.837  -0.888 -0.984  -0.788 -1.087  -0.649 -1.157  -0.507 -1.216  -0.352 -1.216  -0.197 -1.216
3#apa#apa15#app1578/,  0.202 1.688  0.202 1.617  0.202 1.547  0.202 1.477  0.202 1.406  0.202 1.336  0.202 1.266  0.202 1.195  0.202 1.125  0.202 1.055  0.202 0.984  0.202 0.914  0.202 0.844  0.202 0.773  0.202 0.703  0.202 0.633  0.202 0.562  0.202 0.492  0.189 0.423  0.172 0.355  0.155 0.287  0.137 0.219  0.120 0.150  0.103 0.082  0.086 0.014  0.069 -0.054  0.052 -0.123  0.035 -0.191  0.018 -0.259  0.001 -0.327  -0.016 -0.396  -0.033 -0.464  -0.050 -0.532  -0.067 -0.600  -0.084 -0.669  -0.101 -0.737  -0.118 -0.805  -0.135 -0.873  -0.153 -0.942  -0.170 -1.010  -0.187 -1.078  -0.208 -1.144  -0.257 -1.194  -0.307 -1.244  -0.357 -1.293  -0.406 -1.343  -0.456 -1.393  -0.506 -1.443  -0.556 -1.492  -0.605 -1.542
3#apa#apa15#app1578/\"  -0.652 1.602  -0.652 1.449  -0.652 1.297  -0.652 1.144  -0.652 0.992  -0.652 0.839  -0.652 0.687  -0.652 0.534  -0.652 0.382  -0.652 0.229  -0.652 0.077  -0.628 -0.072  -0.580 -0.217  -0.532 -0.361  -0.483 -0.506  -0.435 -0.651  -0.387 -0.795  -0.339 -0.940  -0.291 -1.084  -0.232 -1.223  -0.124 -1.330  -0.016 -1.438  0.092 -1.546  0.160 -1.534  0.181 -1.383  0.203 -1.232  0.224 -1.081  0.246 -0.930  0.267 -0.779  0.289 -0.628  0.311 -0.477  0.332 -0.326  0.354 -0.175  0.375 -0.024  0.397 0.127  0.418 0.278  0.440 0.429  0.462 0.580  0.483 0.730  0.505 0.881  0.526 1.032  0.548 1.183  0.550 1.066  0.550 0.914  0.550 0.761  0.550 0.609  0.550 0.456  0.550 0.304  0.550 0.151  0.550 -0.001
3#apa#apa15#app1578/I  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#apa#apa15#app1578/t  -0.107 1.909  -0.224 1.792  -0.341 1.675  -0.362 1.519  -0.362 1.353  -0.362 1.188  -0.333 1.027  -0.293 0.867  -0.253 0.706  -0.212 0.546  -0.172 0.386  -0.132 0.226  -0.107 0.064  -0.107 -0.102  -0.107 -0.267  -0.107 -0.432  -0.107 -0.597  -0.107 -0.762  -0.107 -0.927  -0.107 -1.093  -0.107 -1.258  -0.107 -1.423  -0.107 -1.588  -0.060 -1.576  0.022 -1.433  0.104 -1.290  0.186 -1.146  0.267 -1.003  0.349 -0.859  0.431 -0.716  0.513 -0.573  0.595 -0.429  0.677 -0.286  0.759 -0.142  0.841 0.001  0.912 0.147  0.912 0.312  0.814 0.380  0.649 0.380  0.484 0.380  0.319 0.380  0.154 0.380  -0.012 0.380  -0.177 0.380  -0.342 0.380  -0.500 0.334  -0.656 0.282  -0.813 0.229  -0.970 0.177  -1.126 0.125
