3#app#app13#app1326/1  -0.185 1.683  -0.185 1.611  -0.173 1.544  -0.122 1.493  -0.071 1.442  -0.057 1.375  -0.057 1.303  -0.057 1.231  -0.057 1.159  -0.057 1.087  -0.057 1.015  -0.057 0.943  -0.057 0.871  -0.057 0.799  -0.057 0.727  -0.057 0.655  -0.057 0.583  -0.057 0.511  -0.057 0.439  -0.040 0.371  -0.007 0.307  0.025 0.242  0.057 0.178  0.071 0.109  0.071 0.037  0.071 -0.035  0.071 -0.107  0.071 -0.179  0.071 -0.251  0.071 -0.323  0.071 -0.395  0.071 -0.467  0.071 -0.539  0.071 -0.611  0.071 -0.683  0.071 -0.755  0.071 -0.828  0.071 -0.900  0.071 -0.972  0.071 -1.044  0.071 -1.116  0.071 -1.188  0.071 -1.260  0.071 -1.332  0.071 -1.404  0.071 -1.476  0.031 -1.509  -0.041 -1.509  -0.057 -1.453  -0.057 -1.381
3#app#app13#app1326/0  -0.437 0.816  -0.464 0.699  -0.553 0.644  -0.553 0.500  -0.631 0.388  -0.670 0.259  -0.670 0.115  -0.670 -0.029  -0.670 -0.174  -0.670 -0.318  -0.670 -0.463  -0.670 -0.607  -0.670 -0.751  -0.670 -0.896  -0.567 -0.936  -0.553 -1.068  -0.511 -1.170  -0.437 -1.240  -0.340 -1.287  -0.195 -1.287  -0.051 -1.287  0.075 -1.242  0.148 -1.128  0.197 -1.004  0.299 -0.902  0.401 -0.800  0.498 -0.696  0.498 -0.551  0.542 -0.425  0.644 -0.323  0.732 -0.215  0.732 -0.071  0.732 0.074  0.732 0.218  0.732 0.363  0.732 0.507  0.732 0.651  0.732 0.796  0.644 0.904  0.615 1.036  0.522 1.142  0.420 1.244  0.292 1.283  0.148 1.283  0.031 1.256  -0.024 1.166  -0.086 1.084  -0.086 0.940  -0.101 0.801  -0.203 0.699
3#app#app13#app1326/0  -0.384 0.768  -0.482 0.670  -0.581 0.571  -0.663 0.466  -0.663 0.327  -0.663 0.188  -0.663 0.049  -0.663 -0.091  -0.663 -0.230  -0.663 -0.369  -0.663 -0.508  -0.663 -0.647  -0.649 -0.781  -0.550 -0.879  -0.523 -1.007  -0.452 -1.117  -0.341 -1.185  -0.244 -1.228  -0.202 -1.325  -0.063 -1.325  0.064 -1.296  0.162 -1.197  0.174 -1.063  0.296 -1.046  0.400 -0.960  0.473 -0.846  0.517 -0.714  0.561 -0.582  0.593 -0.448  0.593 -0.309  0.593 -0.169  0.593 -0.030  0.593 0.109  0.593 0.248  0.593 0.388  0.593 0.527  0.593 0.666  0.593 0.805  0.593 0.944  0.557 1.047  0.453 1.083  0.422 1.203  0.297 1.265  0.172 1.326  0.035 1.325  0.033 1.187  -0.105 1.186  -0.105 1.047  -0.244 1.047  -0.244 0.908
3#app#app13#app1326/%  -0.921 1.079  -1.050 0.907  -1.050 0.682  -0.942 0.564  -0.792 0.715  -0.708 0.906  -0.697 1.079  -0.920 1.078  -0.788 0.895  -0.656 0.713  -0.525 0.530  -0.393 0.347  -0.261 0.165  -0.129 -0.018  0.003 -0.200  0.135 -0.383  0.267 -0.566  0.399 -0.748  0.531 -0.931  0.663 -1.114  0.752 -1.310  0.583 -1.366  0.623 -1.357  0.728 -1.237  0.679 -1.109  0.605 -0.940  0.582 -0.716  0.558 -0.492  0.535 -0.268  0.511 -0.044  0.488 0.180  0.464 0.404  0.440 0.628  0.417 0.852  0.393 1.077  0.370 1.301  0.366 1.147  0.237 1.051  0.149 0.862  0.081 0.665  -0.020 0.482  -0.020 0.256  -0.067 0.039  -0.138 -0.175  -0.149 -0.399  -0.220 -0.607  -0.278 -0.819  -0.278 -1.044  -0.278 -1.269  -0.278 -1.495
3#app#app13#app1326/o  -0.444 0.896  -0.578 0.896  -0.606 0.790  -0.661 0.679  -0.756 0.585  -0.768 0.456  -0.768 0.322  -0.768 0.188  -0.768 0.054  -0.768 -0.079  -0.768 -0.213  -0.768 -0.347  -0.768 -0.481  -0.768 -0.615  -0.768 -0.749  -0.768 -0.882  -0.673 -0.977  -0.578 -1.072  -0.484 -1.166  -0.366 -1.206  -0.233 -1.206  -0.121 -1.184  -0.121 -1.050  0.007 -1.044  0.112 -0.974  0.206 -0.879  0.301 -0.784  0.384 -0.681  0.444 -0.562  0.504 -0.442  0.586 -0.338  0.680 -0.243  0.775 -0.149  0.850 -0.046  0.850 0.088  0.850 0.222  0.850 0.356  0.850 0.489  0.850 0.623  0.850 0.757  0.850 0.891  0.850 1.025  0.749 1.058  0.615 1.058  0.482 1.058  0.348 1.058  0.214 1.058  0.116 0.971  0.013 0.896  -0.121 0.896
3#app#app13#app1326/f  -0.556 0.045  -0.420 -0.109  -0.420 -0.319  -0.303 -0.480  -0.284 -0.682  -0.230 -0.879  -0.147 -1.070  -0.147 -1.280  -0.147 -1.490  -0.070 -1.667  -0.011 -1.599  -0.011 -1.389  -0.013 -1.179  -0.147 -1.025  -0.147 -0.815  -0.147 -0.605  -0.147 -0.395  -0.147 -0.185  -0.147 0.025  -0.147 0.235  -0.147 0.445  -0.147 0.655  -0.146 0.864  -0.011 1.018  -0.011 1.228  -0.011 1.438  -0.011 1.648  0.125 1.722  0.241 1.816  0.395 1.682  0.511 1.613  0.445 1.414  0.379 1.214  0.312 1.015  0.246 0.816  0.179 0.617  0.113 0.418  0.047 0.219  -0.020 0.019  -0.086 -0.180  -0.153 -0.379  -0.219 -0.578  -0.278 -0.772  -0.068 -0.772  0.005 -0.636  0.125 -0.546  0.281 -0.480  0.429 -0.332  0.596 -0.227  0.670 -0.091
3#app#app13#app1326/#  -1.309 -0.384  -1.003 -0.078  -0.663 0.144  -0.288 0.284  0.057 0.497  0.417 0.673  0.776 0.640  0.485 0.320  0.194 0.000  -0.097 -0.320  -0.388 -0.640  -0.679 -0.960  -0.957 -1.286  -0.755 -1.253  -0.381 -1.042  -0.076 -0.839  0.255 -0.737  0.567 -0.446  0.805 -0.215  0.797 -0.040  0.477 0.251  0.157 0.542  -0.163 0.833  -0.483 1.124  -0.804 1.415  -0.907 1.378  -0.604 1.144  -0.467 0.849  -0.409 0.460  -0.252 0.064  -0.138 -0.322  -0.076 -0.728  0.035 -1.135  0.101 -1.552  0.267 -1.427  0.244 -0.995  0.221 -0.563  0.199 -0.131  0.176 0.301  0.153 0.734  0.130 1.166  0.108 1.598  0.101 1.430  0.120 1.006  0.302 0.648  0.453 0.278  0.629 -0.082  0.766 -0.482  0.925 -0.856  0.982 -1.265
3#app#app13#app1326/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app13#app1326/s  0.137 1.633  0.071 1.566  0.005 1.500  -0.073 1.460  -0.166 1.460  -0.207 1.407  -0.207 1.314  -0.207 1.220  -0.207 1.126  -0.290 1.115  -0.380 1.111  -0.380 1.017  -0.380 0.923  -0.380 0.830  -0.380 0.736  -0.380 0.642  -0.380 0.548  -0.380 0.455  -0.380 0.361  -0.380 0.267  -0.380 0.173  -0.379 0.080  -0.312 0.014  -0.246 -0.053  -0.207 -0.130  -0.207 -0.224  -0.169 -0.302  -0.103 -0.368  -0.036 -0.435  -0.035 -0.528  -0.022 -0.608  0.072 -0.608  0.158 -0.628  0.224 -0.695  0.290 -0.761  0.376 -0.781  0.470 -0.781  0.482 -0.862  0.485 -0.953  0.579 -0.953  0.654 -0.971  0.654 -1.065  0.621 -1.125  0.528 -1.125  0.434 -1.125  0.340 -1.125  0.246 -1.125  0.152 -1.125  0.137 -1.204  0.137 -1.298
3#app#app13#app1326/  0.259 1.686  0.259 1.613  0.259 1.541  0.259 1.468  0.259 1.395  0.259 1.323  0.259 1.250  0.259 1.178  0.259 1.105  0.259 1.033  0.259 0.960  0.208 0.908  0.157 0.857  0.114 0.802  0.114 0.730  0.114 0.657  0.114 0.585  0.114 0.512  0.114 0.439  0.109 0.368  0.076 0.303  0.044 0.238  0.011 0.173  -0.021 0.108  -0.031 0.038  -0.031 -0.034  -0.031 -0.107  -0.031 -0.180  -0.031 -0.252  -0.031 -0.325  -0.066 -0.383  -0.117 -0.434  -0.169 -0.486  -0.177 -0.555  -0.177 -0.628  -0.177 -0.700  -0.177 -0.773  -0.177 -0.845  -0.177 -0.918  -0.177 -0.991  -0.177 -1.063  -0.177 -1.136  -0.177 -1.208  -0.177 -1.281  -0.177 -1.353  -0.219 -1.408  -0.271 -1.460  -0.322 -1.511  -0.322 -1.584  -0.322 -1.656
3#app#app13#app1326/0  -0.500 0.527  -0.524 0.410  -0.617 0.363  -0.688 0.294  -0.733 0.199  -0.735 0.059  -0.834 -0.040  -0.850 -0.174  -0.850 -0.314  -0.850 -0.454  -0.850 -0.594  -0.850 -0.735  -0.848 -0.874  -0.749 -0.973  -0.649 -1.072  -0.523 -1.105  -0.417 -1.188  -0.290 -1.221  -0.150 -1.221  -0.051 -1.122  0.082 -1.105  0.181 -1.006  0.281 -0.906  0.406 -0.872  0.432 -0.757  0.530 -0.657  0.548 -0.525  0.646 -0.425  0.665 -0.292  0.665 -0.152  0.665 -0.012  0.713 0.108  0.782 0.220  0.782 0.361  0.782 0.501  0.782 0.641  0.782 0.781  0.782 0.922  0.713 0.993  0.572 0.993  0.548 1.109  0.415 1.126  0.316 1.225  0.183 1.210  0.084 1.111  -0.034 1.088  -0.080 0.993  -0.151 0.924  -0.244 0.876  -0.267 0.760
