3#apb#apb10#app1035/L  -0.138 0.877  -0.052 0.846  0.065 0.851  0.179 0.879  0.287 0.925  0.384 0.990  0.480 1.058  0.571 1.132  0.663 1.206  0.732 1.298  0.776 1.397  0.710 1.300  0.647 1.202  0.582 1.104  0.519 1.004  0.457 0.905  0.398 0.803  0.338 0.702  0.281 0.600  0.224 0.497  0.167 0.394  0.106 0.293  0.046 0.193  -0.014 0.092  -0.076 -0.008  -0.138 -0.108  -0.200 -0.208  -0.258 -0.310  -0.315 -0.412  -0.373 -0.515  -0.441 -0.610  -0.510 -0.706  -0.570 -0.806  -0.629 -0.908  -0.699 -1.002  -0.767 -1.098  -0.837 -1.191  -0.794 -1.114  -0.731 -1.016  -0.639 -0.946  -0.528 -0.908  -0.418 -0.870  -0.310 -0.830  -0.195 -0.846  -0.088 -0.895  0.015 -0.951  0.110 -1.020  0.215 -1.072  0.327 -1.099  0.444 -1.099
3#apb#apb10#app1035/e  -0.311 -0.431  -0.234 -0.426  -0.115 -0.407  -0.023 -0.315  0.069 -0.223  0.173 -0.146  0.279 -0.071  0.383 0.006  0.461 0.110  0.539 0.214  0.616 0.317  0.686 0.427  0.753 0.538  0.820 0.649  0.887 0.761  0.932 0.882  0.940 1.010  0.940 1.140  0.838 1.186  0.710 1.207  0.582 1.185  0.457 1.158  0.361 1.071  0.265 0.984  0.169 0.896  0.073 0.809  -0.021 0.720  -0.104 0.620  -0.188 0.520  -0.271 0.421  -0.354 0.321  -0.437 0.221  -0.500 0.108  -0.562 -0.006  -0.624 -0.120  -0.686 -0.234  -0.720 -0.358  -0.745 -0.486  -0.771 -0.613  -0.786 -0.741  -0.786 -0.871  -0.781 -0.999  -0.709 -1.107  -0.637 -1.215  -0.538 -1.295  -0.427 -1.362  -0.321 -1.437  -0.217 -1.514  -0.096 -1.552  0.034 -1.552
3#apb#apb10#app1035/a  0.912 -0.231  0.987 -0.184  0.987 -0.054  0.987 0.095  0.987 0.244  0.949 0.387  0.902 0.528  0.813 0.647  0.729 0.770  0.645 0.891  0.521 0.974  0.392 1.045  0.247 1.081  0.102 1.110  -0.047 1.110  -0.193 1.094  -0.338 1.058  -0.467 0.996  -0.573 0.891  -0.678 0.786  -0.754 0.658  -0.826 0.528  -0.893 0.396  -0.950 0.258  -1.008 0.121  -1.062 -0.017  -1.079 -0.165  -1.095 -0.313  -1.079 -0.460  -1.025 -0.586  -0.896 -0.660  -0.763 -0.703  -0.621 -0.661  -0.478 -0.618  -0.335 -0.580  -0.190 -0.543  -0.046 -0.507  0.081 -0.437  0.193 -0.339  0.304 -0.241  0.428 -0.210  0.470 -0.319  0.503 -0.462  0.503 -0.611  0.503 -0.760  0.494 -0.908  0.465 -1.054  0.436 -1.200  0.428 -1.348  0.428 -1.497
3#apb#apb10#app1035/v  -1.085 0.247  -1.020 0.172  -0.833 0.139  -0.644 0.216  -0.455 0.285  -0.321 0.438  -0.220 0.522  -0.286 0.329  -0.364 0.140  -0.451 -0.044  -0.545 -0.225  -0.645 -0.403  -0.732 -0.587  -0.810 -0.776  -0.885 -0.966  -0.961 -1.155  -1.011 -1.265  -0.867 -1.120  -0.723 -0.975  -0.580 -0.830  -0.436 -0.685  -0.292 -0.540  -0.149 -0.395  -0.005 -0.250  0.139 -0.105  0.282 0.040  0.426 0.185  0.570 0.330  0.714 0.475  0.857 0.620  1.001 0.765  1.145 0.910  1.288 1.055  1.418 1.211  1.417 1.279  1.256 1.154  1.111 1.010  0.975 0.859  0.860 0.690  0.744 0.522  0.619 0.361  0.492 0.201  0.364 0.042  0.228 -0.110  0.093 -0.263  -0.044 -0.414  -0.183 -0.564  -0.328 -0.708  -0.479 -0.845  -0.644 -0.965
3#apb#apb10#app1035/i  0.082 0.297  0.067 0.318  0.003 0.222  -0.072 0.135  -0.149 0.049  -0.225 -0.037  -0.300 -0.125  -0.374 -0.213  -0.449 -0.301  -0.514 -0.396  -0.580 -0.491  -0.646 -0.586  -0.713 -0.679  -0.781 -0.772  -0.840 -0.871  -0.885 -0.977  -0.819 -1.066  -0.722 -1.125  -0.608 -1.136  -0.501 -1.176  -0.386 -1.180  -0.298 -1.140  -0.253 -1.034  -0.209 -0.927  -0.164 -0.821  -0.119 -0.715  -0.075 -0.608  -0.030 -0.502  0.014 -0.395  0.059 -0.289  0.103 -0.183  0.148 -0.076  0.192 0.030  0.237 0.136  0.281 0.243  0.326 0.349  0.370 0.456  0.415 0.562  0.459 0.668  0.504 0.775  0.548 0.881  0.593 0.987  0.638 1.094  0.682 1.200  0.727 1.307  0.771 1.413  0.816 1.519  0.860 1.626  0.876 1.738  0.942 1.818
3#apb#apb10#app1035/n  -0.491 0.640  -0.350 0.740  -0.196 0.816  -0.111 0.912  -0.134 0.755  -0.184 0.589  -0.261 0.436  -0.351 0.289  -0.440 0.141  -0.526 -0.009  -0.612 -0.160  -0.702 -0.307  -0.792 -0.454  -0.893 -0.594  -1.003 -0.728  -1.106 -0.867  -1.197 -1.013  -1.248 -1.178  -1.171 -1.098  -1.066 -0.961  -0.961 -0.824  -0.856 -0.686  -0.750 -0.549  -0.645 -0.412  -0.540 -0.275  -0.435 -0.138  -0.334 -0.007  -0.183 0.077  -0.023 0.138  0.144 0.184  0.286 0.280  0.423 0.385  0.563 0.486  0.710 0.576  0.858 0.667  1.021 0.725  1.183 0.783  1.306 0.898  1.343 0.827  1.289 0.665  1.207 0.513  1.125 0.361  1.044 0.208  0.963 0.055  0.882 -0.098  0.802 -0.250  0.721 -0.403  0.641 -0.557  0.564 -0.711  0.487 -0.866
3#apb#apb10#app1035/g  0.182 0.494  0.260 0.628  0.331 0.766  0.367 0.913  0.341 1.067  0.256 1.197  0.114 1.207  -0.032 1.155  -0.170 1.081  -0.277 0.972  -0.376 0.851  -0.476 0.731  -0.562 0.604  -0.604 0.455  -0.616 0.299  -0.572 0.150  -0.461 0.040  -0.315 -0.006  -0.189 0.050  -0.077 0.158  0.035 0.267  0.147 0.375  0.260 0.483  0.372 0.592  0.484 0.700  0.596 0.809  0.528 0.919  0.474 0.778  0.417 0.633  0.364 0.486  0.318 0.337  0.279 0.187  0.264 0.032  0.251 -0.124  0.243 -0.279  0.239 -0.435  0.239 -0.591  0.239 -0.747  0.239 -0.903  0.221 -1.058  0.186 -1.209  0.132 -1.355  0.058 -1.492  -0.080 -1.562  -0.227 -1.612  -0.377 -1.654  -0.532 -1.657  -0.685 -1.633  -0.833 -1.584  -0.972 -1.515
3#apb#apb10#app1035/f  1.003 1.233  0.980 1.371  0.935 1.506  0.814 1.559  0.678 1.518  0.574 1.422  0.495 1.303  0.431 1.175  0.378 1.043  0.336 0.906  0.294 0.770  0.242 0.636  0.189 0.503  0.137 0.370  0.089 0.236  0.040 0.101  -0.008 -0.034  -0.060 -0.167  -0.113 -0.300  -0.166 -0.433  -0.220 -0.565  -0.276 -0.697  -0.332 -0.828  -0.389 -0.959  -0.448 -1.090  -0.512 -1.217  -0.578 -1.344  -0.641 -1.472  -0.679 -1.478  -0.659 -1.336  -0.639 -1.194  -0.620 -1.053  -0.600 -0.911  -0.580 -0.769  -0.561 -0.628  -0.541 -0.486  -0.521 -0.344  -0.502 -0.203  -0.482 -0.061  -0.403 0.030  -0.267 0.074  -0.127 0.097  0.016 0.097  0.159 0.097  0.294 0.132  0.429 0.177  0.564 0.223  0.697 0.261  0.637 0.361  0.511 0.366
3#apb#apb10#app1035/o  0.600 0.765  0.538 0.883  0.417 0.925  0.294 0.980  0.167 0.983  0.034 0.950  -0.091 0.897  -0.212 0.832  -0.333 0.767  -0.454 0.702  -0.565 0.622  -0.674 0.539  -0.784 0.457  -0.891 0.372  -0.982 0.270  -1.074 0.167  -1.157 0.061  -1.179 -0.075  -1.202 -0.210  -1.219 -0.344  -1.151 -0.463  -1.080 -0.580  -0.959 -0.645  -0.839 -0.710  -0.718 -0.775  -0.592 -0.818  -0.454 -0.818  -0.317 -0.818  -0.180 -0.818  -0.043 -0.816  0.091 -0.788  0.225 -0.759  0.360 -0.731  0.494 -0.703  0.627 -0.670  0.755 -0.621  0.883 -0.572  1.011 -0.523  1.117 -0.439  1.185 -0.330  1.185 -0.193  1.147 -0.067  1.077 0.051  1.006 0.169  0.919 0.274  0.822 0.371  0.724 0.466  0.617 0.552  0.495 0.604  0.360 0.627
3#apb#apb10#app1035/r  -0.489 0.477  -0.520 0.370  -0.534 0.260  -0.548 0.150  -0.556 0.039  -0.565 -0.072  -0.573 -0.183  -0.583 -0.294  -0.594 -0.404  -0.605 -0.515  -0.616 -0.626  -0.628 -0.736  -0.636 -0.847  -0.636 -0.958  -0.642 -1.069  -0.658 -1.179  -0.654 -1.175  -0.631 -1.066  -0.609 -0.957  -0.587 -0.848  -0.564 -0.739  -0.542 -0.630  -0.520 -0.521  -0.498 -0.412  -0.475 -0.303  -0.453 -0.194  -0.431 -0.085  -0.408 0.024  -0.346 0.108  -0.251 0.166  -0.158 0.226  -0.065 0.288  0.027 0.349  0.129 0.394  0.232 0.435  0.336 0.476  0.440 0.514  0.545 0.551  0.650 0.589  0.755 0.626  0.861 0.659  0.967 0.691  1.073 0.724  1.181 0.752  1.290 0.776  1.398 0.799  1.507 0.822  1.617 0.838  1.728 0.849  1.838 0.860
3#apb#apb10#app1035/U  -0.581 0.727  -0.538 0.728  -0.587 0.566  -0.663 0.417  -0.762 0.280  -0.854 0.138  -0.941 -0.007  -1.031 -0.151  -1.124 -0.293  -1.208 -0.439  -1.284 -0.591  -1.305 -0.757  -1.178 -0.860  -1.013 -0.894  -0.845 -0.889  -0.680 -0.864  -0.522 -0.880  -0.370 -0.909  -0.235 -0.850  -0.135 -0.714  -0.035 -0.577  0.066 -0.441  0.166 -0.304  0.267 -0.168  0.367 -0.031  0.468 0.105  0.568 0.241  0.668 0.378  0.769 0.514  0.869 0.651  0.970 0.787  1.070 0.924  1.171 1.060  1.271 1.196  1.193 1.147  1.092 1.011  0.993 0.874  0.899 0.733  0.802 0.594  0.703 0.457  0.601 0.321  0.492 0.192  0.382 0.063  0.278 -0.071  0.176 -0.205  0.082 -0.346  -0.004 -0.493  -0.090 -0.639  -0.172 -0.786  -0.226 -0.947
